**Header Section:**
Magazine Title: 삼천리 제6권 제9호
Publication Date: 1934년 09월 01일
Article Title: 文人奇談 (Anecdotes about Literary Figures)
Author: 稻香 (Do Hyang)
Article Type: 잡저 (Miscellaneous Writing)

**Body Text Translation:**
Anecdotes about Literary Figures

Cho Ilchae (趙一齋) of *Changhantmong* (長恨夢) was once a reporter for the Maeil Sinbo (每日申報) for a while, along with Kikch'o (菊初) Yi Injik (李人植). At that time, Yi Injik was serializing "Kwi ŭi Sŏng" (鬼의 聲 - Voice of a Ghost) in the newspaper. He was apparently such a slow writer that it took him a couple of hours to write just a single sheet of manuscript paper. He agonized greatly over it too, writing and tearing it up, writing and tearing it up, sometimes grabbing his head looking bewildered for a long time, sometimes pacing around the room—truly painstaking effort, as if carving his own bones. This is a direct account from Cho Ilchae.

Yi Kwangsu (李光洙), having gone out to Segŏmjŏng (洗劍亭), would, on hot summer days while strolling through that pastoral setting of clear breezes and bright moonlight with his son, suddenly plop down beside a melon patch and eat melons—skin and all—after just wiping them briefly. He would also occasionally exchange worldly-detached conversations with monks from nearby temples, wear shabby clothes, and walk around in straw sandals (짚세기). From head to toe, he reeked of a "wild man" (野人臭), or so the rumors circulated widely outside Ch'anguimun (彰義門).

P'albong (八峯) sent his sickly wife to his family home on the coast of Hamgyŏng Province (咸鏡道) for the summer, telling her to eat plenty of fresh fish (生鮮). Ansŏ (岸曙) also sent his wife and children to the vicinity of Chinp'o (鎭南浦) for the summer, telling them to pick and eat fresh apples. Yi Hayun (異河潤) likewise sent his frail wife to his family home to breathe fresh air in the countryside. Thus, the number of temporary bachelors greatly increased.

Male writers generally have poor reputations in their hometowns, but this is not so for female writers. When Ms. Pak Hwasŏng (朴花城) <238> once had her serial novel published in the Tong-a Ilbo (東亞日報), the entire citizenry of P'ohang (浦全市民) mobilized, and sounds of tremendous praise were heard even outside the city walls. Similarly, when Ms. Mo Yunsuk (毛允淑) published her poetry collection "Pittnanŭn Iyŏk" (빗나는 異域 - Shining Foreign Land), there was great enthusiastic cheering in her hometown of Hamhŭng (咸興). How fortunate are female writers! Even Jesus was cast out from his own hometown of Nazareth.

One evening at a tavern (旗亭) in Segŏmjŏng (洗劒亭), there was a match of Changgi (將碁 - Korean chess) between Ch'unwŏn (春園) and Ansŏ (岸曙). After more than nine games, Ansŏ suffered a crushing defeat. Afterwards, Ansŏ lamented, "Aiya, I lost because I was short one cannon (包)! How frustrating! Oh, cannon, my cannon!" sighing deeply for a long time, just as Hsiang Yü (項羽) did looking towards the Eastern River.

One morning, Tokkyŏn (獨鵑) was traveling in Shanghai (上海) and happened to take lodging at the Tonghwa Yanghaeng (東和洋行). After Tokkyŏn returned from sightseeing in Shanghai, the owner appeared and proudly mentioned, "The room where the patriot Kim Okkyun (金玉均) passed away is right next door." So, this sensitive young novelist viewed that room as well, and that night, until late, he is said to have consoled the spirit (靈) of the deceased (故人) in his heart (心中).

When the poet Chŏng Chiyong (鄭芝鎔) has just 2 or 3 glasses of liquor, he goes to "Café France" for poetry recitation (詩吟). His resonant voice travels a thousand li on an autumn moonlit night. A pleasant memory that comes to mind is * when listening to Sŏhae (曙海) reading Chinese poetry or novels, bystanders would get excited and couldn't stand it. His voice was that refined, clean, and clear (淸淸). In the old days, any scholar (선비) would naturally possess a beautiful voice (美聲) for resonant recitation (朗朗愛誦).

Do Hyang (稻香)
Na Pin (羅彬) also had a precious voice. After several rounds of drinks (酒杯數巡后), he would invariably beat rhythm on a corner of the drinking table (酒案床) with his chopsticks (졋가락)
"Lion water (사자수), clear water"
and fondly sing (愛吟) Ch'unwŏn's (春園) Lion Water song. <239>
<238-239>

**Summary**

This article presents a collection of anecdotes about prominent Korean literary figures in 1934. It touches upon Yi Injik's painstaking writing process, Yi Kwangsu's rustic lifestyle and reputation, several writers sending their wives away for the summer, the contrasting hometown receptions of male versus female writers like Pak Hwasŏng and Mo Yunsuk, a Changgi match between Yi Kwangsu and An Hwak, Yi T'aejun's poignant visit to Kim Okkyun's death site in Shanghai, Chŏng Chiyong's drunken poetry recitations, and the admired reading/singing voices of Sŏhae (Ch'oe Haksong) and Na Pin (Na Tohyang). The piece offers glimpses into the personal lives, habits, and social dynamics within the literary circle of colonial Korea. For historians, it provides insights into the everyday lives and personalities of key cultural figures, the gender dynamics in public reception within the colonial context, and connections made by intellectuals to historical figures like Kim Okkyun, reflecting ongoing nationalist sentiments or historical consciousness.

**Named Entities**

趙一齋	조일재	Cho Ilchae
長恨夢	장한몽	Changhantmong (Title of a work)
菊初 李人植	국초 이인식	Kikch'o Yi Injik
每日申報	매일신보	Maeil Sinbo
鬼의 聲	귀의 성	Kwi ŭi Sŏng (Title of a work)
洗劍亭	세검정	Segŏmjŏng
李光洙	이광수	Yi Kwangsu
彰義門	창의문	Ch'anguimun
八峯	팔봉	P'albong (Pen name of Kim Kijin)
咸鏡道	함경도	Hamgyŏngdo
岸曙	안서	Ansŏ (Pen name of An Hwak)
鎭南浦	진남포	Chinp'o
異河潤	이하윤	Yi Hayun
朴花城	박화성	Pak Hwasŏng
東亞日報	동아일보	Tong-a Ilbo
浦全市民	포전시민	P'ojŏn Simin (Citizens of P'ohang - implies P'ohang)
毛允淑	모윤숙	Mo Yunsuk
咸興	함흥	Hamhŭng
나자레	나자레	Nazareth
예수	예수	Jesus
春園	춘원	Ch'unwŏn (Pen name of Yi Kwangsu)
將碁	장기	Changgi
項羽	항우	Hang U (Hsiang Yü)
獨鵑	독견	Tokkyŏn (Pen name of Yi T'aejun)
上海	상해	Shanghai
東和洋行	동화양행	Tonghwa Yanghaeng
金玉均	김옥균	Kim Okkyun
鄭芝鎔	정지용	Chŏng Chiyong
카페, 푸랑스	카페 프랑스	Café France
曙海	서해	Sŏhae (Pen name likely of Ch'oe Haksong)
稻香	도향	Do Hyang (Author's pen name)
羅彬	나빈	Na Pin (Pen name of Na Tohyang)
사자수	사자수	Sajasu (Part of a song title)

**Glossary**

奇談	기담	Strange tales, anecdotes
잇슨	있던	(archaic form) Was, existed
遲筆	지필	Slow writing, slow pen
原稿紙	원고지	Manuscript paper
붓잡고	붙잡고	(older spelling) Grabbing, holding onto
거닐기도	거닐기도	Also pacing, also strolling
苦心	고심	Painstaking effort, agony, trouble
直話	직화	Direct account, firsthand story
다리고	데리고	(dialect/archaic) Taking (someone) along
가가에	가에	(older form) At the edge of, beside
자시기도	잡수시기도	(honorific, older form) Also eating
절당 중	절의 중	Temple monk (절당 = temple)
이약이	이야기	(older spelling) Story, talk
허주구레하게	허주그레하게	Shabbily, neglectfully
집세기	짚세기	Straw sandals
발총에까지	발끝에까지	(총=end/tip) To the tips of the toes
野人臭	야인취	Smell/aura of a wild man, rustic manner
所聞	소문	Rumor, hearsay
病弱	병약	Sickly, frail
本家	본가	One's family home, head family house
生鮮	생선	Fresh fish
임금밧헤	임금 밖에	(밧헤=archaic 밖에) Near the place, vicinity outside
조흔	좋은	(older spelling) Good, fine
호라비	홀아비	Widower; (here) man living temporarily without his wife
評判	평판	Reputation
不然하야	불연하여	(Sino-Korean style) Being not so, unlike that
連載小說	연재소설	Serial novel
싯게 되자	싣게 되자	(older spelling) As it came to be published/loaded
激讚	격찬	High praise, eulogy
異域	이역	Foreign land, unfamiliar place
本鄕	본향	One's hometown
多福할 진저	다복할진저	(archaic exclamation) How fortunate indeed!
쫏겨낫전만	쫓겨났건만	(older spelling) Was chased out, but...
旗亭	기정	Tavern, inn (esp. one with a flag)
慘敗	참패	Crushing defeat
包	포	Cannon (piece in Korean chess, Changgi)
長嘆	장탄	Deep sigh
遊함에	유함에	While traveling
求景	구경	(older spelling/usage) Sightseeing, viewing
도러온	돌아온	(older spelling) Returned
志士	지사	Patriot, man of high purpose
다감한	다감한	Sensitive, emotional, sentimental
夜深	야심	Late at night, dead of night
故人	고인	The deceased
靈	영	Spirit, soul
心中	심중	In one's heart, mind
慰勞	위로	Consolation, comfort
詩吟	시음	Poetry recitation
朗朗	낭랑	Clear, resonant (of voice/sound)
秋月夜	추월야	Autumn moonlit night
千里	천리	A thousand li (great distance)
美聞	미문	Pleasant story, admirable anecdote
겻 사람	곁 사람	(older spelling) Person beside, bystander
못견듸엇다	못 견디었다	(older spelling) Could not bear/stand it
께긋하고	깨끗하고	(older spelling) Clean, pure
淸淸하엿다	청청하였다	Was clear and pure (of voice)
선비	선비	Classical scholar
의레	으레	(older spelling) Naturally, customarily, usually
愛誦	애송	Fond recitation, reciting with affection
美聲	미성	Beautiful voice
앗가운	아까운	(older spelling) Precious, valuable; regrettable
酒杯數巡后	주배수순후	After several rounds of drinks
依例히	의례히	(older spelling) As usual, customarily
졋가락	젓가락	(older spelling) Chopsticks
酒案床	주안상	Drinking table (with food/snacks)
처마처 가며	쳐 가며	(older form) Beating, striking (rhythm)
愛吟	애음	Fondly singing/reciting


---------------------------


잡지명	삼천리 제6권 제9호
발행일	1934년 09월 01일
기사제목	文人奇談
