잡지명	삼천리 제6권 제9호
발행일	1934년 09월 01일
기사제목	災地瞥見 (Glimpses of the Disaster Area)
필자	張赫宙
기사형태	문예기타 (Literary Miscellaneous)

災地瞥見
						張赫宙
Refugees of Samnangjin
Both the first and second platforms of Samnangjin Station have become temporary lodgings for refugees. In one corner of the station building hangs the company flag of the Dong-A Ilbo, and in the plaza in front of the station are the tents of relief teams, including the Chosun Ilbo.

As those who have closely examined the extra pictorials know, the sickeningly turbid water, still enough to make one shudder, has yet to recede. On both sides of the station, the town remains submerged, with only rooftops visible. Having heard so much about the disastrous state of the afflicted area through newspapers and word of mouth, to the point of being sick of it, my nerves have become numb, preventing even feelings of misery. Gazing at the town submerged underwater, I simply looked on, thinking, "So, this is how it is."

A building that looks like an elementary school, and two-story houses, forlornly reveal their torsos, submerged in water. The private houses I saw while passing through here before, and even walked around a couple of times, are nowhere to be seen, not even a trace. Whether they are underwater or swept away, it's impossible to know.
Where the poplars stand in rows must surely be a street. That's all I can surmise.
I was impassively looking east and west from the station, but when I turned my gaze to the refugees on the platform, I closed my eyes without realizing it.
No matter how much I live by the pen, and intend to continue doing so, depicting that scene is truly difficult. Rather than lacking skill, I cannot yet write about it with a calm heart. This is because sighs and frustration flow ceaselessly within my chest, and it is unbearably painful. What good would it do? I am merely an intellectual; am I not just observing under the guise of my sensibilities and being an artist? <240>
Look. I am, at the very least, wearing a 40-won summer suit, holding a stylish stick, wearing a 4-won 20-jeon Panama hat, and wandering around the place where they are camped, with a pale face and sharp eyes. What use is there in stirring things up?
Nevertheless, the refugees are in rags, with broken chests (농솟). And their children—if a foreigner saw them, they might call them piglets. Blackened, sallow, and emaciated, they are left sprawled on pieces of straw matting on the platform ground. How can these be called human beings?
They have marked out square rooms using the pillars as boundaries, creating partitions with damp chests and crates, dividing each family.
Smoke from fires lit in pots drifts over the passenger cars.
The adults stare blankly at me, and the children look up curiously. Some children seem to look as if asking, "Won't you toss me a coin?"
I walked around their temporary living quarters. The elderly looked especially pitiful.
Where the platform was insufficient, they were all inside freight cars, having set up their households as best they could. For some reason, I felt cheerful seeing them occupying the freight cars. (One line below omitted - National Institute of Korean History)
Women spreading unhulled rice on mats to dry, women hanging up laundry cleanly. They are drying red, yellow, and white pieces of cloth—rather than clothes—on the rails, on the sleepers, stretching lines from warehouse to warehouse. Ah, a people who love laundry! Though starving and cold, they still don't forget their laundry. Who would dare call us a dirty people? We would gladly accept the epithet "poor people," but if called a dirty people, I would raise my thin arm and strike them down. (One line below omitted - National Institute of Korean History)
"Do you get food daily?"
I ask an old man who is stirring the rice with his foot.
"Yes—..."
"Who gives it?"
"Don't know."
I feel frustrated. How can he not know who gives it?
"Does the newspaper company give it?"
"Yes—"
"Doesn't the government office give any?"
"They do."
"So you don't know if it's the newspaper company or the government office giving it?"
"Yes—" <241>
"How much do they give per day?"
"Just enough to eat."
"Then, well..."
I was about to ask if they could just stay at the station like this forever, but stopped myself.

II. Scenes Along the Line
From Samnangjin onward, the Nakdong River widens further, a place where sailboats are commonly seen even in normal times. As the train heads towards Wŏndong, it seems as if it's truly running through the sea.
On the right, from the distant mountain slope down to beneath the railway tracks, and on the left, similarly, is a sea of water (水海). Only the railway track seems to float.
Occasionally, a roof floats by, caught on a poplar tree; houses reduced to skeletons; a village of four or five houses barely remaining on sand that looks like an island.
However, when traces of people disappear, and only water and mountains are visible, and sailboats appear, it looks like nothing more than a beautiful landscape. If this were not a disaster area, not a flood, but a normal scene, it would indeed be a beautiful landscape.
For a moment, I tried to forget it was a disaster area, but collapsed villages would suddenly appear as if reprimanding me.

III. Vicinity of Wŏndong
Newly built tile-roofed houses on the mountainside in front of the station. Beside them, a Japanese house. Several other houses have mostly been restored, but down below in the hollow, houses lie flattened and ruined. The newly built tile-roofed house looks exceedingly hateful.

IV. In Front of Mulgŭm Station
At the foot of a towering mountain lies the town of Mulgŭm. Now it is submerged, and only a few houses that were on the mountainside remain as they were, but the rest are still underwater.
The station is on high ground, and in the plaza in front of the station, rubber shoes and unhulled rice are spread out to dry. Walking a few steps further, one immediately encounters a sea of water. It's impossible to move an inch.
A person is wiping down a house whose upper half is barely visible. Was that spot a tavern? It looked like it.
A few two-story houses right in front of the station seemed to have escaped the flood damage. While others sit and sleep on the ground, on the second floor of those buildings (an inn and a restaurant), beautiful women were lying comfortably. They looked far too comfortable.

The smell of rotting rice was truly foul and overwhelming. It's more hideous than the decay of humans. From a warehouse that had been underwater, laborers carry out half-rotted bales of rice on their shoulders, chanting "Aengkkora satto sa-."
Water-soaked straw mats are laid out in rows. The rice is spread in the plaza in front of the station warehouse, but the smell is indescribable and makes one's head ache. <242>

Women carrying bundles of rags on their heads, with children strapped to their backs, come and go.
Perhaps everyone here evacuated to the mountains, as the scenes like those at Samnangjin were not visible.

There is one well, but the water is muddy yellow. How can they drink that? And what do those without even a well drink? I could not help but anticipate the outbreak of disease.

Newspaper company relief teams and newspaper flags were visible here and there, and their bustling talk somehow seemed trustworthy.
These branch correspondents probably don't receive very good treatment even in normal times.
(34, 8, 8,) <243>

**Summary**

The author, Chang Hyŏkchu, provides a first-person account of visiting the flood-stricken areas along the Nakdong River, focusing on Samnangjin, Wŏndong, and Mulgŭm stations in September 1934. He describes the miserable conditions of the refugees crowded onto station platforms and in freight cars, the submerged towns, and the efforts of relief organizations like newspaper companies. He contrasts the refugees' suffering with his own detached position as an intellectual observer, reflects on the resilience and peculiar habits (like washing clothes amidst disaster) of the Korean people, and notes the stark differences between the devastated populace and those seemingly unaffected or even profiting from the situation. The piece captures the sensory details of the disaster, including the foul smell of rotting rice, and expresses concern about potential disease outbreaks due to contaminated water.

From a historical perspective, the article offers a valuable glimpse into the social conditions and human impact of a natural disaster during the Japanese colonial period in Korea. It highlights the role of newspapers (Dong-A Ilbo, Chosun Ilbo) in relief efforts, potentially filling gaps left by official responses. The author's self-conscious reflection on his class position ("intellectual" vs. destitute refugees) and his comments on national character ("laundry-loving," "poor but not dirty people") provide insights into colonial-era identity discourse and social stratification. The mention of Japanese houses alongside Korean ones and the author's resentment towards newly built structures amidst ruin also subtly touch upon the colonial landscape.

**Named Entities**

張赫宙	장혁주	Chang Hyŏkchu
三浪津	삼랑진	Samnangjin
東亞日報社	동아일보사	Tong-a Ilbo-sa
朝鮮日報社	조선일보사	Chosŏn Ilbo-sa
院洞	원동	Wŏndong
勿禁	물금	Mulgŭm
낙동강	낙동강	Nakdonggang

**Glossary**

풀렛폼	플랫폼	Platform (older borrowing/spelling)
누리틩틩한	누리팅팅한	Sickeningly turbid/muddy (older expressive adjective)
식상(食傷)할 만치	식상할 만치	To the point of being sick/tired of it (만치 is an older form of 만큼)
이칭집	이층집	Two-story house (older spelling/pronunciation)
건이러 보든	거닐어 보던	Used to stroll around (older verb conjugation/spelling)
자최	자취	Trace, track (older spelling)
붓으로 살고	붓으로 살고	To live by the pen (idiomatic expression for being a writer)
좀처름	좀처럼	Rarely, hardly (older spelling)
고로웁기	괴롭기	Being painful, agonizing (older spelling/form of 괴롭다)
한들무에	한들 무엇해	What good would it do? (colloquial, somewhat archaic phrase)
한낯	한낱	Merely, just, only (older spelling)
인테리	인텔리	Intellectual (loanword, older spelling/pronunciation)
미명下(美名下)	미명하에	Under the guise/pretext of
스틕	스틱	Stick, walking cane (loanword, older spelling/pronunciation)
파나마帽	파나마모	Panama hat (帽 is Hanja for hat)
얼골	얼굴	Face (older spelling)
단일	다닐	To go around, wander (older form of 다니다)
움´것이	움직이는 것이	Moving, stirring things up (older form/contraction)
누덕이	누더기	Rags, tattered clothes (older spelling)
농솟	농짝	Chest, wardrobe (older term, possibly regional or specific type)
도야지 새끼	돼지 새끼	Piglet
삿자리	삿자리	Straw mat, rush mat
딩겅	뒹굴어	Rolling about, sprawling (onomatopoeic/mimetic, possibly dialectal or older form)
맹그리엇으니	만들었으니	Having made/created (older form of 만들다)
경개(境界)	경계	Boundary, partition
난눠저	나뉘어져	Being divided (older spelling/form of 나뉘다)
처다	쳐다	To look up at (older spelling)
가여워	가여워	Pitiful (older form, now 가엾어)
닞지 아니하니	잊지 아니하니	Do not forget (older spelling/negative form of 잊다)
몰으다니	모르다니	Not knowing (exclamatory, older spelling of 모르다)
이러커고	이러하고	Like this, in this state (older form of 이러하다)
닷코	닫고	Running (older spelling/form, likely from 닫다 meaning 'to run')
뵈이는	보이는	Visible, being seen (older spelling/form of 보이다)
수해(水海)	수해	Sea of water (often refers to flood damage)
둥떠잇는	둥 떠있는	Floating (older spelling/form)
자최가 사러지고	자취가 사라지고	Traces disappear (older spelling/form of 사라지다)
닞고저	잊고자	Trying to forget (older spelling/form of 잊다)
햇스나	했으나	Did, but... (older spelling of 하다)
시러진	쓰러진	Collapsed, fallen down (older spelling/form of 쓰러지다)
넝떠리	넝떠리	Hollow, depression in the ground (possibly regional/older term)
납짝하니	납작하니	Flattened
게와집	기와집	Tile-roofed house (older spelling)
싯고	씻고	Washing, wiping (older spelling of 씻다)
뵈엇다	보였다	Looked like, seemed (older spelling of 보이다)
면햇는지	면했는지	Whether (they) escaped/avoided (older spelling of 면하다)
누엇섯다	누웠었다	Were lying down (older spelling of 눕다)
내음새	냄새	Smell, odor (older spelling)
들엇든	들었던	Which had been in (older spelling/form of 들다)
앵꼬라 삿도 사-	앵꼬라 삿도 사-	Chant used by laborers (onomatopoeic, possibly related to hoisting)
섬거적	섬 거적	Straw bale matting, sackcloth from bales
널리엇스나	널렸으나	Were spread out, but... (older spelling of 널리다)
누덕이를 이고	누더기를 이고	Carrying rags on the head
달아 부친	달아붙인	Attached, strapped on (older spelling/form)
이같으 이	이 같은 이	People like this (older phrasing)
먹많며	먹으며	Drinking (while doing something else, older spelling/form of 먹다)
미덤직해	믿음직해	Trustworthy, reliable (older spelling)


---------------------------


잡지명	삼천리 제6권 제9호
발행일	1934년 09월 01일
기사제목	災地瞥見
필자	張赫宙
기사형태	문예기타

災地瞥見
						張赫宙
三浪津의 避難民
三浪津驛의 풀렛폼은 第1, 第2가 다 避難民들의 臨時 宿所가 되어 잇다. 驛舍 한 모퉁이에는 東亞日報사의 社旗가 달렷고, 驛前의 廣場에는 朝鮮日報社를 비릇한 救護班의 天幕.
號外畵報를 눈익히 본 이는 알려니와, 아직도 그 몸서리를 칠 누리틩틩한 물이 여전히 減水되지 않고, 驛의 양쪽, 市街에 그냥 담겨잇서 지붕만이 내어다 보이고 잇다. 災地의 참담한 꼴은 新聞으로 口傳으로 食傷할 만치 들어, 인젠 비참하다는 마음도 아니 나리만치 神經이 마비해저서, 물밑에 들어간 市街를 바라보아도, 거저 저러커니 하고 바라보구 잇섯다.
보통학교인 듯한 교사, 이칭집들만이 슬슬하게 허리를 나타내고, 물속에 들엇고, 전에 내가 이리로 지나며 또 두어번 나려서 건이러 보든 民家는 어디 숨엇는지 자최조차 보이지 아니한다. 물속에 잇는지, 흘러 가버리엇는지 도모지 알 수 없다.
포푸라가 줄을 지어 잇는 곳은 응당 街路이리라. 이렇게 생각할 뿐이다.
나는 무신경하게 驛을 中心으로 동쪽 서쪽을 바라보는 것이엇스나, 그러나 한번 풀렛폼의 피난민을 바라볼 때, 나도 모르게 눈을 감엇다.
아모리 내가 붓으로 살고, 앞으로도 살려는 사람이라도 좀처름 그 정경은 그리기 어렵다. 기술이 없다는 것보다, 냉정한 마음으로 그것을 아직은 쓸 수가 없다. 가슴속엔 한숨과 안타까움이 줄줄이 흐르고, 고로웁기 짝이 없기 때문이다. 한들무에. 나는 한낯 인테리이니, 나는 나의 감각과 예술가이란 미명下의 관찰을 하고 잇슬 뿐이 아니냐.＜240＞
보라. 나는 하다못해 40원짜리 여름양복에, 모양잇는 스틕을 집고, 4원20錢짜리의 파나마帽를 썻스며, 창백한 얼골과 날카로운 눈으로 그들이 진치고 잇는 곳을 두리번두리번 돌아 단일 뿐이니, 움´것이 무슨 소용이 잇느냐.
그럼에도 不拘하고 피난민들은, 누덕이, 다, 부서진 농솟. 그리고 그들의 어린것들이란 외국 사람이 보면 도야지 새라고나 할까. 검고 누리고 야윈대다가, 풀렛폼 땅바닥에 삿자리 조각을 펴고 그우에 딩겅 내버려 두엇으니, 이것이 어찌, 사람이라 하랴.
그들은 기동과 기동을 표로 네모난 방을 맹그리엇으니, 곧 축축한 농과 괴짝으로 경개를 맹글고 한집한집 식구가 난눠저 잇다.
