Magazine Title	삼천리 第六卷 第九號
Publication Date	1934년 09월 01일
Article Title	나의 月光曲 (My Moonlight Serenade)
Author	李善熙
Article Type	소설 (Fiction/Novel)

My Moonlight Serenade
						Yi Sŏnhŭi

At dusk, after the long day had passed, I wrote a small letter. It was exactly this time last year, when I had spent the whole summer on a traveler's road.
『I wish to walk a long road. Please guide me along the moonlight path to that seashore.』
Hearing the reply from the child who had delivered the note, I ate dinner and set out on the road.

In the glass-clear sky, a moon larger than a basin was hanging. Before it poured out its light, its blood-red outline made my vision ecstatic.
I went out onto the main road. After a while, I could see my protector, whom I had arranged for, pacing on the road, waiting for me.
『Sir, thank you for coming.』 <244>
Did I have to greet him like this? Because he was unusually stout, tonight's affair might not have been accomplished without considerable effort on his part.

After walking some distance, we passed the town, and then the widened land was a faint field—a blue field writhing, wrapped in the deep twilight—with a faint path.
I am joyful. My heart was full, like a beautiful princess dragging her long violet dress.
『The round moon reflects in that clear pond
The sun rests, going over the western mountain
Your radiant eyes are like rays of light
Leaving you, who seems weak』
I sang this Spanish song and also spoke earnestly about what I was thinking. The words spilling out like popping beans were masterpieces. To wit:
『I want to go to Spain (서반아). The land of passion, the land of dance and music! I want to become an immortal wanderer, eternally drifting through its midst.』
While I was saying such remarkable things, my extremely good-natured protector, without a single word of rebuttal or reprimand to my dreamlike talk, whether he understood and agreed or didn't understand and agreed, was simply expressing his earnest affirmation.

Passing through the field and entering a small fishing village, the night was already completely deep, the moonlight shining on the village paths as white as snow, and from under the shaded eaves, dogs barked, "Woof, woof, woof."
Still, I continued my story. The chattering, scattering sounds fell upon the village.
『Saying things like dogs are the scariest, that I was once bitten by a dog when I was young, my still childish talk was far beyond the boiling point of interest.』
We passed that village too. And then, as I entered the entrance of the Simni Myrtle Beach (十里明沙), towards which I was heading, <245> that was when—
My heart, which had conveyed strangeness since leaving the house, gradually darkened. All the created sentiments seeped into my heart, riding the strands of moonlight that seemed about to tear, and it was to seek this that I undertook the difficult adventure of this night road.

Panting, I walk on the sandy ground. The chirping sound of grass insects crying from the pine grove path and the roadside thickets is clear and resonant (맹낭하다).
Even now, the lookout hut is clear in my eyes—the thatch already yellowed and broken long ago, the empty lookout hut stands tall in the night light... I bit my lower lip firmly and looked out at the sandy plain, pale in the moonlight, lacking definition (눈모자라는). I looked out at the entirely pale, cold night.

The sea was black like tar (따이야), making it impossible to distinguish whether it was sky or water, but the waves were resting and quiet. However, above that dark blue sea, the moonlight raised fine golden ripples like needles; truly, it was a tender night. Even tightly gripping the sleeve ends of my thin layered jacket (겹저고리), a chill seeped in, making me shiver with cold.

My pain was entirely sensory, as if poison had been injected into my chest. What should I do about this agony that slices me up like preparing raw fish?
Such a night, a shadow-like memory—this is futile tears. It is a sorrowful dirge (悲歌), a sick song, that circles the young blood vessels, tangling this way and that, forming knots here and there, eliciting needless sighs.
『The things I understand less the more I think about them are the stars in the sky and the heart within my chest.』 So says Kant (칸트). It's not a story that will disappear with old books, but an eternal doubt always cast upon the eyes that see the stars.

I wanted to lie prostrate on the earth and breathe in the great life. I wanted to embed my life in amethyst (興奮石 - *likely means amethyst or a similar vibrant gem*) and boast of its light for millennia.
Quite an extravagant thought. An excellent ambition bestowed upon me by overwhelming emotion that crossed the line. <246>
The moonlight thickly settled on my white-clad body; there was nothing to disturb my quiet dream.

『What did I tell you? Let's just wander around downtown and go back. You insisted on coming to a place like this, and now look at you.』
Over the sound of the waves, his long-forgotten grumbling could be heard. Feeling quite apologetic, I quietly turned around, and saw him gesture with his hand, indicating we should return home.
I turned my steps back. Tired from waiting for so long, he suddenly got angry, scolding me about why I came to such a place to act melancholic.

Unable to fathom the depth of the deepened night, and unable to endure further under that knife-sharp moon, I quietly bid my final farewell. <247>

**Summary**

The story, "My Moonlight Serenade," narrates a young woman's introspective night journey to the sea under a full moon, accompanied by a reluctant, older male companion she calls her "protector." Driven by a romantic yearning and a desire for profound experience, she reflects on her emotions, dreams of escaping to Spain, recalls childhood memories, and contemplates philosophical ideas like Kant's words on the unknowable heart and stars. The stark beauty of the moonlit landscape intensifies her feelings of pain and existential yearning, contrasting with her companion's pragmatic impatience. The story culminates in her quiet departure from the intense, overwhelming beauty and coldness of the moonlit seaside. From a historical perspective, the piece offers a glimpse into the sensibilities and expressions of a young, educated Korean woman during the colonial period. Her romanticism, yearning for escape (specifically to Spain, a distant and exotic "land of passion"), and philosophical musings reflect exposure to Western culture and literature, while her journey through the Korean landscape grounds the narrative in its specific time and place. The dynamic with the male "protector" subtly hints at the social constraints or norms affecting women's mobility and independence.

**Named Entities**

李善熙	이선희	Yi Sŏnhŭi
서반아	서반아	Sŏbana
칸트	칸트	K'ant'ŭ
十里明沙	십리명사	Simni Myŏngsa

**Glossary**

썻다	썼다	wrote (older spelling)
나그내	나그네	traveler (older spelling)
것고	걷고	walking (older spelling)
십습니다	싶습니다	want to (older spelling)
달빗	달빛	moonlight (older spelling)
갓던	갔던	who went (older spelling)
드른	들은	heard (older spelling)
전녁	저녁	evening (older spelling)
나섯다	나섰다	set out (older spelling)
갓치	같이	like, as (older spelling)
잇섯다	있었다	was, existed (older spelling)
빗츨	빛을	light (object form, older spelling)
쏫기전	쏟기 전	before pouring (older spelling)
널펴진	넓혀진	widened, vast (older spelling)
쌔여	싸여	wrapped in, enveloped by (older spelling)
끄으는	끄는	pulling, dragging (older spelling)
빗첸다	비친다	reflects (older spelling)
쉬진다	쉬어진다	rests (older form)
십허요	싶어요	want to (older spelling)
흘너단니는	흘러 다니는	flowing, wandering (older spelling)
업시	없이	without (older spelling)
그리는지	그러는지	whether it is so, whether one agrees (older form/spelling, from '그러하다')
잇슬	있을	will be (older spelling)
드러서니	들어서니	upon entering (older spelling)
벌서	벌써	already (older spelling)
빗치고	비치고	shining (older spelling)
밋헤선	밑에선	from underneath (older spelling)
짓는다	짖는다	barks (older spelling for '짖다')
압헤	앞에	in front of (older spelling)
물엿다는	물렸다는	that (I) was bitten (older spelling)
어구에	어귀에	at the entrance/mouth of (older spelling)
들어섯슬	들어섰을	when (I) entered (older spelling)
브터	부터	from (older spelling)
찌여질	찢어질	to be torn (older spelling)
슴여	스며	seeping (older spelling)
업스나	없으나	although there isn't (older spelling)
우흐로	위로	above, upward (older spelling)
이르키고	일으키고	raising, causing (older spelling)
잇스니	있으니	as there is (older spelling)
끗흘	끝을	the end (object form, older spelling)
싸쥐여도	싸쥐어도	even holding tightly (older spelling)
슴여들어	스며들어	seeping in (older spelling)
압흠은	아픔은	the pain is (older spelling)
엇지해야	어찌해야	what should be done (older spelling)
좃탄말인가	좋단 말인가	is it good? / what good is it? (older spelling)
갓흔	같은	like, similar to (older spelling)
맷저지기도	맺어지기도	also being formed/tied (older spelling)
배앗게	빼앗게	to cause to be taken away, to elicit (older spelling)
엽드려	엎드려	lying face down, prostrate (older spelling)
십헛다	싶었다	wanted to (older spelling)
박어	박아	embedding, setting into (older spelling)
빗을	빛을	light (object form, older spelling)
더진	던진	cast, bestowed (older form/meaning context)
하얏케	하얗게	whitishly, palely (older spelling)
실니여	실리어	being loaded, carried (older spelling)
무에랫나	뭣이라고 했나	what did I say? (older form/spelling)
니가	네가	you (subject marker, older/colloquial form)
구지	굳이	insistently, obstinately (older spelling)
이젓든	잊었던	forgotten (older spelling)
들닌다	들린다	is heard (older spelling)
도라다 보니	돌아다보니	looking around/back (older spelling)
도라가자는	돌아가자는	suggesting let's go back (older spelling)
돌녓다	돌렸다	turned (older spelling)
마즈막	마지막	last, final (older spelling)
지엇다	지었다	made, built, bid (farewell) (older spelling)
맹낭하다	맹랑하다	clear and resonant (sound); sometimes 'impertinent' but context suggests sound quality.
눈모자라다	눈 모자라다	Lit. 'eyes are insufficient'; lacking definition, blurry, indistinct.
겹저고리	겹저고리	Layered/lined jeogori (traditional upper garment).
따이야	타르야?	Tar (likely a phonetic transcription or colloquialism for tar).
비가	비가	Sorrowful song, elegy, dirge.


---------------------------


잡지명	삼천리 제6권 제9호
발행일	1934년 09월 01일
기사제목	나의 月光曲
필자	李善熙
기사형태	소설

나의 月光曲
						李善熙
나는 긴-하로를 다 보낸 그 석양에 조고마한 편지를 썻다. 나그내의 길에서 한여름을 다 보낸 바로 작년 이맘 때 일이다.
『먼길을 것고 십습니다. 달빗을 따라 그 바다가로 저를 인도해 주십시요』
쪽지를 가지고 갓던 아희의 대답을 드른 나는 전녁을 먹고 길에 나섯다.
류리갓치 투명한 허공에는 동이보다 더 큰 달이 매여 달여 잇섯다. 아직 빗츨 쏫기전 피빗갓치 붉은 륜곽이 내 시야를 황홀케 한다.
나는 큰길노 나갓다. 얼마후에 내가 주문해 두엇던 나의 보호인은 길우에 서성거리며 나를 기대리는 것을 볼 수 잇섯다.
『아저씨 오시느라고 수고하섯서요』
내가 이러케 인사하지 안으면 안되는냐 하면＜244＞ 그는 몸이 남달니 뚱뚱해서 웬만한 성의로는 오늘밤의 일이 일우어지지 못햇슬 까닭이다.
얼마를 것고나니 거리를 지나고 그리고 널펴진 땅은 아륵한 벌판-짓흔 황혼에 쌔여 꿈틀거리는 푸른 들-에 미연-한 길이다.
나는 즐거웁다. 자주 빗 긴 옷을 끄으는 아름다운 공주와 갓치 내 맘은 가득차 잇섯다.
