잡지명	삼천리 제7권 제1호
발행일	1935년 01월 01일
기사제목	和信連鎖店은 그 뒤 엇지 되엇나? (What Became of the Hwasin Chain Stores Afterward?)
기사형태	논설 (Editorial/Opinion Piece)

What Became of the Hwasin Chain Stores Afterward?

"The 'Hwasin Chain Stores' (和信連鎖店) were advertised extensively in the newspapers for a while, and local merchants were busy traveling back and forth to Seoul with their land deeds (文券). To what extent has progress actually been made? Since then, no news has been heard, so I wish to hear about the progress. Moreover, since the movements of 'One Hwasin' cause no small ripple in the economic world of the Peninsula (半島), please provide a detailed account."
— Such is the query from a figure in society.

"Having finally persuaded my stubborn father and ancestors (父祖), I decided to offer the land handed down by my ancestors as collateral for a mortgage as designated by Hwasin. However, some criticize me for doing such a thing, making my heart increasingly anxious. I did this based on trusting the character of the young entrepreneur Mr. Pak Hŭngsik (朴興植) and deeply believing myself that its organization and operational methods are rational and suited to the new era, <72> but worldly affairs are unknowable (世事는 不知라). What is truly happening behind the scenes?"
— Such is a letter of inquiry from a local applicant.

"No matter how much I search the economic pages of the Tong-A Ilbo (東亞日報), Chosŏn Ilbo (朝鮮日報), or Chungang Ilbo (中央日報), there isn't a shred of news about the organizational progress of the Hwasin Chain Stores, which is currently the biggest issue in the Korean commercial world. What on earth is going on? If the single Hwasin store fails (敗), it means a hundred local stores will fail, so this is a matter to be handled with extreme caution. Therefore, we look forward to an investigation by your esteemed and impartial company (貴社)."
— Such letters also frequently arrive from figures in the local commercial world.

We believe all these questions are valid. If a paper goods (紙物) company with only 250,000 won in capital earns over 400,000 won in profit annually, he is a genius of the commercial world. However, while Mr. Pak Hŭngsik may be the king of paper goods, doesn't he still lack experience in becoming the king of department stores? — such doubts fill the minds of most people.
Therefore, we fully understand the position of those sending various letters of inquiry to our company, and at the same time, we will provide an interim report today on the progress since then. Why only an interim report? Because the organization is not yet fully completed, we have no choice but to postpone a full critique of the entire picture to a later opportunity.

Eighty Stores Opening for Year-End Grand Sale
The year-end is approaching. The commercial market is on the verge of a period when a huge amount, said to be tens of millions of won, in bonuses (뽀-너스) from government offices (官公吏), banks, and companies will be dispersed.
Therefore, facing December, when the purchasing desire of the masses is expected to be most vigorous, they are showing a surge of activity and preparing for the year-end sales. This is indeed the opportune time that merchants wait for all year long, a bustling season where great profits (大利) can be gained (博).
The "Hwasin" (和信) Chain Stores have been preparing all this time, aiming primarily for the year-end grand sale.
For that reason, there was an unexpected major disaster due to flooding (風水) in Osaka (大阪), the Manchester of the East and the most important purchasing location (仕入地) Hwasin was targeting. The manufacturing of goods in production factories was halted. Not only did raw materials from the origin not gather well, but processing work also became difficult.
On top of that, the background and asset checks of chain store applicants (申込者) from all over Korea (全鮮) and the establishment of credit (쿠레짓트) with the Industrial Bank (殖産銀行) did not proceed quickly, making it unavoidable to change the initial plan of opening all 300 stores within the year.
That is, Hwasin executives had established a plan to open 400 stores as the first phase based on results received from investigations conducted by dispatching (派送) head office (本店) employees and through banks and financial cooperatives, selecting from about 3,000 applicants from 1,000 locations remaining after excluding about 400 places with small populations and inconvenient transportation among the 1,481 market locations across Korea. <73> However, due to the aforementioned situation (情勢), the policy was decided to first urgently open about 80 stores within the year to get a share of the year-end grand sale, and to open the remaining 320 stores next spring in April, choosing a good time when flowers bloom and birds sing.
Therefore, contracts for the 80 stores have been completed, and the mortgage procedures with the bank are mostly finished. So, it appears the Hwasin Chain Store signs will be hung in 80 locations across the country starting from the beginning of December at the earliest. Even if delayed, it seems they will certainly be hung by late December.

Five Thousand Items Displayed at Sample Fair
So, what will the 80 chain stores sell, and how will they purchase goods?
The Hwasin head office held a "Sample Fair" (見本市). At this Sample Fair, about 5,000 items (物貨) were displayed (陳列), and the plan was to have the local Hwasin store owners view each one before deciding on their initial purchases.
To implement this, starting already as the autumn winds began to fall, the Hwasin head office gathered about 50,000 product samples from factories of origin (原産工場) not only in Osaka, Tōkyō, and Nagoya but also within Korea. They rented a three-story brick (練瓦) building (梀) in Myŏngch'ijŏng (明治町), Seoul—formerly the Sidae Ilbo (時代日報) company building (社屋) owned by Tongsun T'ae (東順泰)—and displayed them all on the 1st, 2nd, and 3rd floors. Of course, the head office side did not forget to select and display the 5,000 best items among the aforementioned 50,000—those that were cheapest, of good quality, and likely to be consumed by the Korean masses.
According to Branch Section Chief (支店課長) Mr. Chu Yohan's (朱耀翰) explanation, among the aforementioned 5,000 items, Korean goods—for instance, rubber shoes from a certain large factory in P'yŏngyang (平壤), white paper from the paper production areas of Chŏlla Province (全羅道), Yŏnghŭng silk (永興紬) from Yŏnghŭng (永興), Sŏhŭng silk (瑞興紬) from Sŏhŭng (瑞興)—are all set to be brought from their respective places, so there is no famous product that hasn't been gathered. Furthermore, regarding the prices, he says there is nothing that is not at least 20% cheaper than buying from traditional wholesale merchants (卸賣商). In this way, the display was fully completed by November 19th, and from the 20th to the 25th, for five days, the 80 owners of the determined local chain stores from all over Korea were invited—with train fare, ship fare, and lodging expenses in Kyŏngsŏng (Seoul) paid by the head office—to view the sample products.
It would be nice to list the product names of the aforementioned 5,000 items, <74> but as there are too many, they are, as stated in Article 6 of the chain store regulations: foodstuffs, Western goods, miscellaneous goods, ceramics, hardware, stationery, paper goods (紙類), handicraft items, cosmetics, patent medicines, toys, shoes, and other footwear. Anyway, guided by the branch section chief, the writer toured all floors, up and down, and marveled at the variety and diversity of the product types.
However, as mentioned earlier, this Sample Fair is an emergency event (應急催物) for the approximately 80 stores due to the year-end grand sale. The full-scale Grand Sample Fair is said to be held next spring in March.
In any case, the 80 chain stores will thus open for business imminently (目睫之間).
So, will all the important cities (都會) across Korea be covered in this first round? No (否). For major front-line cities like P'yŏngyang, Taegu, and Pusan, the policy is to adopt direct management (直營) by Hwasin as much as possible. This time, stores are planned to open in places like Inch'ŏn, Hamhŭng, Wŏnsan, Ch'ŏngjin, Sinŭiju, Kwangju, Ch'ŏrwŏn, and Ch'unch'ŏn.

Distribution Centers in Various Locations
What happens after the Sample Fair? Besides handling all the purchasing for the aforementioned 80 stores, determining the types and quantities of purchased goods, and distributing them from the head office, distribution centers (配給所) are to be permanently established in places like Osaka, Mokp'o, Kunsan (羣山), Pusan, Taegu, Wŏnsan, Ch'ŏngjin, P'yŏngyang, and Sinŭiju. Ordered items within the transaction limit (取引限度) will continuously be sent from these distribution centers. And that limit refers to the four grades (等級) already divided as follows, according to which purchasing and distribution will naturally operate:
1st Class: Inventory (在庫高) 5,000 won or more
2nd Class: Ditto 3,000 won or more
3rd Class: Ditto 2,000 won or more
4th Class: Ditto 1,000 won or more
Besides (밧게) this, for chain store guidance, the head office planned to:
1. Publish a monthly report (月報) catalog (가다록)
2. Hold regular Sample Fairs in Kyŏngsŏng
3. Periodically invite chain store owners to observe commerce and industry in places like Tōkyō and Osaka
4. Establish model stores for owners' viewing (供觀) and practical training (實習)
But how could these possibly be implemented within this year?
(Recorded afternoon of November 16th) <75>
<72-75>

**Summary**

This 1935 article from *Samch'ŏlli* magazine addresses public inquiries about the progress of Pak Hŭngsik's ambitious Hwasin Chain Store project. It explains that unforeseen circumstances, including a major flood in Osaka disrupting supply chains and delays in vetting applicants and securing credit lines from the colonial Industrial Bank, forced a scaling back of the initial plan to open 300 stores nationwide by year-end. Instead, Hwasin decided to open approximately 80 stores urgently for the lucrative year-end sales period, primarily in second-tier cities, deferring the rest until spring 1936. The article details a large "Sample Fair" held in Seoul showcasing 5,000 diverse goods (selected from 50,000 samples) for these initial 80 store owners, promising prices 20% lower than traditional wholesalers, and outlines plans for regional distribution centers and future franchisee support. For historians, the article illuminates the scale of Korean entrepreneurial ambition under colonialism, the specific challenges faced (dependence on Japanese supply lines, navigating the colonial financial system, vetting franchisees using land deeds), and the complex interplay between Korean business aspirations and the realities of the Japanese-controlled economy. The explicit mention of applicant vetting involving land deeds and the Industrial Bank highlights the financial mechanisms and risks involved for local Koreans participating in such ventures.

**Named Entities**

和信連鎖店	화신연쇄점	Hwasin Chain Store
文券	문권	Munkwŏn (Land Deed/Document)
半島	반도	Pando (Peninsula, i.e., Korean Peninsula)
朴興植	박흥식	Pak Hŭngsik
東亞日報	동아일보	Tong-A Ilbo
朝鮮日報	조선일보	Chosŏn Ilbo
中央日報	중앙일보	Chungang Ilbo
貴社	귀사	Kwisa (Your Esteemed Company - referring to Samch'ŏlli)
和信	화신	Hwasin
大阪	오사카	Osaka
全鮮	전선	Chŏnsŏn (All Korea)
殖産銀行	식산은행	Chŏksan Ŭnhaeng (Industrial Bank of Korea)
京城	경성	Kyŏngsŏng (Seoul)
明治町	명치정	Myŏngch'ijŏng (Meiji-chō - district in Seoul)
時代日報	시대일보	Sidae Ilbo
東順泰	동순태	Tongsun T'ae
東京	동경	Tōkyō
名古屋	나고야	Nagoya
朝鮮	조선	Chosŏn (Korea)
朱耀翰	주요한	Chu Yohan
平壤	평양	P'yŏngyang
全羅道	전라도	Chŏlla-do (Jeolla Province)
永興紬	영흥주	Yŏnghŭng Chu (Yeongheung Silk)
永興	영흥	Yŏnghŭng
瑞興紬	서흥주	Sŏhŭng Chu (Seoheung Silk)
瑞興	서흥	Sŏhüng
大邱	대구	Taegu
釜山	부산	Pusan
仁川	인천	Inch'ŏn
咸興	함흥	Hamhŭng
元山	원산	Wŏnsan
淸津	청진	Ch'ŏngjin
新義州	신의주	Sinŭiju
光州	광주	Kwangju
鐵原	철원	Ch'ŏrwŏn
春川	춘천	Ch'unch'ŏn
木浦	목포	Mokp'o
羣山	군산	Kunsan

**Glossary**

엇지	어찌	How; why (older spelling)
듯고 십노라	듣고 싶구나/싶노라	I want to hear (older spelling/form)
움지기는	움직이는	Moving; acting (older spelling)
밋은	믿은	Believed; trusted (older spelling)
맛는	맞는	Correct; suitable; fitting (older spelling)
차저 보아야	찾아 보아야	Even if one looks for (older spelling)
엇더케	어떻게	How (older spelling)
모다	모두	All; entirely (older spelling)
박게	밖에	Only; except for (older spelling)
안니한가	아니한가	Is it not?; Isn't it? (older spelling)
엇재	어째서	Why; for what reason (older form)
끈치느냐하면	그치느냐 하면	If you ask why it stops at (older spelling/form)
일후에	이후에	Later; afterward (older spelling/form)
갓가워	가까워	Being close; near (older spelling)
흐터질	흩어질	Will be scattered; dispersed (older spelling)
두엇슴애	두었으매	As/since (one) has placed/put (older spelling/grammar)
듸고	띠고	Showing; wearing; having (older spelling of 띠다)
기다리든	기다리던	Used to wait for; was waiting for (older spelling)
잇섯다	있었다	There was/were; existed (older spelling)
되섯다	되었다	Became; turned out (older spelling)
얼는	얼른	Quickly; promptly (older spelling)
안어	않아	Not doing (older spelling of 않아)
개점식히려	개점시키려	Intending to make (stores) open (older spelling)
남어지	나머지	The rest; remainder (older spelling)
잇든	있던	That existed; that was (older spelling)
밧은	받은	Received (older spelling)
안	안	Plan; proposal
되엇스며	되었으며	Became and...; was and... (older spelling)
남저지	나머지	The rest; remainder (older spelling - variant of 남어지)
끗낫슴으로	끝났으므로	Because it ended/finished (older spelling)
일느면	이르면	If it becomes early; if it arrives early (older spelling)
걸님	걸릴	Will be hung (older spelling)
늣더래도	늦더라도	Even if late (older spelling)
틀님업시	틀림없이	Without fail; certainly (older spelling)
걸닐	걸릴	Will be hung (older spelling - variant of 걸님)
노코	놓고	Placing; setting down (older spelling)
식혀	시켜	Making (someone) do; ordering (older spelling)
모여	모아	Gathering; collecting (older spelling of 모아)
골너서	골라서	Choosing; selecting (older spelling)
잇지 안엇다	잊지 않았다	Did not forget (older spelling/phrasing)
가저 오기로	가져 오기로	To bring (older spelling of 가져)
헐치	(값 등이) 싸지	Not cheaper than (used in negation; archaic form related to 헐하다 - to be cheap)
좃케스나	좋겠으나	It would be good, but... (older spelling)
만하서	많아서	Because there are many/much (older spelling)
잇슨 뒤는	있은 뒤는	After there is/was (older spelling)
마타서	맡아서	Taking charge of; undertaking (older spelling)
밧게	밖에	Outside of; besides (older spelling - variant of 박게)
하엿스나	하였으나	Did, but...; however (older spelling)
見本市	견본시	Sample fair; trade show
卸賣商	도매상	Wholesale merchant (도매상 is modern standard, 옴매상 is older reading)
應急催物	응급 최물	Emergency measure/event (催物 likely means event/gathering here)
目睫之間	목첩지간	Imminent; right before one's eyes (idiomatic expression)
直營	직영	Direct management
配給所	배급소	Distribution center
在庫高	재고고	Inventory amount/level
月報	월보	Monthly report
가다록	카탈로그	Catalog (loanword, older transcription)


---------------------------


잡지명	삼천리 제7권 제1호
발행일	1935년 01월 01일
기사제목	和信連鎖店은 그 뒤 엇지 되엇나?
기사형태	논설

和信連鎖店은 그 뒤 엇지 되엇나?
「和信連鎖店」은 한동안 신문에 광고도 굉장히 내고 지방 상업자들이 토지 文券을 들고 서울로 분주히  내왕도 하더니 대체 어느 정도로 進捗이 되고 잇는가?
그 뒤로는 소식이 들니지 아니하니 그 경과를 듯고 십노라.
더구나 「一和信」이 움지기는 것이 半島의 경제계에 여간 큰 파문을 주는 것이 아닌즉 자세하게 기술하여 다오.
하는 사회인사의 질문서와
「나는 완고한 父祖를 겨우 說服하여 조상전래의 토지를 和信에서 지정하는 대로 근저당으로 제공하기로 한 바, 혹 일부에서는 그런 짓을 한 것을 나무르는 자도 잇서 저욱이 심중이 불안함니다. 和信은 청년 실업가 朴興植씨의 인격을 밋은 것과, 그 조직과 운행방법이 새 시대에 맛는 합리성이 잇기에＜72＞ 스사로 깁히 밋고 한 바이나 그러나 世事는 不知라 과연 그 내막이 엇더한지요」
하는 지방의 응모자로부터의 질문편지와
「東亞日報나 朝鮮日報 中央日報의 경제면를 아모리 차저 보아야 지금 朝鮮상업계에 가장 큰 문제거리인 和信連鎖店의 조직경과에 대하여는 一片의 소식이 아니나니 대체 엇더케 된 일임니까. 和信一店이 敗하면 地方百店이 敗하는 일이 되는 터인즉 심히 신중히 취급할 문제오니 여기 대하야 공정한 貴社의 조사를 기대하나이다.」
하는 亦 지방상업계의 인사로부터 편지가 頻頻히 오는 것을 본다.
이 질문은 모다 오른 질문이라고 생각한다. 25만원의 자본금박게 못 가진 紙物회사에서 年 40여만원의 이익을 擧하엿다 하면 그는 商界의 천재라. 그러나 朴興植씨가 紙物에 왕이지 백화점에 왕되기는 아직 경험이 적지 안니한가-하고 疑懼하는 생각이 대부분 인사의 뇌리에 차고 잇다.
그러기에 種種의 질문편지를 본사로 보내는 諸씨의 입장을 본사에서는 일일히 양해하는 동시에 그 뒤의 경과에 대하야 금일 중간적 보고를 하겟다. 엇재 중간적 보고에 끈치느냐하면 아직 전체적으로 그 조직이 완성되어 잇지 안키 때문에 전모의 총비판는 그 기회를 일후에 미루지 안을 수 업는 까닭이다.

年末 大賣出로 八十店 開市
연말이 갓가워 왓다. 상업시장에는 官公吏 은행회사로부터 수천만원이라 칭할 거액의 뽀-너스가 흐터질 시기를 목전에 가지고 잇다.
그러기에 대중층에 구매욕이 가장 왕성하려 하는 12월을 목전에 두엇슴애 一段의 활기를 듸고 연말 매출을 준비하고 잇다. 이때야말로
장사하는 사람들이 일년내내 기다리든 호시기요 大利를 博할 수 잇는 활기를 딀 철이다.
「和信」連鎖店에서는 무엇보다 연말 대매출을 목표로 하여 그동안 준비하여 왓다.
그리든 까닭에 동양의 만체스타-요 和信서 가장 중요한 仕入地를 노리고 잇든 大阪에 不意에 풍수의 대재해가 잇섯다. 생산공장의 상품제조는 중단되게 되엇다. 원산지의 재료도 잘 모여드지 안일 뿐더러 가공작업도 여의치 못하게 되엇다.
그 우에다가 全鮮 각지의 연쇄점 申込者의 신원 及 재산조사와 殖産銀行에다 가하는 쿠레짓트 설정이 얼는 되지 안어 연내에 3백店을 다 개점식히려 하든 최초의 계획은 변경하지 안을 수 업게 되섯다.
