**Header Section**
Magazine Title: 三千理 第七巻 第二號
Publication Date: 1935년 02월 01일 (February 1, 1935)
Article Title: 天道敎(新派) 大道正 更迭觀, 12月 黨大會와 新勢力 分布 (View on the Change of the Taedojŏng of Cheondogyo (New Faction), the December Party Convention and the Distribution of New Power)
Author: 南岳山人 (Namaksanin)
Article Type: 소식 (News/Report)

**Body Text Translation**
A View on the Change of the Taedojŏng of Cheondogyo (New Faction), the December Party Convention and the Distribution of New Power
						By Namaksanin

Last December, the Cheondogyo New Faction side held extraordinary general meetings for both Cheondogyo and the Cheondogyo Youth Party. While the regular general meeting is customarily scheduled for the upcoming April, the fact that they could not delay it for four or five months and held an extraordinary meeting like this must mean there were several important matters that could not be avoided. Among them, one thing that catches our eye is the change of the Taedoryŏng (大道領) and the distribution of new power. So why was the extraordinary general meeting convened? The time when the so-called union of the New and Old factions re-split two years ago was precisely the December general meeting, and along with that split, new executives were decided upon within the New Faction as well. Since the term for officers is two years, the two-year term expired last December. Accordingly, the time for re-election arrived. Regarding the circumstances of two years ago, one could argue that even if things happened that way due to the situation at the time, since the regular April general meeting was not far off, it wasn't impossible to hold off until then, and there was no need to take extraordinary action as before instead of normalizing it, and that would indeed be the proper method. However, the reason why the normal method was not taken and the extraordinary method was taken as before is a question that will naturally be understood if one reads the text through to the end.

The most significant event of the last December general meeting was the resignation of Mr. Ch'oe Rin (崔麟) from the position of Taedojŏng (大道正). Then, Mr. Chŏng Kwangjo (鄭廣朝), the son-in-law of Mr. Sŏn Pyŏnghŭi (孫秉熙), assumed the position of Taedojŏng. Mr. Yi Insuk (李仁淑), about whom various stories circulated in the streets regarding the establishment of a third faction, stepped down from the position of Sangmu Tojŏng (常務道正), and Mr. Chŏng Yonggŭn (鄭瑢根) and Mr. Kim Pyŏngjun (金秉濬) occupied that position. Entering the administrative system, Mr. Ch'oe Sŏngnyŏn (崔碩連) assumed the position of Taeryŏng (大領). Mr. Ch'oe Sŏngnyŏn is not widely known socially, but within the Cheondogyo New Faction, he is one of the influential figures (實力派). From early on, along with Mr. Ch'oe An'guk (崔安國) of Ŭiju (義州), he was one of the major leaders (大頭目) of P'yŏngan North Province (平北). As the base of the New Faction Cheondogyo is P'yŏngan North Province, his existence shone even brighter. Furthermore, having managed financial affairs for many years, he also became an influential figure financially.<110> Cheondogyo, unlike Christianity, does not receive mission funds from foreign countries, nor does it have basic assets like forests and temples as Buddhism does; it relies solely on the sincerity rice (誠米) and donations (獻金) of its believers. Therefore, within the current Cheondogyo, there is no one superior to Mr. Ch'oe Sŏngnyŏn in this regard. Thus, his becoming Taeryŏng is a natural progression for Cheondogyo. Mr. Yi Insuk was shifted sideways to an inactive post (閑職), while Mr. Yi Tonhwa (李敦化) made a leap forward to become Putaeryŏng (副大領). Mr. Yi Insuk's hometown is Chŏngp'yŏng (定平) in Hamgyŏng South Province (咸南), and Mr. Yi Tonhwa is from Kowŏn (高原) in Hamgyŏng South Province. Moreover, Mr. Yi Insuk is the major leader of Hamgyŏng South Province, and most believers in the Hamgyŏng Provinces are under his direct authority. Just as Mr. Ch'oe Sŏngnyŏn is an influential figure in P'yŏngan North Province, Mr. Yi Insuk is the greatest influential figure and pioneer in Hamgyŏng North and South Provinces. Mr. Yi Tonhwa is widely known as the greatest intellectual in Cheondogyo, but in reality, he is neither a Tojŏng (道正) nor a Sinjŏng (信正). Therefore, it can be seen that he does not have many believers under his direct command. The fact that such Mr. Yi Tonhwa assumed the position of Putaeryŏng might seem unexpected. Furthermore, watching his senior, Mr. Yi Insuk, move to an inactive post right before his eyes must have been a heart-wrenching condition for assuming the Putaeryŏng position. However, those who know Mr. Yi Tonhwa will know his personality and his human character; he is a heavy drinker (酒豪). And regarding politics, he is an unknown quantity. Also, Mr. Kim Kwangho (金光浩) of Anju (安州) advanced to the central leadership, concurrently holding the positions of Kyŏngdo Kwanjŏng (敬道觀正) and Pŏpto Kwanjŏng (法道觀正). Having been a leader of believers in areas like Anju and Kaech'ŏn (价川) while staying in the countryside until now, this is his first time advancing to the central leadership, and for a first advance, it is an excessively overflowing honorable promotion (榮轉). However, there are numerous delicate internal circumstances behind this. The stronghold of the New Faction Cheondogyo is P'yŏngan North Province, followed by P'yŏngan South Province (平南). Currently, within Cheondogyo, its leadership includes the so-called Ŭiju Faction (義州派), centered around Ch'oe Sŏngnyŏn, and the so-called Anju Faction (安州派), which holds dissatisfaction towards it and has been in a state of implicit opposition. The manifestation of this is the long-standing issue since years ago, the conflict between Tōkyō and the center, revolving around the Tōkyō Central Temple (東京 宗理院). The Tōkyō Central Temple is occupied by a large number of youths from the Anju Faction and is operated by their hands. Therefore, when Mr. Cho Kigan (趙基栞) was appointed as the head of the Tōkyō Central Temple, they, viewing Mr. Cho as a member of the Ŭiju Faction, initiated an expulsion movement, resulting in Mr. Cho Kigan returning. Subsequently, Mr. Kim Tohyŏn (金道賢) was dispatched as the head of the Tōkyō Central Temple, but Mr. Kim was also deemed a member of the Ŭiju Faction, faced XX, and returned. Thus, the conflict between the Ŭiju and Anju factions gradually became overt, and even in the central leadership, everyone identified as part of the Anju Faction, starting with Mr. Yi Ŭngjin (李應辰), met the same fate. The fact that Mr. Kim Kwangho was given significant importance in the new lineup this time must have held great significance in embracing (包容) the Anju Faction. The father of Mr. Kim Ildae (金一大), who left the Chosŏn Farmers' Society (朝鮮農民社) last year also allegedly because he was from the Anju Faction, is the Mr. Kim Kwangho mentioned here. Although a farewell party was held at a certain temple outside the city for Mr. Kim Ildae to share a meal before he left for the countryside at that time, the person concerned, Mr. Kim Ildae, did not attend the gathering. Feelings had accumulated to such an extent. Now, the significant appointment of Mr. Kim Kwangho might be a kind of appeasement policy for the Anju-Ŭiju factional confrontation. Next, there are those who, despite being Tojŏng, advanced to the center for the first time <111> only to settle for the position of Kwanseo (觀書, clerk/secretary). One is Mr. Kim Myŏnghŭi (金明熺) from P'yŏngyang (平壤), and the other is Mr. Yi Kwangho (李光鎬) from Ch'ŏngjin (淸津). To become a Tojŏng, one must have 500 households of believers under their direct command. However, the aforementioned Messrs. Kim and Yi, although Tojŏng, are relatively newcomers, and thus their 500 households of believers are extremely weak. The fact that they settled for Kwanseo upon advancing to the center can hardly be called an honorable advancement. Yang Chaehak (梁在學) and Chŏng Yonggŭn are people who came over to the New Faction from the Old Faction during the re-split two years ago. Mr. Yang Chaehak is from Chasŏng (慈城) in P'yŏngan North Province and was once one of the ** [text missing/unclear, likely refers to a past affiliation or status]. Therefore, despite being a figure of Kwanjŏng (觀正, section chief/課長) level considering his economic status, he was demoted (左遷) to Chasŭng (諮承, advisor) and Kamsawŏn (監査員, auditor). Also among those who came over from the Old Faction to the New Faction two years ago were Mr. O Sangjun (吳尙俊), and Messrs. Yu Hanil (劉漢日) and Cho Chŏngho (曹定浩). After barely completing one term, they were all purged this time. Looking at it this way, three people who came from the Old Faction are already out, leaving only two. Among them, one, Mr. Yang Chaehak, was demoted.

Now, presenting the New Faction's lineup and their places of origin:
Taedojŏng: Chŏng Kwangjo (鄭廣朝) (Kyŏngsŏng 京城)
Sangmu Tojŏng: Chŏng Yonggŭn (鄭瑢根) (Kyŏngsang South 慶南), Kim Pyŏngjun (金秉濬) (Hamgyŏng North, Iwŏn 咸北利原)
Chasŭng: Yang Chaehak (梁在學) (P'yŏngan North, Chasŏng 平北慈城)
Kamsajŏng (監査正): Chŏng Yonggŭn (鄭鎔根) [Note: Hanja differs slightly from Sangmu Tojŏng Chŏng Yonggŭn 鄭瑢根, likely a typo in original or different person]
Kamsawŏn: Yang Chaehak (梁在學)
Taeryŏng: Ch'oe Sŏngnyŏn (崔碩連) (P'yŏngan North, Ŭiju 平北義州)
Putaeryŏng: Yi Tonhwa (李敦化) (Hamgyŏng, Kowŏn 咸鏡高原)
Chŏndo (典道): Paek Chungbin (白重彬) (Ŭiju 義州)
Sŏngdo Kwanjŏng (誠道觀正): Yi Kun'o (李君五) (Sŏnch'ŏn 宣川)
Kwanseo: Kim Myŏnghŭi (金明熺) (P'yŏngyang 平壤)
Kyŏngdo Kwanjŏng (敬道觀正): Kim Kwangho (金光浩) (Anju 安州)
Kwanseo: Yi Kwangho (李光鎬) (Ch'ŏngjin 淸津)
Sindo Kwanjŏng (信道觀正): Ch'oe Tanbong (崔丹鳳) (P'yŏngan South 平南)
Kwanseo: Chŏn Ŭich'an (全義贊) (P'yŏngan North 平北), Kye Yŏnjip (桂淵集) (P'yŏngan North 平北)
Chido Kwanjŏng (知道觀正): Yi Kun'o (李君五) (Sŏnch'ŏn 宣川)
Kwanseo: Kim Pyŏngje (金秉濟) (Hamgyŏng South, Kowŏn 咸南高原)
Pŏpto Kwanjŏng (法道觀正): Kim Kwangho (金光浩) (Anju 安州)
Kwanseo: Yŏm Wŏnmo (廉元模) (Hamgyŏng South 咸南)

In total, there are 16 people listed above. Among them, 10 are from P'yŏngan North and South Provinces, 4 are from Hamgyŏng North and South Provinces, 1 is from Kyŏnggi Province (京畿道), and 1 is from Kyŏngsang Province (慶尙). Next, looking at the Cheondogyo Youth Party:
Party Head (黨頭): Cho Kigan (趙基栞) (P'yŏngan South 平南)
General Secretary (總務)兼 Propagation Department Head (布德部長): Chŏng Ŭngpong (鄭應琫) (Anju 安州)
Training Department Head (修道部長): Yi Ch'un'guk (李春國) (Pukch'ŏng 北靑)
Finance Department Head (經理部長): Kim Iguk (金履國) (Ŭiju 義州)

Again, it's 3 from P'yŏngan Province and 1 from Hamgyŏng Province. The fact that the New Faction Cheondogyo is run by the hands of people from P'yŏngan North and South Provinces, and consequently, this became a source of dissatisfaction for people from Hamgyŏng South Province, has been the case for a long time. However, the new leadership this time has an even larger number of people from P'yŏngan Province. Thus, within P'yŏngan Province, the conflict between the so-called Anju Faction and Ŭiju Faction has shown signs of collaboration (合作) with the significant appointment of Kim Kwangho, the head of the Anju Faction. Mr. Yi Kun'o (李君五) concurrently holds the positions of Sŏngdo Kwanjŏng and Chido Kwanjŏng. In other words, he holds two section chief (課長) positions at once. Mr. Yi Kun'o has been rising through the ranks as a Kwanjŏng for a long time and is also an influential figure (實力派) as a Tojŏng. Therefore, his significant appointment might not be strange at all, but contrasting this with the fact that he had recently been visiting Hasegawa-chō (長谷川町) several times a day, one might call it an honorable position obtained (圖得) through heat and sincerity.

In this re-election, the unlucky ones are Mr. Yi Insuk and Mr. O Sangjun, while the fortunate ones are Mr. Chŏng Kwangjo and Mr. Yi Tonhwa. Besides them, Mr. Ch'oe Sŏngnyŏn is also a person who got his way, and Messrs. Kim Kwangho, Yi Kun'o, etc., are also people who got their way.<112> However, Yi Insuk remains one of the influential figures. Starting from Chŏngp'yŏng in Hamgyŏng South Province, places like Changjin (長津) and Hagaru (下碣) are his direct bases, and the entire Kangwŏn Province (江原道) is also his base. Mr. O Sangjun came to the New Faction from the Old Faction along with Chŏng Yonggŭn and others, but he originally came empty-handed, whereas Mr. Chŏng Yonggŭn brought some believers from Kyŏngsang Province. Therefore, Mr. O Sangjun has nowhere to go. Just because he was XX-ed [censored, likely 'purged' or 'expelled'] from the New Faction, he cannot go back to the Old Faction, and he has not a single household of believers under his command. Fortunately, his daughter teaches at Tŏktong (同德), so there might not be a major threat to his livelihood. Although Mr. Chŏng Kwangjo is Sŏn Pyŏnghŭi's son-in-law, he also lacks real power (實力). He has some followers in Sŏsan (瑞山) in Ch'ungch'ŏng South Province (忠南) and some in Sin'gye (新溪) in Hwanghae Province (黃海道), and some scattered in places like Sŏhŭng (瑞興), Sinch'ŏn (信川), and Chaeryŏng (載寧), but these were gathered recently and are entirely negligible. Only within Kyŏngsŏng city have Cheondogyo youths voluntarily entered Mr. Chŏng's fold. Therefore, he, along with Mr. Yi Tonhwa, obtained today's position through reputation rather than real power. Besides them, Mr. Ch'oe Sŏngnyŏn is the greatest influential figure in the New Faction Cheondogyo, and leaders like Sindo Kwanjŏng Mr. Ch'oe Tanbong (崔丹鳳) and Mr. Ch'oe An'guk of P'yŏngan North Province are all under his command. Regarding Messrs. Kim Kwangho and Yi Kun'o, as already described, repetition is avoided. And Mr. Ch'oe Rin was referred to as Teacher (先生).<113>

**Summary**

This 1935 article details the leadership reshuffle within the New Faction (Sinp'a) of Cheondogyo following an extraordinary December convention. It highlights the resignation of Ch'oe Rin as Taedojŏng and the appointment of Chŏng Kwangjo (Sŏn Pyŏnghŭi's son-in-law). The article meticulously analyzes the power dynamics, emphasizing the continued dominance of figures from P'yŏngan Provinces (especially the "Ŭiju Faction" led by the influential Ch'oe Sŏngnyŏn) over those from Hamgyŏng Provinces (like Yi Insuk, despite his regional influence). The appointment of Kim Kwangho from the rival "Anju Faction" is interpreted as a move to appease internal dissent and consolidate power within the P'yŏngan-dominated leadership. Several figures are noted as gaining or losing influence, often based on their regional backing and factional alignment rather than purely religious standing.

From a historical perspective, the article offers a fascinating glimpse into the internal politics and regional factionalism within a major Korean religious and nationalist movement during the colonial period. The focus on "real power" (實力派, sillyŏkp'a) tied to regional follower bases (P'yŏngan vs. Hamgyŏng) and financial control, alongside mentions of factional struggles extending even to the Tōkyō branch and affiliations with groups like the Chosŏn Farmers' Society, reveals the complex interplay of religion, regional identity, personal ambition, and potentially political maneuvering under Japanese rule. The careful balancing act in appointments (e.g., Kim Kwangho, Yi Tonhwa) suggests efforts to maintain unity despite deep-seated divisions. The reference to Ch'oe Rin simply as "Teacher" (先生) after his resignation is also noteworthy.

**Named Entities**
天道敎 新派	천도교 신파	Cheondogyo New Faction
天道敎 靑年黨	천도교 청년당	Cheondogyo Youth Party
崔麟	최린	Ch'oe Rin
孫秉熙	손병희	Sŏn Pyŏnghŭi
鄭廣朝	정광조	Chŏng Kwangjo
李仁淑	이인숙	Yi Insuk
鄭瑢根	정용근	Chŏng Yonggŭn
金秉濬	김병준	Kim Pyŏngjun
崔碩連	최석련	Ch'oe Sŏngnyŏn
義州	의주	Ŭiju
崔安國	최안국	Ch'oe An'guk
平北	평북	P'yŏngan North Province
耶蘇敎	야소교	Christianity (lit. Jesus Religion)
佛敎	불교	Buddhism
李敦化	이돈화	Yi Tonhwa
咸南 定平	함남 정평	Chŏngp'yŏng, Hamgyŏng South Province
咸南 高原	함남 고원	Kowŏn, Hamgyŏng South Province
咸鏡道	함경도	Hamgyŏng Province
咸鏡南北	함경남북	Hamgyŏng North and South Provinces
安州	안주	Anju
金光浩	김광호	Kim Kwangho
价川	개천	Kaech'ŏn
平南	평남	P'yŏngan South Province
義州派	의주파	Ŭiju Faction
安州派	안주파	Anju Faction
東京 宗理院	동경 종리원	Tōkyō Central Temple
東京	동경	Tōkyō
趙基栞	조기간	Cho Kigan
金道賢	김도현	Kim Tohyŏn
李應辰	이응진	Yi Ŭngjin
朝鮮農民社	조선농민사	Chosŏn Farmers' Society
金一大	김일대	Kim Ildae
平壤	평양	P'yŏngyang
金明熺	김명희	Kim Myŏnghŭi
淸津	청진	Ch'ŏngjin
李光鎬	이광호	Yi Kwangho
梁在學	양재학	Yang Chaehak
舊派	구파	Old Faction
平北 慈城	평북 자성	Chasŏng, P'yŏngan North Province
吳尙俊	오상준	O Sangjun
劉漢日	유한일	Yu Hanil
曹定浩	조정호	Cho Chŏngho
京城	경성	Kyŏngsŏng (Seoul)
慶南	경남	Kyŏngsang South Province
咸北 利原	함북 이원	Iwŏn, Hamgyŏng North Province
咸鏡 高原	함경 고원	Kowŏn, Hamgyŏng Province (likely South)
白重彬	백중빈	Paek Chungbin
宣川	선천	Sŏnch'ŏn
崔丹鳳	최단봉	Ch'oe Tanbong
全義贊	전의찬	Chŏn Ŭich'an
桂淵集	계연집	Kye Yŏnjip
咸南 高原	함남 고원	Kowŏn, Hamgyŏng South Province
金秉濟	김병제	Kim Pyŏngje
咸南	함남	Hamgyŏng South Province
廉元模	염원모	Yŏm Wŏnmo
平安道	평안도	P'yŏngan Province
咸鏡道	함경도	Hamgyŏng Province
京畿道	경기도	Kyŏnggi Province
慶尙	경상	Kyŏngsang Province
鄭應琫	정응봉	Chŏng Ŭngpong
李春國	이춘국	Yi Ch'un'guk
北靑	북청	Pukch'ŏng
金履國	김이국	Kim Iguk
長谷川町	장곡천정	Hasegawa-chō (Japanese place name, likely in Kyŏngsŏng/Seoul)
長津	장진	Changjin
下碣	하갈	Hagaru (likely 下碣隅里, Hagaru-ri)
江原道	강원도	Kangwŏn Province
同德	동덕	Tŏktong (likely Tŏktong Girls' School)
忠南 瑞山	충남 서산	Sŏsan, Ch'ungch'ŏng South Province
黃海道 新溪	황해도 신계	Sin'gye, Hwanghae Province
瑞興	서흥	Sŏhŭng
信川	신천	Sinch'ŏn
載寧	재령	Chaeryŏng

**Glossary**
更迭	경질	Change, replacement (of personnel)
黨大會	당대회	Party convention/congress
新勢力	신세력	New power/influence, new forces
臨時大會	임시대회	Extraordinary/special general meeting
定期大會	정기대회	Regular general meeting
依例히	의례히	Customarily, usually (older spelling of 의례히)
延滯	연체	Delay, postponement
開催	개최	Holding, convening (an event)
重要事項	중요사항	Important matters
刺戟	자극	Stimulation, provocation (here: catches one's eye)
大道領	대도령	High-ranking position in Cheondogyo (specific title)
大道正	대도정	High-ranking position in Cheondogyo (specific title)
新舊兩派	신구양파	New and Old Factions (both)
合同	합동	Union, merger
再分裂	재분열	Re-split, second division
幹部	간부	Executives, leadership
任期	임기	Term of office
滿期	만기	Expiration (of a term)
更選期	경선기	Re-election period
事情	사정	Circumstances, situation
保留	보류	Postponement, holding off
通常化	통상화	Normalization
非常時的	비상시적	Extraordinary, emergency-like
動作	동작	Action, movement
取하다	취하다	To take, adopt (a method, action)
讀破하다	독파하다	To read through completely
解得되다	해득되다	To be understood, comprehended
辭任	사임	Resignation
就任	취임	Assumption of office, inauguration
婿郞	서랑	Son-in-law (slightly archaic term)
常務道正	상무도정	Executive Director position (Cheondogyo title)
樹立	수립	Establishment
巷間	항간	In the streets, among the public (rumors, talk)
傳하다	전하다	To be transmitted, spread (stories)
物너나오다	물러나오다	To step down, withdraw (older spelling)
占領	점령	Occupation (here: taking over a position)
行政體系	행정체계	Administrative system
大領	대령	High-ranking position (Cheondogyo title)
널니 알니워진	널리 알려진	Widely known (older spelling)
實力派	실력파	Influential faction/person, power broker
大頭目	대두목	Major leader, big boss
根據地	근거지	Base, stronghold
存在	존재	Existence, presence
一層	일층	Even more, further
빗낫든 것	빛났던 것	Thing that shone (older spelling)
多年間	다년간	For many years
會計事務	회계사무	Accounting affairs
管掌하다	관장하다	To manage, be in charge of
이섯든	있었던	That existed, that was (older spelling)
財政的	재정적	Financial
外國	외국	Foreign country
傳道費	전도비	Mission funds, proselytizing expenses
山林	산림	Forests
寺院	사원	Temple
基本財産	기본재산	Basic assets, foundation property
오즉	오직	Only, solely (older spelling)
信徒	신도	Believer, follower
誠米	성미	Sincerity rice (donated rice)
獻金	헌금	Donation, offering (money)
되어지는 것	되어지는 것	Thing that is made up of/sustained by
우에	위에	Above, superior to (older spelling)
當然	당연	Natural, proper
順序	순서	Order, sequence
左向하다	좌향하다	To be shifted sideways (idiomatic for demotion/moved to less important role)
閑職	한직	Inactive post, sinecure
躍進하다	약진하다	To leap forward, make great strides
副大領	부대령	Vice-Taeryŏng (Cheondogyo title)
故鄕	고향	Hometown
直屬	직속	Directly subordinate/affiliated
先導者	선도자	Pioneer, leader
인테리	인텔리	Intelligentsia, intellectual (loanword)
實際	실제	Reality, actuality
道正	도정	Mid-level position (Cheondogyo title)
信正	신정	Lower-level position (Cheondogyo title)
그럼으로	그러므로	Therefore (older spelling)
意外	의외	Unexpected
마음 괴로운	마음 괴로운	Heart-wrenching, mentally painful
條件	조건	Condition, circumstance
性格	성격	Personality, character
人間된 品	인간된 품	Human character/quality
酒豪	주호	Heavy drinker
政治	정치	Politics
未知	미지	Unknown
中央	중앙	Center, central leadership
進出	진출	Advance, entry (into a field or position)
敬道觀正	경도관정	Specific Cheondogyo position title
法道觀正	법도관정	Specific Cheondogyo position title
兼하다	겸하다	To hold concurrently (positions)
시골	시골	Countryside, rural area
넘우도 넘치는	너무도 넘치는	Excessively overflowing
榮轉	영전	Honorable transfer/promotion
幾多	기다	Numerous, many
델니켓트한	델리케이트한	Delicate (loanword, older transcription)
內面的	내면적	Internal
重堅地帶	중견지대	Stronghold, key area (lit. middle-firm zone)
次位	차위	Second place, next rank
領導權	영도권	Leadership authority
中心	중심	Center, core
俗稱	속칭	Commonly known as, so-called
不滿	불만	Dissatisfaction, discontent
暗暗裏에	암암리에	Implicitly, secretly
對立的	대립적	Oppositional, confrontational
狀態	상태	State, condition
露骨化	노골화	Becoming overt, manifest
年前부터	년전부터	Since years ago (older form of 년 전부터)
宿題	숙제	Long-standing issue (lit. homework)
宗理院	종리원	Central Temple (Cheondogyo administrative body)
紛議	분의	Conflict, dispute
青年	청년	Youth
多數	다수	Majority, large number
運用되다	운용되다	To be operated, managed
派遣되여섯으나	파견되었으나	Was dispatched, but (older spelling/form)
紛糾	분규	Complication, entanglement, dispute
漸次로	점차로	Gradually
 비롯하야	비롯하여	Starting with, including (older spelling)
指目밧는	지목받는	Being pointed out as, identified as (older spelling)
모조리	모조리	Completely, all
今番	금번	This time
陣營	진영	Camp, lineup, faction
重用하다	중용하다	To appoint to an important position
包容	포용	Embracement, inclusion
意義	의의	Significance, meaning
이섯을	있었을	Would have been (older spelling)
작년	작년	Last year
시골에 떠나기 전	시골에 떠나기 전	Before leaving for the countryside
한 때의 저녁	한 때의 저녁	One evening meal
市外	시외	Outside the city
某寺刹	모사찰	A certain temple
送別會	송별회	Farewell party
열니엿건만	열렸건만	Was held, but (older spelling)
當者	당자	The person concerned
出席하다	출석하다	To attend
안어섯다	않았다	Did not (older spelling)
感情	감정	Feelings, emotions
積置되엿든 바	적치되었던 바	The fact that (feelings) had accumulated (older spelling)
緩和策	완화책	Appeasement policy, mitigation measure
겨우	겨우	Barely, only just
觀書	관서	Clerk, secretary (Cheondogyo position)
주저 안즌	주저앉은	Sat down, settled for (older spelling)
比較的	비교적	Relatively
新進	신진	Newcomer, rising figure
薄弱하다	박약하다	Weak, feeble
그럿케	그렇게	Like that, so (older spelling)
榮進	영진	Prosperous advance, promotion
再昨年	재작년	The year before last
時에	시에	At the time of (older form)
넘어 오다	넘어 오다	To come over, switch sides
諮承	자승	Advisor (Cheondogyo position)
監査員	감사원	Auditor (Cheondogyo position)
左遷되엿으며	좌천되었으며	Was demoted, and (older spelling)
整理당햇다	정리당했다	Were purged, sorted out (passive)
原籍地	원적지	Place of family origin (registered address)
提示하다	제시하다	To present, show
監査正	감사정	Chief Auditor (Cheondogyo position)
典道	전도	Propagation work leader (Cheondogyo position)
誠道觀正	성도관정	Specific Cheondogyo position title
敬道觀正	경도관정	Specific Cheondogyo position title
信道觀正	신도관정	Specific Cheondogyo position title
知道觀正	지도관정	Specific Cheondogyo position title
都合	도합	In total
出身	출신	Origin, native of
黨頭	당두	Party Head
總務	총무	General Secretary, general affairs
布德部長	포덕부장	Propagation Department Head
修道部長	수도부장	Training/Discipline Department Head
經理部長	경리부장	Finance/Accounting Department Head
運轉되다	운전되다	To be operated, run
不平	불평	Complaint, dissatisfaction
벌서	벌써	Already (older spelling)
合作	합작	Collaboration, joint work
氣勢	기세	Spirit, vigor, tendency
뵈이여 왓다	보이어 왔다	Has been showing (older spelling)
怪事	괴사	Strange affair, odd thing
最近	최근	Recently
數 3次式	수삼차씩	Several (3) times each
往來하다	왕래하다	To come and go, visit frequently
對照하다	대조하다	To contrast, compare
熱과 誠	열과 성	Heat and sincerity (passion and devotion)
圖得하다	도득하다	To obtain, secure (often implies effort or scheme)
榮職	영직	Honorable position
不遇	불우	Misfortune, lack of opportunity
幸運	행운	Good fortune, luck
得意	득의	Getting one's way, satisfaction
依然히	여전히	Still, as before
地盤	지반	Base, foundation (of support)
若干	약간	Some, a few
데리고 가다	데리고 가다	To take (someone) along
갈 곳이 업다	갈 곳이 없다	To have nowhere to go (older spelling)
手下	수하	Under one's command, subordinates
戶	호	Household (counter for families)
令孃	영양	(Your/His/Her) daughter (honorific)
敎員	교원	Teacher
生活	생활	Livelihood, life
威脅	위협	Threat
婿君	서군	Son-in-law (honorific/formal)
若干	약간	Some, a little
散在하다	산재하다	To be scattered
주어 모은 것	주워 모은 것	Things gathered up (older spelling)
全然히	전연히	Entirely, completely
問題가 되지 안코	문제가 되지 않고	Is not an issue, is negligible (older spelling)
自願하다	자원하다	To volunteer
門下	문하	Under the tutelage of, disciple of
名譽	명예	Honor, reputation
地位	지위	Position, status
述하다	술하다	To state, describe
重復	중복	Repetition
피하다	피하다	To avoid
先生	선생	Teacher, Master (respectful title)


---------------------------


잡지명	삼천리 제7권 제2호
발행일	1935년 02월 01일
기사제목	天道敎(新派) 大道正 更迭觀, 12月 黨大會와 新勢力 分布
필자	南岳山人
기사형태	소식

天道敎(新派) 大道正 更迭觀, 12月 黨大會와 新勢力 分布
						南岳山人
지난 12월에 天道敎 新派側에서는 天道敎도, 天道敎 靑年黨도 一諸히 臨時大會를 열엇다. 오는 4월에는 定期大會가 依例히 잇슬 바인데 4,5개월을 延滯할 수 업서 이와 가치 臨時大會를 開催한 데는 여러 가지 重要事項이 업지 아니치 못하엿슬 것이다. 그 중에 吾人의 눈을 刺戟하는 一事는 大道領의 更迭 등 그 新勢力의 分布다. 그러면 왜 臨時大會를 召集햇든가. 再昨年에 이른 바 新舊兩派의 合同이 再分裂을 하게 되는 때가 바루 12월 大會이엿으며 그 分裂과 共히 新派에서도 新幹部가 決定되엿든 것이다. 役員의 任期가 2個年이니 지난 12월로써 2個年 滿期가 되엿다. 따라서 更選期가 왓다는 것이요 再昨年의 事情은 그 때의 경우로 그리 되엿다기로니 4월 定期大會가 얼마 아니 남엇거든 그 때까지 保留가 不可能하지 안은데 通常化식키지 아니하고 如前히 非常時的 動作을 取할 必要가 업지 안으냐고 할 수가 잇고도 그것이 正當한 方法일 것이다. 그러나 正常的의 方法을 아니 取하고 如前히 非常時的 方法을 取한 이유는 本文을 終末까지 讀破하면 自然 解得되는 問題이다.
