Magazine Title	삼천리 제7권 제3호
Publication Date	1935년 03월 01일
Article Title	同志생각 (Thoughts of Comrades)
Author	丁七星 (Chŏng Ch'il-sŏng)
Article Type	문예기타 (Literary Miscellany)

Thoughts of Comrades
						Chŏng Ch'il-sŏng

Hwang Sin-dŏk!
Hŏ Chŏng-suk!
U Pong-un!
Cho Wŏn-suk!
Sim Ŭn-suk!
Kang Agŭnniya!
Though I call out until my throat is hoarse, my comrades of old seem to have hidden somewhere, without even an answer. Though they surely live within the four main streets of the capital (長安), greeting the sunlight rising over Tongdaemun in the morning and seeing off the dawn star fading over Pilun Tae with me in the evening, ah, which alley, which address must I seek to find them, so my longed-for comrades might run out again like in the old days, shouting "Sister!" "Comrade!" and grasp my hands?

Chŏng Chong-myŏng!<97>
Chu Se-juk!
Yi Hyŏn-gyŏng!
Hyŏn Kye-ok!
Again I call, but there's only a rumor that one is far away in Vladivostok (海參威), only hearsay on the wind that another spends her days in Tibet (西藏) or Outer Mongolia, only word that another is in a place where a short distance feels like a thousand ri; no matter how I strain my voice to call, there is no response. When living comrades are like this, how could even comrade Pak Wŏn-hŭi, whose flesh must already be feeding maggots in that public cemetery in Sut'ŏl-li (水鐵里),
hear my call, no matter how much I shout? Could her breath even be carried on the wind? Thus, like dozens of sparrows perched together on a branch, the comrades who chirped together in the morning have all departed, and like that lone wild goose crying forlornly in the cabbage patch on an autumn night, under the long autumn sky, only I stand weary and alone. Standing here, I am merely calling out the names of my friends by myself.

How could time change so drastically? How could all my comrades leave like this? Today too, looking towards the old site of the Kŭnuhoe (槿友會) in Kongp'yŏng-dong, behind Chongno, I wept alone in the streetcar. During those flourishing times, weren't we the ones who strode about Chongno's four streets as if they were too narrow for us? Whichever neighborhood, whichever corner we passed, weren't our cheerful, energetic, valiant comrades there?
But ah, all that has gone, and now only sorrowful memories remain.<98>
Only these painful, lonely old thoughts drift over Posin'gak Pavilion like a solitary white cloud, tormenting my heart.

Movements exist after people gather.
People exist before movements.
Now, all the people have gone. Only a few comrades remain.
In its prime, the lineup of the Kŭnuhoe's executive committee members was brilliant. But now, never mind executive committee members, barely any members remain.
Comrade Hwang Sin-dŏk has entered domestic life and is busy day and night playing the role of mother to perhaps two or three children already, in the fields outside Seoul's Tongdaemun.
Comrade Hŏ Chŏng-suk, after being released from prison, opened the T'aeyang Sanatorium near Kwanghwamun and is playing the role of a doctor with clumsy skills; she too has become a housewife, now raising three children, busy with household management (살님致事) and her sons' education. Comrade Cho Wŏn-suk, after parting from her husband Yang Myŏng in Shanghai (상해), held her beloved child and went to her husband's family home in Kyŏngsang Province for a while, but there hasn't been a single letter from her either for several years now. Comrade U Pong-un, uncharacteristically, has become a newspaper canvasser (新聞 勤誘員) and frequents the offices of a certain Seoul newspaper company morning and evening. Comrade Sim Ŭn-suk has also become a housewife and seems to spend her days looking after perhaps three siblings, now a mother dealing with the aftermath of her children's activities. Comrade Kang Agŭnniya, released from prison before her husband, was waiting in Seoul for a while, but recently went off with her husband Ha P'il-wŏn-ssi to his hometown in the fields of Samnam (三南). Besides these, where have Pak Ho-jin and Kim Chŏng-wŏn gone? I only hear word that Comrade Pak is in Seoul; as for Comrade Kim, I heard she went to study abroad in Tokyo (동경) and then returned, but whether this is true is completely uncertain.
Also, Comrade Chŏng Chong-myŏng's (똘또 - Ttoltto) prison term (形期) still seems to have 12 years remaining. As for Comrade Chu Se-juk, wandering talk says she was in Vladivostok (海參威) some time ago, but now nobody knows where she might be. After separating from her husband Pak Hŏn-yŏng in Shanghai (상해), under which sky does she now roam? Though her body may drift east and west like a cloud abroad, her thoughts surely never leave the mountains and rivers of Seoul where the Kŭnuhoe Hall stood and her husband serves his sentence. Comrade Yi Hyŏn-gyŏng went to Peiping (北平), but I don't know what became of her after that. Comrade Hyŏn Kye-ok, too, wandered through Shanghai (상해) and Moscow (모스꾸바), and after being widowed from her husband Hyŏn Chŏng-gŏn, recent rumors have it that she drags her famished, solitary body through Outer Mongolia.
Thus, the one holding fast (지튼 것은) is none other than myself. How could it be that I look around and find no comrades (四顧無同志)? The Sin'ganhoe (新幹會) is gone, the Kŭnuhoe (槿友會) is gone. This person is gone, that person is gone. Some have even gone to the next world.
And so, some of those comrades, who felt like siblings I met daily, I haven't seen for two years, and some I haven't seen for four or five years. Perhaps it is referring to such futile things that the poets of old compared the impermanence of worldly affairs (世事의 무상) to flowing clouds and water, or likened it to the fleetingness of the Dream of Handan (邯鄲의 一夢).<100>

However, let's say everything has passed due to the flowing force of time. Let's say all the comrades have scattered here and there like chicks. And let's say we too have passed our maiden, girlish days of just over twenty and have now entered adulthood, approaching the pass of 30 or 40. And so, let's say our era too, enveloped by history flowing silently over this land, is rapidly passing by.
Anyway, thinking now of my old comrades, lonely tears soak my collar in the middle of the night. But, even though we are far apart, could our hearts change, could our affection change? Let us all not lose heart, let us take courage, observe the circumstances of the times, and let us replenish our bodies, exhausted from the struggles during that time. No matter how much of an activist (活動客) one is, can one run around day and night? A period of rest is necessary. Oh, period of recuperation while lying low (雌伏), pass quickly! Then,
My dear comrades, fare well.
Ah, my friends, my comrades, where have you gone now, and what dreams are you dreaming?<101>

**Summary**

The author, Chŏng Ch'il-sŏng, laments the scattering and silence of her former comrades from the women's organization Kŭnuhoe in colonial Korea. She calls out their names, reminiscing about their vibrant activism in Seoul but now finding them dispersed due to imprisonment, exile, marriage, or domestic life. She reflects on the passage of time, the dissolution of nationalist groups like Kŭnuhoe and Sin'ganhoe, and the personal toll activism took, expressing loneliness but also urging remaining comrades to rest, recuperate, and not lose hope for the future. From a historical perspective, the article is valuable for its intimate portrayal of the fragmentation of the Korean nationalist and women's movements in the mid-1930s under intensified Japanese suppression. It provides specific details about the fates of prominent female activists, illustrating the diverse paths they took – imprisonment, exile, return to domesticity, continued clandestine work – offering a poignant snapshot of the human cost and dispersed nature of resistance during this period. Historians might find the personal tone and specific mentions of activists' locations and situations particularly revealing.

**Named Entities**

丁七星	정칠성	Chŏng Ch'il-sŏng
黃信德	황신덕	Hwang Sin-dŏk
許貞琡	허정숙	Hŏ Chŏng-suk
禹鳳雲	우봉운	U Pong-un
趙元淑	조원숙	Cho Wŏn-suk
沈恩淑	심은숙	Sim Ŭn-suk
姜아근니아	강아근니아	Kang Agŭnniya
長安	장안	Changan (Seoul)
東大門	동대문	Tongdaemun
弼雲台	필운대	Pilun Tae
鄭種鳴	정종명	Chŏng Chong-myŏng
朱世竹	주세죽	Chu Se-juk
李賢卿	이현경	Yi Hyŏn-gyŏng
玄桂玉	현계옥	Hyŏn Kye-ok
海參威	해삼위	Haejamwi (Vladivostok)
西藏	서장	Sŏjang (Tibet)
外蒙古	외몽고	Oe Monggo (Outer Mongolia)
水鐵里	수철리	Sut'ŏl-li (Miari area, likely referring to Miari Public Cemetery)
朴元熙	박원희	Pak Wŏn-hŭi
鍾路	종로	Chongno
公平洞	공평동	Kongp'yŏng-dong
槿友會	근우회	Kŭnuhoe
普信閣	보신각	Posin'gak
光化門	광화문	Kwanghwamun
太陽療養院	태양요양원	T'aeyang Yoyangwŏn (T'aeyang Sanatorium)
梁明	양명	Yang Myŏng
上海	상해	Sanghae (Shanghai)
慶尙道	경상도	Kyŏngsang-do
河弼源	하필원	Ha P'il-wŏn
三南	삼남	Samnam (Three Southern Provinces: Ch'ungch'ŏng, Chŏlla, Kyŏngsang)
朴昊辰	박호진	Pak Ho-jin
金貞媛	김정원	Kim Chŏng-wŏn
東京	동경	Tonggyŏng (Tokyo)
朴憲永	박헌영	Pak Hŏn-yŏng
北平	북평	Pukp'yŏng (Beiping/Beijing)
모스꾸바	모스꾸바	Mosŭkkuba (Moscow)
玄鼎健	현정건	Hyŏn Chŏng-gŏn
新幹會	신간회	Sin'ganhoe
邯鄲	한단	Handan

**Glossary**

同志	동지	Comrade
녯날	옛날	Old days (older spelling)
어대에	어디에	Where (older spelling)
업구나	없구나	Is not here / Does not exist (older spelling/form)
맛고	맞고	To greet; receive (older spelling)
가치	같이	Together; like (older spelling)
잇스련만	있으련만	Although likely is/exists (older spelling)
차즈면	찾으면	If one seeks/finds (older spelling)
그립든	그리웠던	Yearned-for; missed (older spelling)
마조	마주	Facing each other (older spelling)
사라잇는	살아있는	Living; alive (older spelling)
잇슬	있을	Who must be (older spelling)
아모리	아무리	No matter how (older spelling)
안즌	앉은	Seated; perched (older spelling)
지절대든	지절대던	Chirped; chattered (older spelling)
새추밧	배추밭	Cabbage patch (older spelling)
외로히	외로이	Lonely; alone (older spelling)
고달푸게	고달프게	Wearily; exhaustedly (older spelling)
잇서서	있어서	Being here; standing (older spelling)
일흠을	이름을	Name (older spelling)
이러케	이렇게	Like this; thus (older spelling)
어데	어디	Where (older spelling)
잇스랴	있으랴	How could there be? (older spelling/rhetorical form)
울엇노라	울었노라	I wept (older literary form)
당철에는	당시에는	At that time (older form)
다니든	다니던	Used to go around; frequented (older spelling)
아니엇든가	아니었던가	Were we not? (older spelling)
모통이	모퉁이	Corner (older spelling)
그러컨면	그러면	If so; then (older spelling)
남엇구나	남았구나	Remains (older spelling)
녯	옛	Old (older form)
우를	위를	Above; over (older spelling)
나마잇는	남아있는	Remaining (older spelling)
몃	몇	Few; several (older spelling)
못된다	못 된다	Is not even; amounts to less than
하엿다	하였다	Was; did (older spelling)
남어잇슴이	남아있음이	Remaining (existence of) (older spelling)
드러가	들어가	To enter (older spelling)
벌서	벌써	Already (older spelling)
아히	아이	Child (older spelling)
살님致事	살림살이	Household management; housekeeping (致事 used for 'affairs')
맛지 안케	맞지 않게	Unsuitably; inappropriately (older spelling)
뒤치닥거리	뒤치다꺼리	Cleaning up after; looking after (children)
버리엇다	버렸다	Went off; left (older spelling)
이 박게	이 밖에	Besides this
어듸 갓는가	어디 갔는가	Where did (they) go? (older spelling)
들닐 뿐	들릴 뿐	Is only heard (older spelling)
도라왓다는	돌아왔다는	That (she) returned (older spelling)
들니드니	들리더니	Was heard (older spelling)
깜아	까마득히	Dimly; vaguely; long ago
남어잇는 듯	남아있는 듯	Seems to remain (older spelling)
떠도라 다니는	떠돌아 다니는	Wandering
갈너진 후	갈라진 후	After separating (older spelling)
비룩	비록	Although; even though (older spelling)
흘너다닐 터이나	흘러다닐 터이나	Though (she) may drift/flow (older spelling)
엇지된 줄	어찌된 줄	What became of (older spelling)
허굽흔	허기진	Famished; starving (probable meaning; archaic form)
외짝몸	외짝 몸	Single body; lone person
잇글고	이끌고	Leading; dragging (older spelling)
지튼 것	지킨 것/남은 것	The one holding fast/remaining (archaic/dialectal form)
나밧게	나밖에	Only me; except me (older spelling)
맛나는	만나는	Meet (older spelling)
못 맛난이	못 만난 이	Person whom I haven't met (older spelling)
가르처	가르쳐	Pointing to; teaching (older spelling)
世事의 무상	세사의 무상	Impermanence of worldly affairs
邯鄲의 一夢	한단의 일몽	Dream of Handan (allusion to fleeting glory)
부침인 듯	덧붙인 듯/허망함인 듯	As if attached / As if fleeting (context suggests transience)
흐터젓다	흩어졌다	Scattered (older spelling)
남짓하든	남짓하던	Being slightly over (older spelling)
들엇다	들었다	Entered (older spelling)
우로	위로	Over; above (older spelling)
업시	없이	Without (older spelling)
아모커나	아무려나/아무튼	Anyway; anyhow (older form)
번하랴	변하랴	Will it change? (older spelling)
치치엇든	지치었던	Was exhausted (older spelling)
活動客	활동가	Activist
단니랴	다니랴	Can one go around? (older spelling/rhetorical form)
雌伏	자복	Lying low; waiting for an opportunity
잇거라	있거라	Be well; Farewell (imperative form)


---------------------------


잡지명	삼천리 제7권 제3호
발행일	1935년 03월 01일
기사제목	同志생각
필자	丁七星
기사형태	문예기타

同志생각
						丁七星


黃信德이여
許貞琡이여
禹鳳雲이여
趙元淑이여
沈恩淑이여
姜아근니아
