잡지명	삼천리 第七卷 第七號
발행일	1935년 08월 01일
기사제목	모스꾸바 映畵學校 參觀記 (A Visit to the Moscow Film School)
필자	朴乙羅
기사형태	소식 (News/Report)

A Visit to the Moscow Film School
						Pak Ŭl-la

The Soviet Union Moscow Film School (abbreviated "Gik") is located in the suburbs, a bit far from Moscow city. One day, to tour this school, I visited the film school and, guided by Principal Ppoiialk'op'ŭ and Dean of Academic Affairs Tara-ssop'ŭ, I had the opportunity to observe the classrooms.

Currently, the student number is 595, with the youngest being 18 and the oldest 35. Dividing these students by department:
Cinematography Department (Course duration 4 years) 180 students
Directing Department (Course duration 3 years) 189 students
Screenwriting Department (Course duration 4 years) 111 students
Technical Department (Course duration 3 years) 44 students
Acting Department (Course duration 3 years) 71 students

As seen above, the reason the course durations are not uniform is said to be related to being in a transitional period of extending what was previously 3 years <143> to 4 years.

Daily class hours were 7 to 8 hours, and there was also a night school for workers.
The class hours for this night school were 4 hours, and the current student count was 230.

The people teaching at this school were 8 professors and others who had all been active in film studios for over ten years.
Famous directors like Ejench'ŭt'ain (Eisenstein) and P'udop'uk'in (Pudovkin) were also listed among the professors.

When I went to tour the school, P'udop'uk'in happened to be busy filming a sound film (音畵) to be released for the 15th anniversary of the revolution, and Ejench'ŭt'ain was recuperating due to some physical trouble, so unfortunately, I couldn't meet these two gentlemen at the school. Later, I met P'udop'uk'in once at the "Soyu-jŭk'ino" (Soyuzkino) studio.

As I toured the various classrooms, second-year students in the Screenwriting Department were listening to Professor Kurigoriep'ŭ's lecture. Among the 25 attendees, 6 were female students.
And first-year students in the Cinematography Department were conducting chemistry experiments; among the 27 attendees, there were Italians (伊太利人) and Frenchmen (佛蘭西人) mixed in. For Acoustics (聲學), an elderly female teacher was giving individual instruction (個人敎授).

In the classroom for second-year students in the Directing Department, a lecture on artistic methodology was in progress; among the 27 attendees, 4 were female students. Dean Tara-ssop'ŭ, who was guiding me, mentioned that 70% of the students in this group were members of the Young OO Party (靑年OO黨員) and were the most promising students for the future.

After finishing this tour of the classrooms, I fortunately had the chance to watch Ejench'ŭt'ain's "P'och'emk'ing" (Potemkin) and P'udop'uk'in's "Mother" (母) in the school's screening room (試寫室).
When I had met P'udop'uk'in once before, I had mentioned wanting to see "Mother," but I was told that "Mother" was already very spoiled (스뽀일되여 - damaged) and couldn't be screened, and at that time, I had thought it would be great if the film (피-림) existed somewhere.

Regarding "P'och'emk'ing" and "Mother," since we have often spoken of them from early on, there is probably no need to elaborate further here. In any case, when I saw them projected onto the screen (스크리-), it goes without saying that I was even more excited than when I had just heard about them.

The Soviets, capable of creating such splendid films. The Soviet populace, able to watch such splendid films. It is said that the students of this school can view over 200 films per year in this screening room for examination.
Of course, among them, they will see new works, and also, masterpieces from the past <144> are preserved like that as reference material.

A fourth-year student from the Cinematography Department took a commemorative photo of me. Next, Principal Ppoiialk'op'ŭ, Dean of Academic Affairs Tara-ssop'ŭ, the interpreter Ms. Korudon, and I, four people in total, were photographed.

At this school, a "Wall Newspaper" (壁新聞) is posted on the 20th of every month.
I was also asked to contribute an article.
I wrote, "Students who possess such excellent facilities and the guidance of such excellent professors, if you only study diligently, it is certain that you will become outstanding experts in the future, and I truly believe that."

The curriculum (敎案) I obtained from this school, I believe, will provide considerable suggestions for our film industry—film education. How childish and haphazard ("데다라메" - detarame) our film industry—film education—is, cannot but be called too great a flaw to dismiss in one word as merely a defect of capitalist entertainment (資本主義的 興行).

I intend to note down a part of the curriculum I obtained below for reference. As you will see from it, this school provides a considerably high level of education to its students.
Furthermore, it seems necessary to add that Dean Tara-ssop'ŭ classified films into five categories: "Art Films" (藝術映畵), "Military Films" (軍事映畵), "Science Films" (科學映畵), "Political Films" (政治映畵), and "Children's Films" (兒童映畵).
I should mention that the translation of this curriculum was obtained through the courtesy of the "Il-So Munhyŏp" (日蘇文協 - Japan-Soviet Cultural Association). <145>

1.  Directing Department, Art Film Division Curriculum (敎案)
2.  Acting Department Curriculum (敎案)
<143-149>

**Summary**

The article recounts Pak Ŭl-la's visit to the Moscow Film School (VGIK) in 1935. Guided by the principal and dean, Pak observes classes in various departments (Cinematography, Directing, Screenwriting, Technical, Acting), noting the student demographics, course lengths, night school program, and esteemed faculty including mentions of Eisenstein and Pudovkin. Pak expresses admiration for the school's facilities, the quality of Soviet films like "Potemkin" and "Mother" viewed there, and the high level of education provided, contrasting it sharply with the perceived backwardness and capitalist flaws of the film education system in Korea. The author includes obtained curricula and a classification of film genres by the dean. From a historical perspective, the article is significant as it showcases Korean intellectual interest in the Soviet Union and its cultural institutions during the Japanese colonial period, possibly seeking alternative models or inspiration outside the Japanese sphere. It also provides a contemporary critique of the state of Korean film and film education, highlighting aspirations for development and a sense of inadequacy compared to international standards, particularly those of the socialist state.

**Named Entities**

모스꾸바	모스크바	Mosŭkkuba (Moscow)
사베-트연방	소비에트 연방	Sabe-t'ŭyŏnbang (Soviet Union)
기-그	기크	Ki-kŭ (Gik - VGIK)
뽀이얄콥흐	보이얄코프	Ppoiialk'op'ŭ (Boyarkov?)
다라-쏩흐	타라소프	Tara-ssop'ŭ (Tarasov?)
에젠슈타인	에이젠시테인	Ejench'ŭt'ain (Eisenstein)
푸도푸킨	푸돕킨	P'udop'uk'in (Pudovkin)
쏘유-즈키노	소유즈키노	Soyu-jŭk'ino (Soyuzkino)
구리고리엡흐	그리고리예프	Kurigoriep'ŭ (Grigoriev?)
伊太利人	이태리인	It'aerin (Italian)
佛蘭西人	프랑스인	Pŭransŏin (Frenchman)
靑年OO黨員	청년OO당원	Ch'ŏngnyŏn OO Tangwŏn (Young OO Party Member - likely Komsomol)
포쳄킹	포템킨	P'och'emk'ing (Potemkin)
母	모	Mo (Mother - film title)
고루돈	고르돈	Korudon (Gordon?)
朴乙羅	박을라	Pak Ŭl-la
日蘇文協	일소문협	Il-So Munhyŏp (Japan-Soviet Cultural Association)

**Glossary**

映畵學校	영화학교	Film school
參觀記	참관기	Account of a visit/tour
약칭	약칭	Abbreviation
교장	교장	Principal
교무과장	교무과장	Dean of Academic Affairs (or head of educational affairs)
참관하다	참관하다	To visit and observe
최연소자	최연소자	Youngest person
최연장자	최연장자	Oldest person
生徒數	생도수	Number of students
撮影科	촬영과	Cinematography Department
監督科	감독과	Directing Department
脚本科	각본과	Screenwriting Department
技術科	기술과	Technical Department
俳優科	배우과	Acting Department
修業年限	수업연한	Course duration (length of study)
個年	개년	Years (counter for years)
일정치 못함	일정치 못함	Being irregular/not fixed (older grammar form)
과도기	과도기	Transitional period
수업시간	수업시간	Class hours
야학	야학	Night school
교편을 잡다	교편을 잡다	To teach (lit. 'to hold the teacher's pointer')
촬영소	촬영소	Film studio
명감독	명감독	Famous director
나열되여	나열되어	To be listed/enumerated (older spelling)
봉절하다	봉절하다	To release (a film)
음화	음화	Sound film (older term)
분망중	분망중	In the midst of being busy
고장(이) 생기다	고장이 생기다	To have a physical trouble/breakdown
휴양하다	휴양하다	To recuperate/rest
유감되게도	유감되게도	Regrettably/unfortunately
강의를 뜯다	강의를 듣다	To listen to a lecture (뜯다 is an older form of 듣다)
석겨	섞여	Mixed (older spelling)
성학	성학	Acoustics
개인교*	개인 교수	Individual instruction/tutoring (likely abbreviation/typo for 교수)
예술방법론	예술방법론	Artistic methodology
시사실	시사실	Screening room
스뽀일되여	스포일되어	To be spoiled/damaged (loanword 'spoil' + older verbal ending)
피-림	필름	Film (loanword, older phonetic representation)
스크리-	스크린	Screen (loanword, older phonetic representation)
비추워	비추어	To project/shine upon (older spelling)
맨들어 내다	만들어 내다	To create/produce (older spelling)
훌융한	훌륭한	Splendid/excellent (older spelling)
壁新聞	벽신문	Wall newspaper
집필	집필	Writing (articles, etc.)
의뢰받다	의뢰받다	To be requested/commissioned
설비	설비	Facilities/equipment
밋다	믿다	To believe (older spelling)
如何히	여하히/어떻게	How (adverb derived from Hanja)
데다라메	데타라메	Haphazard/nonsense/random (Japanese loanword でたらめ)
자본주의적	자본주의적	Capitalistic
흥행	흥행	Entertainment business/show business
결함	결함	Defect/flaw
일어로	일어로	In one word
쓰려버리다	쓸어버리다	To sweep away/dismiss (older spelling)
교안	교안	Curriculum/teaching plan
정도	정도	Level/degree
놉흔	높은	High (older spelling)
분류하다	분류하다	To classify
부기하다	부기하다	To add a note/append
호의	호의	Goodwill/courtesy


---------------------------


잡지명	삼천리 제7권 제7호
발행일	1935년 08월 01일
기사제목	모스꾸바 映畵學校 參觀記
필자	朴乙羅
기사형태	소식

모스꾸바 映畵學校 參觀記
						朴乙羅
사베-트연방 모스코봐 영화학교(약칭「기-그」)는 모스크봐市에서 좀 떠러저있는 郊外에 있음니다. 나는 어느 날 이 학교를 견학하기 위하야 곳 영화학교을 방문하여서 교장 뽀이얄콥흐씨와 교무과장 다라-쏩흐씨에게 안내을 받어 교실을 참관할 기회를 얻었슴니다.
현재 生徒數는 595인으로 최연소자는 18세로붙어 최연장자 35세까지가 있었음니다. 이 生徒數를 각각 부에 나누워보면
撮影科 (修業年限 4個年) 180人
監督科 (修業年限 3個年) 189人
脚本科 (修業年限 4個年) 111人
技術科 (修業年限 3個年) 44人
俳優科 (修業年限 3個年) 71人
이 우에 보아온 거와 같이 수업년한이 일정치 못함은 아즉까지 3개년이든＜143＞ 것을 4개년으로 연장하는 과도기에 있은 관계이라고 함니다.
하루의 수업시간은, 7시간 내지 8시간의 노동자을 위한 야학도 있었음니다.
이 야학의 援業시간은 4시간으로 현재의 생도는 230인이였음니다.
이 학교에서 교편을 잡고 있는 사람은 8인의 교수와 모다 십수년 촬영소앀서 실제로 활동하고 있는 사람들이였음니다.
에젠슈타인이나 푸도푸킨과 같은 명감독들도 교수의 이름에 나열되여 있었음니다.
내가 이 학교에 견학을 갓었을 때에는 마츰 푸도푸킨은 혁명 15주년 기념에 封切할 音畵의 촬영으로 奔忙中이였고, 에젠슈타인은 다소간 몸에 고장이 생겨서 휴양하고 있었음으로 유감되게도 이 두 분은 학교에서 만나지를 못하였음니다. 그 후에 나는 푸도푸킨을 「쏘유-즈키노」 촬영소에서 한번 만난 일이 있었음니다.
내가 각 교실을 참관하여 도라단일 때 脚本科의 2년생은 구리고리엡흐 교수의 강의를 뜯고 있었음니다. 그중 출석자 25인 가운데에는 6인이나 여학생이엿슴니다.
그리고 촬영과의 1년생은 화학의 실험을 하고 있었는데 27인의 출석자 가운데에 伊太利人이며 佛蘭西人이 석겨 있었슴니다. 聲學은 나이 만흔 여선생이 個人敎*를 하고 있었슴니다.
監督科 2년생의 교실에서는 예술방법론의 강의중이였는데 27인의 가운데에 4인이 여학생이엿슴니다. 그런데 이 組의 生徒 가운데 70%는 靑年OO黨員으로 장래에 가장 유망한 생도들이라고 안내하는 다라쏘-푸씨는 말하여 주웟슴니다.
나는 이렇게 각 교실을 한번 쭉-ㄱ 참관을 끝마치고는 학교의 試寫室에서 다행으로 에젠슈타인의 「포쳄킹」과 푸도푸킹의 「母」를 볼 기회를 가젓섯슴니다.
내가 전에 한번 푸도푸킹을 맛낫슬 때 「母」가 보고십다고 말한 일이 있었슴니다마는 「母」는 벌서 대단히 스뽀일되여 있기 때문에 映寫할 수가 없다는 말을 들었든 것이며 그때에 나는 어데든지 피-림이 있었으면 좋겠다고 생각한 일이 있었음니다.
「포쳄킹」과 「母」에 대해서는 우리들이 일즉붙어 자주 말하는 것임으로 여긔에서 새삼스례히 더 말할 필요는 없을 것임니다. 하여튼 내가 그것들을 「스크리-」 우에 비추워 볼 때에는 말로서 들든 그 이상으로 흥분되엿든 것은 더 말할 나위가 없었음니다.
이와같은 훌융한 영화를 맨들어 낼 수 있는 사베-트. 이와 같은 훌융한 영화를 볼 수가 있는 사베-트의 민중. 이 학교의 생도들은 이 실내에서 1년에 200本以上의 시험을 볼 수가 있다고 함니다.
물론 그 중에는 새로운 것도 볼 것이며, 또는 옛적의 걸작들도＜144＞ 참고자료로써 그와 같이 보존되여 있다고 함니다.
撮影科 4년생의 한사람이 나의 기념사진을 박어주엇슴니다. 그 다음에는 뽀이얄콥흐 교장과 교무과장 다라-쏩흐씨와 통역인 고루돈양과 나까지 4인이 촬영하엿슴니다.
이 학교에서는 매월 20일에 「壁新聞」이 나붙슴니다.
나도 그곳에 執筆을 의뢰받었슴니다.
나는 「이와같이 우수한 설비와 이와 같이 우수한 교수의 지도와를 가진 학생제군은 열심으로 공부만 한다면 장래에 우수한 전문가가 될것은 확실한 일이며 또한 나로서는 그것을 믿어서 마지않은 바임니다」고 썻슴니다.
내가 이 학교에서 어든 敎案은 우리의 영화계-영화교육-에 있어서도 적지않은 암시를 줄 것으로 밋슴니다. 우리의 영화계-영화교육-가 如何히 유치하며 「데다라메」한지는 그것은 다만 자본주의적 흥행의 缺陷이라고 一語로 쓰려버리기에는 너무나 큰 缺陷이 않이라 할 수가 없을 것임니다.
내가 어든 敎案의 일부를 이하에 참고로 적어둘가 함니다. 그것을 보아도 아실 것임니다 마는 이 학교는 상당히 정도가 놉흔 교육을 생도들에게 주는 것임니다.
더욱이 교무과장인 다라-쏩흐씨가 영화를 「藝術映畵」 「軍事映畵」 「科學映畵」 「政治映畵」 「兒童映畵」의 5부분으로 분류하든 것도 附記하여둘 필요가 있을 줄 밋슴니다.
이 敎案의 번역은 「日蘇文協」의 호의로 어든 것임을 말하여 두는 바임니다. ＜145＞

1. 監督科 藝術映畵部 敎案
2. 俳優科 敎案
＜143-149＞
