Magazine Title: 삼천리 제7권 제8호
Publication Date: 1935년 09월 01일
Article Title: 엇지하면 오래 살가 (How to Live Long)
Author: 獨逸醫學博士 鄭錫泰 (German Medical Doctor Chŏng Sŏk-t'ae)
Article Type: 잡저 (Miscellaneous Writing)

How to Live Long
						By Chŏng Sŏk-t'ae, German Medical Doctor

Cranes live 90 years
Turtles live 100 years
Parrots live 100 years
Elephants live 200 years
They all live such long, long lives like this, but why has our human life come to be called fleeting like dew on grass (草露), as in "Since ancient times, living to seventy is rare"?

It is written in the Old Testament that "Adam" (아담) lived 930 years, but perhaps the calendar was different back then. Currently, the oldest person in the world is said to be an old man from Turkey (土耳其) named "Zaro Ağa" (사로아가자). He has memories of fighting French (불란서) soldiers when Napoleon I (나포레온1世) invaded Turkey <102> during his Egyptian Expedition (埃及遠征) in 1899, so he must be around 160 years old this year. The fact that he placed a newspaper advertisement wanting to marry a British (英國) or American (미국) woman when he was 154, and is now living comfortably married to his 12th wife, is truly astonishing. In Tokyo (東京), around Shōwa 3 (1928), there was a survey of long-lived people, and at that time, there were:
335 people over 100 years old
which, in terms of population ratio, was about four per million people.

However, the country with the longest lifespans in the world is Bulgaria (뿔가리아) in Europe (구라파). In a village called "Welppat" (웰빳), out of a population of merely 400, there are said to be 23 people over 100 years old. In that village, there are reportedly no diseases, and the only death in the past year was a single nursing infant. Originally, this village has low humidity, so pulmonary tuberculosis (페결핵) and rheumatism (루마지스병) are almost unseen.

According to a recent United Press dispatch from Moscow (모스크바), they have established something called a Nursing Home (養老院) in Moscow, gathering long-lived elderly people to live there. They are bringing in Russia's (로서아) top physiologists to study how these people live so long. The nursing home accommodates over 60 elderly people, starting with a 113-year-old, all over 100 years old. Thanks to these elders, they are striving to lengthen the lifespan of the entire Russian population. According to the director, Dr. "Lazarev" (라자레):
"Although it is customary for human life to be 50 or 60 years, based on the results of our research so far, humans have sufficient capacity to survive up to 170 or 180."
This is an astonishing announcement. If this is true, young people will have a longer youth (靑春) to enjoy love and life a bit more, and old people will be able to feel the happiness of life twice as much by living double their current lifespan. Truly, may it be so, may it be so.

Alas (嗟乎)! Did not Emperor Qin (秦皇帝) of old send 80 young boys and girls to the Three Spirit Mountains (三神山)? Among peerless beauties (절대가인) like Cleopatra (구레오 파토라), Xi Shi (西施), and Wang Zhaojun (王昭君), was there anyone who did not lament the sudden appearance of wrinkles on her forehead? On an autumn night with the paulownia moon (梧桐洞 秋夜月), when the wild geese cry mournfully, did not the beauties of the capital sit before their mirrors and lament their own beauty and youth, destined to vanish like the morning dew?

I want to live long, I want to live long
I want to become young again, I want to become young again
Because human life is so fleeting, wasn't it that Christ (그리스도)
and Buddha (석가) both sought the truths of Ascension (昇天) and Nirvana (涅槃)?

A Life Like Charcoal Fire

A famous scholar made a plausible statement. It is that a person's <103> life is just like a charcoal fire (숫불). When charcoal (木炭) has caught fire and is burning, that is when life exists. However, as anyone knows who has seen charcoal burning, even with the same charcoal, depending on the time and place, some pieces burn for a long time, and some burn slowly. For example, if you place a brazier in a drafty spot (바람마지), the charcoal quickly burns up completely and becomes ash due to the wind. If not, if you bury it quietly in ash where there is no wind, that charcoal lives for a very long time. The burning time (燃燒時間) varies with air and temperature (冷溫). Similarly, a person whose life is placed in a draft dies quickly, while a person protected in a protected place like a brazier [lit. 열분재 - meaning unclear, interpreted contextually] and burning quietly lives long.

Also, even among the same type of charcoal, there are various kinds. Willow charcoal (버들숫; 柳木炭) or charcoal from miscellaneous trees catches fire quickly, while cherry charcoal (앵탄; 櫻炭) burns for quite a long time. What does this mean? It means that people receive different inheritances (遺傳) through the flesh and blood of their parents when born. One born with a constitution (體質) that is originally frail with thin bones and weak energy is like willow charcoal and tends to die quickly, while one born with thick, sturdy bones lives long. That is (卽), this scholar emphasizes (力說) that the conditions (條件) of innate constitution (天分) and human effort (人爲) determine a person's life (生命). It sounds plausible.

Worriers Have Short Lives

Then, what is the drafty spot mentioned earlier that causes the charcoal to burn out quickly? It refers to worries that seem to carve away at a person's flesh and bones, nutritional deficiencies, unfortunate circumstances (境遇), and excessive labor (노동). For these reasons, often
Kisaeng ladies (긔생아씨), restaurant owners (요리집주인), pawnbrokers (전당포주인), school teachers (학교교사), doctors (醫師), automobile drivers (自動車運轉手)
and the like generally have short lives (短命). First, considering the situation of kisaeng (妓女) who sell themselves in the entertainment houses (靑樓), they are constantly enveloped in worries—thoughts of money, thoughts of customers, pangs of conscience (량심의 가책), and feelings of shame (受恥感)—so they have no peaceful days. How could they live long? Also, people who run around engaging in drinking, sex, and gambling (酒色賭博) always have fear and regret, which harms their mind and body (心神) greatly, so they too cannot live long. In contrast (反對), who lives long? It's people like monks who enter deep mountain temples (깁흔 심산 절간) and practice Zen meditation (참선). Those people leave behind all worldly material desires (世上 物慾), befriend the beautiful landscape (山水), and lead very monotonous yet pure lives like the clear wind and bright moon (淸風明月), so they inevitably live long lives. They eat a vegetarian diet (菜食), and moreover, they do not keep women (女性) close. This seems to be the greatest secret to longevity (長壽秘訣) in human life.
Don't we see old monks (老僧) like the Four Haos of Mount Shang (商山四皓) holding six-ring staffs (六環杖) in Chinese Southern School paintings (中國 南畵)?

Considering these various points, the lifespan of the vast majority of us, who eat simple food (粗食), cannot even exercise on top of that, and lack any entertainment (오락) to relieve worries, is truly pitiable (애닯다하니 할 수 업다). Now, below this, I will record the secret of how one can live long (以下次號繼續)<104>
<102-104>

**Summary**

The article explores the question of human longevity, contrasting our relatively short lifespans with those of animals and citing examples like Adam, a 160-year-old Turk, and long-lived communities in Bulgaria. It mentions Russian research suggesting humans could live up to 180 years. The author uses an analogy of charcoal fire: lifespan depends on innate constitution (type of charcoal) and external factors like stress and environment (draft vs. protected ashes). Worry, poor nutrition, and hard labor shorten life, exemplified by professions like kisaeng, pawnbrokers, teachers, doctors, and drivers. Conversely, monks leading simple, detached lives with vegetarian diets and meditation are presented as models of longevity. The article laments the short lifespans of ordinary people lacking exercise and leisure and promises to reveal secrets to long life in the next issue.

From a historical perspective, the article reflects colonial Korean society's interest in modern (Western, specifically German) medicine and scientific approaches to age-old questions like longevity. It reveals contemporary knowledge and beliefs about health, citing international examples (Turkey, Bulgaria, Russia, Japan) which places Korea in a global context. The list of professions associated with short lifespans (kisaeng, pawnbrokers, teachers, doctors, drivers) offers a glimpse into perceived societal stresses and the perceived precarity of certain occupations during that period. The idealization of the monastic life contrasts sharply with the described anxieties of modernizing society.

**Named Entities**

獨逸	독일	Togil
鄭錫泰	정석태	Chŏng Sŏk-t'ae
아담	아담	Adam
土耳其	토이기	T'ŏgi
사로아가자	사로아가자	Saroagaja (Zaro Ağa)
나포레온1世	나포레온 일세	Nap'oreon Ilse
埃及	애급	Aegŭp
불란서	불란서	Pullansŏ
英國	영국	Yŏngguk
미국	미국	Miguk
東京	동경	Tonggyŏng
昭和	쇼와	Shōwa
구라파	구라파	Kurap'a
뿔가리아	불가리아	Ppulgarian
웰빳	웰빳	Welppat
모스크바	모스크바	Mosŭk'ŭba
로서아	러시아	Rosŏa
養老院	양로원	Yangnowŏn
라자레	라자레	Rajare (Lazarev)
秦皇帝	진황제	Chin Hwangje
三神山	삼신산	Samsinsan
구레오 파토라	클레오파트라	Kureop'at'ora
西施	서시	Sŏsi
王昭君	왕소군	Wang So-gun
그리스도	그리스도	Kŭrisŭdo
석가	석가	Sŏkka
中國	중국	Chungguk
商山四皓	상산사호	Sangsan Saho

**Glossary**

엇지하면	어찌하면	How to / What should one do to (older spelling)
살가	살까	live? (older interrogative ending)
씨여 잇스나	쓰여 있으나	although it is written (older spelling)
력사	역사	history (older spelling)
달낫든	달랐던	was different (older spelling)
나만흔이	나이 많은 이	old person (older spelling/phrasing)
올에	올해에	this year (older spelling)
되엿슴즉하다	되었음직하다	seems to be / likely is (older spelling)
십다는	싶다는	wants to (older spelling)
안해	아내	wife
놀날만한	놀랄 만한	surprising / astonishing (older spelling)
비레	비례	proportion / ratio
격이엿다	격이었다	was about / level of (older spelling)
목숨	목숨	life / lifespan
구라파	구라파	Europe (older term)
업서서	없어서	because there isn't (older spelling)
젓먹이	젖먹이	infant / suckling baby
한낫	하나	one (thing/person, older form)
습긔	습기	moisture / humidity (older spelling)
페결핵	폐결핵	pulmonary tuberculosis
거지반	거의 반	almost half / nearly (older spelling/phrasing)
요지간	요즈음 / 요사이	nowadays / recently (older term)
보건데	보건대	according to what is seen / reported
設하여	설하여	establishing / setting up
생활식히고	생활시키고	having (them) live (older causative form)
로서아	러시아	Russia (older spelling)
불너다가	불러다가	calling (them) over (older spelling)
엇더케하면	어떻게 하면	how to / what should one do to (older spelling)
저럿케	저렇게	like that (older spelling)
만들고저	만들고자	intending to make (older desiderative ending)
하엿다	하였다	said / did (older spelling)
놀나운	놀라운	surprising / amazing (older spelling)
發表	발표	announcement / presentation
갑절	갑절	double
늣길	느낄	feel / experience (older spelling)
되고지고	되고지고	wish it would become so (emphatic, archaic ending)
嗟乎	차호	Alas! Ah! (Classical Chinese exclamation)
녯날	옛날	old days / ancient times (older spelling)
안엇든가	않았던가	wasn't it? / didn't they? (older spelling)
절대가인	절대가인	absolute beauty / peerless beauty
급작시리	갑작스레	suddenly (older spelling)
이마살	이맛살	brow / forehead wrinkles
만타하지	만탄(萬歎)하지	lament / sigh over greatly
안튼고	않았던고	didn't they? (older interrogative ending)
하도	하도	so / very / extremely
덧업스니까	덧없으니까	because it is fleeting / transient (older spelling)
昇天	승천	ascension to heaven
涅槃	열반	Nirvana
캐여낸	캐어낸	dug out / discovered (older spelling)
아니든가	아니던가	wasn't it? (older spelling)
숫불	숯불	charcoal fire (older spelling)
목슴	목숨	life / lifespan (older spelling)
부터	붙어	attached / lit (fire)
잇는	있는	existing / being (older spelling)
알일이지만	알 일이지만	though it is something one knows
엇던	어떤	some / certain (older spelling)
늣게도	늦게도	slowly also (older spelling)
바람마지	바람맞이	place exposed to wind
노흐면	놓으면	if placed (older spelling)
슛츤	숯은	the charcoal (older spelling)
짜른	짧은	short (older spelling)
웟작타 버리어	왁작 타 버리어	burning up noisily/quickly (onomatopoeia + verb, older spelling)
그리치 안코	그렇지 않고	if not so / otherwise (older spelling)
잿속	잿속	inside the ashes
파뭇어두면	파묻어 두면	if buried (older spelling)
숫치	숯이	the charcoal (older spelling)
공긔	공기	air (older spelling)
冷溫	냉온	cold and warmth / temperature
燃燒時間	연소시간	burning time
不一	불일	not uniform / varies
노힌	놓인	placed / situated (older spelling)
빨니	빨리	quickly (older spelling)
열분재	열분재	protected place like a brazier (contextual interpretation of unclear term)
태어가는	타가는	burning away (older spelling)
국질국질하게	굵직굵직하게	thickly / sturdily (bones, older spelling)
태어	태어나	being born (older spelling)
가린이	가진 이	person who has (older spelling)
卽	즉	namely / that is
天分	천분	innate talent / natural gift / constitution
人爲	인위	human effort / artificiality
條件	조건	condition
生命	생명	life
決定	결정	decide / determine
力說	역설	emphasize / stress
앗가	아까	a moment ago / just before (older spelling)
업서지게	없어지게	making disappear / causing to burn out (older spelling)
깍거내리는	깎아 내리는	whittling down / eroding (older spelling)
境遇	경우	circumstances / situation
과한	과한	excessive
노동	노동	labor / work
긔생	기생	kisaeng / female entertainer (older spelling)
요리집주인	요릿집 주인	restaurant owner
전당포주인	전당포 주인	pawnbroker
학교교사	학교 교사	school teacher
醫師	의사	doctor / physician
自動車運轉手	자동차 운전수	automobile driver
거개	대개	mostly / generally
短命	단명	short life
몬저	먼저	first / firstly (older spelling)
靑樓	청루	blue tower (euphemism for brothel/gisaeng house)
팔녀	팔려	being sold / selling (oneself) (older spelling)
妓女	기녀	gisaeng / female entertainer
자나깨나	자나 깨나	whether sleeping or awake / constantly
량심	양심	conscience (older spelling)
가책	가책	pangs (of conscience) / reproof
受恥感	수치감	sense of shame / humiliation
싸여지내니	싸여 지내니	as (they) live enveloped (in worries)
업고	없고	not having / without (older spelling)
엇더케	어떻게	how (older spelling)
酒色賭博	주색도박	drinking, sex, and gambling
뛰 다니는	뛰어다니는	running around / engaging frenetically in
두러울과	두려움과	fear and (older spelling)
뉘우침	뉘우침	repentance / regret
잇서	있어	having / there is (older spelling)
心神	심신	mind and body
상해움	상함	being harmed / damaged (older noun form)
만하서	많아서	because there is much (older spelling)
亦	역	also / likewise
反對	반대	opposite / contrary
엇던이	어떤 이	what kind of person / who (older spelling)
깁흔	깊은	deep (older spelling)
심산	심산	deep mountains
절간	절간	temple (colloquial/slightly depreciative)
드러가서	들어가서	going into (older spelling)
참선하는	참선하는	practicing Zen meditation
중가튼	중 같은	like a monk (older spelling)
世上	세상	the world
物慾	물욕	material desires
조흔	좋은	good (older spelling)
山水	산수	landscape (mountains and water)
벗하고	벗하고	making friends with / enjoying company of
單調	단조	monotonous
淸風明月	청풍명월	clear wind and bright moon (pure, detached lifestyle)
가튼	같은	like / similar to (older spelling)
살래야	살려야	even if one tries to live (long)
안을 수 업다	않을 수 없다	cannot but / inevitably will (older spelling)
