**Header Section:**
Magazine Title: 삼천리 제7권 제8호
Publication Date: 1935년 09월 01일
Article Title: 申不出氏 漫談傍聽記-寬大한 男便 (Record of Attending Mr. Sin Pulch'ul's Witty Talk - The Tolerant Husband)
Author: 一記者 (One Reporter)
Article Type: 세태비평 (Critique of Social Conditions)

**Body Text Translation:**
申不出氏 漫談傍聽記-寬大한 男便
						一記者
(Continued from previous issue) It's a unique privilege of witty talk (漫談) for the conversation to branch off from the main story and blossom in various ways.
For those who dislike this, I offer the freedom to renounce your right to listen or leave the venue.
Also, even if English, mainland Japanese words, or personal jargon (自家用術語) pop up frequently at the end of sentences, you have no choice but to understand and forgive (諒焉) these things in turn.<226>

Fashion!
Chongno is a display ground (陳列場) for the army of trend-followers (流行軍). Kyŏngsŏng, accommodating these critically ill (危篤) fashion patients, is also one large hospital (病院) that has lost its doctor (醫師).
In general, fashion is a fluctuating (一浮一沈) phenomenon of the times, and at the same time, it stems from rebellious (反逆的) actions against established culture (旣成文化). In other words, shedding the "old mask" (녯탈) and putting on a "new mask" (새탈) can be a characteristic feature of the modern personality. Thus, it might seem fitting for us to indeed raise flags high and shout "Hurrah!" (萬歲歡呼) for the great advance (大進軍) of these new fashion soldiers (兵士) called "modern boys" (모던 뽀이) and "modern girls" (모던껄). However, among our brothers and sisters, many blindly follow (盲目的進從) just because others do, without even knowing what "modern" is. Goblins and monsters (魑魅魍魎) wearing masks often come out, causing people near fainting spells (卒倒未遂).
On top of that, these days they seem to have drunk some added-flavor chaos soup (加味混沌湯), and their astonishing seizure-like symptoms (發作的 症狀) can only be seen as murderous charm (殺人的 愛嬌). Some harsh critics (險口) have reportedly called "modern boys" and "modern girls" in Korean "newfangled scamps" (햇잡몸) and "newfangled hussies" (햇잡년), but recently, due to the flooding (범람) of the fashion deluge, there's no place left for even gentlemen and ladies (君子淑女) to set foot. Just step out onto the Chongno crossroads, and the whimsical attire and comical (익살마진) movements of these valiant gentlemen (勇士諸氏), the vanguard units (前衛部隊) of the fashion front, often rob people of visual appeal (눈맛) and also make them reach for digestive medicine (消化劑).
Is all fashion necessarily bad?
Please don't!
Please, just don't! Not knowing where this land is currently (시방) heading, becoming obsessed (관격) with an "imitative life" (模倣人生), losing one's spirit (얼), and disgracing oneself (헤갈망신) – what is this?!

The beauty of clothing (衣裳美) lies in color and line; putting aside the superiority or inferiority (優劣) of quality (品質), the basic condition (基本條件) is determined by physique (體格), I believe.
Even if modern culture is entirely Westernized, as long as we are bodies that cannot leave the Eastern spirit (東洋魂), deviating (버스러저서는) from Eastern taste (東洋的 趣味)—though it might be called individual preference (嗜好)—can only be called a complete "Western slave" (西洋奴隷) or "Western slave type" (洋奴種).
Clothing that doesn't know how to match color tones (色調) is nothing but a circus troupe costume (曲馬團衣裳).
White is not not a color, yet perhaps the world is such that one can know and yet not know the meaning of "promotion of colored clothing" (色衣奘勵). While not forcibly recommending only the monotonous (單調) taste of black and white, chaotic (混亂) colors (色彩) often tend to destroy the beautiful appearance (美觀). Therefore, one must not forget the Eastern sentiment (情趣) that always values noble purity (淸高) and dignity (氣品) as paramount (읏듬).
For a while, I saw young gentlemen wandering around (도라단이는) as bright blue figures (샛파란 靑童), from hat to Western shoes (洋靴) (I am also a previous offender (前科者)). That was a fashion that had run <227> from America (米國) to Tokyo (東京) and then to Kyŏngsŏng. The reason (연유) it became fashionable was nothing special; it was during the time when the so-called industrial revolution (産業革命), the NRA movement, began after President Roosevelt's (「루즈벨드」大統領) inauguration (취임). It was also known as (一名) the Green Movement (綠色運動) (Blue Eagle - 靑鷲), and the color green was rampant (극성을 피엿든 것이 올시다). However, among those fashionable gentlemen in Korea (朝鮮) who wore green Western suits, how many (멫 분) do you think wore them knowing this historical origin (歷史的 由緖)?

Additionally, they go around (댐김니다) without wearing hats. Perhaps it's like taking the lid (똑겅) off to let the steam (김) out.
They always talk about (言必稱) "hat-off-ism" (脫帽主義), but since they don't wear them because they don't have them, it would be more correct (올켓지요) to call it "no-hat-ism" (無帽主義).
These no-hat gentlemen often apply not just a little "grease" to their hair, but slick it back (비서 올님니다) so smoothly (빤지르르하게) it looks like they might have practically spilled (업질넌는지도) it on. And they make a special request (特別附托) at the tailor shop (洋服店) for their Western-style jackets (洋服 조고리), putting cotton padding (솜) into the shoulders (억개) to make them level (수평) in a straight line (一字) from one shoulder to the other, creating a physique (체격) that looks like a head (대강이) placed on a plank (널빤지). As for trousers, previously they wore so-called "bell-bottoms" (喇叭바지), narrow at the thighs (넙적다히) and widening from the knee (무르팍) to the heel (발뒤굼치), but lately, the newest fashion seems to be making the cuffs (부리) narrow and the part from the knee to the waist wide like traditional Korean trousers (조선바지 통 모양). However, they iron (대려입는 데) their Western trousers daily, as if doing intense tanning (무두질), until the bottom of the iron (아이롱/대리미) wears through (뚜러지도록). They manage to set the crease (금) so sharply (날카롭게) that if you just lightly touched your head (대강이) to the trousers, it would practically shave itself (面刀가 될 지경이외다).
What does it matter if Western trousers are a bit creased (꾸부러젓스면)?
Furthermore, Korean people's trousers are bound to get creased. In Korean households with ondol floor heating (溫突방 살님), which is vastly different (달는) from the lifestyle of Westerners who use chairs and beds, how could trousers not get creased (않꾸부러 지겟슴니까)?
If, despite this, someone wears uncreased trousers, unless they are brand new or freshly ironed, they must be the kind of Western clothing slave (양복노예) who cannot even sit comfortably coiled up (되사리고 앉지를 못하고) but sits with legs bent in a '入' shape or sticks them out rudely (빼더버리고 앉는 따위).
If someone were to criticize creased trousers, those eyes (누깔) wouldn't be "Korean eyes" (조선누깔) but "hakurai eyes" (하구라이누깔 - imported/foreign eyes).
Now! Having reached this state, consider their actions (動作). We are granted the honor (光榮) of viewing for free (무료) the grandly (壯히) comical movements (익살마진 거동) of these gentlemen (諸氏) who adopt the appearance (차림차리) of the Western actor Maurice Chevalier (모리슈바리) seen in jazz (짜즈) movies (映畵), and lately, follow the style (스타일) of boxing (뻑씽) athletes (選手), going around in bright red (샛빨간) dress shirts (와이샤스), wrapping bandages (붕대) on the backs of their hands and bobbing annoyingly (껏떡대는 등), or swaggering (웃줄거리는 등) trying to walk with a dance (땐스) gait, applying 2/4 time signature (四分二拍字) steps (스텝). <228>

「ポクシンク- ダンス 知らずして 何ぞ 現代を 語に 至」らんザ! (How can one speak of the modern era without knowing boxing [ポクシンク-] and dance [ダンス]!) That sounds plausible.

However, this is certainly not me slandering (誹謗) boxing or dance here.

But it seems among the twelve peoples (열두 민족 - i.e., all peoples) of the world, there might be no populace (백성) born with such genius-like talent (천재적 소질) in all sorts of fields (온갓 방면) as the Korean people.
For example, in sports competitions (운동경기), it's because we lack money (돈); otherwise, in activities that don't require money (돈 않드는 노릇), we are decidedly (斷然) number one in the world (世界第一).
Before hearing the reason, some of you might laugh (우스실 분이 게신지 모르겟스나), but if you do, that's a hasty conclusion (早計) akin to trying to drink a whole well (움물). I shall tell you (말삼하오리가) the clear (뚜렷한) evidence (증거) for being world number one.
First (첫재), take baseball (野球). Since people are generally raised (길니워 나는 身勢들인지라) in difficult (艱難) Korean households, they can't practice from childhood with proper (본격적) sports equipment (운동기구). Instead, they come out with fire pokers (부지깽이) instead of bats (뺏도 방맹이) to practice baseball. Therefore, it's self-evident (自明한 사실) that their skills inevitably fall far behind (훨신 뒤떠러질박게 없는 것인즉) those of people in countries like America (米國) where this isn't the case. The fault (허물) lies not in innate (선천적) factors but acquired (후천적) ones. Better than that, there's a skill (才操) requiring slightly (조곰) less money where we excel: soccer (蹴球). That simply requires buying one football (풋뽈). The fact that we effortlessly defeated (繫退식힌 사실) the visiting Chinese Soccer Team (中華足球隊) from the sport's country of origin (宗主國) not long ago is enough to make one first (爲先) praise (讚嘆) the extraordinary talent (비범한 才質) of the Korean people by wagging one's tongue (혀부터 내휘둘늘 일인데다가). On top of that, the sport requiring even less money, where Koreans are absolutely top, is the marathon (마라송), running stark naked (뻘거벗고만 다러나는).
Now!
Where else could there be such a situation where the earth plays the drum (장구) and the sky (하눌) sings Yukjabaegi (육자백이)? No matter how great one's skill (재간), even if it could swallow Mount Tai (泰山) and roam (누는) the ocean (海洋), this sternly immovable (嚴然不動) fact cannot be denied (拒否치 못할 것이올시다).
If we, possessing such frightening potential (素質), had also received an ample (넉넉한) inheritance (유산) passed down (물녀준) from our topknot-wearing (상투달닌) fathers (아버지), wouldn't we have almost (뻔 않햇겟슴니까) kicked away this frustrating (답답한) lump of an Earth (지구 덩어리), gone to sit astride the lunar world (月世界), and hummed (코노래) to a beat (장단)?
However,
Thinking about all that stuff might lead to hospitalization (入院), so let's stop.
Rather, isn't it the spirit (意氣) born from the path pierced through the thornbush (가시밧속으로 뚤닌 길이 무르서) that further enhances our indomitable will (百折不屈) and strenuous effort (刻苦勉勵)? <229>
Well then, since this talk has branched off (枝葉), let's crawl back down (기어나려와서) to the root and trunk (根幹).
What I want is to denounce (罵倒식히고 싶은 것이니) the malignant trend (惡性流行) of blindly imitating (덮어놓고 模倣만 하는) boxing athletes (뻑씽 選手). Some people (혹자), commenting on (評해) boxing itself, say (가로되) that boxing is the most barbaric (야만적) and animalistic (동물적) form of exercise and scream (絶呌) for the rejection (排繫) of its cruelty (잔인성). While there are such nervous (神經質) types (流) of opinions, I want to say that boxing is the most light and cheerful (輕快明朗) form of exercise that gives a sense of realism (眞迫感), which only modern people can possess.
While I praise to the utmost (讚揚해 마지 않이하는 것이지만) boxing based on true sportsmanship, the springing up in crowds (簇出) of pseudo- (似而非) artificial silk-style (人造絹式) boxing athletes is truly an act (행위) worthy only of being despised and rejected (唾棄하고 빈속할만한).
For them, boxing is a modern trend, so as modern youths, they feel they can't even get married (장가조차 들수가 없은 즉) if they don't know how to box. Thus, they run wild (날뛰는) trying to at least imitate (숭내만이라도 내야되겟다고) it. We must be wary (警戒하는 말이 되겟슴니다) of this "boxing mania" (빽씽狂) or reckless action (妄動) stemming from delusion (認識超過). Because no matter how good boxing is, boxing *alone* (뻑씽 「만이」) is not the entirety of life.

It's the same with dance (땐스).
Hanging up Aristotle's (아이스톨) thesis (테제) from 3,000 years ago in Greece (希臘), "Man is a social animal (社交的 動物이니라)," social dance (社交땐스) rampantly spreads (橫行), intruding upon and sweeping through (闖入風靡하는) even Korea. Although I may not be a moral gentleman (道德君子) with the old bloodline (묵은 피줄) of the 500-year Yi Dynasty (李朝), I believe that this sort of thing is still not quite satisfactory (탐탁한 따위가 못되는 것이라고 봄니다) for acceptance (容認하기에는) in the reality (現實) of Korea (朝鮮) yet (아즉). How much more so (하물며) in today's (今日) Korea, where the sex education issue (性敎育問題), despite acknowledging (認定하면서도) both its legitimacy (正當性) and urgency (時急性), ends up starting but never finishing (有始無終에 긋치고 마는)? This is not to entirely disregard (전적으로 무시하는 것이 않이라) social dance, but rather seeing it as premature (時期尙早). Furthermore, among some (一部) who enjoy social dance, the fact that they treat it merely as (엔장으로 하는) a form of play (遊戲) closest to lewdness (淫渨에 갓가운), having lost the inherent sociability (社交性) of the dance, is truly beyond description (言語途斷이올시다).

These sorts of "newfangled scamps' goblins" (햇잡놈의 두억신이) dominate (跋扈하면서) the main streets of the capital (長安大路), tempting (誘惑하고) and manipulating (弄絡하니) weak-willed (心志薄弱) young women (婦女子) (that there are women wearing such masks is a separate issue (별문제로 하고)). Consequently, it is not a safety zone (安全地帶가 못되는 것이올시다) for decent, hungry common folk in Western clothes (배곱흔 洋服細民인 사람」) to pass through (지내댕길).

And so today, on the Chongno crossroads (asphalt), "He" (彼氏) and "She" (彼女) had set out (나섯던 것이올시다) for a walk together (同伴 散步). <230>

**Summary**

This article from 1935 critiques the blind adoption of Western and Japanese trends ("modern boys/girls," fashion like green suits and overly creased trousers, boxing, social dancing) among Korean youth in colonial Seoul (Kyŏngsŏng), particularly visible on Chongno street. The author laments the superficiality, loss of Korean identity ("Eastern spirit"), and disregard for Korean realities (like ondol floors making trouser creases inevitable). He contrasts this with perceived inherent Korean talents, especially in sports requiring less money (soccer, marathon running), suggesting Koreans possess great potential hindered only by poverty. He decries the imitation culture as a sign of weakness and warns against the potentially corrupting influence of trends like social dancing, seen as premature for Korea and often losing its intended social purpose for baser amusement.

From a historical perspective, this article is valuable for illustrating the cultural anxieties and social commentary prevalent in urban colonial Korea during the 1930s. It vividly portrays the tension between embracing modernity (often associated with the West and Japan) and preserving Korean identity under colonial rule. Historians can find insights into: 1) Contemporary critiques of Westernization/Japanization perceived as shallow imitation. 2) The socio-economic dimension of cultural adoption (critique of fashion impracticalities, highlighting sports accessible to the less wealthy). 3) Concerns about changing youth culture, morality, and the influence of foreign media (movies, sports figures like Maurice Chevalier). 4) The specific forms these trends took (NRA-inspired fashion, boxing poses, social dance).

**Named Entities**

申不出氏	신불출씨	Sin Pulch'ul Ssi
鍾路	종로	Chongno
京城	경성	Kyŏngsŏng
米國	미국	Miguk (USA)
東京	동경	Tonggyŏng (Tokyo)
「루즈벨드」大統領	루즈벨트 대통령	President Roosevelt
朝鮮	조선	Chosŏn (Korea)
西洋	서양	Sŏyang (The West)
中華足球隊	중화축구대	Chunghwa Ch'ukku Tae (Chinese Soccer Team)
希臘	희랍	Hŭirap (Greece)
「아이스톨」	아리스토텔레스	Aisŭt'ol (Aristotle)
李朝	이조	Ijo (Yi Dynasty)
NRA	NRA	NRA
長安大路	장안대로	Chang'an Taero (Main Street of the Capital / Chongno)
彼氏	피씨	Pissi (He/That gentleman - from Japanese)
彼女	가노	Kanŏ (She/That lady - from Japanese)

**Glossary**

漫談	만담	Witty talk, monologue, comic storytelling
枝葉	지엽	Branches and leaves; digression, minor details
諒焉	양언	To understand and forgive; classical Chinese expression
流行軍	유행군	Army of trend-followers
危篤	위독	Critical, serious (illness)
旣成文化	기성문화	Established culture
反逆的	반역적	Rebellious
녯탈	옛 탈	Old mask/persona; older spelling of 옛
새탈	새 탈	New mask/persona; older spelling of 새
모던 뽀이	모던 보이	Modern boy (loanword)
모던껄	모던 걸	Modern girl (loanword)
盲目的進從	맹목적 진종	Blind following/adherence
魑魅魍魎	이매망량	Goblins and monsters; unsavory characters
卒倒未遂	졸도미수	Attempted fainting
加味混沌湯	가미혼돈탕	Added flavor chaos soup; metaphor for a confusing mix
햇잡몸	햇잡놈	Newfangled scamp/rascal; derogatory, older term
햇잡년	햇잡년	Newfangled hussy; derogatory, older term
네거리	네거리	Crossroads, intersection
익살마진	익살맞은	Comical, clownish; older spelling
맨드러줌니다	만들어줍니다	Makes/causes; older spelling
마소서	마소서	Please don't; archaic/formal negative imperative
시방	시방	Now, currently; dialectal/older form
模倣人生	모방인생	Imitative life
얼	얼	Spirit, soul, consciousness
헤갈망신	해갈망신	Disgrace, humiliation; older idiom
衣裳美	의상미	Beauty of clothing/attire
東洋魂	동양혼	Eastern spirit/soul
몸둥아리	몸둥아리	Body; colloquial/slightly coarse
버스러저서는	벗어나서는	Deviating from; older spelling
洋奴種	양노종	Western slave type/breed; derogatory term
밧게	밖에	Only, nothing but; older spelling
맛칠	맞출	To match; older spelling
曲馬團	곡마단	Circus troupe
않임니다	아닙니다	Is not; older spelling
않이지만은	아니지만은	Although it is not; older spelling
淸高	청고	Noble and pure
氣品	기품	Dignity, grace
읏듬	으뜸	The best, top, paramount; older spelling
情趣	정취	Atmosphere, mood, sentiment
말어야	말아야	Must not (do); older spelling
샛파란	새파란	Bright blue
靑童	청동	Blue boy; someone dressed all in blue
도라단이는	돌아다니는	Wandering around; older spelling
다름질처 온	달음질쳐 온	Having run from; older spelling
엿슴니다	였습니다	Was; older spelling
연유	연유	Origin, reason
所謂	소위	So-called
靑鷲	청취	Blue Eagle (NRA symbol)
피엿든	피웠던	Which bloomed/was rampant; older spelling
올시다	올시다	It is; formal older form of 입니다
由緖	유서	History, origin, background
멫	몇	How many; older spelling
댐김니다	댕깁니다/다닙니다	Go around; older spelling/form
똑겅	뚜껑	Lid; older spelling
벡이는	벗기는	Taking off; older spelling
脫帽主義	탈모주의	Hat-off principle/ism (going hatless)
無帽主義	무모주의	No-hat principle/ism (going hatless)
올켓지요	옳겠지요	Would be correct; older spelling
업질넌는지도	엎질렀는지도	Perhaps spilled; older spelling
빤지르르하게	빤지르르하게	Smoothly, sleekly, greasily
비서 올님니다	빗어 올립니다	Combs up; older spelling
조고리	저고리	Upper garment, jacket (traditional or Western)
억개	어깨	Shoulder; older spelling
집어느어	집어넣어	Putting in; older spelling
맨들어	만들어	Making; older spelling
널빤지	널빤지	Plank, board
우에다가	위에다가	On top of; older spelling
맨든	만든	Made; older spelling
대강이	대가리	Head; colloquial/slightly coarse
올녀 놓은	올려 놓은	Placed upon; older spelling
喇叭바지	나팔바지	Bell-bottom trousers
넙적다히	넓적다리	Thigh; older spelling
무르팍	무르팍	Knee; colloquial/older form
발뒤굼치	발뒤꿈치	Heel; older spelling
넖게	넓게	Widely; older spelling
아이롱	아이롱	Clothes iron (loanword)
대리미	다리미	Clothes iron
뚜러지도록	뚫어지도록	Until a hole is made; older spelling
무두질	무두질	Tanning leather; fig. intense ironing
대려입는	다려입는	Ironing and wearing; older spelling
엇더케도	어떻게도	However; older spelling
面刀	면도	Shaving; razor
꾸부러젓스면	구부러졌으면	If it were creased; older spelling
엇덧슴니까	어떻습니까	How about it?; older spelling
달는	다른	Different; older spelling
溫突방	온돌방	Room with ondol floor heating
살님	살림	Housekeeping, living, household
않꾸부러	안 구부러	Not creased; older spelling
되사리고 앉다	똬리 틀고 앉다	To sit coiled up/cross-legged comfortably
빼더버리고	뻗대 버리고	Sticking out (legs) rudely/stiffly
양복노예	양복노예	Slave to Western clothes
누깔	눈깔	Eyes; coarse/vulgar term
하구라이	하쿠라이 (白來)	Japanese term for foreign/imported (often Western)
짜즈	째즈	Jazz (loanword)
映畵	영화	Movie, film
뻑씽	복싱	Boxing (loanword)
와이샤스	와이셔츠	White shirt / Dress shirt (loanword via Japanese ワイシャツ)
껏떡대는	끄떡대는	Nodding/bobbing annoyingly
땐스	댄스	Dance (loanword)
웃줄거리는	으스대는/휘청거리는	Swaggering, strutting; older form/spelling
四分二拍字	사분이박자	2/4 time signature
옴겨놓는	옮겨놓는	Transferring, applying; older spelling
壯히	장히	Grandly, greatly, impressively
말삼	말씀	Words, speech; older/honorific form
誹謗	비방	Slander, criticism, defamation
천재적	천재적	Genius-like
소질	소질	Talent, aptitude
백성	백성	People, populace, subjects
가량	가령	For example
艱難	간난	Hardship, difficulties
길니워 나는	길니어 나는 / 길러져 나는	Being raised; older spelling
身勢	신세	Circumstances, situation, one's lot
뺏도	배트	Bat (loanword)
방맹이	방망이	Club, bat
부지깽이	부지깽이	Fire poker, stick
뒤떠러질박게	뒤떨어질 밖에	Only to fall behind; older spelling
허물	허물	Fault, blame, defect
조곰	조금	A little; older spelling
낳은	나은	Better; older spelling
才操	재조	Talent, skill (often 재주)
蹴球	축구	Soccer, football
풋뽈	풋볼	Football / soccer ball (loanword)
宗主國	종주국	Suzerain state; here, country of origin (of a sport)
繫退	격퇴	Repel, defeat (likely intended 격퇴)
식힌	시킨	Caused to; older spelling
가히	가히	Quite, truly, deservedly
才質	재질	Talent, disposition, quality
讚嘆	찬탄	Admiration, praise
혜	혀	Tongue
내휘둘늘	내휘두를	To wag, brandish; older spelling
뻘거벗고	빨개벗고	Stark naked
다러나는	달아나는	Running; older spelling
마라송	마라톤	Marathon (loanword)
장구	장구	Hourglass-shaped drum
하눌	하늘	Sky; older spelling
육자백이	육자배기	A genre of Korean folk song
泰山	태산	Mount Tai; fig. great mountain/task
집어먹구	집어먹고	Gulping down, swallowing whole; older spelling
누는	누비는	Roaming, traversing; likely intended 누비는
재간	재간	Skill, talent, capability
嚴然不動	엄연부동	Sternly immovable, undeniable, solid
물녀준	물려준	Handed down, bequeathed; older spelling
있드라면	있더라면	If there were; older spelling
차내던지고	차내던지고	Kicking away
月世界	월세계	Lunar world, the moon
걸터 앉어서	걸터 앉아서	Sitting astride/perched; older spelling
코노래	콧노래	Humming
첫슬 뻔	쳤을 뻔	Would almost have beaten/played/struck; older spelling
않햇겟슴니까	않했겠습니까	Wouldn't it/one have?; older spelling
가시밧속	가시밭 속	Inside a thorny field/bush
뚤닌	뚫린	Pierced, opened; older spelling
무르서	-(으)로서?	Particle indicating means, status, or cause; older/unclear form
百折不屈	백절불굴	Indomitable spirit, unbreakable perseverance
刻苦勉勵	각고면려	Strenuous effort and diligence
도두와 주는	돋우어 주는	Encouraging, enhancing, boosting; older spelling
意氣	의기	Spirit, mettle, vigor
根幹	근간	Root and trunk; the core, basis
기어나려와서	기어 내려와서	Crawling down
惡性流行	악성 유행	Malignant/harmful trend
罵倒	매도	Denunciation, verbal abuse
가로되	가로되	Saying; archaic verb form
排繫	배격	Rejection, boycott, denunciation (likely typo for 排擊)
絶呌	절규	Scream, outcry
輕快明朗	경쾌명랑	Light and cheerful
眞迫感	진박감	Sense of urgency/realism
似而非	사이비	Pseudo-, imitation, sham
人造絹式	인조견식	Artificial silk style; fake, imitation
簇出	족출	Springing up in crowds, emerging en masse
唾棄	타기	Despise and reject, spit upon
빈속할만한	빈축할 만한	Worthy of frowns/disapproval
할즐 몰나가지고는	할 줄 몰라 가지고는	Being unable to do; older spelling
숭내	흉내	Imitation, mimicry
날뛰는	날뛰는	Jumping around wildly, acting frantic
빽씽狂	복싱 광	Boxing mania/fanatic
認識超過	인식 초과	Exceeding recognition; delusion, megalomania?
妄動	망동	Reckless action, rash behavior
喝破	갈파	Elucidation, clear exposition, articulate analysis
社交的 動物	사회적 동물	Social animal
테제	테제	Thesis (loanword from German/French)
겇임없이	거침없이	Without hesitation, freely, rampantly; older spelling
橫行	횡행	Rampant, widespread (negatively)
社交땐스	사교 댄스	Social dance
闖入風靡	침입풍미	Intrusion and sweeping prevalence/popularity
피줄	핏줄	Bloodline
道德君子	도덕군자	Man of high morals, virtuous person
아즉	아직	Yet, still; older spelling
容認	용인	Acceptance, approval, toleration
탐탁한	탐탁한	Satisfactory, pleasing, agreeable
하물며	하물며	Let alone, moreover, furthermore
時急性	시급성	Urgency
아울너	아울러	Together with, besides; older spelling
有始無終	유시무종	Starting but not finishing, incomplete
긋치고 마는	그치고 마는	Ending up merely stopping; older spelling
時期尙早	시기상조	Premature, too early
淫渨	음란	Lewdness, obscenity (渨 likely typo for 亂)
갓가운	가까운	Close to; older spelling
遊戲	유희	Play, amusement, game
엔장으로 하는	연장으로 하는?	Using merely as, treating as; unclear phrase, context suggests reduction
言語途斷	언어도단	Absurdity, beyond description, ridiculous
햇잡놈의 두억신이	햇잡놈의 두억시니	Newfangled scamp's goblin/monster; derogatory spirits/figures
跋扈	발호	Rampant arrogance, domination, prevalence
心志薄弱	심지박약	Weak-willed, lacking determination
弄絡	농락	Trifling with, manipulating, making sport of
배곱흔	배고픈	Hungry; older spelling
洋服細民	양복세민	Common people in Western clothes / poor people aspiring to wear Western clothes
지내댕길	지내 다닐	To pass through, frequent; older spelling
安全地帶	안전지대	Safety zone


---------------------------


잡지명	삼천리 제7권 제8호
발행일	1935년 09월 01일
기사제목	申不出氏 漫談傍聽記-寬大한 男便
필자	一記者
기사형태	세태비평

申不出氏 漫談傍聽記-寬大한 男便
						一記者
(承前) 얘기 줄거리에서 말이 枝葉으로 흘너 나가 여러 가지 꽃이 피게 되는 것은 漫談이 가지는 하나의 特權이올시다.
듯기 싫이신 분은 聽權抛棄 혹은 會場脫退를 하시는 정도의 자유를 드리겟습니다.
또 흔이 말말 끝에 英語나 日本內地말이나 또는 自家用術語가 나오드라도 以次 諒焉 하실박게 없읍니다.<226>

流行!
鍾路는 流行軍의 陳列場이외다. 이 危篤한 流行病 환자들을 受容하고 있는 京城은 醫師를 잃어버린 하나의 커다런 病院이기도 함니다.
대체 유행이란 것은 一浮一沈하는 時代的 現象인 동시에 旣成文化에 대한 反逆的 행동에서부터 울어저 나온 다시 말하면 「녯탈」을 벗고 「새탈」을 쓰자는 것이 現代的 性格의 한 特徵일 수 있는 것이매 모름즉이 「모던 뽀이」와 「모던껄」이란 새로운 流行兵士들의 大進軍을 우리는 그야말로 旗를 높이 들고 萬歲歡呼라도 해주워 맛당한 일일 수 있음즉 하되 흔이 우리 兄弟姉妹諸氏들 중에는 「모던」이란 무엇인지도 모르고서 덮어놓고 남이 하니까 나도 나도 하고 盲目的進從으로 魑魅魍魎이 탈을 쓰고 나와서 각금 사람으로 하여금 卒倒未遂를 하게 하는 수가 많읍니다.
게다가 요즈막에는 加味混沌湯을 대려 잡수셔서 그 놀나운 發作的 症狀이라니 과연 殺人的 愛嬌로 박게는 더 볼 수 없읍니다. 엇던 險口는 「모던뽀이」 「모던껄」을 조선말노 「햇잡몸」 「햇잡년」이라고도 하엿다지만 근래에는 流行洪水의 범람으로 君子淑女의 발드딀 자리조차 없어젓슴니다. 鍾路 네거리를 떡 나스기만 하면 流行戰線의 前衛部隊들인 勇士諸氏들의 변덕스러운 衣裳과 익살마진 동작이 각금 사람들노 하여그 「눈맛」이 없도록 하는 외에 또한 消化劑를 찾게 맨드러줌니다.
유행이라고 반다시 다 낫부오리까만은
마소서!
제발 마소서! 이 땅이 시방 어데로 가는 지도 모르고 「模倣人生」에 관격이 되어서 「얼」이 빠저 헤갈망신을 한단말인고?!

衣裳美라고 하는 거슨 色이요 線이니 품질의 優劣은 둘째 문제로 하드라도 먼저 基本條件은 體格에서 좌우되는 것이라고 봄니다.
