**잡지명**	삼천리 제8권 제1호
**발행일**	1936년 01월 01일
**기사제목**	米洲에서 活躍하는 白衣人才, 요지간은 엇든 분들이 社會에서 活動하는고 (White-Clad Talents Active in the Americas, What Kind of People are Active in Society These Days?)
**필자**	具滋玉
**기사형태**	소식 (News/Report)

White-Clad Talents Active in the Americas, What Kind of People are Active in Society These Days?
						Ku Chaok

Among our society's people, who lag behind others in everything, if there are many talented individuals who have gone abroad to foreign lands or far overseas, standing shoulder-to-shoulder with many people from the much more advanced social strata there, or clearly making their presence known, this would surely be nothing less than a delightful matter.

Among these, speaking of our Orient, in the direction of China or Tōkyō, due to geographical relations or various other reasons, many frequently travel back and forth, and since it's relatively easy for many to go, many talented individuals, perhaps unseen even in our own society, have emerged, and it could be said to be quite easy for such people to make their existence known. However, for a Korean, whatever the circumstances, to cross the distant Pacific Ocean and go as far as the West (西洋) to make their name distinctly known is not something that can be called an easy task.

Although I have briefly visited the United States (米國), because I couldn't stay there for long, and also because it was already 5 or 6 years ago, for me to sit here now and try to highlight those active in the Americas (米洲) would be an extremely difficult task, and moreover, it seems difficult to investigate their existences fairly across various fields.

This is none other than because those who have gone to the Americas are currently divided into factions of Northwesterners (西北人) and Capital Region/Central Westerners (畿湖人), putting them in a situation that cannot be described as very harmonious.<102> Therefore, even if I were to list the active figures in the Americas here, though certainly not my intention, if, perhaps due to my lack of knowledge or because I failed to think of them, individuals who absolutely should be singled out and recorded are omitted, I think it would be quite an unpleasant matter.

However, as I mentioned before, with the intention of introducing, to the best of my ability, the various personages active in that distant land of the West, the Americas, I have even asked those who recently returned from the Americas for some helpful words, and thus, I am writing this piece as fairly and detailedly as I can.

Regarding those active in the Americas or Hawai'i (布哇), there are many who gained fame long ago, and many who refresh our memories (憶), but I will omit those distinguished talents of yesteryear here and only highlight the figures active in the United States and Hawai'i in the recent past.

Then, in getting to know these individuals, rather than looking at the sectors of social activity, I will try to get to know them by the cities where they reside.

However, at this point, my brush momentarily pauses. This is because, even if I don't specifically write them down here anew, I cannot fail to mention the existence of Dr. Sŏ Chaep'il (徐載弼博士), Mr. Yi Sŭngman (李承萬씨), and Mr. Chang Tŏksu (張德秀씨), whom you all, as well as people worldwide, know well.
Of course, there is no need for me to write down their biographies or recent movements here, and so I have decided to omit discussion of these three individuals in particular.
My words about them, whom you know well, would be entirely unnecessary, and moreover, I refrain from speaking of them.

New York City (紐育市)

Speaking of New York, it is the world's largest city, said to count a population of 7 to 8 million. Many Koreans live in this city, but it is probably the place with the most East Asians among them. Needless to say, Mr. Sŏ Chaep'il, Mr. Yi Sŭngman, and Mr. Chang Tŏksu, mentioned above, all reside here, and besides them, there are many personages showing distinct presence in various fields like commerce (商業界) and education (敎育界). Among them,

Mr. An Chŏngsu (安定洙氏) has been in America for an astonishing 30-some years and is now around 50 years old. He is someone who has accumulated great wealth several times in the past and is a hardworking and diligent person. He is likely one of the influential figures active in many aspects of the New York Korean society.<103>

*Kang Yonghŭl (*鏮訖氏) is a young scholar under 40, whose fame is high not only in the American literary scene but widely recognized globally. The fact that he once caused a great sensation in the American literary world by publishing his work "The Grass Roof" (『草堂』) is still fresh in our memories. Mr. Kang is a professor at the City College of New York, lecturing on East Asian literature, and besides "The Grass Roof," he has several other books. He is married to an American woman and leads a happy family life. Last year, as a Guggenheim Fellow, he spent a year in Europe studying various cultures, returned to New York last fall, and is said to be still lecturing as usual.

Mr. Yi Chinil (李鎭一氏) is a merchant over 50 who runs a large Oriental goods store near New York City's Chinatown. Although he doesn't have much formal education, he is a diligent hard worker and activist, and it is said he has now become a great millionaire worth several hundred thousand won.

Mr. An Sŭnghwa (安承華氏) is a scholar who graduated from George Washington University (華府大學). Upon leaving school, he turned to the business world (商界) and is also running a large Oriental goods trading company.

San Francisco (桑港)

Mr. Kim Kang (金岡氏) was originally born in Kyŏngsŏng (京城 - Seoul) and evangelized in Seoul for a long time before he and his wife went to America long ago. He previously graduated from the University of Southern California (南加州大學), obtained an M.A. degree, and while currently studying intensely towards a doctorate, he and his wife, holding hands firmly, run a grocery store, and it is said their assets now amount to several hundred thousand won.

Mr. Ha Sangok (河相玉氏) is also under 50 years old. He and his wife lead a comfortable family life there, while also running a tailoring business and being active in various fields.

Los Angeles City (「로스앤젤스」市)

Mr. Song Chongik (宋鐘翊氏) is likely one of those well-known individuals in our society since earlier times. As the chairman of the Hŭngsadan (「興士團」), he is said to be highly renowned in the Korean society of the Americas. Being such a businessman active in many fields, he has also reportedly accumulated considerable wealth.

Mr. Kim Hyŏngsun (金衡淳氏), joining hands with Mr. Kim Chŏngjin (金廷鎭氏), organized a company and is said to be running a large-scale fruit brokerage business (菓物仲介商). It is reportedly one of the leading Korean companies there, quite a large firm. This gentleman, still around 50 years old, is a promising businessman (商業家), and just seeing that in Los Angeles city, whichever bank they deal with, they do business on a larger scale than Americans, one can easily grasp how large-scale this Fruit Brokerage Company (菓物仲介會社) run by these two gentlemen is.<104>

Mr. Kim Chŏngjin (金廷鎭氏), as mentioned above, is a talented person who, in partnership with Mr. Kim Hyŏngsun, runs a large company focused on fruit brokerage. Although these two gentlemen may not have much formal education, it is said that even white people click their tongues in admiration (헤를 쯜쯜 찬다고 - lit. click their tongues) at their agile and entrepreneurial activities.

Chicago City (市加古市)

Mr. Kim Kyŏng (金慶氏) is a hard worker who started a restaurant (「飮食店」) business in this city and amassed great wealth. He is around 50 years old and has little formal education. However, given his diligent activity, his wealth of several hundred thousand won cannot be considered mere coincidence.

Mr. Chŏng T'aeŭn (鄭泰殷氏) is also around 50 years old and is said to be one of those who crossed over from their homeland empty-handed and succeeded. Mr. Chŏng reportedly started manufacturing ingredients for Chinese cuisine and amassed great wealth. He is likely a millionaire worth several hundred thousand won. Mr. Chŏng also enjoys being active in various aspects of society, and one can easily guess how diligent and energetic he is.

Mr. Yŏm Kwangsŏp (廉光燮氏) received his doctorate from the University of Chicago (시카고대학) and is currently the head librarian at the same university. He is a devoted scholar (篤學者) and erudite academic, said to be a shining presence even in the American academic world. Still under 50, he is reportedly still racking his brains (머리를 썩이고 잇다는 것이다) over research and scholarly pursuits.

Detroit City (띄추로드市)

Mr. An Chaech'ang (安在昌氏), Mr. Chŏng Yangp'il (鄭養弼氏), Mr. Cho Taehŭng (趙大興氏) – these three gentlemen have organized a large company manufacturing ingredients for Chinese cuisine and are quite active on a large scale. Some years ago, when I visited the United States, I happened to find the company run by these gentlemen. At that time, I saw they had 12 freight trucks (荷物自動車) for delivering the ingredient products. Seeing that alone, one can easily tell how large-scale a business these gentlemen are running.

There are so many talented individuals within the US mainland and many others active in various other fields, but I will stop here. Next, I would like to write about a few individuals who are showing a distinct presence within the island of Hawai'i (布哇島內). Speaking of this island of Hawai'i, historically, it goes without saying, but even currently, it is the land where the most Koreans live and has the deepest relationship with us.

Let's find out who are the most renowned individuals within this island. There are many Korean talents in Hawai'i, and even our schools have all been established there.
Among them, we cannot help but first single out the two individuals below.

Mr. Yang Yuch'an (梁裕贊氏) is a renowned physician. He graduated with honors from Boston University School of Medicine (뽀스톤의과대학) and currently runs a clinic in Honolulu City (호노루루市), Hawai'i. His reputation is said to be high among both locals and foreigners today. Mr. Yang married an American woman (米女國 - likely meant 米國女 'American woman') (Continued on page 65)<105>
<65>

**Summary**

This 1936 article by Ku Chaok introduces prominent Koreans active in the United States and Hawai'i. The author acknowledges the difficulty of providing a comprehensive and unbiased list due to regional factionalism (Northwestern vs. Central Western Koreans) within the diaspora community and his own limited time spent in the US years prior. Despite this, he highlights individuals successful in various fields like business (trade, restaurants, groceries, fruit brokerage, ingredient manufacturing), academia (literature, library science), and medicine, mentioning specific cities like New York, San Francisco, Los Angeles, Chicago, Detroit, and Honolulu. Notable figures like Sŏ Chaep'il, Yi Sŭngman, and Chang Tŏksu are acknowledged but intentionally omitted from detailed discussion. The article emphasizes the achievements of Koreans who overcame challenges to establish themselves in Western society.

For historians, the article offers valuable insights into the early Korean diaspora in America. The explicit mention of regional factionalism (Northwestern vs. Kihu) among immigrants is significant (<102>). It also provides contemporary accounts of specific individuals and their economic activities, showcasing diverse paths to success beyond political activism, including entrepreneurship in various sectors like Oriental goods, food services, and even large-scale fruit brokerage dealing substantially with American banks (<104>). The mention of Kang Yonghŭl's literary success and academic position (<103>), Yŏm Kwangsŏp's role at the University of Chicago library (<104>), and Yang Yuch'an's medical practice in Hawai'i (<105>) illustrate integration and achievement in professional fields. The scale of some businesses, like the Detroit company with 12 delivery trucks (<104>), hints at the economic foothold some Koreans were establishing.

**Named Entities**

米洲	미주	Miju (The Americas)
白衣人才	백의인재	Paegŭiinjae (White-Clad Talents, i.e., Koreans)
具滋玉	구자옥	Ku Chaok
西洋	서양	Sŏyang (The West)
米國	미국	Miguk (United States)
西北人	서북인	Sŏbugin (Northwesterner)
畿湖人	기호인	Kihoin (Person from Kyŏnggi & Ch'ungch'ŏng provinces area)
布哇	포와	P'owa (Hawai'i)
徐載弼博士	서재필 박사	Sŏ Chaep'il Paksa (Dr. Seo Jae-pil)
李承萬	이승만	Yi Sŭngman (Syngman Rhee)
張德秀	장덕수	Chang Tŏksu
紐育市	뉴욕시	Nyuyok-si (New York City)
安定洙	안정수	An Chŏngsu
*鏮訖	*강흘	*Kang Hŭl (Likely Kang Yonghŭl 강용흘 based on context)
草堂	초당	Ch'odang (The Grass Roof - book title)
紐育시립대학	뉴욕 시립대학	Nyuyok Sirip Taehak (City College of New York)
李鎭一	이진일	Yi Chinil
安承華	안승화	An Sŭnghwa
華府大學	화부대학	Hwabudaehak (George Washington University - 華府 is an old name for Washington D.C.)
桑港	상항	Sanghang (San Francisco - old Korean name)
金岡	김강	Kim Kang
京城	경성	Kyŏngsŏng (Old name for Seoul)
南加州大學	남가주대학	Namgaju Taehak (University of Southern California)
河相玉	하상옥	Ha Sangok
「로스앤젤스」市	로스앤젤스시	Rosŭaenjelsŭ-si (Los Angeles City)
宋鐘翊	송종익	Song Chongik
興士團	흥사단	Hŭngsadan (Young Korean Academy)
金衡淳	김형순	Kim Hyŏngsun
金廷鎭	김정진	Kim Chŏngjin
菓物仲介商	과물중개상	Kwamul Chunggaesang (Fruit Brokerage Business)
菓物仲介會社	과물중개회사	Kwamul Chunggae Hoesa (Fruit Brokerage Company)
市加古市	시카고시	Sik'ago-si (Chicago City)
金慶	김경	Kim Kyŏng
飮食店	음식점	Ŭmsikchŏm (Restaurant)
鄭泰殷	정태은	Chŏng T'aeŭn
廉光燮	염광섭	Yŏm Kwangsŏp
시카고大學	시카고대학	Sik'ago Taehak (University of Chicago)
띄추로드市	디트로이트시	Tit'ŭroit'ŭ-si (Detroit City - transliteration)
安在昌	안재창	An Chaech'ang
鄭養弼	정양필	Chŏng Yangp'il
趙大興	조대흥	Cho Taehŭng
荷物自動車	화물자동차	Hwamul Chadongch'a (Freight truck)
布哇島內	포와도내	P'owadonae (Within Hawai'i Island)
梁裕贊	양유찬	Yang Yuch'an
뽀스톤의과대학	보스턴 의과대학	Posŭt'ŏn Ŭikwa Taehak (Boston University School of Medicine - transliteration)
호노루루市	호놀룰루시	Honollullu-si (Honolulu City)

**Glossary**

엇든	어떤	What kind of, which (older spelling)
뒤떠러진	뒤떨어진	Lagging behind (older spelling/form)
異域	이역	Foreign land, alien territory
억개	어깨	Shoulder (older spelling)
나라니 하다	나란히 하다	To stand side-by-side
알니우기	알리기	Making known, informing (older verb form)
잇겟스나	있겠으나	Although there is/are (older spelling/ending)
머-ㄴ	먼	Far, distant (older spelling with hyphen indicating length)
잇서도	있어도	Even though one was there (older spelling)
못잇슨	못 있은	Could not be/stay (older spelling/form)
안저	앉아	Sitting (older spelling)
둘처내여	들춰내어	To bring up, single out, expose (older spelling/form)
십다	싶다	To want to, seems likely to (older spelling)
나가잇는	나가 있는	Who are out/abroad (older spelling/form)
상금도	지금도	Even now (likely typo or archaic form for 지금도)
사히	사이	Relationship, interval, space (older spelling)
노여잇다	놓여 있다	Is placed, is situated (older spelling/form)
하드래도	하더라도	Even if one does (older dialectal/colloquial form)
반듯이	반드시	Surely, certainly (older spelling)
압헤서	앞에서	Before, in front of (older spelling)
가치	같이	Like, together with (older spelling)
그러케	그렇게	Like that, so (older spelling)
할가	할까	Shall I do? (older spelling of interrogative ending)
한데까지	한테까지	To (someone), up to (someone) (older form of 한테 + 까지 particle combination)
쓰노라고	쓰노라고	While writing, stating that one writes (older narrative ending)
날니든	날리던	Who were famous, who were making fly (older spelling/form)
만코 만허	많고 많아	Being very many (older spelling/connective form)
갓가운	가까운	Near, recent (older spelling)
들추워	들추어	To bring up, single out (older spelling/form)
알어가는데	알아가는 데	In the process of getting to know (older spelling/form)
안코	않고	Not doing (and), without doing (older spelling contraction)
멈처지는	멈춰지는	Being stopped, paused (older spelling/form)
놋치	놓지	Not putting down, not writing (older spelling/form)
안는다	않는다	Does not (do) (older spelling)
안흘	않을	Will not (do) (older spelling)
업겟고	없겠고	There probably isn't/aren't (older spelling/form)
빼여노키로	빼놓기로	Deciding to exclude/omit (older spelling/form)
잇슬	있을	That will be, that exists (older spelling)
업스려니와	없으려니와	Not only is it unnecessary, but also... (older spelling/form)
박게도	밖에도	Besides, outside too (older spelling)
만타	많다	To be many, much (older spelling)
놀나울	놀라울	Surprising, astonishing (older spelling)
게신	계신	Who is/are (honorific) (older spelling)
엇고	얻고	Obtaining (and) (older spelling)
굿게	굳게	Firmly (older spelling)
나히	나이	Age (older spelling)
이루워	이루어	Forming, achieving (older spelling/form)
알여저	알려져	Being known (older spelling/form)
모와 가지고	모아 가지고	Having gathered/saved (older spelling/form)
가젓슬망정	가졌을망정	Even though one possessed/had (older spelling/form)
헤를 쯜쯜 찬다고	혀를 쩔쩔 찬다고	Clicks one's tongue in admiration/astonishment (idiom, older spelling of 혀)
밧고	받고	Receiving (and) (older spelling)
썩이고 잇다	썩이고 있다	To be racking (one's brains), lit. 'rotting' (fig. use, older spelling)
갓술	갔을	When (one) went (older spelling/form)
찻게	찾게	To come to find/visit (older spelling/form)
잇슴을	있음을	The fact that there is/are (older spelling)
함은	함은	The fact of doing (is) (older spelling/form)
멧분	몇 분	Several people (honorific) (older spelling)


---------------------------


잡지명	삼천리 제8권 제1호
발행일	1936년 01월 01일
기사제목	米洲에서 活躍하는 白衣人才, 요지간은 엇든 분들이 社會에서 活動하는고
필자	具滋玉
기사형태	소식

米洲에서 活躍하는 白衣人才, 요지간은 엇든 분들이 社會에서 活動하는고
						具滋玉
모든 것이 남들헌데 뒤떠러진 우리 사회의 사람들로서 異域이나 멀니 해외에 나가서, 그곳의 훨신 뛰여난 사회층의 만흔 사람들과 억개를 나라니 하거나 또는 뚜렷하게 그 존재를 나타내고 잇는 만흔 인재들이 잇다면, 이는 실로 깁분 일이 아니라 할 수 업슬 것이다.
그 중에서도, 우리 동양으로 말하면 중국방면이나 東京방면은 지리상 관계로나 또는 엿러가지로 만히들 자주 건너도 단이고 또 만히들 쉽게 갈 수가 잇는 관게로 해서, 우리 사회에서도 어더볼 수 업슬 만치 훌융한 인재들이 만히 나타나기도 하엿고 또는 그런 이들이 만히 존재를 알니우기가 매우 쉬운 일이라 할 수가 잇겟스나, 더구나, 조선사람으로 어찌되엿든, 머-ㄴ 태평양 바다를 건느고, 서양(西洋)에까지 나아가서 그 일홈을 뚜렷이 나타내고 잇다는 것은 그리 쉬운 일이라고 할 수는 업는 일이다.
나는 미국(米國)에 잠시 갓다온 일은 잇서도, 오랜동안 그곳에 못잇슨 관게로 해서, 또는 벌서 5,6년 전의 일인 관게로 해서, 지금에 안저, 그 곳 米洲에서 활약하는 이들을 둘처내여 본다는 것은 심히 어려운 일일 것이며 더구나 공평되히 다방면으로 존재들을 알아보기가 어려울 듯 십다.
그것은 다름이 아니라, 미주방면에 나가잇는 이들로 말하면 상금도 西北人과 畿湖人과의 派로 나누워 잇서 그리 원만한 사히라고는 말할 수 업는<102> 처지에 노여잇다. 그럼으로 내가 이 자리에서 만약 미주에서 활약하는 인물들을 적어 가는데 잇서서도 물론 나의 고의는 아니라 하드래도 혹 나의 지식의 부족으로 해서나, 또는 미처 생각치 못하게 되여, 그들 가운데서, 반듯이 둘처내여서 적어야 할 인물들이 빠지게 된다면 여간 재미롭지 못한 일이 아닐가 생각되는 바이다.
그러나 나는 압헤서 말하여 온 바와 가치, 그러케 먼 서양이란 땅, 미주에까지 나아가서 활약하는 여러 인사들을 내 힘 자라는 데까지를 다해서 이 기회에 소개할가 하는 의도에서, 최근에 미주에서 돌아온 이들한데까지 다소 참고될 만한 말을 물어서, 나로서는 그래도 공평하고 자세하게 이 一文을 쓰노라고 하는 바이다.
미주나 布哇(하와이) 방면에서 활약하는 사람들이라고 하면, 오래 전부터 명성을 날니든 이들도 만코 만허, 우리의 憶에 새롭게 하는 이들이 잇지만, 그런 전날의 훌융한 인재들은 이 자리에서 그만두기로하고 다만 갓가운 최근에 米國과 布哇방면에서 활약하는 인물들을 들추워 보기로 하겟다.
그러면 그분들을 알어가는데 잇서 사회활동의 부분으로 보지안코, 그냥 그분들이 머물러 잇는 도시별로 알어보기로 하겟다.
