Magazine Title:	삼천리 제8권 제1호
Publication Date:	1936-01-01
Article Title:	時調講座 - 時調鑑賞과 作法(續), 삼천리 문예강좌, 제3회 개강 (Sijo Lecture - Sijo Appreciation and Composition (Continued), Samch'ŏlli Literary Lecture Series, 3rd Session Opening)
Author:	李秉岐
Article Type:	논설 (Editorial/Essay)

Sijo Lecture - Sijo Appreciation and Composition (Continued), Samch'ŏlli Literary Lecture Series, 3rd Session Opening
						Yi Pyŏnggi
Author Introduction
Mr. Yi was born in Ch'ungch'ŏng Province and is a 48-year-old scholar and writer. He currently teaches at Hwimun Kobo High School. He has deep knowledge of Sijo and "Han'gŭl," and also uses the pen name "Karam," under which he has published many Sijo works to date.
He is a member of the "Chosŏnŏ Hakhoe" (Korean Language Society).

I. Appreciation

On the day the sun sets over the Amnok River, my lovely dear love,
To where do you go, across the ten thousand li of Yŏnun?
When the spring grass grows green and greener, please return immediately.

The above is a work by Chang Hyŏn, a man from the time of King Sukchong of the Yi Dynasty. This is also a song of farewell.
The sun is dimly setting, the wind is cold, and the withered reed leaves whisper rustlingly by the Amnok River as the lovely lover is sent off. "Lovely" (에엿븐) describes not only the lover's appearance but also their lovable heart. Such a lover departs by boat. After crossing that vast, ocean-like<202> river, they follow a stifling path through fields where not even a single mountain is visible for ten days – where could they possibly be heading? However, if they go, when the grass sprouts next spring and that grass becomes green and greener, please return immediately. If they could return even before then, there would be no need to mention the time when the grass turns green. Indeed, "When the spring grass grows green and greener, please return immediately" is the most crucial part of this song. Saying "When the spring grass grows green and greener" (봄풀이 푸르고 푸르거든) could not be replaced with "When the spring flowers grow red and redder" (봄꽃이 붉고 붉거든). This is because it does not align with our sentiments. And repeating the word "green" (푸르다) as in "green and greener" (푸르고 푸르거든) greatly emphasizes the following phrase "please return immediately" (즉시 돌아오소서). It feels like saying "Quickly, quickly, return immediately." The word "immediately" (즉시) is truly skillful. It is stated frankly and well. The divine resonance (神韻) of our language seems to come alive. It is precise and clear.

When have I ever lacked faith, when did I ever deceive you, my love,
That by the third watch (3更), under the sinking moon (月沈), there is no sign of your coming?
The sound of leaves falling in the autumn wind (秋風)—what can I do about it?

The above is a work by the famous kisaeng Hwang Chini from the time of King Myŏngjong of the Yi Dynasty. A song lamenting separation.
Wŏlch'im (月沈) refers to the dim moonlight. Samgyŏng (3更) is midnight, around 12 PM. Ŏi (어이) means "how" or "what."
"When have I ever lacked faith, when did I ever deceive you, my love" (내 언제 信이 업서 님을 언제 속엿관대), when examined closely, might seem a bit harsh, but it is not actually a harsh statement; it is a cry arising from unbearable emotion.<203> She waits, wondering if perhaps, perhaps he will come. Now and then, a rustling sound is heard. Thinking he has finally arrived, she opens the door (門), only to find it is the sound of leaves falling in the autumn wind. She has been deceived like this many times while waiting. It's not that the lover deceived her, but since the lover doesn't come and she keeps getting deceived, she cannot help but utter resentful words like "When have I ever lacked faith, when did I ever deceive you, my love." Especially when the moon is dim and midnight passes without his arrival. Still, each time the sound of falling leaves occurs, it is freshly unbearable. It is the same situation as "Though I clearly know it is not the sound of dragging shoes (曳履聲), in my longing and regretful heart, perhaps I wonder if it might be." Truly, there is nothing to do but say, "What can I do about it?" (낸들 어이하리오).

My love, from whom I parted, weeping and holding on, as pear blossoms scattered like rain (梨花雨),
Amidst the autumn wind and falling leaves (秋風 落葉), does he too think of me?
Only a lonely dream travels back and forth across a thousand li (千里).

This too is a song lamenting separation. By Yi Maech'ang, a famous kisaeng of Puan from the time of King Myŏngjong.
Yi Maech'ang was also named Kyesaeng (桂生) or Kyenang (桂娘), sang well, played the kŏmungo (검은고) well, and was skilled in poetry and prose (詩文). Although miscellaneous stories about her are recorded in the *Sok Kogŭm Soŏp* (續古今笑嶪), she was actually pure and outstanding in character. She was close to a man named Ch'onŭm Yu Hŭijin (村陰劉希塵), but after Ch'onŭm returned to Kyŏngsŏng (京城 - Seoul) and sent no news, she is said to have composed this song and maintained her fidelity (守節).
Ihwau (梨花雨) means pear blossoms falling in the rain. During the spring season when pear blossoms scatter like rain, she tearfully held his hand and parted. Now, suddenly, the desolate autumn wind blows, and leaves fall one by one <204>, lifelessly disappearing. Facing this autumn, she wonders if that Ch'onŭm also thinks of her (Maech'ang). Occasionally, they meet in dreams. Across a distance of a thousand li, only such dreams come and go. With no news from spring to autumn, how intensely curious and frustrated she must be. The "he too" (저도) in "does he too think of me" (저도 나를 생각는지) is a probing phrase, suggesting that since sometimes in dreams she goes to see him, and other times he comes to see her, perhaps he hasn't forgotten her entirely without a care. However, it is but an empty dream, and upon waking, it is gone. Naturally, it becomes a source of sorrow, and the tears soaking her cheeks never dry.

Having parted from my dear love on a journey of ten thousand li,
With no place to rest my heart, I sit by the stream;
That water too seems like my own heart (내안), weeping through the night.

This too is a song lamenting separation. It is said to have been composed by Wang Pangyŏn, a Kŭmbu Tosa (禁府都事) during the reign of King Sejo of the Yi Dynasty, one night while escorting King Tanjong, sitting on the banks of the curving rapids at Sŏgang Ch'ŏngnyŏngp'o in Yŏngwŏl. Alternatively, it is said that Wang Pangyŏn went to Yŏngwŏl with poison (死藥) for King Tanjong but couldn't bring himself to administer it. He hesitated, whereupon King Tanjong's attendant volunteered to take responsibility, and Tanjong was ultimately strangled. Whether Wang Pangyŏn truly composed it is unknown, but it seems certain this song was written after parting from someone like King Tanjong.
Yŏhŭi (여희) means separation or parting by death. Nae an (내 안) means "my heart/mind." Nyaenŭnda (녜는다) is the same as kanŭnda (간다 - goes).
Even parting from a dear love while living in the same house would be unbearable, let alone parting during a journey spanning ten thousand li. To express the depth of the line "Having parted from my dear love" (고운님 여희압고),<205> which forms the foundation (桂礎) of this song, one cannot but say "on a journey of ten thousand li" (천만리 머나먼 길에). It doesn't mean they actually traveled ten thousand li. No, but the terrifyingly surging emotion makes one unable to speak otherwise. Indeed, at that moment, there is no place to put one's heart. Will it wander like a floating cloud in the sky and disappear without a trace? Will it scatter like cold ashes blown by the wind? Neither. No matter what, it is an unbearable, inescapable feeling. Wandering and wandering, hesitating and hesitating, then sitting blankly by the stream. Heaven and earth are silent, the night deepens, and only the flowing water murmurs, weeps, and flows on. It is just like his own turbulent heart (안). It is ingenious to use the word 'an' (안) instead of 'maŭm' (마음 - heart/mind). How sorrowful it is to say that the water, like his heart, weeps its lonely way through this quiet night. That sorrow (悲哀), like the water, is ceaseless and unending. It is not mere temporary sentimentality. It is an eternal, undying sorrow (永遠 不滅의 悲哀), one with heaven and earth.

The rapids that cried last night passed by weeping sorrowfully.
Thinking about it now, it was my love weeping as they sent me off.
If only that water could flow backwards, I too would weep and send it on.

This too is a song composed concerning King Tanjong. By Wŏn Ho.
Wŏn Ho's pen name was *Hang (*巷). When Sejo usurped King Tanjong's throne, Wŏn Ho, then a Chikchehak (直提學) at the Chiphyŏnjŏn (集賢殿), abandoned his post (벼슬) and returned to his hometown. When King Tanjong was exiled to Yŏngwŏl, Wŏn Ho went to the west side of Yŏngwŏl, built a stone embankment (築石) he named Kwannan (觀瀾), sometimes recited poetry by the water, sometimes shut his gate and wrote,<206> looked towards Tanjong morning (아츰) and evening, shedding tears. When King Tanjong passed away (昇遐), he wore mourning clothes for three years, and after completing the mourning period, he returned to his old home in Wŏnju (原州舊虛) and did not even step out into his courtyard, making himself unseen.
Comparing this short song (短歌) with Wang Pangyŏn's short song mentioned above, in terms of broad meaning, the former expresses the feelings after parting from the dear love, while this one expresses the feelings of longing for the parted love. In terms of language, the former uses simile (直喩法) and speaks of sadness without using the character for "sad" even once, while this one uses personification (擬人法) and employs the subjective word "sorrowfully" (슬피).
However, ultimately, both express eternal sorrow in the same way.
He constantly thought of his lord, unable to sleep late into the night. Last night, around midnight, sitting alone at his desk (冊床) facing the blue lantern (靑燈), one hand cupping his chin, the sound of weeping rapids flowed by sorrowfully, 졸졸 졸졸. Before, even if he heard that sound, it was ordinary, barely noticed, but why did it sound so sorrowful then? Thinking deeply about it now, it wasn't just the sound of water, but the voice of his lord. The voice of a lord like King Tanjong. A mournful weeping sound. A sobbing sound. It is like the lines: "The cuckoo cries, the mountain moon hangs low, longing is bitter, leaning on the tower railing. Your cry is bitter, my heart is sorrowful. Without your sound, there is no sorrow for me. Speaking to travelers parted from loved ones, be careful not to climb the Cuckoo Crying Bright Moon Tower (子規啼明月樓) in the third month of spring." Hearing such a sound, he too cannot suppress the surging sorrow. He has no choice but to weep together. Thus, he cried out, "If only that water could flow backwards, I too would weep and send it on" (저물이 거스러 흐르과서 나도 울어 보내리라).

Having passed Ch'ŏngsŏng Pass (靑石嶺), where is Ch'ohagae (草河溝)?<207>
The northern wind (胡風) is truly cold; what is this dreary rain about?
Who could sketch my traveler's appearance (行色) and present it where my lord resides?
This is a work by King Hyojong (孝宗大王). When King Hyojong was Prince Pongnim (鳳林大君), he encountered the Pyŏngja War (丙子亂), was taken hostage by the Qing (淸), and after nine years, in the 2nd month of the 23rd year of King Injo (1645), he left Yanjing (燕京 - Beijing) and returned to Korea. This short song was composed at that time. Some suggest it was written when he was taken hostage, but the route mentioned, "Having passed Ch'ŏngsŏng Pass, where is Ch'ohagae?" (靑石嶺 지나거다 草河溝-어디메뇨), clearly indicates it was during his return journey.
Ch'ŏngsŏng Pass (靑石嶺) and Ch'ohagae (草河溝 - also Ch'ohagwŏ or Ch'ohagu) are both place names in Fengtian Province (奉天省). Hup'ung (胡風) means the wind of the northern lands (Hu), i.e., the north wind. Ch'amdo ch'alsa (참도 찰사) means "extremely cold." Kujŭn pi (궂은 비) means dreary, drizzling rain. Haengsaek (行色) is the appearance of a traveler.
Crossing a great pass like Ch'ŏngsŏng Pass must have involved considerable hardship. For someone raised in the Nine-Fold Palace (九重宮闕), treated like gold or jade, suddenly becoming a traveler (나그내) in a foreign land (異域), experiencing various hardships, and then facing such difficulties even while returning towards the homeland (故國). After crossing Ch'ŏngsŏng Pass, one must cross another steep, great pass called Maun Pass (摩雲嶺). One pass is crossed, but how to cross the next one? Whereabouts is Ch'ohagae? Will the road become somewhat flatter there? Isn't the border of the homeland gradually drawing nearer? Isn't it already Yangch'un (陽春 - warm spring)? The homeland must already be warm (다수우리라). Why is the wind of this northern land so very cold? The dreary rain falls intermittently, further darkening this already gloomy heart. Does my lord in the Nine-Fold Palace know of this traveler's plight? Who could draw this appearance and inform him? One cannot grasp the true (眞的) flavor of this song without understanding that in times of greatest suffering, one instinctively calls out for one's mother and father like a child.<208>

**Summary**

This 1936 article by Yi Pyŏnggi, a scholar associated with the Korean Language Society, presents a lecture on appreciating and composing Sijo, a traditional Korean poetic form. It analyzes six Sijo poems from the Chosŏn Dynasty by authors including Chang Hyŏn, Hwang Chini, Yi Maech'ang, Wang Pangyŏn, Wŏn Ho, and King Hyojong. The poems primarily explore themes of separation from loved ones, longing, loyalty (especially towards King Tanjong), and the hardships of exile or travel, using evocative natural imagery and emotional depth. For historians of the colonial period, the article is interesting as it represents an effort to preserve and promote traditional Korean culture (specifically Sijo poetry and the Korean language itself through Yi Pyŏnggi's affiliation) during a time of Japanese assimilation policies. The focus on themes of sorrow, longing for return, and loyalty could subtly resonate with contemporary Korean sentiments under colonial rule.

**Named Entities**

李秉岐	이병기	Yi Pyŏnggi
忠淸道	충청도	Ch'ungch'ŏngdo
徽文高普校	휘문고보교	Hwimun Kobo High School
가람	가람	Karam
朝鮮語學會	조선어학회	Chosŏnŏ Hakhoe
鴨綠江	압록강	Amnokkang
燕雲	연운	Yŏnun
李朝	이조	Yi Dynasty
肅宗	숙종	Sukchong
張炫	장현	Chang Hyŏn
明宗	명종	Myŏngjong
黃眞伊	황진이	Hwang Chini
扶安	부안	Puan
李梅窓	이매창	Yi Maech'ang
桂生	계생	Kyesaeng
桂娘	계낭	Kyenang
續古今笑嶪	속고금소업	Sok Kogŭm Soŏp
村陰	촌음	Ch'onŭm
劉希塵	유희진	Yu Hŭijin
京城	경성	Kyŏngsŏng
世祖	세조	Sejo
禁府都事	금부도사	Kŭmbu Tosa
王邦衍	왕방연	Wang Pangyŏn
端宗	단종	Tanjong
寧越	영월	Yŏngwŏl
西江淸冷浦曲灘岸上	서강청랭포곡탄안상	Sŏgang Ch'ŏngnyŏngp'o Kokt'anansang
元昊	원호	Wŏn Ho
集賢殿 直提學	집현전 직제학	Chiphyŏnjŏn Chikchehak
觀瀾	관란	Kwannan
原州舊虛	원주구허	Wŏnju Kuhŏ
孝宗大王	효종대왕	King Hyojong
鳳林大君	봉림대군	Pongnim Taegun
丙子亂	병자란	Pyŏngja Nan
淸	청	Ch'ŏng (Qing Dynasty)
仁祖	인조	Injo
燕京	연경	Yŏn'gyŏng (Yanjing/Beijing)
北平	북평	Pukp'yŏng (Beiping/Beijing)
靑石嶺	청석령	Ch'ŏngsŏngnyŏng
草河溝	초하구	Ch'ohagae (Ch'ohagu)
奉天省	봉천성	Pongch'ŏnsŏng (Fengtian Province)
摩雲嶺	마운령	Maunnyŏng (Maun Pass)

**Glossary**

時調	시조	Sijo (Traditional Korean poetic form)
鑑賞	감상	Appreciation; viewing
作法	작법	Composition method; technique
에엿븐	예쁜	Pretty; lovely (older spelling of 예쁜)
어듸	어디	Where (older spelling of 어디)
만타	많다	Many; numerous (older spelling/form of 많다)
업서	없어	Without; lacking (older spelling of 없어)
속엿관대	속였기에	Because (I) deceived (older grammatical form)
月沈	월침	Sinking moon; dim moonlight
3更	삼경	Third watch of the night (approx. 11 PM - 1 AM)
으슴푸러한	으스름한	Dim; dusky; gloomy (older form)
門	문	Door; gate
그려도	그래도	Even so; nevertheless (older spelling of 그래도)
하노라	하노라	(Declarative sentence ending, somewhat archaic) I do X; It is X
梨花雨	이화우	Pear blossoms falling like rain
검은고	거문고	Geomungo (traditional Korean stringed instrument)
적혓으나	적혔으나	Although it was written/recorded (older spelling)
소깃이	소식이	News; tidings (older form of 소식)
여북	오죽	How much; to what extent (colloquial/dialectal form, related to 오죽)
굼굼하고	궁금하고	Being curious; being anxious (older spelling of 궁금하고)
내ㅅ가에	냇가에	By the stream/brook (includes older genitive marker 'ㅅ')
뫼시고	모시고	Accompanying/serving (honorific)
마츰내	마침내	Finally; eventually (older spelling of 마침내)
가는다	간다	Goes (older present tense indicative form)
벼슬	벼슬	Government post; official position
아츰	아침	Morning (older spelling of 아침)
지나거다	지났건만	Having passed; although passed (older grammatical form)
어디메뇨	어디메뇨	Where is it? (archaic interrogative form)
무삼	무슨	What; what kind of (older form of 무슨)
그려내여	그려내어	Drawing and showing/presenting (older spelling)
들이리	드리리	Will give/offer (humble/honorific future tense)
나그내	나그네	Traveler; stranger; wayfarer (older spelling of 나그네)
다수우리라	따스우리라	Will be warm (older form/spelling prediction)
부르지게	부르짖게	To cry out; to shout (older form/spelling)
眞的	진적	True; real (used for emphasis)


---------------------------


잡지명	삼천리 제8권 제1호
발행일	1936년 01월 01일
기사제목	時調講座 - 時調鑑賞과 作法(續), 삼천리 문예강좌, 제3회 개강
필자	李秉岐
기사형태	논설

時調講座 - 時調鑑賞과 作法(續), 삼천리 문예강좌, 제3회 개강
						李秉岐
筆者紹介
氏는 忠淸道 出生으로 금년 48세인 학자 兼 작가, 현재 徽文高普校의 교사로 있으며, 시조와 「한글」에 대한 연구가 깊고 또 號를 「가람」이라 하야 시조작품을 발표한 바가 현재 만타.
「朝鮮語學會」회원이다.

一. 鑑賞

鴨綠江 해진 날에 에엿븐 우리님이
燕雲 萬里를 어듸라고 가시는고
봄풀이 푸르고 푸르거든 卽時 돌아오소서

右는 李朝 肅宗때 사람 張炫의 作. 이것도 작별하는 노래.
해는 어슬어슬 저물어 가고 바람은 차고 말러빠진 갈대잎들은 어석어석 속삭이는 鴨綠江ㅅ가에서 어여쁜 님을 보내는 것이다. 「에엿븐은 그 님의 용모만 형용한 것이 아니고 그 사랑스러운 마음씨까지도 말함이다. 이러한 님이 배를 타고 떠난다. 바다같은<202> 번번한 그 강을 건너서는 열흘이라도 山하나 아니뵈는 들로 들로가는 답답한 그 길을 어느 곳으로 알고 가시려 하는가. 그러나 가시면 明年 봄에 풀이 나고 그 풀이 푸르고 푸를 때가 되거던 즉시 돌아 오시라. 그전이라도 돌아 올 수만 있으면 풀이 푸를 때를 말할 것이 없다. 과연 「봄풀이 푸르고 푸르거던 즉시 돌아오소서」가 이 노래의 가장 종요로운 곳이다. 「봄풀이 푸르고 푸르거든」이라 함을 만일 「봄꽃이 붉고 붉거든」으로 한다면 아니된다. 이는 우리 감정에 얼맞지 안는 까닭이다. 그리고 「푸르고 푸르거든」과 같이 푸르다는 말을 거퍼 쓴 것이 그 다옴의 「즉시 돌아오소서」라는 말을 퍽 강조시킨 것이다. 어서어서 즉시 돌아 오라는 말과 같이도 늣겨진다. 즉시 라는 말이 과연 용하다. 솔직하게 잘 말하였다. 우리말의 神韻이 생동하는 듯하다. 的確하고도 명쾌하다.

내 언제 信이 업서 님을 언제 속엿관대
月沈 3更에 올 뜻이 전혀 업다
秋風에 지는 잎소리야 낸들 어이하리오

右는 李朝 明宗때 名妓 黃眞伊의 作. 이별을 恨하는 노래.
月沈은 달빛이 으슴푸러한 모양. 3更은 子正. 오후 12시 쯤. 어이는 어찌라는 뜻이다.
「내 언제 信이 업서 님을 언제 속엿관대」는 그 갈피를 따져 말한 것이 어찌 생각하면 좀 薄한 듯하나 사실 薄한 말이 아니고 그 참을 수 없는 情에서 울어나온 말이다.<203> 행여나 올까 올까 기다리고 있다. 이따금 보스락 보스락 무슨 소리가 들린다. 인자 오는가 부다하고 門을 열고 보면 가을바람에 떨어지는 나뭇잎 소리다. 이 모양으로 기다리다가 여러 번 속았다. 님이 속인 것은 아니지마는 님은  아니오고 자꾸자꾸 속게만 되니 과연 「내 언제 信이 업서 님을 언제 속엿관대」하고 원망스러운 말도 아니 할 수 없다. 더구나 달은 으슴푸러하고 자정이 되도록 아니 옴에랴. 그려도 지는 잎소리가 나는 족족 새삼스러이 견댈 수 없다. 「曳履聲아 아닌 줄은 判然히 알건마는 그립고 아쉬운 마음에 행혀 긴가하노라」하는 것과 같은 情景이다. 그야말로 「낸들 어이하리오」라고 할 수 밖에 없다.

梨花雨 흩날릴제 울며 잡고 離別한 님
秋風 落葉에 저도 나를 생각는지
千里에 외로운 꿈만 오락가락하더라

이도 이별을 恨하는 노래. 明宗때 扶安名妓 李梅窓의 作.
李梅窓은 桂生, 또는 桂娘이라고 이름하고 노래도 잘하고 검은고도 잘 타고 詩文에도 능하였다. 續古今笑嶪에는 그의 잡스러운 이야기가 적혓으나 실상 그는 품성이 깨끗하고 조출하였고 村陰劉希塵이라는 이와 친하게 지내더니 村隱이 京城으로 돌아가서는 音信이 없는지라 이 노래를 짓고 守節을 하였다 한다.
梨花雨는 梨花가 비에 지는 것인데 梨花雨가 흩어져 날리는 봄철에 눈물을 흘리면서 그 손목을 잡고 이별하였더니 어느덧 蕭瑟한 바람이 불고 나무잎은 한잎 두잎 <204>, 힘이 없이 없어지는 이 가을을 당하여 저 村隱도 나(梅窓)를 생각하는지 이따금 꿈에는 서로 만나보게 된다. 천리나 되는 길에 이러한 꿈만 오고가고하는 것이다. 봄으로부터 가을까지 아무 소깃이 없으니 여북 굼굼하고 답답하랴. 「저도 나를 생각는지」의 「저도」라는 것은 트집스러운 말이되 어느때 꿈에는 자기가 그를 가보고 또 어느때 꿈에는 그가 와 보이니 아주 무심하게 잊어버린 것은 아닌가 함이다. 그러나 헛된 꿈이라 깨고 보면 그만이다. 자연 시름이 되여 항시 두 뺨에 젖은 눈물은 마를 적이 없다.

千萬里 머나먼 길에 고온님 여희압고
내 마음 둘듸 업서 냇가에 안자시니
저 물도 내안 같하여 울어 밤을 녜는다

이도 이별을 恨하는 노래. 이 노래는 李朝 都世祖때 禁府都事 王邦衍이가 어느날 밤에 端宗을 뫼시고 寧越 西江淸冷浦曲灘岸上에 앉어 지었다고 전한다. 혹은 王邦衍이가 死藥을 가지고 寧越을 가서 端宗을 뵈었으나 이걸 참아 들일 수 없서 躊躇하든차 端宗의 侍者가 自當하겠다고 청하여 마츰내 縊死케 하였다 하니 과연 그가 지었는지는 모르나 이 노래가 端宗같으신 이를 여히고 지은 것임은 틀림이 없을 것이다.
여히는 이별, 또는 사별의 뜻. 내 안은 내 마음. 녜는다는 가는다와 같은 말.
그저 한 집에 있다가도 님은 더구나 고운님을 이별하게 되면야 견대지 못할 것인데 천만리나 머나먼 길을 함께 걸어가 다가서랴. 이 노래의 桂礎와 같은 「고운님 여희압고」<205>의 대문을 절실하게 형용함에는 「천만리 머나먼 길에」라 하지 않고는 될 수 없다. 천만리를 사실 간 것은 아니다. 아니지마는 그 무섭게 달뜨는 정이 이러케 말을 아니할 수 없다. 과연 그 때 마음을 어대다 둘 곳이 없다. 뜬 구름같이 공중에 떠돌다 자취없이 슬어질 것인가. 식은 재처럼 바람에나 불려 흩어져 버릴 것인가. 그도 저도 아니다. 아무리 하여도 어찌할 수 없는 참을 수 없는 것이다. 彷徨 또는 彷徨, 躊躇, 躊躇하다가 우두커니 내ㅅ가에 앉었으니 천지는 고요하고 밤은 깊어가고 다만 흐르는 물이 졸졸 졸졸 졸졸 울어울어 갈 뿐이다. 그것이 마치 자기의 壤亂한 그 안과 같다. 마음이라는 말을 아니 쓰고 안이라는 말을 쓴 것이 묘하다. 저 물이 내안 같하여 이 고요한 밤을 외로이 울어간다 함이 그 얼마나 悲哀로운가. 그 悲哀는 그 물과 붙이 쉬임도 없고 끊임도 없다. 한 때 감상만이 아니다. 그 천지와 한가지 永遠 不滅의 悲哀다.

간밤에 우든 여흘 슬픠 울어 지내거다
이제 와 생각하니 님이 울어 보내도다
저 물이 거스리 흐르과저 나도 울어 보내리다

이도 端宗을 두고 지은 노래. 元昊의 作.
元昊는 號는 *巷. 世祖가 端宗의 位를 簒奪하매 集賢殿 直提學으로 있다가 그 벼슬을 버리고 자기의 고향으로 돌아갔다. 端宗이 寧越로 귀양을 가매 寧越 西便에 가서 築石을 하고 이름을 觀瀾이라 하고 혹은 물에 다달러 嘯詠도 하고 문을 닫고 著書도<206> 하며 아츰 저녁으로 바라다 보고 눈물을 흘리다가 端宗께서 昇遐하시니 3년ㅅ동안 服을 입고 그 服制를 맞히고는 다시 原州舊虛로 돌아가 戶庭에도 나서지 아니하여 볼 수가 없었다고 한다.
