Magazine Title: 三千理 제8권 제2호
Publication Date: 1936년 02월 01일
Article Title: 海外文豪講座 (Lecture on Great Overseas Writers)
Author: 梁白華
Article Type: 문예평론 (Literary Criticism)

Lecture on Great Overseas Writers
						By Yang Paekhwa (梁白華)

Author Introduction

Mr. Yang was born in T'apdong, Kyŏngsŏng (Seoul), and after graduating from Hansŏng Kwanrip Hakkyo (Hansong Government School), he studied abroad in various places for many years. After a brief period in government service, he published a novel in the magazine "Tongmyŏng" (東明) titled "The Laundry Girl," based on Wang Chao-chün (王昭君), and subsequently researched and introduced many Chinese novels and plays.

Li Po and Tu Fu 2

風急天高猿滿哀 (Wind swift, sky high, apes wail mournfully;)
渚淸沙白鳥飛廻 (Islets clear, sands white, birds fly circling back.)
無邊落木蕭蕭下 (Boundless fallen leaves rustle down;)
不盡長江滾滾來 (Endless Long River rolls on and on.)
萬里悲秋常作客 (Ten thousand miles grieving autumn, always a guest;)
百年多病獨登臺 (A hundred years many illnesses, alone I climb the terrace.)
艱難苦恨繁霜髥 (Hardship and bitter regret, dense frosty beard;)
潦倒新亭濁酒杯 (Dispirited, at the new pavilion, a cup of cloudy wine.)
(登高 - Climbing High) <199>

This entire verse is a poem of exquisite beauty, with the most well-ordered style among regulated verses (律詩) formed by couplets.

He was a poet of a wandering life (漂泊一生). Moreover, his later years were marked by chaos (世事皆非) due to events like An Lushan's rebellion. It is said that because of the devastation and displacement (喪亂 離) caused by these events, the population decreased by two-fifths in just a few years. The fate of the T'ang Dynasty, which once boasted such prosperity, seemed like the setting sun shrouded in evening clouds (落日이 暮雲에 싸힌 槪). Our poet, too, relentlessly buffeted by the wind and waves of the times, continued his endless journey of wandering. As he aged, separated from his wife and children, dragging his sick body through the rivers and lakes (江湖), pouring his loathsome real-life suffering (現實苦) into his brush, his poems thus allow us to see the flash of the era (시대의 閃光).

玉露凋傷楓樹林 (Jade dew withers and wounds the maple forest;)
巫山巫峽氣蕭森 (Wu Mountain, Wu Gorge, the air dreary and deep.)
江間波浪兼天湧 (Waves on the river surge to meet the sky;)
塞上風雲接地陰 (Clouds and wind above the frontier merge with the earth's gloom.)
叢菊兩開他日淚 (Clustered chrysanthemums have twice bloomed amidst tears for other days;)
孤舟一繫故園心 (A lone boat moored—my heart tied to my homeland garden.)
寒衣處處催刀尺 (Cold weather clothes everywhere hasten the tailor's knife and measure;)
白帝城高急暮砧 (Baidi City high, urgent pounding of the evening fuller's block.)
(秋興八首之一 - Autumn Meditations, One of Eight) <200>

Having encountered Li Po's poetry, with its genius style (天才적 格調), divine charm (神韻), and spiritual aristocracy (精神的貴族主義), we might feel as if we have finally encountered poetry within our own sphere of life in Tu Fu's work. This might be a result he brought about because he was a poet of meticulous craftsmanship (雕琢의 시인). Of course, Li Po was by no means a poet who sang the praises of aristocratic life; rather, he was a poet who pitied the muddled masses (潰潰者流) whose spiritual freedom was enslaved and bound by such material desires (物慾). Yet, his innate talent (天賦의 才氣) evokes an aristocratic feeling (貴族的 感) that ordinary people cannot aspire to. However, the reason Li Po somehow evokes a sense of familiarity (親熟한 感) is likely because his awareness of life (生活意識) shares a common thread (一脈相通) with our own. The poet we take hold of here [Tu Fu] goes a step further. He feels just like us young people today, living in a transitional period, wandering, having lost our spiritual bearings (靈의 지표), a poet for whom we can shed tears of shared sympathy (一鞠同情의 눈물).

感時花濺淚 (Moved by the times, flowers splash tears;)
恨別鳥驚心 (Hating separation, birds startle the heart.)
烽火連三月 (Beacon fires have continued for three months;)
家書抵萬金 (A letter from home is worth ten thousand gold pieces.) <201>
白頭搔更短 (White hairs, scratched, grow even shorter;)
渾欲不勝簪 (Almost unable to hold a hairpin.)
(春望 - Spring Prospect)

昔聞洞庭水 (Long ago I heard of Dongting Lake's waters;)
今上岳陽樓 (Today I ascend Yueyang Tower.)
吳楚東南圻 (Wu and Chu split the southeast;)
乾坤日夜浮 (Heaven and Earth float day and night.)
親朋無一字 (From family and friends, not a single word;)
老病有孤舟 (Old and ill, I have only a lone boat.)
戎馬關山北 (Warhorses north of the passes and mountains;)
憑欄涕泗流 (Leaning on the railing, tears stream down.)
(登岳陽樓 - Climbing Yueyang Tower)

Having spent half his life wandering through chaos and displacement (亂離), he shed countless tears (萬斛의 눈물) for the poets of his time who suffered the same hardships because the times were wrong (時가 非하야).

While not unconditionally agreeing with any Platonic evaluation of art, in a social environment like China's, any man with even a little passion (熱膓) could not help but turn his attention to governing the world (經世的 관심). Thus, burning with the spirit (意氣) to devote oneself to the myriad people (萬民), and at the same time, being someone who knew how to contemplate (諦視) the changing state of human affairs, he would discover his own powerless self <202> unable to do anything. Witnessing the vast territory being eaten away (蠶蝕되여가는), the common people (氓民) floundering in chaos (喪亂), he saw that it was impossible for a single sick poet's hand to do anything. Thus, he depicted the hardships of contemporary poets (時人艱苦의 모양) and shed hot tears (熱淚) for them. The greatness of his poetry lies in its social relevance (社會性) alongside the truth of its lyricism (敍情의 眞). Otherwise, he would have merely fallen into sentimentalism (쎈티멘탈리슴) and become a kind of broken character (性格破産者). Sympathizing like the weak (弱者와 가티), vividly painting in his mind the final moments (終焉의 모양) of the great empire that one person's strength could not possibly alter, he lamented before the god of fate (運命의 神의 아페) along with the people (百姓). Therein lies the flash of his modernity (근대적의 섬광).

The poet, solitary and destitute (落魄孤獨) by Dongting Lake—he was lonely (孤寂하얏다). But there was not the slightest trace of servility (卑屈) in him. Not blaming heaven nor reproaching men (한울을 원망치 아니하고 사람을 責하지 아니하는), purified by a kind of resignation (斷念) characteristic of China and by his poetic heart (詩心), he was a man who had contemplated life (人生을 諦視) through decades of hardship (艱苦). We imagine the figure of the Poet Sage (詩聖), shaking his half-white hair, bathed in moonlight, pausing his old, sick, and stumbling steps (老病蹣跚한 걸음), gazing quietly at the lake's surface, and whistling softly.

Sixty years was everything in his life. Compared to the vastness of the universe (宇宙의 大), it is no more than a drop of dew. However, his poetry, his social consciousness (社會性), as long as emotion (情操) does not dry up (涸渴) in the hearts of the sons of men, will appeal to us for eternity (久遠劫).

His name is Tu Fu (杜甫). <203>

**Summary**

This article by Yang Paekhwa compares the Chinese poets Li Po and Tu Fu, ultimately championing Tu Fu. While acknowledging Li Po's genius and aristocratic sensibility, Yang finds Tu Fu more relatable due to his meticulous craftsmanship and profound engagement with the suffering of his time. Tu Fu's poetry, born from a life of wandering amidst the chaos of the declining T'ang Dynasty and the An Lushan Rebellion, is praised for its realistic depiction of hardship, its social commentary, and its deep empathy for the common people. Yang sees Tu Fu's anguish and sense of powerlessness in the face of national crisis as resonant with the feelings of Korean youth in the colonial 1930s, who were experiencing their own period of transition and spiritual searching. The most interesting aspect for historians is Yang's explicit connection between Tu Fu's experience of dynastic decline and contemporary Korean colonial reality, using the poet as a figure through whom to express sentiments of shared suffering, national crisis, and the search for meaning in difficult times. This reflects how historical Chinese literature was employed in colonial Korea to subtly comment on the present.

**Named Entities**

梁白華	양백화	Yang Paekhwa
京城塔洞	경성탑동	Kyŏngsŏng T'apdong
漢城官立學校	한성관립학교	Hansŏng Kwanrip Hakkyo
東明	동명	Tongmyŏng
王昭君	왕소군	Wang Chao-chün
中國	중국	Chungguk (China)
李白	이백	Li Po (Li Bai)
杜甫	두보	Tu Fu (Du Fu)
安祿山	안록산	An Lushan
唐朝	당조	T'ang Dynasty
巫山	무산	Wu Shan (Wu Mountain)
巫峽	무협	Wu Hsia (Wu Gorge)
白帝城	백제성	Paidi Ch'ĕng (Baidi City)
洞庭水	동정수	Tongjŏngsu (Dongting Lake Waters)
岳陽樓	악양루	Agyangnu (Yueyang Tower)
吳楚	오초	O-Ch'o (Wu and Chu States)
乾坤	건곤	Kŏn'gon (Heaven and Earth)

**Glossary**

筆者紹介	필자 소개	Author Introduction
~출생으로	~출생으로	Being born in ~ (Older particle usage)
다년	다년	Many years
一時	일시	At one time, temporarily
~라 하야	~라 하여	Titled ~, Called ~ (Older conjunctive form)
題材로 한	제재로 한	Based on the theme of
만엇다	많았다	Were many (Older spelling/inflection)
對를 일우운	대를 이루운	Forming couplets (Older spelling/verb form)
整齊한	정제한	Orderly, well-arranged
漂泊一生	표박일생	A life of wandering
世事皆非	세사개비	Worldly affairs are all wrong; times are chaotic
이러한 까닭으로	이러한 까닭으로	For this reason
喪亂	상란	Devastation from war, chaos
減하얏다고 한다	감하였다고 한다	It is said to have decreased (Older spelling/inflection)
盛	성	Prosperity, flourishing
暮雲	모운	Evening clouds
싸힌	싸인	Wrapped in, shrouded in (Older spelling)
槪가 잇섯다	개가 있었다	There was a sense/appearance of (Older spelling/phrasing)
끈임업시	끊임없이	Incessantly, without cease (Older spelling)
부댁기면서	부대끼면서	While being buffeted/jostled (Older spelling)
끗업는	끝없는	Endless (Older spelling)
헤여저	헤어져	Separated from (Older spelling)
끄을고	끌고	Dragging (Older spelling)
지긋지긋한	지긋지긋한	Loathsome, sickening
붓처	붙여	Attaching to, applying to (Older spelling)
읇흔	읊은	Recited, composed (poetry) (Older spelling)
이러하기 까닭에	이러하기 까닭에	For this reason (Older phrasing)
閃光	섬광	Flash of light
格調	격조	Style, tone (in literature/art)
神韻	신운	Divine charm, inspired artistry
비롯오	비로소	For the first time, finally (Older spelling)
십다	싶다	Seems, feels like (Older spelling)
雕琢	조탁	Meticulous carving/craftsmanship
齎來하얏는 지도	재래하였는지도	Might have brought about (Older spelling/inflection)
돌우혀	도리어	Rather, on the contrary (Older spelling)
物慾	물욕	Material desire
奴隷化된	노예화된	Enslaved
靈	영	Spirit, soul
潰潰者流	궤궤자류	The muddled/confused masses (Literary term)
憐憫하고	연민하고	Pitying
天賦의 才氣	천부의 재기	Innate talent/genius
企圖할 수 업는	기도할 수 없는	Cannot attempt/aspire to (Older spelling)
어쩐지	어쩐지	Somehow, for some reason
필경	필경	After all, eventually
生活意識	생활의식	Awareness of life, consciousness of living
一脈相通함이	일맥상통함이	Having a common thread, sharing a connection
잇는 까닭일 것이다	있는 까닭일 것이다	Is likely the reason (Older spelling)
붓잡아온	붙잡아온	Taken hold of, grasped (Older spelling)
~인 感이 잇서	~인 감이 있어	There is a feeling of being ~ (Older spelling)
一鞠同情	일국동정	Shared sympathy (鞠 likely intended as 掬 - handful/scoop, implying deep sympathy)
일코	잃고	Losing (Older spelling)
맛나	만나	Encountering, meeting (Older spelling)
가튼	같은	Same (Older spelling)
萬斛	만곡	Ten thousand 'sok' (a large measure); figuratively, immense quantity
덥허놋코	덮어놓고	Unconditionally, blindly (Older spelling)
熱膓	열장	Passionate heart/intestines (Figurative for passion)
經世的	경세적	Related to governing the world/statecraft
밧치랴고 하는	바치려고 하는	Intending to devote (Older spelling/inflection)
意氣	의기	Spirit, mettle
諦視할 줄 아는	체시할 줄 아는	Knowing how to contemplate/observe closely
어떠케 할 수 업는	어떻게 할 수 없는	Unable to do anything (Older spelling)
蠶蝕되여가는	잠식되어가는	Being encroached upon/eaten away (Older spelling)
氓民	맹민	Common people, subjects (Archaic)
갈팡질팡하는	갈팡질팡하는	Floundering, bewildered
~업슴을	~없음을	The fact that there is no ~ (Older spelling)
잇든	있던	Who were, which was (Older spelling)
갓추	갖추	(Likely typo/variant for 같이?) Together with, like? Context suggests "depicting" or "together with"
時人艱苦	시인간고	The hardships of contemporary poets
뿌리엇다	뿌렸다	Shed (tears) (Older spelling)
敍情	서정	Lyricism
眞	진	Truth, reality
그러치 아니하면	그렇지 아니하면	Otherwise (Older form)
쎈티멘탈리슴	센티멘털리즘	Sentimentalism (Loanword)
떨허저	떨어져	Falling into (Older spelling)
性格破産者	성격파산자	A person of broken character, morally bankrupt
되여버렷슬	되어버렸을	Would have become (Older spelling/inflection)
弱者와 가티	약자와 같이	Like the weak (Older spelling)
아페	앞에	Before, in front of (Older spelling)
終焉	종언	End, demise
뚜렷뚜렷하게	뚜렷뚜렷하게	Vividly, clearly
胸臆	흉억	One's heart, mind, breast
근대적의	근대적의	Modern (Slightly unusual phrasing, maybe '근대적인')
落魄孤獨	낙백고독	Destitute and solitary
孤寂하얏다	고적하였다	Was lonely, solitary (Older spelling/inflection)
卑屈	비굴	Servility, obsequiousness
업섯다	없었다	Was not (Older spelling)
한울	하늘	Heaven, sky (Older spelling)
責하지 아니하는	책하지 아니하는	Not reproaching/blaming
斷念	단념	Resignation, giving up
詩心	시심	Poetic heart/mind
정화되여	정화되어	Being purified (Older spelling)
艱苦	간고	Hardship, suffering
洒脫한	쇄탈한	Free and easy, unconventional, carefree (after enlightenment/understanding)
심경	심경	State of mind
半白	반백	Half-white (hair)
흔들면서	흔들면서	Shaking
老病蹣跚한	노병만산한	Old, sick, and stumbling/tottering
돌여다보면서	들여다보면서	Looking into, gazing at (Older spelling)
宇宙의 大	우주의 대	The vastness/greatness of the universe
涸渴치	학갈치	Dry up, run dry (Older spelling/inflection -치 negative suffix)
久遠劫	구원겁	Eternity (Buddhist term)


---------------------------


잡지명	삼천리 제8권 제2호
발행일	1936년 02월 01일
기사제목	海外文豪講座
필자	梁白華
기사형태	문예평론

海外文豪講座
						梁白華
筆者紹介

氏는 京城塔洞 출생으로 漢城官立學校를 나온 뒤 각지로 다년 유학, 官吏生活 一時 「東明」 誌에는 「빨내하는 처녀」라 하야 王昭君을 題材로 한 소설을 발표한 뒤 계속하야 中國의 소설과 극을 연구 소개함이 만엇다.

李白과 杜甫 2

風急天高猿滿哀
渚淸沙白鳥飛廻
無邊落木蕭蕭下
不盡長江滾滾來
萬里悲秋常作客
百年多病獨登臺
艱難苦恨繁霜髥
潦倒新亭濁酒杯
(登高) <199>
全句, 對를 일우운 律詩 중에서도 가장 스타일이 整齊한 아름다운 시이다.
