Magazine Title: 삼천리 제8권 제4호
Publication Date: 1936년 04월 01일
Article Title: 蔣介石 將軍이 大統領됨이 「東洋大勢」에 조흘가? (Would General Chiang Kai-shek Becoming President Be Good for the "General Trend in East Asia"?)
Article Type: 설문 (Survey/Symposium)

Would General Chiang Kai-shek Becoming President Be Good for the "General Trend in East Asia"?
Recently, there has been a tendency to view Chiang Kai-shek's regime in Nanjing as merely a regional power, while conversely, there is also a tendency to see the Chiang regime as effectively commanding even the Southwest and Northeast. Whether it is a unified regime or a regional one, the issue of Chinese unification surrounding General Chiang is a focus of attention, and whether Mr. Chiang Kai-shek will indeed fully grasp both military and administrative powers and ascend to the presidency, the head of state, is also drawing much attention. If he were to become president, what advantages or disadvantages would it bring to the general trend in East Asia? This cannot but be a matter for review by us, the neighboring peoples of East Asia.

More About the Victory or Defeat of the Red Army

An Chae-hong
1. Whether General Chiang Kai-shek becomes president or not can have no significant new impact. Even when he was Chairman of the Military Affairs Commission at the Nanchang Field Headquarters or Chongqing Field Headquarters, Administrative Yuan President Wang Ching-wei (汪精衛) could not handle a single major military or state affair without waiting for contact from Chairman Chiang, so whether he becomes president is merely a matter of formality. The issue invariably remains<82> the victory or defeat against the Communist army, and also, how the situation regarding the ascendancy or decline of the Communist army in North China and the Northwestern Frontier regions unfolds amidst the international factors causing conflict being invoked in East Asia. In any sense, this year's Japan-China-Manchukuo-Mongolia relations have approached the critical line quite significantly.

Isn't It Just a Matter of Formality?

Kwŏn Tong-jin
Setting aside circumlocution, regarding your question about the future impact on China and East Asia if the rumor of Mr. Chiang Kai-shek becoming president materializes, I believe there would be no particular change. The reason is that the current Administrative Yuan and the future President are not different individuals but the very same person, Chiang Kai-shek, so the impact would be identical.

No Particular Change in the East Asian Political Situation

Song Chin-u
Even if Mr. Chiang Kai-shek were to assume the presidency, his power would not suddenly increase, therefore, I do not think there would be any major changes either to China itself or to the East Asian political situation.<83>

Chiang Kai-shek's Hegemony and the Political Situation in East Asia

Pyŏn Sŏng-nyŏl
The day Generalissimo Chiang Kai-shek becomes the President of China, marking the entry into the Constitutional Period after nominally completing the Military Administration Period and the Political Tutelage Period, will be the day of the final reckoning for the modern Chinese democratic revolution that arose under the guidance of Sun Yat-sen (孫文).
Nevertheless, the reason to believe that the completion of the Chiang regime will become a reactionary force against the popular liberation movement, leaping beyond the ideal of "democracy" which is the culmination of capitalist development fundamentally based on the freedom and equality of the masses, is that it is becoming a "fascist (팟쇼) dictatorial autocracy" representing the interests of China's own small minority "bourgeoisie (불죠아치-)" under the oppression of the imperialist powers.
Not only that, but in order to maintain his own regime, the military and political assistance of foreign imperialism is absolutely necessary, and it will become a terrifying force against the liberation of the general "proletariat (푸로레타리아-트)" (not only within China but worldwide). For the same reason, one can also believe that it will reactively hasten the downfall of Chinese capitalism, which has trodden a path of distorted development. Mr. Chiang's inauguration as president will be an indicator that a major turning point has arrived in the East Asian political situation in connection with global trends.

Reinforcement Work of the Existing Power Structure

Sŏl Ŭi-sik
Not to mention Italy, Germany, or the Soviet Union, but currently, there isn't a single country in the world that is not attempting to unify and strengthen power. There may be differences in form and intensity,<84> but generally, the control of power—so to speak, the dictatorial tendency—is becoming prominent. This is the current trend. By this trend alone, China needs to establish control of power. For China, where division and factional strife are the greatest cancers, this is paramount above all else. However, looking at the current situation, the realization of this seems likely to follow the smoother path of reinforcing the existing power structure centered around Mr. Chiang. Whether the method is President (統領), President (總統), or Generalissimo (元帥), that seems rather secondary.

The New Constitution and Authority

Wŏn Se-hun
As the so-called Political Tutelage period of the Chinese Nationalist Party (國民黨) is said to end and the Constitutional Period is to begin this year, with a constitution also being enacted and a National Assembly convened, the issue of the Chinese presidency seems likely to become an interesting problem. However, how the new Chinese constitution will actually establish the presidency is still an undecided matter. If it is a French-style presidency, then whoever becomes president will likely not be considered a major issue; if it is an American-style one, then there will be concern about the person who becomes president. However, if it is French-style, Chiang Kai-shek would likely be unwilling, and if it is American-style, Mr. Chiang should probably not become president. He is still Chiang Kai-shek the military man, not Chiang Kai-shek the elder statesman or politician. If such a Mr. Chiang were to attempt to reach the peak at this time, it would be tantamount to booking his decline and retirement. After reaching the peak, it is easy to tumble downhill. Consequently, it would not provide a very good influence on China itself, and at the same time, Mr. Chiang's<85> presidency would likely not give a very good impression to foreign countries either.

Advantageous for Ailing China

Yi Yong-sŏl
It seems unlikely that there would be negative consequences if Mr. Chiang Kai-shek becomes president. Seeing the current state of China, it is a fact that there is no figure superior to Chiang Kai-shek in China, so wouldn't it be better for China if he became Emperor rather than President? If ailing China could recover quickly, it would be a fortunate event for East Asia and indeed the world.

Another Disturbance in the Far East?

Yi In
Looking at the current situation, it doesn't seem likely that Chung-cheng [Chiang Kai-shek's courtesy name] will suddenly become president, but if he were to assume the position, Chung-cheng's regime would become more dictatorial, and the overall governance of China itself would likely become more convenient, but I foresee that the East Asian problem will experience severe turbulence.

The Person Likely Doesn't Matter

Pak Ch'ang-hun
Given China's current situation, regardless of who becomes president, not only will it likely not achieve anything remarkable, but I believe it cannot be asserted that it will exert a positive influence on China itself or the major powers of East Asia in the future.<86>

**Summary**

The article presents a symposium of opinions from nine Korean intellectuals in 1936 regarding the potential presidency of Chiang Kai-shek in China. Views vary widely: some see it as a mere formality with little real impact on Chiang's existing power (An, Kwŏn, Song), emphasizing that the struggle against the Communists and international relations (especially with Japan) are more critical. Others view it more significantly; Pyŏn Sŏng-nyŏl sees it as a potential fascist turn detrimental to democratic ideals and proletarian liberation, dependent on foreign imperialism. Sŏl Ŭi-sik frames it within a global trend towards centralized, dictatorial power, possibly necessary for China's stability. Wŏn Se-hun questions Chiang's suitability for a powerful presidency, arguing he's still primarily a military figure and ascending now might hasten his downfall. Yi Yong-sŏl pragmatically suggests even an emperorship under Chiang might benefit China's recovery, while Yi In predicts increased dictatorial power internally but greater regional instability. Pak Ch'ang-hun is pessimistic, believing no leader can significantly alter China's difficult course or positively impact East Asia.

From the perspective of Korean colonial history, this article is revealing. It shows prominent Korean figures actively analyzing and commenting on major geopolitical events in East Asia, despite being under Japanese colonial rule. Their perspectives reflect a keen awareness of regional power dynamics, the rise of ideologies like fascism and communism, the internal struggles within China, and the looming influence of Japan ("日中滿蒙關係," "外來帝國主義"). The range of opinions—from pragmatic acceptance to ideological critique—highlights the intellectual ferment and differing political outlooks among Koreans concerning the future of China and its implications for the region, including their own colonized nation. Historians might find the diverse viewpoints on authoritarianism, nationalism, and international relations, expressed by colonized intellectuals about a neighboring country's potential strongman, particularly interesting.

**Named Entities**

蔣介石	장개석	Chiang Kai-shek
南京	남경	Nanjing
西南	서남	Southwest (China)
東北	동북	Northeast (China)
中國	중국	China
東洋	동양	East Asia / The Orient
紅軍	홍군	Red Army (Communist forces)
安在鴻	안재홍	An Chae-hong
軍事委員長	군사위원장	Chairman of the Military Affairs Commission
南昌行營	남창행영	Nanchang Field Headquarters
重慶行營	중경행영	Chongqing Field Headquarters
汪精衛	왕정위	Wang Ching-wei
行政院長	행정원장	President of the Administrative Yuan
東亞	동아	East Asia
北中	북중	North China
西北邊疆	서북변강	Northwestern Frontier
日中滿蒙	일중만몽	Japan-China-Manchukuo-Mongolia
權東鎭	권동진	Kwŏn Tong-jin
宋鎭禹	송진우	Song Chin-u
邊成烈	변성렬	Pyŏn Sŏng-nyŏl
孫文	손문	Sun Yat-sen
帝國主義	제국주의	Imperialism
불죠아치-	부르주아지	Bourgeoisie (loanword transcription)
팟쇼	파쇼	Fascio/Fascist (loanword transcription)
푸로레타리아-트	프롤레타리아트	Proletariat (loanword transcription)
薛義植	설의식	Sŏl Ŭi-sik
伊太利	이태리	Italy
獨逸	독일	Germany
蘇聯	소련	Soviet Union
元世勳	원세훈	Wŏn Se-hun
國民黨	국민당	Nationalist Party (Kuomintang)
佛蘭西	불란서	France
米國	미국	United States (America)
李容卨	이용설	Yi Yong-sŏl
李仁	이인	Yi In
中正	중정	Chung-cheng (Chiang Kai-shek's courtesy name)
極東	극동	Far East
朴昌薰	박창훈	Pak Ch'ang-hun
東洋大勢	동양대세	General Trend in East Asia

**Glossary**

됨이	됨이	(Noun form of 'to become' + subject marker) being, becoming (Older spelling/form)
조흘가	좋을까	Will it be good? (Older spelling of 좋다)
잇다	있다	to exist, to be (Older spelling)
잇는	있는	which exists, which is (Older spelling)
엇더한	어떠한	what kind of, any
업다	없다	to not exist, to not be (Older spelling)
기대리지	기다리지	waiting for (Older spelling/form)
않됩니다	않됩니다	it is not; cannot (Older polite form, combining 않다 + 되다)
잇고	있고	existing and..., being and... (Older spelling)
부르고	부르고	calling, invoking
어떠케	어떻게	how (Older spelling)
됨니다	됩니다	becomes, will be (Older polite ending)
되엿음니다	되었습니다	became, has become (Older spelling and polite ending)
實現	실현	realization, materialization
將來	장래	future
대하야	대하여	regarding, about (Older spelling)
업다고	없다고	that there is not (Older spelling)
하겟슴니다	하겠습니다	I think, I will say (Older polite ending)
卒地에	졸지에	suddenly, unexpectedly
增進될	증진될	will be enhanced, will be increased
아닌故로	아닌고로	because it is not
잇으리라고	있으리라고	that there would be (Older spelling)
맟이고	마치고	finishing, completing (Older spelling)
드러가서	들어가서	entering (Older spelling)
厥起한	궐기한	which rose up, which started vigorously
總決算	총결산	final settlement, final reckoning
民衆	민중	the masses, the populace
삼은	삼은	based on, taking as (Older form of 삼은)
歸結点	귀결점	culmination point, conclusion
飛躍하야	비약하여	leaping, jumping over (Older spelling)
되리라고	되리라고	that it will become
理由넌	이유는	the reason is (Older spelling/form, using 넌 instead of 는)
대표한	대표한	representing
되여가는	되어가는	becoming (Older spelling)
안이라	아니라	not only A but also B; rather (connective)
위하야넌	위하여는	for the sake of (Older spelling/form)
必要하고	필요하고	being necessary and...
對하얀	대하여는	regarding, concerning (Older spelling/form)
식겁할	식겁할	frightening, terrifying
발버온	밟아온	which has trodden, which has followed (a path) (Older spelling)
자어내리라고도	자아내리라고도	that it will also bring about/cause (Older spelling)
關連下에	관련하에	in connection with, under the relation of
이르러진	이르러진	which has arrived, which has been reached
指針	지침	indicator, guideline
꾀하지	꾀하지	plotting, attempting
안는	않는	which does not (Older spelling contraction)
잇을지	있을지	whether there is/are (Older spelling)
말하자면	말하자면	so to speak, in other words
現著해	현저해	becoming prominent, becoming conspicuous
감니다	갑니다	goes, proceeds (Older polite ending)
서야 합니다	서야 합니다	must stand, must be established
癌腫	암종	cancerous tumor, cancer (figurative: severe problem)
급합니다	급합니다	is urgent
實現은	실현은	the realization is
중심으로	중심으로	centered around, focusing on
無難한	무난한	smooth, without difficulty, safe
길일가	길일까	might be the path? (Older spelling/form)
統領	통령	President (alternative term, less common than 대통령)
總統	총통	President (another term, often implies more power, like Führer/Duce)
元帥	원수	Generalissimo, Marshal
二義的일가	이의적일까	might be secondary?
所謂	소위	so-called
終了되고	종료되고	being finished, being concluded
始하기로	시작하기로	decided to begin (Older spelling of 시작)
하야	하여	doing, causing (Older spelling)
未定의	미정의	undecided, undetermined
식의	식의	style of
不願할	불원할	will be unwilling, will not desire
말어야	말아야	should not (do) (Older spelling)
아즉도	아직도	still, yet (Older spelling)
오르고저한다면	오르고자 한다면	if one intends to ascend/rise (Older spelling)
沒落과	몰락과	downfall and
預約하려는	예약하려는	intending to reserve/book
올온뒤에는	오른 뒤에는	after having risen/ascended (Older spelling)
내리막달음질을	내리막달음질을	running downhill, decline
쉬운	쉬운	easy
동시에	동시에	at the same time
外國에도	외국에도	to foreign countries also
그러케	그렇게	like that, so (Older spelling)
印想을	인상을	impression (Older spelling of 인상)
업슬	없을	which will not exist/be (Older spelling)
病든	병든	sick, ailing
낫지 않을가	낫지 않을까	wouldn't it be better?
恢復될	회복될	will be recovered
多幸한	다행한	fortunate
될 것임니다	될 것입니다	will be, will become (Older polite ending)
보와서는	보아서는	judging from, seeing as (Older spelling)
갑작이	갑자기	suddenly (Older spelling)
아니하나	아니하나	although not, but not
就任케	취임케	to cause to assume office, to be inaugurated
된다면	된다면	if it becomes, if (he) becomes
한층	한층	more, further, one layer higher
가지게 될 것이고	가지게 될 것이고	will come to possess and...
統轄이	통할이	governance, control
利便케	이편케/편리하게	conveniently (Older form of 편리하게)
될 것이나	될 것이나	will become but...
심해질	심해질	will become severe/intense
봄니다	봅니다	I see, I view (Older polite ending)
如何한	여하한/어떠한	what kind of, any kind of
되든지간에	되든지 간에	regardless of who becomes
밋치겟다고는	미치겠다고는	that it would exert/reach (influence) (Older spelling)
갓습니다	같습니다	seems like, is like (Older spelling)


---------------------------


잡지명	삼천리 제8권 제4호
발행일	1936년 04월 01일
기사제목	蔣介石 將軍이 大統領됨이 「東洋大勢」에 조흘가?
기사형태	설문

蔣介石 將軍이 大統領됨이 「東洋大勢」에 조흘가?
