**Header Section:**
Magazine Title: 三千里 第8卷 第6號
Publication Date: 1936년 06월 01일
Article Title: 銀行主腦人物評 海東銀行 文尙宇氏 (Critique of Bank Leaders: Mr. Mun Sang-u of Haedong Bank)
Author: 江村居士
Article Type: 소식 (News/Report)

**Body Text Translation:**
Critique of Bank Leaders: Mr. Mun Sang-u of Haedong Bank
						By Kang Ch'on Kŏsa

Proceeding about ten *kan* from Chongno 4-ka toward Namdaemun, just before Kwanggyo, there is a two-story Western-style building on the right. The upper floor is currently occupied by Kyŏngsŏng Spinning, and the lower floor comprises the entire domain of Haedong Bank. Regarding the history of Haedong Bank, those who know, know. In terms of numerous upheavals and changes in leadership, it is likely unparalleled not only in the Korean banking world of Kyŏngsŏng but in the entire history of banking in Chosŏn. From its founding, a stock consumption incident made even its emergence questionable to the world. Not long after its establishment, it experienced unique turmoil due to position disputes and other issues. Then, Mr. Cho Sŏl-hyŏn (曺偰鉉) took it over and reigned as Managing Director (專務), leading it into a state of relative stability. However, when he again reached the brink of financial ruin, it once more couldn't find a master, becoming like a wandering child in the streets. "Who will save Haedong?" became the focus of public attention. Somehow, the Kim Sŏng-su (金性洙) chaebol came to take charge of the said bank. Consequently, Haedong Bank, which had been struggling through groans and hardships, finally established its foundation in the Korean financial world. Since coming under the iron-clad fortress of the Kim Sŏng-su chaebol, it has reformed various internal and external systems, executing its business entirely based on the principle of solidity first. It firmly promised shareholders that it would proceed without dividends until the bank's internal substance became solid, planning to increase its reserve funds. While taking over the bank and reforming its substance and other aspects, Mr. Kim Sŏng-su propelled his younger brother, Mr. Kim Yŏn-su (金秊洙), to the position of Managing Director (仝銀專務) of the bank. Furthermore, he recruited Mr. Mun Sang-u (文尙宇) from Kyŏngsangnam-do, whose character was similar to his own, to manage the affairs as Manager (支配人).<72> Thus, although the bank welcomed and bid farewell to numerous new masters, none succeeded like the Kim faction because they primarily lacked backing. Like a lone boat in rough waves, it lost its compass in the ever-changing tides of the financial world, facing only hidden reefs and sandbars ahead. After gaining the backing of the Kim chaebol, however, numerous supporters surrounded the bank and served as its compass, allowing it to be revived and stand tall. Specifically, by absorbing deposits from the various institutions backed by the Kim Sŏng-su chaebol—Chungang High Common School (中央高普), Tong-A Ilbo (東亞日報), Chungang Commerce and Industry (中央商工), Kyŏngsŏng Spinning (京城紡織), Posŏng College (普成專門), etc.—and also gaining control over lending to related commercial and industrial institutions, this became the bank's resuscitation medicine. This is a brief outline of the bank's history. Now, entering the main topic, the first thing to mention is that this bank's organizational structure differs somewhat from other banks by adopting the Managing Director (Chŏnmu) system. Even if there were a President (頭取), this would be a decorative figurehead occupying a position without duties (尸位素餐), with real power held by the Managing Director. Deciding to eliminate this useless appendage and adopt a Managing Director system that matches name and reality, it has reached the present day. The first Managing Director (limited to after the reform) was Mr. Kim Sŏng-su's beloved younger brother, Kim Yŏn-su (金䄵洙), and the second generation is Mr. Mun Sang-u. (Mr. Kim Yŏn-su is Chairman of the Board of Directors - 取役會長).

Mr. Mun Sang-u, Managing Director of Haedong Bank! He is a native of Tongnae, Kyŏngsangnam-do. Since entering the bank as Manager 6 or 7 years ago, his duties as assistant to Managing Director Kim Yŏn-su were important, but the great contribution and effort he displayed in solidifying the bank's shaky foundation to its present state likely served as the motive for his promotion to the key position of Managing Director and Manager (專務 兼 支配人). He took over management of the bank from Mr. Kim Yŏn-su as Managing Director last autumn.
Regarding Mr. Mun Sang-u, apart from Haedong Bank personnel and a few dozen acquaintances and relatives, few people probably even remember his name; this is the full picture of the man. That is, one can find no presence of him socially, individually, or in terms of reputation. This arises partly from his introverted (內沈的) and non-extroverted (外進的) personality, but also because he always strives for inner substance (內實) and disregards outward appearance (外觀), preventing his name from becoming known outside. To put it plainly, he is not someone who clings only to the demeanor of a conservative village teacher (村새님) and, like contemporary bankers, employs all sorts of schemes and tactics (權謀術數), charging left and right and probing boundaries. He is thoroughly moderate and sincere, unable to push down subordinates to climb up (下石上撑), a solid person of the type commonly called "one who plucks his own hair to plug his own hole." This is directly reflected in his private life as well, where his actions and demeanor<73> are as if cast in a mold (『판』에 박은 듯).
However, Mr. Mun is by no means an inactive or incompetent person. He completed the prescribed school stages in Chosŏn early on, then packed his bags and crossed to Japan (負芨渡東), forsaking everything else to build the qualities needed to leap into the business world. He enrolled at Tōkyō Higher Commercial School (東京高商), diligently studied (螢雪의 功), graduated, returned home in glory (錦衣로 還鄕), and worked at a certain bank in Pusan, treading the same path and accumulating achievements until eventually becoming Manager there. As he was originally indifferent to diplomatic advancement, he continued his consistent principle in dealing with people there too. There was an incident where his conduct deviating from norms in private life caused some controversy (物議) in Pusan society, but regardless, he received recognition from Haedong Bank and attained his current position. Setting this aside, since his tenure as Haedong Bank's Managing Director is short, his skill and capability (手腕, 力量) in this role (which I intend to discuss further later) are unknown variables, making a quick evaluation hesitant. However, judging from his usual conduct and performance as Manager, one can infer his future actions, so I will attempt a brief character assessment.

As mentioned before, regarding Mr. Mun Sang-u, his interactions are limited outside of banking circles, making impressions of him faint, to the point that one might not grasp his daily behavior. However, from what the author has seen, he gives the first impression of having the air of a village scholar (村學者) while also being very sharp and strict. His stern demeanor makes it difficult for anyone to approach him easily. The way he leans back in his chair lacks the air of an audacious millionaire, and the strength in his gaze as he observes people truly makes him seem unapproachable. Not only that, but when conversing with him, the accent of his speech, which seems to cut things off cleanly, is said to reveal his unique personality, according to street talk (巷談). Furthermore, once he dislikes or distrusts something in his heart, he is the type who wouldn't hesitate to shake his head even if thousands or millions insisted otherwise.
Also, his character is such that even if he could save myriad people by plucking out a single strand of hair (헌터럭), he would not gladly consent to plucking that hair. His fierce advance towards his convictions is indeed admirable, but seeking tolerance and forgiveness (包容과 寬恕) from him is truly like seeking fish from a tree (緣木求魚). His sincere attitude of supporting a person once chosen and trusted until that person resigns voluntarily earns everyone's astonished gaze, but it is hard to find any goodwill in him to guide and arrange (指導斡旋) the future prospects of subordinates or supplicants. His attachment to even small sums (分錢) is commendable, and his integrity (志操), allowing no adjustment even for minuscule profits (毫利), is said to be astonishingly<74> thorough. His clear mind (頭腦), proficiency in reason (理智), rigidity (剛直), meticulousness (緻密), inner brightness (內明), and outward compliance (外順) – viewed from any angle – would qualify him first-rate for a managerial or section chief level administrative role in a bank. However, as a figure capable of grasping the larger picture (大局), possessing the ability to manage and embrace people (御人包容), and having the breadth of scope (局量) and magnanimity (襟度) expected of top leadership, one wonders. In short, comparing him to a household, he would be a suitable housewife (主婦) who meticulously manages income and expenses, but perhaps lacks the qualifications of a master (主人) who respects superiors, leads subordinates, and brings glory to the household. He can manage and protect what is entrusted to him without fault, but he is not a person who will creatively forge ahead and accomplish great deeds amidst gains and losses. Broadly speaking, he is a person content with his lot (守分樂道), not one who dreams of great achievements (鴻業大成). Such a person is indeed a disciple of Yan Hui (顔子), who could find joy even while eating coarse food, drinking water, and sleeping with his arm as a pillow (飯素食飮水하고 股肱而寢之라도 樂亦在其中).
However, a word of clarification must be offered here for Mr. Mun: for a bank like Haedong, whose foundation was constantly shaky, he is an indispensable contributor of the highest order. Like sending off guests through the back door while welcoming new ones through the front (後門送朗하고 前門迎賓하듯), Haedong Bank saw frequent changes in leadership and funding shifts, causing headaches not just over unpaid dividends but sometimes even over staff salaries. Even with the backing of the Kim Sŏng-su chaebol, if, during the harsh initial period of reform, someone aiming for worldly fame and glory had appeared instead of a steadfast manager like Mr. Mun, it surely would have led to disaster, like carrying firewood into a fire (負焰入火). Herein lies Mr. Mun's shining presence and his role as a meritorious subject in the revival and reform of Haedong Bank. To illustrate how frugal and thrifty (節用節儉) he is regarding bank funds, I wish to introduce a short anecdote below.

The time was the autumn festival three years ago. A certain association was being held in Kyŏngsŏng with the intention of discussing various issues in finance, economy, commerce, industry, and other industrial sectors, and presenting requests to relevant parties. As part of the preparations, they sought some financial assistance from various banks and several societies. Upon learning this, all other banks voluntarily provided their share (*) of support. However, when the person related to this matter strongly requested (*) some indication of contribution from Mr. Mun Sang-u at Haedong Bank, Mr. Mun deferred to the then-Managing Director Kim Yŏn-su, and Mr. Kim, in turn, deferred back to Mr. Mun. Ultimately, the deadline passed, and the person who had initiated the request was reportedly indignant.
In any case, one must recognize that Mr. Mun's distinctive traits are that he avoids the arrogance, luxury, and indulgence common among ordinary bank leaders (*), possessing instead a character marked by kindness, simplicity, and composure. (End of this section)<75>

**Summary**

This 1936 article profiles Mun Sang-u, the new Managing Director of Haedong Bank in Kyŏngsŏng (Seoul). It first recounts the bank's tumultuous history, marked by scandals and leadership changes, until its stabilization under the ownership of the powerful Kim Sŏng-su chaebol. Mun, previously a manager, is credited with playing a key role in this stabilization alongside Kim's brother, Kim Yŏn-su. The author describes Mun as introverted, meticulous, extremely frugal, and principled, but perhaps lacking the broad vision and interpersonal warmth needed for top leadership. He is seen as an ideal figure for consolidating the bank's shaky finances but not necessarily for ambitious expansion. An anecdote illustrates his extreme thriftiness, contrasting with other banks' practices.

For historians, this article offers insight into the Korean-owned banking sector during the colonial period, highlighting the struggles against instability and the crucial role of capital backing, exemplified by the Kim Sŏng-su group (associated with institutions like Posŏng College and the Tong-A Ilbo). It provides a contemporary assessment of a key figure, Mun Sang-u, portraying the perceived necessary characteristics (frugality, diligence) for managing Korean capital under colonial constraints, contrasting implicitly with more flamboyant or perhaps risk-taking figures. The piece also reveals contemporary perceptions of leadership styles and the internal dynamics within a prominent Korean enterprise.

**Named Entities**

海東銀行	해동은행	Haedong Bank
文尙宇	문상우	Mun Sang-u
江村居士	강촌거사	Kang Ch'on Kŏsa
鍾路	종로	Chongno
南大門	남대문	Namdaemun
廣橋	광교	Kwanggyo
京城紡織	경성방직	Kyŏngsŏng Spinning
京城	경성	Kyŏngsŏng
朝鮮	조선	Chosŏn
曺偰鉉	조설현	Cho Sŏl-hyŏn
金性洙	김성수	Kim Sŏng-su
金秊洙	김연수	Kim Yŏn-su
慶南	경남	Kyŏngnam (Kyŏngsangnam-do)
中央高普	중앙고보	Chungang High Common School
東亞日報	동아일보	Tong-A Ilbo
中央商工	중앙상공	Chungang Commerce and Industry
普成專門	보성전문	Posŏng College
東萊	동래	Tongnae
東京高商	동경고상	Tōkyō Higher Commercial School
釜山	부산	Pusan
顏子	안자	Yan Hui (An Cha)

**Glossary**

銀行主腦人物評	은행주뇌인물평	Critique of Bank Leaders (lit. Bank Brain Figures Assessment)
洋屋	양옥	Western-style building
偶居	우거	To reside temporarily
由來	유래	Origin, history
波瀾	파란	Upheavals, disturbances, turmoil
主腦者	주뇌자	Leader (lit. brain person)
變遷	변천	Changes, transitions
株金	주금	Stock capital, share capital
疑問視	의문시	To view with doubt, question
未久	미구	Not long after
專務	전무	Managing Director (a specific executive role)
君臨	군림	To reign, rule over
小康狀態	소강상태	State of relative stability, lull
財政的	재정적	Financial
破*의 域	파산의 역	Brink of bankruptcy (Original has an obscured character, likely 產 for 破產 - bankruptcy)
彷徨	방황	Wandering, roaming
財閥	재벌	Chaebol, large family-controlled industrial conglomerate
呻吟	신음	Groaning
艱苦	간고	Hardship, suffering
地盤	지반	Foundation, base
金融界	금융계	Financial world
刷新	쇄신	Reform, renovation
堅實	견실	Solid, sound, steady
言約	언약	Promise, pledge
積立金	적립금	Reserve fund, accumulated fund
圖謀	도모	To plan, scheme, aim for
令弟	영제	Younger brother (honorific)
扳躍	반약	To promote, elevate (less common term)
招聘	초빙	Invitation (to fill a position)
支配人	지배인	Manager
背景	배경	Background, backing, support
孤舟	고주	Lone boat
指針	지침	Compass needle, guideline
暗礁	암초	Hidden reef
砂洲	사주	Sandbar
聳立	용립	To stand tall, rise prominently
吸收	흡수	Absorption
貸出	대출	Loan, lending
掌握	장악	Grasp, control, command
起死回生劑	기사회생제	Resuscitation medicine, agent of revival
職制	직제	Organizational structure, system of offices
頭取	두취	President (of a bank, older term, often used in Japanese banks)
尸位素餐	시위소찬	Occupying a position without performing duties (idiom)
長物	장물	Useless thing, superfluity
補佐役	보좌역	Assistant role, aide
鞏固	공고	Solid, firm, strong
昇次	승차	Promotion
所産	소산	Native place, place of origin
爲人	위인	Personality, character
內沈的	내침적	Introverted (lit. inwardly sinking)
外進的	외진적	Extroverted (lit. outwardly advancing)
內實	내실	Inner substance, true quality
外觀	외관	Outward appearance
不顧	불고	To disregard, ignore
操身守分	조신수분	To conduct oneself prudently and keep to one's station
村새님	촌새님	Village teacher/scholar (potentially slightly rustic or old-fashioned connotation; older spelling of 촌선생님)
時體	시체	Contemporary style, current fashion
權謀術數	권모술수	Schemes and tactics, intrigue
左衝右突	좌충우돌	Charging left and right, acting recklessly
境界線	경계선	Boundary line
穩健眞實	온건진실	Moderate and sincere
下石上撑	하석상탱	Pushing down subordinates to climb up (idiom)
판에 박은 듯	판에 박은 듯	As if cast in a mold, stereotyped, very predictable (idiom)
無爲無能	무위무능	Inactive and incompetent
負芨渡東	부급도동	To pack one's bags and cross to the East (Japan) - refers to studying abroad in Japan
螢雪의 功	형설의 공	Effort of diligent study (idiom referencing studying by firefly light and snow reflection)
畢	필	To finish, complete (used with 학교 - school)
錦衣還鄕	금의환향	Returning home in glory (lit. in brocade clothes) (idiom)
疏淡	소담	Indifferent, aloof
與人交際	여인교제	Social intercourse, dealing with people
常規	상규	Norm, convention
物議	물의	Public criticism, controversy
手腕	수완	Skill, ability, capability
力量	역량	Capacity, competence
躊躇	주저	Hesitation
行蹟	행적	Deeds, track record
狹小	협소	Narrow, limited
印象	인상	Impression
一見	일견	At first glance
村學者	촌학자	Village scholar
매물스러운	매몰스러운	Stern, harsh, cold-hearted (older spelling/form of 매몰스러운)
容易	용이	Easy
接觸	접촉	Contact, touch
豪然	호연	Audacious, bold, imposing
注視	주시	To gaze at, watch intently
接語	접어	To converse with, speak to
악센트	악센트	Accent (loanword)
獨特	독특	Unique, distinctive
巷談	항담	Street talk, gossip, rumor
是	시	This, yes, right (here used to mean 'affirmative' or 'correct')
헌터럭	헌터럭	Single strand of hair (old/dialectal form)
萬人	만인	Myriad people, all people
질겨	즐겨	Gladly, willingly (older spelling of 즐겨)
應諾	응낙	Consent, approval
所信	소신	Belief, conviction
猛進	맹진	Fierce advance, pushing forward strongly
能小能大	능소능대	Capable of handling both small and large matters, versatile
包容	포용	Tolerance, embracing, magnanimity
寬恕	관서	Forgiveness, leniency
緣木求魚	연목구어	Seeking fish from a tree (idiom for a futile effort)
擇用	택용	To select and employ
信用	신용	Trust, credit
自退	자퇴	To resign voluntarily
眞摯	진지	Sincere, earnest
驚異	경이	Wonder, astonishment
手下	수하	Subordinate
求請	구청	Request, entreaty
指導斡旋	지도알선	Guidance and arrangement/mediation
啓發	개발	Development, enlightenment
分錢	분전	Small coin, small sum of money
愛着心	애착심	Attachment, affection
毫利	호리	Minuscule profit or interest
加減	가감	Increase or decrease, adjustment
徹頭徹尾	철두철미	Thoroughly, from beginning to end
志操	지조	Integrity, principle, fidelity
明晳	명석	Clear, distinct
理智	이지	Reason, intellect
剛直	강직	Rigid, upright, inflexible
緻密	치밀	Meticulous, detailed, elaborate
內明外順	내명외순	Bright inside and compliant outside
課長級	과장급	Section chief level
大局	대국	Larger picture, overall situation
御人包容	어인포용	Managing and embracing people
局量	국량	Scope, capacity (of mind)
襟度	금도	Magnanimity, generosity
計入出量	계입출량	Measuring income and expenditure
主婦	주부	Housewife
上奉下率	상봉하솔	Respecting superiors and leading subordinates
門戶	문호	Gates of a house, household
資格	자격	Qualification
빈틈 업시	빈틈 없이	Without gaps, perfectly, flawlessly (older spelling of 없이)
料理	요리	To manage, handle (besides 'cooking')
創意	창의	Creativity, originality
突進	돌진	Charge, rush forward
利害得失	이해득실	Gains and losses, advantages and disadvantages
遂成	수성	Accomplishment, achievement
守分樂道	수분락도	Being content with one's lot and finding joy in the Way (idiom)
鴻業大成	홍업대성	Accomplishment of a great enterprise
飯素食飮水	반소사음수	Eating coarse food and drinking water (from Analects)
股肱而寢之	고굉이침지	Sleeping using one's bent arm as a pillow (from Analects)
樂亦在其中	낙역재기중	Joy is also to be found in that (from Analects)
辨明	변명	Explanation, clarification, justification
基礎	기초	Foundation, basis
後門送朗 前門迎賓	후문송랑 전문영빈	Sending off guests through the back door while welcoming guests through the front door (idiom-like phrase describing frequent turnover)
遞迭	체질	Change, replacement (of personnel)
資金	자금	Funds, capital
變換	변환	Change, conversion
無配	무배	No dividend
一時	일시	At one time, temporarily
行員	행원	Bank employee
辛酸	신산	Hardship, bitterness (lit. pungent and sour)
着實	착실	Steady, solid, reliable
一躍	일약	In one leap, suddenly
榮名	영명	Glory and fame
負焰入火	부염입화	Carrying firewood into a fire (idiom for making a situation worse)
大事休矣	대사휴의	It's all over, the situation is hopeless (idiom)
存在	존재	Existence, presence
中興	중흥	Revival, restoration
功臣	공신	Meritorious subject/contributor
節用節儉	절용절검	Thrift and frugality
小話	소화	Anecdote, short story
關係者	관계자	Related person, party concerned
要望	요망	Demand, request
自進	자진	Voluntarily
援助	원조	Assistance, aid
*分	기분	Share, portion (Original uses *, likely a placeholder or obscured character like 幾 or 各)
力*	역설	To emphasize, strongly argue (Original uses *, likely a placeholder or obscured character like 說)
期日	기일	Appointed day, deadline
憤慨	분개	Indignation, resentment
傲慢	오만	Arrogance, haughtiness
豪華	호화	Luxury, splendor
放從	방종	Indulgence, license
親切	친절	Kindness
簡素	간소	Simplicity
冷靜	냉정	Calmness, composure
人格	인격	Personality, character
所有者	소유자	Owner, possessor


---------------------------


잡지명	삼천리 제8권 제6호
발행일	1936년 06월 01일
기사제목	銀行主腦人物評 海東銀行 文尙宇氏
필자	江村居士
기사형태	소식

銀行主腦人物評 海東銀行 文尙宇氏
						江村居士
