잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	女流作家 訪問記(其一) (Visiting Female Writers (Part 1))
필자	金八蓮
기사형태	소식 (News/Report)

Visiting Female Writers
						Kim P'allyŏn
Taking Notes with Writer Pak Hwasŏng Beneath Yudal Mountain

One late spring day, gazing at the sunset glow slanted across the slope of Yudal Mountain, I set out on the path to visit the female writer, Ms. Pak Hwasŏng.
On this day, a somewhat chilly sea breeze blew, and the streets of Mokp'o city were covered in hazy dust.
Passing through the dreary harbor streets, the back alleys of Mokp'o where only ugliness (醜氣) and gloom flowed, and the red-light district, I shifted my footing and soon arrived beneath Yudal Mountain.<146>
On the slope of Yudal Mountain, which rose steeply ahead, the grassy fields were green and the groves of trees were dense, and young people enjoying the spring could be seen gathering. Seeking out a quiet, one-room thatched house (一間 초옥) tucked away in a cozy corner beneath this Yudal Mountain, it was clear that this was where Ms. Pak resided.
Above the small gate, a tiny name card (名剌) reading 『Pak Hwasŏng』 was attached. For a while, I hesitated, thoroughly looking over the exterior of this single-room cottage. The surroundings were quiet, and behind it, the peak of Yudal Mountain seemed to guard this cottage like a protective screen. I also lifted my head and looked down upon Mokp'o city. Beyond the hazy, dust-covered streets, only the white masts of sailboats drifting in the harbor faintly flickered; the shimmering horizon of the vast, rough Yellow Sea barely entered my field of vision (眼界).
Looking down ahead at the sea of the Yellow Sea, across from the port city that brews all sorts of squalor and sorrow (悲) in the clamorous (騷然한) daily struggle for life, and having behind her the forest on the slope of Yudal Mountain that provides a place for strolling (逍遙) and walking (散策), how could powerful ideas and outstanding writing not spring forth from the head of this female literary figure (女流文人) seated in her cottage!

I stepped inside the single-panel gate.
Tall cosmos (키다리 「코스모스」) had already grown long, and flowering plants like balsam (봉선화), Golden Cup Flower (金盃花), and zinnia (백일화) were growing lushly green in one corner of the narrow front yard (뜰압). Also, next to them, a few nameless potted plants (花盆) could be seen.
Appearing gently outside the window at the unexpected visitor's arrival, Ms. Pak's appearance was so plain, like that of a countryside (싀골) farm wife (農村의 主婦).
A white jeogori and a black skirt (껌언치마)—who, not knowing her, would guess this person was the female writer Pak Hwasŏng?
There was only an inner room (안ㅅ방) and an outer room (건넌방), separated by a single section of wooden floor (maru). Guided by Ms. Pak, I entered the outer room and had the chance to sit closely facing her.
Inside the room, there was nothing that caught the eye. In one corner, just a few monthly magazines lay on a small table (쯀…상), along with a wall painting (壁畫) and a single potted plant. It felt excessively plain. I guessed this room was likely used somewhat like a reception room (應接室). Eager to know even a fragment (片鱗) of her daily life, I dearly wished to see, even for a moment, the inner room where she ate and slept (寢食) daily, but not being able to do so was all the more regrettable.

Reporter: How many children (子女) do you have?
Pak: Three. Two daughters and one son. The eldest daughter, Sŭnghae (勝海, 7 years old), entered Mokp'o First Public Elementary School (木浦第一公立普通學校) this year<147>. The son, Sŭngsan (勝山, 5 years old), attends the second year at Huimang Kindergarten (希望 幼稚園). And the second daughter, Sŭngwŏn (勝園), is still nursing (젓멕이람니다). The children's father is currently teaching (敎鞭) at a middle school in Kando (間島), so I am living now with these little ones and my elderly mother.

Reporter: It must be quite busy for you, living alone with young children?
Pak: Being tied down by the day-to-day chores, I can hardly find any quiet, leisurely time.

Reporter: As you lead a creative life while also managing a household like this, aren't there inconveniences?
Pak: Why, yes! There are truly many, if I were to list them. But what can be done, it's natural for a woman (as it is for a man) to form a household? From morning till evening, immersed in and struggling with various miscellaneous tasks (잡동산이 일), yet trying not to forget the thought of picking up the brush and attempting some creative work—if that's hardship, it's a terrible hardship. If there's dissatisfaction amidst that, there's tremendous dissatisfaction. However, wouldn't it be wonderful if I could just cast off the household chores, build a small study (書齋) somewhere quiet, and have the opportunity to dedicate myself to writing? But when will such a world ever readily come for a female literary figure on this land?

Reporter: Nevertheless, when conceiving a novel, isn't this place beneath Yudal Mountain, strolling through the deep woods, a very good place to gather your thoughts?
Pak: Yes, there is that sort of pleasure (趣味). On deeply moonlit nights, or in the clear, early dawn, I can wander back and forth in the quiet Yudal Mountain forest where no one is around, savoring conception and reflection (思索). But that too isn't always possible as I wish. Worried (조바심) that the little one might be fussing at home, sometimes thoughts that were running along quite enjoyably just get erased midway.

Reporter: And what about your plans (푸랜) and ideals for the future?
Pak: Aspirations (抱負) and ideals for the future... they're all the same. Is there anything special? Keeping silent is the best policy. If I were to speak of future plans as a novelist, perhaps I'd say I want to produce good works. The ambition is great, but lacking talent, it's the same old tune day and night (밤낮 그 타령임니다).

Reporter: What kind of books are you reading frequently these days?
Pak: There aren't many books I'm currently reading. I've picked out some<148> concerning the rural village problem (農村 問題), but because I genuinely have no time, I can't read them well. Still, I diligently try to pick up books.

Reporter: Outside of your creative life, what are your daily hobbies (趣味)?
Pak: Shall I say perhaps going out for fun with like-minded friends (동무와) across the water or over the mountains?

Reporter: Do you have a separate room like a study (書齋) where you write (집필하시는)?
Pak: Oh no, where would I have a study? The books and household items are in the inner room (안ㅅ방) over there. I just write there. Usually, I write a few lines at a time when the children are playing or sleeping...

Reporter: So, do you only conceive ideas while deliberately seeking out the quiet beneath Yudal Mountain and pacing thoughtfully?
Pak: Not necessarily. Sometimes, pushing away even the child wanting to nurse, I bolt the door tight, pull the blanket over my head, lie down, and spend hours just blinking my eyes, conceiving ideas. At such times, the only thing that brings comfort to my eyes is the ceiling. Therefore, I make sure to choose good paper for the ceiling paper (天井紙) and repaper it often.
With a gentle smile forming on her round face, Ms. Pak's gaze already travels upward to the ceiling. As she said, the ceiling paper truly looked like good quality, expensive paper.

Reporter: By the way, roughly how many books are lined up (꼬처 잇서요) on your bookshelf (책장에는)?
Pak: Well, how many could there be? My husband got rid of all mine in Tokyo before coming here, so I don't have many books specifically in the field of literature (文學 方面). The books I do have, just enough not to fall behind others, are all treasured possessions (秘藏). They are mostly his, but I read them too when needed.

Reporter: Which literary figure's (文戶) books do you have the most of?
Pak: There aren't really any literary figure's books that I have so many of as to single them out. Perhaps other kinds of books...

Reporter: What creative direction (創作的 路線) do you intend to take from now on? By the way, people often say that your works somehow lack a feminine quality (女性的 品格) and are rather masculine (男性的), rough (꺼칠꺼칠하고), and forceful (억센). What are your thoughts on such criticisms? However, everyone clicks their tongue in admiration at your powerful, progressive, and solid style (筆致)...
Pak: Even without that, I myself often hear such comments, whether in print (紙上) or whispered (귀ㅅ가에).<149> Saying female writers should write feminine works, write works that only women can write... Please, stop saying such things—that's what I want to say widely to the literary world. Really, when writing, why is it necessary to distinguish so strictly by gender (性別)? Then why don't male writers exclusively write things only men can write, instead of writing about all sorts of deep points that even women might miswrite? I know this is utterly unreasonable demand (注文). For instance, if, after writing a piece, it turns out that because she is a woman, she truly pinpointed something a man might not have noticed, that statement is valid (正當). But telling someone beforehand to strive to write feminine works is truly mistaken (틀닌 소린 줄 압니다). In any case (左右間), I believe the common hope of all writers lies only in striving to write works that are worthy, valuable, and meaningful. Of course, my writing style might be rough and masculine, perhaps? I don't particularly want to change my style to something feminine and soft, nor do I think it could be changed that way. Anyway, I want to say this much: in the future, I want to depict the reality (現實) of this land even better and lead a literary life dedicated to true art (藝術) that serves humanity's (人類) future.

Reporter: With the current issues of raising and educating (養育, 敎育) young children and various life problems, it must be very difficult for you to hold the pen?
Pak: Yes... of course... Due to various other circumstances as well, I'm thinking of resting my body and mind for about three years, then picking up the pen again and trying to produce at least one more new, significant work (力作).

Reporter: Do you hold any different views regarding your future creative attitude (態度) and beliefs (信念)?
Pak: Oh no. There probably won't be any change (變遷) in my creative attitude and beliefs in the future...

Reporter: Being stuck in such a quiet and desolate countryside (싀골), don't you ever feel lonely (孤寂)? You must have many like-minded friends and writers in Seoul. Don't you want to come up to Seoul?
Pak: Why, yes. I want to go up and live there, and if I had the time and means, there are many people I'd like to frequently go up to meet and chat affectionately with, but how can everything turn out that way? The children are gradually increasing in number, and considering various things, it remains just a wish. However, perhaps because life is hard (고닲어서), I never really (통여) feel lonely or desolate.<150> Rather, I infinitely long for such time, but even if I intentionally try to find it (우정 차츠랴해도), it rarely comes...

Reporter: Besides going out for fun with like-minded friends across the water or over the mountains, do you have any special hobbies you pursue at home?
Pak: As you can see, the yard is small, but planting flowers, and placing a few pretty potted plants (고흔 化盆) in the room, watering and tending (각궈 놓으면서) them morning and evening, watching the leaves unfold and the flower buds gently open (버러지는)—if that's a hobby, I suppose you could call it a hobby. Before long, it seemed dusk was finding its way even to this cottage beneath Yudal Mountain, so I rose from my seat and came out. The evening sun had already hidden behind the peak of Yudal Mountain, and the sea breeze blowing from the Yellow Sea seemed to carry a strange scent (내음새) even into the yard of this house.
Wishing deeply (心願하면서) that a more brilliant legacy will emerge in the future for this writer, who gazes upon the southern port city of Mokp'o morning and evening and holds a sturdy brush (건실한 붓대) in her quiet cottage beneath Yudal Mountain, I turned and walked out of the single-panel gate of this house. <151>

**Summary**

The article is an interview by Kim P'allyŏn with the renowned female writer Pak Hwasŏng at her modest home in Mokp'o in 1936. Pak discusses the challenges of balancing her writing career with raising three young children and managing a household alone while her husband teaches in Kando. She describes her simple life, her writing process (sometimes seeking inspiration in Yudal Mountain's nature, sometimes conceiving ideas while confined indoors), and her desire for more dedicated writing time. Pak firmly rejects the notion that female writers should confine themselves to "feminine" themes, arguing for artistic freedom and focusing on depicting reality and contributing to meaningful literature, regardless of gender expectations.

For historians, the article offers a valuable glimpse into the life of a prominent female intellectual during the Japanese colonial period. It highlights the immense difficulties faced by women writers juggling domestic responsibilities and creative pursuits, the specific economic and social constraints (living modestly, husband away for work in Manchuria), and Pak Hwasŏng's strong feminist stance against gendered literary expectations within the male-dominated literary scene of the time. Her comments on writing about "rural problems" and depicting "the reality of this land" also reflect the social consciousness prevalent among some writers of the era.

**Named Entities**

金八蓮	김팔련	Kim P'allyŏn
朴花城	박화성	Pak Hwasŏng
楡達山	유달산	Yudal San (Yudal Mountain)
木浦	목포	Mokp'o
黃海	황해	Hwanghae (Yellow Sea)
勝海	승해	Sŭnghae
木浦第一公立普通學校	목포제일공립보통학교	Mokp'o Cheil Kongnip Pot'ong Hakkyo (Mokp'o First Public Elementary School)
勝山	승산	Sŭngsan
希望 幼稚園	희망 유치원	Huimang Yuch'iwŏn (Huimang Kindergarten)
勝園	승원	Sŭngwŏn
間島	간도	Kando
東京	동경	Tokyo

**Glossary**

女流作家	여류작가	Female writer
밋헤서	밑에서	Beneath; under (older spelling of 밑에서)
빗긴	비낀	Slanted; cast sideways
올넛다	올랐다	Went up; ascended (older spelling/form of 올랐다)
바다ㅅ바람	바닷바람	Sea breeze (uses older genitive marker 'ㅅ')
부러오는	불어오는	Blowing (older spelling of 불어오는)
뽀이얀	뽀얀	Hazy; milky white (older spelling)
몬지	먼지	Dust (older spelling)
뒤덥허	뒤덮어	Covering completely (older spelling of 뒤덮어)
흘너나리는	흘러내리는	Flowing down (older spelling of 흘러내리는)
발굼치	발꿈치	Heel (older spelling)
놋는	놓는	Placing; putting (older spelling of 놓는)
웃드럼이	우두커니	Standing tall; prominently (possibly regional or older form related to 우뚝 or 우두커니)
욱어저	우거져	Become dense; grow thick (older spelling of 우거져)
단이는	다니는	Going about; frequenting (older spelling of 다니는)
차저드니	찾아드니	Upon visiting; seeking out (older spelling of 찾아드니)
名剌	명함	Name card; visiting card (Hanja term)
훌터	훑어	Scan; look over thoroughly (older spelling of 훑어)
묏부리	멧부리	Mountain peak (older spelling of 멧부리)
싸혀	싸여	Wrapped in; enveloped by (older spelling of 싸여)
돗대	돛대	Mast (older spelling)
안계	안계	Field of vision (Hanja term)
소연한	소연한	Clamorous; noisy (Hanja term, 騷然)
悲	비	Sorrow; sadness (Hanja character)
바더 가지고	받아 가지고	Receiving and having; possessing (older spelling/form)
안으랴	않으랴	Would it not...? (older interrogative ending)
들어섯다	들어섰다	Stepped in; entered (older spelling of 들어섰다)
자라낫고	자라났고	Grew up (older spelling of 자라났고)
뜰압	뜰 앞	Front yard (older compound form)
소북히	소복이	Abundantly; piled up (older spelling of 소복이)
파릇파릇	파릇파릇	Greenly; vividly green
노여 잇는	놓여 있는	Are placed; are laid down (older spelling of 놓여 있는)
잇섯다	있었다	There was; existed (older spelling)
난데업는	난데없는	Unexpected; out of nowhere (older spelling)
나그내	나그네	Traveler; visitor (older spelling)
삽분	사뿐	Lightly; gently (older spelling)
넘우나	너무나	Very; so; excessively (older spelling)
싀골	시골	Countryside (older spelling)
껌언치마	검은 치마	Black skirt (older spelling/pronunciation)
잇슬	있을	Will be; existing (older spelling of 있을)
어덧다	얻었다	Gained; obtained (older spelling)
띄이는	띄는	Catching the eye; noticeable (older spelling of 띄는)
업다	없다	Not exist; be absent (older spelling)
쯀…상	책상(?)	Desk or small table (unclear, perhaps dialect or misspelling for 책상)
노힌	놓인	Placed; laid (older spelling of 놓인)
멧권	몇 권	Several volumes; a few books (older spelling)
십다	싶다	Want to (older spelling of 싶다)
십흔	싶은	Wanting to (older spelling of 싶은)
못하엿슴	못하였음	Was unable to do (older spelling/nominalization)
안탁가웁다	안타깝다	Regrettable; unfortunate (older spelling)
멫 분	몇 분	How many people (older spelling)
셋이람니다	셋이랍니다	It is three (older spelling/formality)
올에	올해에	This year (older spelling of 올해)
단이지요	다니지요	Attends; goes to (older spelling of 다니지요)
젓멕이람니다	젖먹이랍니다	Is a nursing baby (older spelling of 젖먹이랍니다)
아부지	아버지	Father (colloquial/older form)
잇슴으로	있으므로	Because there is; because he is (older spelling)
지냄니다	지냅니다	Spend time; live (older spelling)
다리고	데리고	Taking along; with (older spelling of 데리고)
밧부시겟군요	바쁘시겠군요	You must be busy (older spelling)
억매이게	얽매이게	To be tied down; bound (older spelling)
되여서	되어서	Becoming; resulting in (older spelling)
어들	얻을	To get; obtain (older spelling of 얻을)
업세요	없어요	There isn't any (older spelling/formality)
이러틋	이렇듯	Like this; in this way (older spelling)
업스신가요	없으신가요	Aren't there any...? (older spelling/honorific)
웨요	왜요	Why? (older spelling)
만치요	많지요	There are many, right? (older spelling)
그러치만	그렇지만	But; however (older spelling)
엇덕함니까	어떡합니까	What should I do?; What can be done? (older spelling/dialectal form of 어떡합니까)
빠저서	빠져서	Falling into; immersed in (older spelling)
헤매면서도	헤매면서도	Even while wandering/struggling (older spelling)
잇지 안흐랴고	잊지 않으랴고	Trying not to forget (older spelling of 잊지 않으려고)
잇다면	있다면	If there is (older spelling)
떠나서	떠나서	Leaving behind; departing from
고요한 곧	고요한 곳	Quiet place (older spelling of 곳)
지어놓고	지어놓고	Build and have
듸려서	들여서	Putting in; investing (effort) (older spelling of 들여서)
오작이나 조켓슴니가	오죽이나 좋겠습니까	How wonderful would it be (older expression/spelling)
오겟서요	오겠어요	Will it come? (older spelling)
갓흔	같은	Like; similar to (older spelling)
퍽 조흔 데	퍽 좋은 데	Very good place (older spelling of 좋은)
안닌가요	아닌가요	Isn't it? (older spelling)
잇지마는	있지마는	Although there is (older spelling of 있지만은)
안는가	않는가	Whether... not (older interrogative ending)
조바심	조바심	Anxiety; apprehension
각금	가끔	Sometimes; occasionally (older spelling)
잇담니다	있답니다	There is/are (reportedly) (older spelling/formality)
푸랜	플랜	Plan (loanword, older spelling)
잇슴니가	있습니까	Is there? (older spelling)
타령임니다	타령입니다	It's the same old story/complaint (older spelling)
골나 놓고도	골라 놓고도	Even after choosing/selecting (older spelling of 골라)
업스니까	없으니까	Because there isn't (older spelling)
못 읽슴니다만	못 읽습니다만	Although I cannot read (older spelling)
부즈런이	부지런히	Diligently (older spelling)
엇던데	어떤 데	What kind of place/area (older spelling)
두시나요	두시나요	Do you place/keep? (honorific)
동무와	동무와	With friend(s) (동무 is an older/NK term for friend)
놀너가	놀러 가	Go out to play/for fun (older spelling of 놀러)
할가요	할까요	Shall I say? (older spelling)
집필하시는	집필하시는	Writing (honorific, Hanja term 執筆)
서재	서재	Study room (Hanja term 書齋)
안ㅅ방에	안방에	In the inner room (uses older genitive marker 'ㅅ')
거기서	거기서	There; in that place
타서	타서	Taking advantage of (time)
멫 줄씩	몇 줄씩	A few lines at a time (older spelling)
쓰니까요	쓰니까요	Because I write... (explaining)
반듯이	반드시	Surely; certainly (here perhaps meaning 'specifically' or 'only')
곰곰히	곰곰이	Thoughtfully; intently (older spelling)
그러치도 안치요	그렇지도 않지요	Not necessarily so; not really (older spelling)
엇던 때는	어떤 때는	Sometimes; at certain times (older spelling)
뿌리처	뿌리쳐	Shaking off; rejecting (older spelling)
거러 매고	걸어 매고	Locking/bolting (door) (older spelling of 걸어 잠그고?)
드러 누워서	드러누워서	Lying down (older spelling of 드러누워서)
멫 시간씩	몇 시간씩	For several hours at a time (older spelling)
발느게 되여요	바르게 되어요	End up applying/papering (older spelling of 바르게)
지우면서	지으면서	Making/forming (a smile) (older spelling)
올너간다	올라간다	Goes up (older spelling)
조희같해	종이 같아	Seems like paper (older spelling of 종이)
보이엿다	보였다	Looked; seemed (older spelling)
꼬처 잇서요	꽂혀 있어요	Are stuck in; are lined up (books) (older spelling of 꽂혀)
멫 권이 될 것	몇 권이 될 것	How many volumes would it be (older spelling)
모조리	모조리	Completely; all
없새버리고	없애버리고	Getting rid of completely (older spelling)
별로히	별로이	Particularly; especially (older spelling)
지지 안흐리 만치	지지 않으리 만치	To the extent that one doesn't lose/fall behind (older spelling of 지지 않으리 만큼)
秘藏	비장	Treasured possession (Hanja term)
만히	많이	Many; much (older spelling)
업세요	없어요	There aren't any (older spelling/formality)
몰으지만	모르지만	Although I don't know (older spelling)
엇더케	어떻게	How; in what way (older spelling)
가지시렵니가	가지시렵니까	Do you intend to take/have? (older future volitional ending)
흔이	흔히	Commonly; often (older spelling)
어쩐지	어쩐지	Somehow; for some reason
넘우나	너무나	Too; excessively (older spelling)
꺼칠꺼칠하고	까칠까칠하고	Rough; coarse
억센	억센	Strong; forceful; stubborn
필치	필치	Writing style; brush stroke (Hanja term 筆致)
모다들	모두들	Everyone (older spelling)
찹데다만는	찹디다마는	Click one's tongue (in admiration), but... (older spelling/form)
안허도	않아도	Even without (older spelling)
지상으로나	지상으로나	Whether in print (紙上)
귀ㅅ가에	귓가에	By the ear; whispered (uses older genitive marker 'ㅅ')
만트군요	많더군요	There seem to be many (older spelling/ending)
널리	널리	Widely
십허요	싶어요	Want to (older spelling)
무엇임니까	무엇입니까	What is it? (older spelling)
안코	않고	Not doing and... (older spelling)
집허	짚어	Pointing out; touching upon (older spelling of 짚어)
틀닌 소린 줄	틀린 소린 줄	Know it's wrong words/mistaken idea (older spelling of 틀린)
아러요	알아요	I know (older spelling)
일넌지도 몰으지요	일는지도 모르지요	It might be... (older spelling/form)
십지도 안흐려니와	싶지도 않으려니와	Not only do I not want to... (older spelling/connective)
고처질	고쳐질	Will be fixed/changed (older spelling)
하여간	하여간	Anyway; in any case
십다는	싶다는	Saying that one wants to (older spelling)
만은	만은	Only; just (emphasis particle)
괴로우시겟군요	괴로우시겠군요	It must be painful/difficult for you (older spelling)
쉬엿다가	쉬었다가	After resting (older spelling)
내여보려는	내어보려는	Trying to put out/publish (older spelling of 내어보려는)
듬니다	듭니다	It occurs (thought); enters (older spelling)
금후의	금후의	Future (Hanja term 今後)
가지시지 안헛나요	가지시지 않았나요	Haven't you held/had...? (older spelling/negative question)
아-니요	아니요	No (older spelling)
없겟지요마는	없겠지요마는	There probably won't be, but... (older spelling)
백혀잇서	박혀 있어	Being stuck; embedded (older spelling of 박혀 있어)
늣기는	느끼는	Feeling (older spelling of 느끼는)
없스서요	없으세요	Don't you have/feel? (older spelling/honorific)
