**Header Section:**
Magazine Title: 三千리 제9권 제4호
Publication Date: 1937년 05월 01일
Article Title: 조선인 관리들은 조선에 무엇이 되기를 希望乎 (What Do Korean Officials Hope for Chosŏn?)
Article Type: 설문 (Survey)

**Body Text Translation:**

What Do Korean Officials Hope for Chosŏn?

Sin Ch'ang-sŏp, County Magistrate of Hongsŏng, Ch'ungch'ŏngnam-do

To expand educational institutions and swiftly implement compulsory education.

Chang Hŏn-gŭn, Council Member, Hamgyŏngbuk-to

1.  A mainland (Japanese) Buddhist master proficient in the Korean language.
2.  Middle-ranking youth with sound ideology.
3.  Various facilities established through charitable works.
4.  Improvement of medical institutions.

O Se-nam, Head of the Sanitation Department, Ch'ungch'ŏngbuk-to

Government-established orphanages.
The sight of young orphans, beggars, and vagrants wandering the streets in the severe cold of winter with nowhere to turn truly evokes heartbreaking feelings (斷腸의 念). I hope for the establishment of government-run orphanages in several locations within Chosŏn.

Yi Sŏn-ho, County Magistrate of Tŏgwŏn, Hamgyŏngnam-do

Mountain management (治山).
Flood control (治水).

Abe Tsune, County Magistrate of Tanch'ŏn, Hamgyŏngnam-do

1.  The provision of lodging expenses (宿料) to Korean officials as well, because Korean officials do not have their homes in the location of their workplaces.
2.  The implementation of the election law for the House of Representatives (衆議院).

Han Hong-sŏk, County Magistrate of Changjin, Hamgyŏngnam-do

1.  Implementation of military service obligation.
2.  Granting of political rights (suffrage).

Kim Hyŏng-sun, County Magistrate of Yangdŏk, P'yŏngannam-do

I earnestly desire the emergence of persons of high virtue who have truly transcended fame and fortune.

Kim Si-myŏng, County Magistrate of Hongch'ŏn, Kangwŏn-do

What I desire for Chosŏn is the spirit of self-reliant independence among the youth.<18> For Chosŏn to prosper, the youth must awaken from the conventional tendency of valuing salaried life (officialdom valued over the populace, 官尊民卑) and pioneer a new life in their chosen path with a spirit of self-reliance and independence. According to the old harmful custom (弊風), graduates from schools—be it university, professional school, middle school, or primary school—generally aim for employment. However, if they were to strive for independence using the knowledge acquired in school, they could secure a considerable income and stable livelihood, significantly invigorating various sectors of society (社社 각 방면에) and greatly contributing to the promotion of general welfare. Unless the spirit of Caesar—preferring to be the chicken's head (鷄頭) rather than the ox's rear (牛後)—becomes more pervasive, Chosŏn cannot prosper. <19>

**Summary**

This 1937 survey captures the hopes of various Korean officials serving under the Japanese colonial administration. Their desires range from practical improvements like expanding education (including compulsory education), establishing orphanages, enhancing healthcare, and undertaking public works (mountain/flood control), to addressing officials' welfare (lodging expenses). Some responses reflect accommodation or integration with the colonial system, such as wishing for Japanese Buddhist teachers proficient in Korean or advocating for military service. Others express aspirations for greater political autonomy, calling for suffrage (House of Representatives elections) and political rights. A strong theme emerging, particularly in Kim Si-myŏng's response, is the need for a fundamental shift in mindset among Korean youth away from seeking government positions towards self-reliant entrepreneurship and independence, seen as crucial for national prosperity. For historians, this article provides a valuable glimpse into the diverse perspectives and priorities of the colonized elite, revealing a mix of pragmatic concerns, assimilationist tendencies, and burgeoning nationalist sentiments focused on self-strengthening and political rights within the constraints of colonial rule. The call for a change in the traditional 'official over populace' mindset is particularly revealing.

**Named Entities**

三千리	삼천리	Samch'ŏlli
申昌燮	신창섭	Sin Ch'ang-sŏp
洪城	홍성	Hongsŏng
忠清南道	충청남도	Ch'ungch'ŏngnam-do
張憲根	장헌근	Chang Hŏn-gŭn
咸鏡北道	함경북도	Hamgyŏngbuk-to
吳世南	오세남	O Se-nam
忠清北道	충청북도	Ch'ungch'ŏngbuk-to
朝鮮	조선	Chosŏn
李選鎬	이선호	Yi Sŏn-ho
德源	덕원	Tŏgwŏn
咸鏡南道	함경남도	Hamgyŏngnam-do
安培恒	안배항	Abe Tsune
端川	단천	Tanch'ŏn
衆議院	중의원	Shūgiin (House of Representatives)
韓洪錫	한홍석	Han Hong-sŏk
長津	장진	Changjin
金亨淳	김형순	Kim Hyŏng-sun
陽德	양덕	Yangdŏk
平安南道	평안남도	P'yŏngannam-do
金時明	김시명	Kim Si-myŏng
洪川	홍천	Hongch'ŏn
江原道	강원도	Kangwŏn-do

**Glossary**

希望乎	희망호	Hope? (Uses older interrogative particle 乎 'ho')
堪能	감능	Proficient; skilled
내지인	내지인	Mainland person (referring to Japanese)
參與官	참여관	Council Member (Colonial government position)
온건한	온건한	Moderate; temperate
자선사업	자선사업	Charitable work; philanthropy
의료기관	의료기관	Medical institution(s)
충실	충실	Improvement; fullness; enrichment
관립	관립	Government-established
고아원	고아원	Orphanage
유소년	유소년	Young children; youth
걸식	걸식	Begging (for food)
룸펜	룸펜	Lumpen; vagrant (loanword)
의뢰	의뢰	To rely on; entrust
엄동설한	엄동설한	The severe cold of winter
路頭	노두	Roadside; street
방황	방황	Wandering; roaming
斷腸의 念	단장의 염	Heartbreaking feeling; deep sorrow (lit. 'feeling of severed intestines')
治山	치산	Mountain management; afforestation; erosion control
治水	치수	Flood control; river management
宿料	숙료	Lodging expenses; accommodation fee
근무청	근무청	Workplace; office location
갓고 잇지 못함으로이다	갖고 있지 못함으로이다	Because (they) do not possess/have (older grammatical form/spelling)
선거법	선거법	Election law
병역의무	병역의무	Military service obligation; conscription duty
참정권	참정권	Political rights; suffrage
부여	부여	Granting; bestowal
진실노	진실로	Truly; genuinely (older spelling/form of 진실로)
명리	명리	Fame and fortune
초월한	초월한	Transcended; surpassed
高德之士	고덕지사	Person of high virtue and learning
배출	배출	Producing (people); turning out (graduates); emergence
切望	절망	Earnest desire; ardent hope
욕망	욕망	Desire; aspiration
자주독보	자주독보	Walking alone self-reliantly; independence
봉급생활	봉급생활	Salaried life; life as a salaried employee
官尊民卑	관존민비	Valuing officials over common people (traditional hierarchical view)
기풍	기풍	Trend; tendency; spirit (of the times)
깨서	깨서	Awakening from; breaking free from
자주자립적	자주자립적	Self-reliant and independent
진로	진로	Path; course; career path
신생활	신생활	New life
개척	개척	Pioneering; developing; cultivating
弊風	폐풍	Bad custom; harmful tradition; evil practice
擧皆	거개	Mostly; generally; on the whole
취직	취직	Getting a job; finding employment
목표	목표	Goal; objective; target
습득	습득	Acquisition (of knowledge/skills); learning
어더	얻어	Gaining; obtaining (older spelling of 얻어)
社社	사사	Society; various sectors (possibly older or specific usage)
방면	방면	Field; area; aspect
활기	활기	Vitality; energy; liveliness
복리 증진	복리 증진	Promotion of welfare/well-being
