Magazine Title: 삼천리 제9권 제5호
Publication Date: 1937년 10월 01일
Article Title: 南總督의 訓示, 8月 20日 知事會議席上 (Instruction of Governor-General Minami, at the Governors' Conference on August 20th)
Author: Nam Jirō (Governor-General of Korea)
Article Type: 논설 (Editorial/Commentary)

Instruction of Governor-General Minami, at the Governors' Conference on August 20th

The reason I have troubled you all to gather again today is that, triggered by the newly erupted incident in Shanghai and the clash with Central Government troops at Nankou in North China, the situation between Japan and China has further evolved, finally reaching an unavoidable state of full-scale warfare. In light of the fact that this has brought about a major change in the policy and attitude of our Empire, I wish to newly call your attention to this and urge you to have even firmer resolve and the readiness for enduring perseverance regarding the immediate official duties.

For about a month since July 8th, in North China, the might of the Imperial Army completely swept away the 29th Army from the Beiping-Tianjin area, and it seemed as though order was gradually being restored, appearing superficially to have reached a point of resolution. However, the Nanking Government thereafter continued to confront us under an expansionist policy relying solely on anti-Japanese military means. Along the Beiping-Hankou and Tianjin-Pukou railway lines, they reorganized defeated soldiers while simultaneously moving large units of the Central Army northward, ignoring the Umezu-He Yingqin Agreement (*欽協定) and adopting a decisive battle posture. Furthermore, the Central Army in the Suiyuan direction, basing themselves on the Great Wall line, threatened the rear of Hebei, finally provoking the battle of Nankou. As a result, the northern part of Hebei Province, including Beiping and Tianjin, became surrounded on three sides by Chinese troops whose will to fight was fierce. Under these circumstances, the Empire's and the Imperial Army's non-expansion policy was completely trampled by the Chinese side. Adding to this, in Shanghai, following the Ōyama Incident, the situation drastically worsened, starting with the Chinese regular army's attack on the concessions, ignoring the ceasefire agreement. Even here, the Imperial Navy adopted a non-expansion policy, limiting itself to a defensive response posture with our Naval Landing Party solely for the protection of residents and rights. However, when the Chinese Air Force ignored international norms and carried out several airstrikes that trampled humanity, they completely destroyed the Empire's policy, leading finally to our Naval Air Corps carrying out annihilating (*滅的) bombing raids on Chinese Air Force bases.

Considering both the situation in North China and Central China together like this, it has become self-evident that the non-expansion policy the Empire has strived for until now has already been trampled by the Chinese side, and the realization of its purpose has, in fact, become impossible. Moreover, it is also clear that our non-expansion policy, conversely, resulted in China nurturing its malicious intent (禍心) ever more, expanding inhumane harm (禍害). Therefore, the Empire has decided to cast aside (一擲) the previous non-expansion policy and take resolute action to punish (應懲) China, deliver a fatal blow, and make it abandon its anti-Japanese consciousness, taking appropriate and effective actions. In other words, the North China Incident has become the China Incident, and the non-expansion policy has become a policy of punitive action. This change in determination came about after such forbearance that it could even be called rather late. (Omitted from original text)

The purport of the three points instructed at the Governors' Conference convened immediately after the outbreak of the North China Incident previously has, through your appropriate planning and guidance, led the populace of the peninsula to correctly recognize the current situation, evoking the concept of 'Inner Land and Korea as One' (內鮮一體) and 'Nation United as One' (擧國一致), and embodying the fulfillment of duties as citizens on the home front (銃後), among other things, steadily manifesting patriotic thought and action, which is truly a matter for mutual congratulation (同慶). I express my gratitude on this occasion.

Under the new developments of the situation mentioned before and the new perspective and preparedness required, what should the residents of the Peninsula strive to do henceforth? I believe they should push forward with the execution of the following main items.

First: To further strengthen and thoroughly instill the understanding of the three points mentioned at the previous conference: recognition of the current situation, the Empire's global position, and understanding China.

Second: To be prepared for the situation to drag on considerably long and carry out various measures prudently. To strictly caution against optimistic, arbitrary judgments (專斷) that it can be concluded in a short period.

Third: For government and people to cooperate (官民협동) and strive for the rapid and large-scale development and progress of various industries.

The foundation for cultivating the unwavering attitude of the peninsular people, advancing into a wartime footing (전시체제) beyond the current emergency situation, lies in the execution and embodiment of the above three main points (要綱). Generally, this is because through these, a firm spiritual strength, sound ideological power, and vigorous vitality and economic power can be cultivated. (Omitted from original text)

Now, our Empire stands at a stage where the ideal of constructing East Asian peace is established on unshakeable (不動) ground. Therefore, we must swiftly clean up (淸掃) what will become the root of trouble (화근) in East Asia in the future. With the two great peoples of Japan and Manchuria, and adding the Chinese people, through the hands of East Asians themselves, sharing welfare (福利) amongst each other, enjoying great peace, promoting Eastern morality (道義), completing Eastern culture—it can be said we have providentially stood at the beginning of this historic course by the will of Heaven.

The sacrifices (犧牲) to be offered for this holy task (聖業) will surely not be small. We, as the nation's people, must not let this sacrifice fall solely upon the Imperial Army fighting on the front line; the entire nation must resolve to share the burden (頒負) together, and there must not be even the slightest point of regret (유감) in perfecting our duty on the home front (銃後).

Finally, I express gratitude for the hardships of the officers and soldiers (장병) of the Imperial Army who are establishing brilliant military exploits (赫赫한 武勳) in North China and Shanghai, and at the same time, express deep condolences (哀悼) for the fallen soldiers of the Imperial Army and for our compatriots massacred by the Chinese army in places like Tongzhou. With this, I conclude this instruction.

Showa 12 [1937], August 20th
Governor-General of Korea, Nam Jirō <5>

**Summary**

Governor-General Nam Jirō's speech to Korean provincial governors on August 20, 1937, marks a significant shift in Japanese policy regarding the conflict in China. He declares the previous "non-expansion policy" a failure, blaming Chinese aggression in North China (Beiping-Tianjin, Nankou) and Central China (Shanghai Incident) for forcing Japan's hand. The Empire, he announces, has now adopted a policy of "punitive action" (응징) to deliver a "fatal blow" to China and eradicate its anti-Japanese sentiment. He calls upon the governors to reinforce among the Korean populace (referred to as "peninsular residents") the understanding of the situation, prepare for a prolonged war, mobilize for industrial development, and fully embrace the concepts of "Inner Land and Korea as One" (Naeseon Ilche) and shared sacrifice for the "holy task" of establishing Japanese-led East Asian peace.

This speech is highly significant for historians studying Korean colonial history. It starkly reveals the Japanese justification for escalating the Second Sino-Japanese War and explicitly outlines the demands placed upon the Korean colony. It showcases the intensification of propaganda efforts, particularly the promotion of *Naeseon Ilche*, aimed at mobilizing Korean resources and manpower for Japan's war effort, framing cooperation and sacrifice not just as a duty but as participation in a grand, "holy" civilizing mission led by Japan. The speech underscores the transition from managing dissent to demanding active participation and loyalty from Koreans in the face of total war.

**Named Entities**

南總督	남총독	Governor-General Minami (Nam Jirō)
上海	상해	Shanghai
北支	북지	North China
南口	남구	Nankou
日支	일지	Japan-China
帝國	제국	Empire (of Japan)
平津	평진	Beiping-Tianjin area
南京 政府	남경 정부	Nanking Government
平漢線	평한선	Beiping-Hankou Railway
津浦線	진포선	Tianjin-Pukou Railway
梅津 何*欽協定	매진 하흠협정	Umezu-He Yingqin Agreement
綏遠	수원	Suiyuan
長城線	장성선	Great Wall line
河北	하북	Hebei
皇軍	황군	Imperial Army (Japanese)
支那	지나	China (derogatory term used by Japan at the time)
大山事件	대산사건	Ōyama Incident
帝國 海軍	제국 해군	Imperial Navy (Japanese)
陸戰隊	육전대	Naval Landing Party (Japanese Marines)
海軍 航空部隊	해군 항공부대	Naval Air Corps (Japanese)
中支	중지	Central China
朝鮮總督	조선총독	Governor-General of Korea
南次郞	남차랑	Nam Jirō
半島	반도	Peninsula (Korean Peninsula)
滿洲	만주	Manchuria
東亞	동아	East Asia
通州	통주	Tongzhou
昭和	쇼와	Showa (Japanese era name)

**Glossary**

訓示	훈시	Instruction; official address (often military or governmental)
再次	재차	Again; once more
勃發	발발	Outbreak; eruption (of war, incident)
事變	사변	Incident; affair; emergency (often used euphemistically for war, e.g., 北支事變 - North China Incident)
시국	시국	The current state of affairs; the times
정세	정세	Situation; state of affairs
擴大主義	확대주의	Expansionism
手段	수단	Means; method; measure
掃蕩	소탕	Mopping-up operation; cleanup; annihilation
依然	의연	Still; as before; unchanged
패잔병	패잔병	Defeated soldiers; stragglers
재편성	재편성	Reorganization; reforming (troops)
배후	배후	The rear; behind; background
惹起	야기	To cause; provoke; give rise to
포위	포위	Encirclement; siege
不擴大方針	불확대방침	Non-expansion policy
유린	유린	Trampling; violation; infringement
租界	조계	Foreign concession or settlement (in China)
居留民	거류민	Resident nationals (abroad); settlers
權益保護	권익보호	Protection of rights and interests
수세적 응전	수세적 응전	Defensive response; fighting on the defensive
空爆	공폭	Airstrike; aerial bombing
根據地	근거지	Base; stronghold
고찰	고찰	Consideration; examination; study
자명	자명	Self-evident; obvious
禍心	화심	Malice; evil intention; treacherous design
禍害	화해	Harm; damage; calamity; evil influence
一擲	일척	To throw away; cast aside
斷乎	단호	Resolutely; firmly; decisively
응징	응징	Punishment; chastisement; retribution
치명적	치명적	Fatal; lethal; deadly
환언하면	환언하면	In other words; put differently
變轉	변전	Change; transition; turn
寧히	영히	Rather; preferably (older form/usage)
반도	반도	Peninsula (referring to Korea)
민중	민중	The populace; the people; the masses
內鮮一體	내선일체	"Inner Land (Japan) and Korea as One"; slogan for assimilation policy
擧國一致	거국일치	The whole nation united; national unity
銃後	총후	The home front (literally 'behind the guns')
구현	구현	Embodiment; realization; implementation
애국적	애국적	Patriotic
同慶	동경	Mutual congratulation; shared joy
邁進	매진	To strive forward; push vigorously ahead
持久堅忍	지구견인	Endurance and perseverance
專斷	전단	Arbitrary decision; dogmatism; acting solely on one's own judgment
嚴戒	엄계	Strict warning; admonition
官民협동	관민협동	Government-people cooperation
비상시국	비상시국	State of emergency; emergency situation
전시체제	전시체제	Wartime footing; wartime system
微動	미동	Slight movement; stirring (often used in negative 'without stirring')
要綱	요강	Main points; essentials; outline
배양	배양	Cultivation; fostering; nurturing
부동	부동	Immovable; unshakable; steadfast
수립	수립	Establishment; founding
화근	화근	Root of trouble; cause of misfortune
淸掃	청소	Cleaning up; sweeping away; purging
福利	복리	Welfare; well-being
頒	반	To distribute; divide; share
道義	도의	Morality; righteousness; principles
發揚	발양	Promotion; enhancement; exaltation
聖業	성업	Holy task; sacred undertaking
犧牲	희생	Sacrifice
偏	편	To lean towards; be biased; be partial
頒負	반부	To share a burden or responsibility
유감	유감	Regret; regrettable point
赫赫	혁혁	Brilliant; glorious; illustrious
武勳	무훈	Military exploits; distinguished military service
장병	장병	Officers and soldiers
노고	노고	Hardship; toil; labor; pains
애도	애도	Condolence; mourning; lamentation


---------------------------


잡지명	삼천리 제9권 제5호
발행일	1937년 10월 01일
기사제목	南總督의 訓示, 8月 20日 知事會議席上
기사형태	논설

南總督의 訓示, 8月 20日 知事會議席上
금일 再次 各位의 회동을 煩하게 된 것은 今次 새로 勃發한 上海의 사변과 北支 南口에서의 중앙군과의 충돌을 계기로 하야 日支 간의 시국이 更히 一段의 발전을 하야 드디어 전면적 교전의 불가피적 정세에 도달하였으므로써 我帝國의 방침 태도 上에도 일대 변화를 이르킨 사실에 鑑하야 새로 各位의 주의를 환기하고 또 당면의 機務上, 更히 牢乎한 결심과 持久堅忍의 각오를 促하기 위한 것이다.
