Magazine Title: 삼천리 第10卷 第5號
Publication Date: 1938년 05월 01일
Article Title: 文壇 歸去來 (Mundan Kwi Kŏ Rae - Literary World Comings and Goings)
Author: Not Specified
Article Type: 소식 (Sosik - News/Tidings)

**Literary World Comings and Goings**

Ms. Yi Sŏn-hŭi = This female writer, who had been vigorously wielding her creative brush with her bright and beautiful style, has recently joined the Arts and Culture department of the Chosŏn Ilbo.

Mr. Chang Hyŏk-chu = His play "Ch'unhyangjŏn," published in Shinchō, gained much popularity and was performed at the Tsukiji Little Theater under the direction of Murayama Tomoyoshi, receiving great acclaim. It is said that Shinchōsha will now publish "Ch'unhyangjŏn" as a standalone book.

Mr. Yi T'ae-jun = Mr. Yi, who spends busy hours as a professor at Ewha Women's College and Kyŏngsŏng Childcare School, took advantage of the short spring break to travel to Hsinching (Shinkyō) in Manchukuo and returned after a week, reportedly spending 80 won on travel expenses.

Mr. Pak Yŏng-hŭi = It is said he has gathered all the lyrical poems from his long time in the poetry scene since the days of the Paekcho group and will publish them this time as a poetry collection.

Mr. Yŏn Hak-nyŏn = Mr. Yŏn, who was one of the foremost renowned directors in the peninsula, passed away in early April at the age of 38. At his farewell ceremony at the Youth Hall (Ch'ŏngnyŏn Hoegwan) on April 6th, literary figures and various members of the theater world gathered after a long time to mournfully send him off.

Mr. Yi Hŏn-gu = Mr. Yi, once a master of the overseas literature school who produced beautiful translated poems and criticism, has recently resigned from the Communications Bureau (Ch'esin'guk) and assumed the position of head of the Arts and Culture department at the Chosŏn Ilbo.

Mr. Yŏm Sang-sŏp = Mr. Yŏm, who had been back in Kyŏngsŏng (Seoul) due to mourning the passing of his mother, has gone to Hsinching (Shinkyō) again. He is currently the managing editor of the Man-Sŏn Ilbo.

Mr. Ŏm Hŭng-sŏp = Published a collection of short stories, "Kil" (The Road), through Hansŏng Tosŏ.

Mr. Im Hwa = Published the poetry collection "Hyŏnhae T'an" (The Genkai Nada/Korea Strait) through Tonggwangdang Bookstore.

Mr. Cho Pyŏg-am = Published the poetry collection "Hyangsu" (Nostalgia) through Hansŏng Tosŏ.

Furthermore, a publication party for the three gentlemen above [Ŏm Hŭng-sŏp, Im Hwa, Cho Pyŏg-am] was held grandly at Meiji Confectionery, gathering over 80 figures from the literary world.

Mr. Kim Tong-myŏng = Published the poetry collection "P'ajo" (Banana Plant) through Sinsŏnggak in Hamhŭng.<317><317>

**Summary**

This article provides short news updates on various prominent Korean literary figures in May 1938. It covers job changes (Yi Sŏn-hŭi and Yi Hŏn-gu joining the Chosŏn Ilbo, Yŏm Sang-sŏp returning to his editor position at the Man-Sŏn Ilbo in Manchukuo), publications (Chang Hyŏk-chu's play "Ch'unhyangjön" book release in Japan, new poetry collections by Pak Yŏng-hŭi, Im Hwa, Cho Pyŏg-am, Kim Tong-myŏng, and a short story collection by Ŏm Hŭng-sŏp), travel (Yi T'ae-jun's trip to Manchukuo), and deaths (director Yŏn Hak-nyŏn). A joint publication party for three authors is also mentioned. For historians, the article reveals the active, albeit constrained, literary scene during the colonial period, showcasing writers' movements between Korea, Japan, and Manchukuo, their engagement with Japanese cultural platforms (like Shinchō magazine and Tsukiji Theater), and the types of works being published (plays, poetry, short stories). The mention of writers working for newspapers like Chosŏn Ilbo and Man-Sŏn Ilbo, and travel to Manchukuo, highlights the complex professional and geographical landscape navigated by Korean intellectuals under Japanese rule.

**Named Entities**

李善熙	이선희	Yi Sŏn-hŭi
朝鮮日報	조선일보	Chosŏn Ilbo
張赫宙	장혁주	Chang Hyŏk-chu
新潮	신조	Shinchō
春香傳	춘향전	Ch'unhyangjŏn
村山義知	무라야마 도모요시	Murayama Tomoyoshi
築地 소극장	쓰키지 소극장	Tsukiji Shōgekijō (Tsukiji Little Theater)
新潮社	신조사	Shinchōsha
李泰俊	이태준	Yi T'ae-jun
梨花女專	이화여전	Ihwa Yŏjŏn (Ewha Women's College)
京城保育	경성보육	Kyŏngsŏng Po'yuk (Kyŏngsŏng Childcare School)
만주국	만주국	Manjuguk (Manchukuo)
新京	신경	Shinkyō (Hsinching)
朴英熙	박영희	Pak Yŏng-hŭi
白潮	백조	Paekcho
延鶴年	연학년	Yŏn Hak-nyŏn
청년회관	청년회관	Ch'ŏngnyŏn Hoegwan (Youth Hall)
李軒求	이헌구	Yi Hŏn-gu
체신국	체신국	Ch'esin'guk (Communications Bureau)
廉想涉	염상섭	Yŏm Sang-sŏp
滿鮮日報	만선일보	Man-Sŏn Ilbo
嚴興燮	엄흥섭	Ŏm Hŭng-sŏp
漢城도서	한성도서	Hansŏng Tosŏ
林和	임화	Im Hwa
玄海灘	현해탄	Hyŏnhae T'an (Genkai Nada/Korea Strait)
東光堂	동광당	Tonggwangdang
趙碧岩	조벽암	Cho Pyŏg-am
明治 제과	명치 제과	Meiji Jegwa (Meiji Confectionery)
金東鳴	김동명	Kim Tong-myŏng
芭蕉	파초	P'ajo
咸興	함흥	Hamhŭng
新聲閣	신성각	Sinsŏnggak

**Glossary**

文壇	문단	Literary world, literary circles
歸去來	귀거래	Comings and goings (Classical Chinese expression)
여류 작가	여류 작가	Female writer
明麗	명려	Bright and beautiful
필치	필치	Brush stroke, writing style
성히	성히	Vigorously, actively (Older adverb form)
날니고 있든	날리고 있던	(Someone who) was wielding/making fly (Older verb ending/spelling)
요지음	요즈음	Nowadays, recently (Older form)
학예부	학예부	Arts and Culture Department
입사	입사	Joining a company
게재	게재	Publication (in a journal/newspaper)
희곡	희곡	Play, drama (theater)
인기	인기	Popularity
연출	연출	Direction (theater/film)
공연	공연	Performance, staging
호평	호평	Favorable criticism, high praise
단행본	단행본	Standalone book, separate volume
발행	발행	Publication, issuance
교수	교수	Professor
분주	분주	Busy, bustling
춘기	춘기	Spring season
방학	방학	School vacation/break
小閑	소한	Short leisure time, brief break
만주국	만주국	Manchukuo (Japanese puppet state)
여행	여행	Travel, trip
일주일만	일주일만	Just one week
도라왔는데	돌아왔는데	Returned (Older spelling)
전후	전후	Around, approximately; before and after
여비	여비	Travel expenses
녜전	예전	In the past, old days (Older spelling)
시단	시단	Poetry circles, the world of poetry
~ㄹ 때의	~ㄹ 때의	Of the time when...
서정시	서정시	Lyrical poetry
모와	모아	Gathered (Older spelling)
시집	시집	Poetry collection
반도	반도	Peninsula (referring to Korea)
굴지	굴지	Prominent, leading, foremost ('finger-bending' count)
명 연출가	명 연출가	Famous director
일기	일기	As one life cycle/period (here: at the age of)
서거	서거	Death, passing (honorific)
초순	초순	Beginning of the month (first 10 days)
영결식장	영결식장	Farewell ceremony venue
오래 간만에	오래간만에	After a long time
문인	문인	Literary person, writer
극계	극계	Theater world
제씨	제씨	Various gentlemen/people (honorific plural)
운집	운집	Gathering like clouds, crowd together
애송	애송	Mournful sending off
일즉	일찍	Early on, formerly
해외 문학파	해외 문학파	Overseas literature school/faction
거장	거장	Master, great figure
