Magazine Title: 삼천리 제11권 제4호
Publication Date: 1939년 04월 01일
Article Title: 羅馬, 伯林市民의 歡迎, 滿洲國防共親善使節로서 (The Welcome of Roman and Berlin Citizens, as a Member of the Manchukuo Anti-Comintern Goodwill Mission)
Author: 秦學文 (Chin Hak-mun)
Article Type: 기행문 (Travelogue)

The welcome from the citizens of Rome when we visited Italy's capital, Rome, was truly, literally, a scene filled with enthusiastic emotion. That night, ahead of the official welcome, when our party entered the hotel, tens of thousands of citizens gathered in front of the hotel, shouting what would be "Manse!" in our language, and time passed but they showed no sign of dispersing. Thus, when our party went out onto the balcony to respond, and the head of the Korean delegation tried to shout "Long live Italy," his voice was drowned out by the enthusiastic cheers of the tens of thousands, preventing him from doing so. As he hesitated, someone standing next to the delegation let out a very short "Shh!" sound to quiet the noisy crowd. As if receiving that sound, immediately following it, a very short, small trumpet-like sound, 'dododo,' was heard, and then the large crowd instantly became silent—or rather, so quiet that not even a cough could be heard—which was truly astonishing. We were moved by how thorough the Italian people's collective or social training was, enabling such a disorderly crowd (烏合의 군중) of tens of thousands to become silent instantly with just a leader's single "Shh!" sound, without any formal order (傳令).

Thus, after "Long live Italy" finished, the crowd once again cheered "Duce! Duce!" <52> (meaning leader or head), deeply moving our party. What we felt here was the question of whether our country's people's social training has indeed reached this level. We naturally felt that we must become a people who thoroughly possess order, discipline, and training in communal living comparable to theirs in the future.

This was felt not only during our stay in Italy but also in other countries. Generally, Westerners, when dealt with individually, can seem somewhat arrogant (傲慢) or perhaps have strong pride, but once you deal with them in an official capacity, they show the good trait of being kind to the point of utmost kindness as a public servant (公僕) of society. In our view, East Asians are not like that; they may seem kind when dealt with individually, but once met as public figures (公人), perhaps due to the idea of always considering their background and position and preserving their authority (權威), isn't there a tendency to be somewhat unkind? Also, regarding employment relationships, Europeans seem to treat employees with the notion that 'my business develops well in the hands of this person I hired.' However, a common tendency in our society is the opposite, treating employees with the attitude 'I am the one who feeds this person.' We felt there was such a difference in sentiment.

If you ask what the fundamental policy of Italy's famous Fascist (파시스트) Party is, they answer, "Serve the state through mutual cooperation (협력)!"
In other words, "People of all classes and strata should cooperate (협력) and serve the state according to their respective situations and stations (處地와 分數에 應分하야)." Also, decisions on all party matters are, of course, made by the party leader (黨首) Mussolini's dictatorship (獨裁), not by party meetings. Meetings merely serve to review discussions within the party. Therefore, Prime Minister Mussolini reportedly thinks extremely carefully and deliberates deeply (深思熟考) before finally making a decision on any issue. Once a final decision (斷案) is made, his great political competence (力量) is demonstrated by marching forward (邁進) with an iron-like (鐵石같은) will and fiery (熱火같은) passion, without looking left or right.

Impressions of Berlin

What I felt when I went to Germany was regarding the political concepts of the German rulers (爲政者).
That is, German politicians hold the view that while liberalism and communism have class <53> struggle, National Socialism has class cooperation (협조) instead of class struggle. From this perspective, they say things like:
"The worker (勞動者) is the object (對象) of social policy (사회정책)."
"Treat the worker as human (人間視하라)!"
"The worker should obey (복종하라) the entrepreneur (기업가)!"
The phrase "Treat the worker as human" is what the state tells entrepreneurs, and "The worker should obey the entrepreneur" is what the state demands of workers. Thus, the aspect (面目) of German national society emerges where the state, using its power (權力), organizes and embodies the spirit of cooperation, managing the lives of the entire nation.
In other words, Germany's new political form can be seen where state power stands between workers and capitalists, enforcing the spirit of cooperation, even forcibly if necessary.
Thus, currently in Germany, labor courts (로동 재판소) are established in 14 districts nationwide, and in workplaces employing 20 or more workers, it is mandatory by state law to establish a Labor Committee (勞動委員會), ensuring the participation of at least 2 and up to 10 worker representatives. It was a fact that drew our attention that the government thoroughly guarantees (보장) the job (직업) and status (신분) of these worker representatives, regardless of what they say or demand in the labor-management committee (로자위원회).
Around the time the Hitler regime was established—around 1933—the total number of unemployed (실업자) in Germany reached the astonishing figure of 7 million. Now, the leaders (수뇌자들) of the Hitler government boastfully told us that there is not a single unemployed person in Germany. Our natural question (의문) was, where did the 7 million workers included in those unemployment statistics (통게) go, and what happened to them? To this, they replied:
"Paying an unemployment benefit of 5 Marks (馬-克) per week to those unemployed is a meaningless sacrifice (無意味한 犧牲) for the state. Therefore, the state initiated large enterprises targeting these unemployed people, allowing their labor (로력) to be utilized in productive areas—for example, large steel mills, major construction projects, road building (도로부설), automobile companies, and various other fields. This policy aimed first (爲先) to relieve (구제) unemployment while simultaneously increasing the nation's wealth (富) before we knew it."
So, how were the resources for such massive enterprises procured (捻出)? Although the authorities did not publicly announce (公表) it, according to our investigation, the method of resource procurement ultimately seemed to involve diverting a portion of the profits from highly profitable companies to companies incurring losses (缺損). This prevented even loss-making companies from collapsing, by having profitable companies buy their shares or cover their deficits. By thus providing service (써-비스) <54> to the public good, companies that would otherwise disappear were maintained (維持케 함). Consequently, this passively prevented the generation of unemployed workers while actively using the funds from profitable companies to buy things like public bonds (公債), which then funded the various enterprises mentioned earlier.
Thus, they strive to produce goods by any means necessary and export them abroad at low prices (安價) to bring foreign currency into the country—in other words, they exert all efforts to increase the nation's wealth (富力). Therefore, it is said that goods exported abroad are often much cheaper to buy outside Germany than within the country.
Wasn't this method—not leaving the unemployed idle but utilizing their capabilities to focus on production, thereby increasing the nation's wealth—the reason (원인) why Germany, exhausted (疲弊햇든) after the World War, became as prosperous and strong (부강케 한) as it is today? This indeed gave us much food for thought.
Germans are a people who like flags (旗) and leaders (團長) and enjoy marching in step (보조). I could clearly observe the difference between the gait (거름거리) of male and female citizens I saw in London and Paris and that in Berlin—the latter marched much more in step.
It is an interesting fact that their national character, which respects discipline (규율) even in their daily lives—down to their way of walking—is apparent.
While it is widely known that they valued discipline even before Nazi (나치스) Germany, during the era when liberalism flourished (왕성하든), Chancellor Hitler seemed to be making great efforts to grasp (파악) this discipline-respecting national character.
Since Hitler took power (執政), every May 1st, which is May Day (메이데이) in liberal or communist countries, has been designated as the National Labor Festival (國民勞動祭日) in Germany, featuring grand parades (행진) of all workers, both mental (정신) and physical (육체).
Ahead of this National Labor Festival parade, Chancellor Hitler ordered the entire nation: "On this day, working citizens, gather at the meeting place (會合場) of your respective towns with flags (旗)." The German people, who love flags and leaders, each carried a flag, selected one leader per unit, and gladly marched in disciplined and controlled processions (행렬). Returning home, they reportedly say, "Ah, today was truly delightful," enjoying the day. This aspect might seem childishly exuberant (稚氣滿滿) at first glance, but upon deeper reflection, it can be seen as a most high-level and admirable trait of a people innately inclined towards collective life and controlled living.
Here, we would like to briefly compare the contrast between the Italian and German peoples in this regard. <55>
Compared to the Southern (南國的) passion of the Italian people, the German people possess a characteristic Northern European coolness (冷靜性), appearing more intellectual (智的) and philosophical (哲學的). Therefore, for Chancellor Hitler, who controls such intellectual, philosophical, and unflappable people, it is as clear as day (明若觀火) that he cannot proceed in the simple manner of the relationship between Prime Minister Mussolini and his people, like "We entrust everything to you, Duce!"
Therefore, we must not forget the fact that the German political leadership (수뇌부들) does not neglect practical political education (實物敎育) as a policy for controlling and guiding the nation. To give a pertinent example, when the Sudeten (즈-데텐) issue arose, the state concentrated its entire propaganda (宣傳) capacity to maximize public interest in the matter. Then, after resolving it clearly and effectively through real power (實力), and celebrating a great victory song (凱歌) with the people, they would immediately seize the next issue—say, the Jewish (유태인) question—and again, through propaganda, focus national attention, resolve it neatly, and so on—the annexation (합병) of Austria (오-스트라리아), and whatever else—resolving each issue one by one with full effort.
They thoroughly impress upon the people: "Citizens, behold! Look at our nation's politics and power! Our status is improving day by day, our lives are becoming more affluent (윤택해 가고) day by day, and our international standing (國際적 립장) is strengthening day by day!" Through this process, absolute trust (絶대한 신임) is given to Chancellor Hitler and the Nazi (나치스) party, and consequently, Germany's totalitarian (全體主義) and authoritarian (統制主義) system proceeds smoothly with iron-like, firm (鐵石같이 구든) unity, or so it seems (Lower part omitted).
The current number (수효) of members in the Italian Fascist (파시스트) Party is about 2.3 million, and currently, they do not accept new members (入黨). Eligibility for membership is limited to those who have received regular youth training. This youth training involves being trained as a member of the Children's Corps (幼年團) from age 5 to 7, continuously joining the Youth Group (青年團) from age 8 to 12 for four years of training, and then again becoming a Fascist Youth Party member from age 18 to 20, receiving the final training as a Fascist Youth for these years. Only those who have completed these various stages of youth training are qualified (자격) to join the Fascist Party. From age 20, they bear the obligation to respond to the state's conscription (徵兵), but joining the Fascist Party or not is left to the young people's free will (自由主義에 맛기게 되여있다).
Nearly 20 years have passed since Mussolini's regime was established in Italy. During this time, all training and control have reached near perfection. Moreover, the people possess a characteristic Southern (南國的) passion and tend to offer unconditional respect and trust to their great and admirable leader. This seemed to be a significant factor enabling Italy to develop splendidly as a totalitarian (全體主義) state.
To give an example, consider the word "Duce," which, as mentioned earlier, translates to "leader." This word was enthusiastically shouted by tens of thousands of Roman citizens in front of the hotel where our delegation was staying. Within this cry of "Duce! Duce!" is contained the meaning, "We entrust everything entirely to our leader, our head!" This trust of the people in their leader ultimately means that once an order comes from the leader—Mussolini—nothing is impossible, nothing cannot be done. The people also gladly respond to this, ultimately leading to the vivid manifestation (面目이 躍如하게) of a powerful totalitarian state.
I still vividly remember what Prime Minister Mussolini said while gladly (흔연히) welcoming our delegation:
"Once we become friends, we never change. This is not just words. We practice (실행한다) this."
He continued:
"If there is anything you hope (희망하는) we, Italy, could do for you, please tell us without hesitation (거릿 없이). We will definitely fulfill (리행하여) it." This confident statement is something only Prime Minister Mussolini of the totalitarian state of Italy could say. We could not help but express our utmost goodwill (好意) towards his firm confidence and profound kindness towards the envoys of a friendly nation (友邦使節).
Speaking of Prime Minister Mussolini, let me briefly describe my impression when I met him. When we visited him at his official residence (官邸), his room was reached by going up to the second floor via stairs (層계) and passing through five rooms. Between rooms and in the corridors (廊下, 복도), guards (경비병) stood erect (直立하여) everywhere, holding drawn daggers (短劍), creating a formidable scene.
In the corridors and rooms, various historically significant items like armor (甲胃), helmets (투구), and oil paintings (油畵) were displayed here and there. The room where Prime Minister Mussolini was located was quite large, not square but oblong and long, spacious enough to accommodate several hundred people. The ceiling was very high, and the floor was decorated with mosaic (모사시크). There weren't many windows, giving the room a somewhat dim feeling. At the front (正面) of the long room, there was nothing but a single table (테-불), and even on the table, there were no documents (書類) or anything else; it was extremely simple (간소한). Only a large world atlas (世界地圖冊), opened for viewing while standing beside the table, caught the eye. Candlesticks (燭臺) stood in the four corners (4구텡이) of the room, creating a somewhat solemn (엄숙한) atmosphere. It was in this room that Prime Minister Mussolini said the words mentioned earlier to our delegation.
It's a funny story, but I remember secretly smiling (微笑한) when I first noticed a small (조고마한) lump (혹) on the back of Prime Minister Mussolini's head (뒤통수 편).-End omitted (下略)- <57>

**Summary**

This travelogue by Chin Hak-mun describes his experiences as part of a Manchukuo Anti-Comintern Goodwill Mission visiting Rome and Berlin in 1939. He expresses profound admiration for the discipline and national unity observed in Fascist Italy and Nazi Germany, particularly impressed by the public's fervent support for Mussolini ("Duce") and the perceived efficiency of Nazi social policies under Hitler, such as eliminating unemployment and fostering national pride through orchestrated events and propaganda. He contrasts this perceived order and strength favorably against what he sees as shortcomings in East Asian (and implicitly Korean) society, urging his countrymen to emulate the "discipline," "order," and "training in communal living" of these totalitarian regimes. From a historical perspective, the article is striking for its unabashed praise of Fascist Italy and Nazi Germany, written by a Korean figure associated with Manchukuo. It reflects the complex political alignments and ideological influences in East Asia during the late 1930s, showcasing how totalitarian models appealed to some searching for national strength and order, even under colonial contexts, and providing insight into the pro-Axis sentiment fostered within Manchukuo.

**Named Entities**

羅馬	로마	Roma (Rome)
伯林	베를린	Pŏllin (Berlin)
滿洲國防共親善使節	만주국방공친선사절	Manjuguk Pang'gong Ch'insŏn Sajŏl (Manchukuo Anti-Comintern Goodwill Mission)
秦學文	진학문	Chin Hak-mun
伊太里	이태리	It'aeri (Italy)
韓使節團長	한사절단장	Han Sajŏldanjang (Head of the Korean Delegation - *Note: context implies a Manchukuo delegation, perhaps with Korean members*)
獨逸	독일	Togil (Germany)
파시스트黨	파시스트당	P'asisŭtŭ Tang (Fascist Party)
뭇소리니-	뭇소리니	Mussolini
힛틀러-	히틀러	Hitler
勞動委員會	노동위원회	Nodong Wiwŏnhoe (Labor Committee)
勞動裁判所	노동재판소	Nodong Chaep'anso (Labor Court)
倫敦	런던	Rondon (London)
巴里	파리	P'ari (Paris)
나치스	나치스	Nach'isŭ (Nazis)
즈-데텐	즈데텐	Sŭdet'en (Sudeten)
오-스트라리아	오스트리아	Osŭt'ŭraria (Austria - *Note: author's spelling*)
猶太人	유태인	Yut'aein (Jew/Jewish people)

**Glossary**

환영	환영	Welcome
열광적	열광적	Enthusiastic, fervent
시민군중	시민군중	Citizen crowd
만세	만세	Hurrah, Long live!, Banzai
헤여지지 않었다	헤어지지 않았다	Did not part/disperse (Older spelling/form)
사절단장	사절단장	Head of a delegation
환호성	환호성	Cheers, shouts of joy
躊躇	주저	Hesitation
제지하는	제지하는	Restraining, stopping
납팔소리	나팔소리	Trumpet sound (Older spelling)
잠잠하여진다는	잠잠하여진다는	Becoming quiet (Descriptive form)
훈련	훈련	Training, discipline
烏合의 군중	오합지중	Disorderly crowd, mob (Hanja term)
傳令	전령	Order, command (Military context)
갓게 되였다	갖게 되었다	Came to have/possess (Older spelling/form)
체재	체재	Stay, sojourn
傲慢	오만	Arrogance
公僕	공복	Public servant
公人	공인	Public figure
권위	권위	Authority
관염	관념	Idea, concept (Likely typo for 관념)
불친절한	불친절한	Unkind, unfriendly
고용	고용	Employment
피고용	피고용	Being employed
사업주	사업주	Business owner
사용인	사용인	Employee
처지	처지	Situation, circumstances, position
분수	분수	One's station/place in life
應分하야	응분하여	Accordingly, appropriately (Hanja-based, older conjugation)
협력	협력	Cooperation
봉사	봉사	Service
採決	채결	Decision, vote
黨首	당수	Party leader
獨裁	독재	Dictatorship
심사숙고	심사숙고	Deep thought, deliberation
斷案	단안	Final decision
邁進	매진	Stride forward, press on
역량	역량	Capability, competence
위정자	위정자	Politician, ruler
계급투쟁	계급투쟁	Class struggle
국가사회주의	국가사회주의	National Socialism
협조	협조	Cooperation, assistance
노동자	노동자	Worker (Appears as 로동자 in text - older spelling)
사회정책	사회정책	Social policy
대상	대상	Object, target
인간시하라	인간시하라	Treat as human (Older command form)
기업가	기업가	Entrepreneur, businessman
복종하라	복종하라	Obey (Command form)
면목	면목	Face, appearance, aspect
권력	권력	Power, authority
로동재판소	노동재판소	Labor court (Older spelling)
로동위원회	노동위원회	Labor committee (Older spelling)
로자위원회	노자위원회	Labor-management committee (Older spelling)
신분	신분	Status, social position
보장	보장	Guarantee
수립되든	수립되던	Was established (Older retrospective suffix)
실업자	실업자	Unemployed person
수뇌자	수뇌자	Leader, head (Often pluralized 수뇌자들)
자랑삼어	자랑삼아	Boastfully (Older adverbial form)
통게	통계	Statistics (Older spelling)
의문	의문	Question, doubt
마-크	마르크	Mark (German currency)
무의미한	무의미한	Meaningless
희생	희생	Sacrifice
이르켜	일으켜	Start, establish, raise (Older spelling)
로력	노력	Labor, effort (Older spelling, diff. from 노력 'effort')
부설	부설	Construction, installation (esp. roads, railways)
위선	우선	Firstly, for now (Hanja term, diff. from 위선 'hypocrisy')
구제	구제	Relief, aid
증진케	증진케	To increase, promote (Older causative form)
염출	염출	Procure, raise (funds)
공표	공표	Public announcement
결손	결손	Deficit, loss
유지케 함	유지케 함	Maintaining (Older causative form + nominalization)
공채	공채	Public bond, government bond
안가	안가	Low price (Hanja term, 安價)
부력	부력	Wealth, economic power
피폐햇든	피폐했던	Was exhausted, impoverished (Older spelling/form)
부강케 한	부강케 한	Made rich and strong (Older causative form)
기	기	Flag
단장	단장	Leader (of a group/unit), head
보조	보조	Pace, step (in marching/walking)
거름거리	걸음걸이	Gait, way of walking (Older spelling)
규율	규율	Discipline, rules
왕성하든	왕성하던	Was vigorous, prosperous (Older retrospective suffix)
총통	총통	Führer, President (Title for Hitler)
파악	파악	Grasp, understanding
집정	집정	Rule, govern
메이데이	메이데이	May Day
국민노동제일	국민노동제일	National Labor Festival (Older spelling of 제/절)
행진	행진	March, parade
정하야	정하여	Deciding, setting (Older conjunctive form)
회합장	회합장	Meeting place
행렬	행렬	Procession, line, parade
즐겨워 한다고	즐거워한다고	They enjoy it (Older spelling)
치기만만	치기만만	Childish, immature
선천적	선천적	Innate, congenital
고급하고	고급하고	High-level, refined (Connective form)
남국적	남국적	Southern country style, southern
냉정성	냉정성	Coldness, calmness, composure
지적	지적	Intellectual
철학적	철학적	Philosophical
일치안는	잃지 않는	Not losing (Likely misspelling/older form of 잃-)
단순하야	단순하여	Being simple (Older conjunctive form)
일임합니다	일임합니다	Entrust completely
명약관화	명약관화	Clear as day, obvious (Idiomatic Hanja expression)
수뇌부	수뇌부	Leadership, top brass
실물교육	실물교육	Object lesson, practical education
게을리 하고 있지 안는	게을리하고 있지 않는	Not neglecting (Older negative form)
선전	선전	Propaganda, publicity
총역량	총역량	Total capacity, all resources
진작식혀	진작시켜	Stimulating, promoting (Older causative form)
실력	실력	Real power, ability, capability
개가	개가	Triumphant song
유태인	유태인	Jew, Jewish person
합병	합병	Annexation, merger
향상되여	향상되어	Being improved (Older passive form)
윤택해 가고	윤택해 가고	Becoming affluent/prosperous (-해 가다 form)
국제적 립장	국제적 입장	International standing/position (Older spelling)
신임	신임	Trust, confidence
전체주의	전체주의	Totalitarianism
통제주의	통제주의	Controlism, authoritarianism
구든	굳은	Firm, strong, solid (Older spelling)
원활히	원활히	Smoothly
하략	하략	Omitted below, rest omitted
당원	당원	Party member
수효	수효	Number, count
입당	입당	Joining a party
자격	자격	Qualification, eligibility
정규	정규	Regular, formal
청소년	청소년	Youth, adolescents
유년단	유년단	Children's group/corps (e.g., Balilla in Italy)
청년단	청년단	Youth group/corps
징병	징병	Conscription, draft
맛기게 되여있다	맡기게 되어 있다	Is entrusted to (Older spelling)
면목이 약여하게	면목이 약여하게	The appearance/aspect is vivid/lifelike (Hanja expression + older adverbial form)
흔연히	흔연히	Gladly, willingly
영원히	영원히	Eternally, forever
실행한다	실행한다	Carry out, execute, practice
희망하는	희망하는	Hoping, wishing (Relative clause form)
거릿 없이	거리낌 없이	Without hesitation, without reserve (Older spelling/form)
리행하여	이행하여	Fulfilling, carrying out (Older spelling)
우방사절	우방사절	Envoy/delegation from a friendly nation
호의	호의	Goodwill, favor, kindness
관저	관저	Official residence
층계	층계	Stairs, staircase
복도	복도	Corridor, hallway
단검	단검	Dagger
경비병	경비병	Guard, sentry
직립하여	직립하여	Standing upright/erect
유서	유서	History, origin (of an object/place)
갑위	갑옷	Armor (Likely typo/older form for 갑옷)
투구	투구	Helmet
유화	유화	Oil painting
진렬되여	진열되어	Being displayed (Older spelling/form)
정면	정면	Front (side)
간소한	간소한	Simple, plain, frugal
서류	서류	Documents, papers
세계지도책	세계지도책	World atlas
구텡이	구석, 귀퉁이	Corner (Dialect/older form)
촉대	촛대	Candlestick
엄숙한	엄숙한	Solemn, grave, austere
뒤통수	뒤통수	Back of the head
조고마한	조그마한	Small, tiny (Older spelling/form)
혹	혹	Lump, bump, swelling
미소한	미소한	Smiled slightly (Older form, 微笑한)


---------------------------


잡지명	삼천리 제11권 제4호
발행일	1939년 04월 01일
기사제목	羅馬, 伯林市民의 歡迎, 滿洲國防共親善使節로서
필자	秦學文
기사형태	기행문

羅馬, 伯林市民의 歡迎, 滿洲國防共親善使節로서
						秦學文
伊太里의 首都『로-마를 방문하였을 때의 『로-마』시민들의 환영이란 그야말로 글자 그대로 열광적인 감격에 찬 情景이 다 그날 밤에 공식 환영을 앞두고 일행이 『호텔』에 들어갓슬 때『호텔』앞에는 수만명 시민군중이 우리말로 하면 『만세!』를 부르며 시간이 가되 좀처럼 헤여지지 않었다. 그리하야 우리 일행이 『발코니-』에 나아가 이에 답하며 韓使節團長이 발성으로 『리태리 만세』를 부르려 하였으나 수만흔 군중의 렬광적 환호성에 막히여 실행치 못하고 躊躇하고 섰을 때 사절단 옆에 섰든 누구의 입에서인지 『쉬!』하고 떠드는 소리를 제지하는 극히 짧은 소리가 떠러지자 그 소리를 받은것 처럼 곧 있대여 『도데도』하는 그여시 극히 짧은 조고만 납팔소리 같은 것이 나더니 그 많은 군중이 일시에 잠잠하여진다는 것보다도 기침 소리 하나 들리지 않게 고요-하여지는데는 참으로 놀라지 아니할 수 없다. 이태리 국민들의 단체적 또는 사회적 훈련이 이 수만명의 烏合의 군중으로 하여금 傳令*나 없이 지도자의 『쉬!』소리 한마디로 일시에 고요하여지게 까지 철저한데 감동된 것이다.
그리하야 『이태리 만세』가 끝나자 군중은 또다시 『뚜-체!』『뚜-체!』<52>(번역하면 首領 또는 지도자라는 의미를 연호하여 우리 일행을 감격케 하였다. 여기에서 우리들이 늣긴 것은 우리 나라 국민들의 사희적 훈련이 과연 여기에 까지 이르렀느냐는 문제다. 우리는 앞으로 그들에게 지지 안을 만한 질서와 규율과 공동생활의 훈련을 철저히 갓는 국민이 되지 아니하여서는 안되겠다는 늣김을 자연히 갓게 되였다.

이것은 이태리체재 중에는 물론 이어니와 그 외 각국에서도 늣긴 바인데 일반적으로 서양사람들은 개인적으로 대할 때는 어떻게 보면 傲慢한 것도 갓고 또 자존심이 강한 것도 같으나 일단 事務로서 대할 때는 사회의 한 公僕으로서 친절할 데까지 친절함을 보여주는 좋은 점이 있었다. 우리 생각하는 바에 의하면 우리 동양사람은 그갓지 않어 개인적으로 대할 때는 친절한 것 같으나 일단 公人으로서 맛날 때는 항상 자기의 배경을 생각하고  자기의 지위를 생각하며 권위를 보존하려는 관염인지는 모르나 좀 불친절한 경향이 있지 아니한가 생각된다. 그리고 또 모든 사업의 고용과 피고용 관게에 있어서도 구라파 사람들은 『고용한 그 사람의 손에서 자기의 사업이 잘 발전된다』는 그러한 관념으로 사업주가 사용인에게 대하는 듯한 늣김을 주되 우리 사회에서 흔히 보는 경향은 그와 반대로 『내가 저 사람에게 밥을 주는 사람이다.』하는 관념으로 사용인에게 대하는 듯한 기분의 차이가 있지 아니한가 하는 점도 늣겨진 바가 있었다.

이태리에 유명한 『파시스트』黨의 근본방침이 무었인가? 하고 물으면 그들은 『각자가 협력에 의하야 국가에 봉사하라!』는 것이라고 대답한다.
다시 말하면 『각 계급 각 층의 국민이 모다 그 처지와 그 분수에 應分하야 협력하야 국가에 봉사한다』는 것이다. 그리고 『당』의 모든 문제에 있어서의 採決은 물론 黨首『뭇소리니-』의 獨裁에 있고 당의 회의에 있지 아니하다. 다만 회의는 당내에 의론을 검토하는데 지나지 안는다. 그러므로 그만큼 『뭇소리니-』수상은 무슨 문제 하나를 결정하기에까지에는 비상히 치밀히 생각하고 深思熟考한 후에야 비로소 최후의 斷案을 나리는 것이라 한다. 그래서 한번 단안을 나린 다음에는 鐵石같은 의지와 熱火같은 情熱로서 좌우를 돌보지 않고 邁進하는 곳에 그의 위대한 정치적 역량이 발휘되는 것이다.

