Magazine Title: 三千里 제11권 제7호
Publication Date: 1939년 06월 01일
Article Title: 樂壇雜觀 (Miscellaneous Views on the Music Scene)
Author: 具王三
Article Type: 문예평론 (Literary Criticism/Cultural Commentary)

Miscellaneous Views on the Music Scene
						Ku Wangsam (具王三)

Causes of the Music Scene's Stagnation

Among the list of musicians residing in the Chosŏn music scene (樂壇) today, there are prominent figures (名士) holding positions such as Doctor of Music and Doctor of Philosophy, and genius performers who have gone abroad to learn all sorts of musical skills are inhabiting (棲息) this scene. Why, then, has this music world sunk into stagnation, yawning in a windless region?

Why is the Chosŏn music scene unable to thrive with a bit more stimulation and liveliness than today? If asked the reason and cause for this, the answer, a hundred out of a hundred times, would point first to the objective circumstances and second to the unstable livelihood of the musicians.

These are valid points. It's a situation where no one would even doubt them.
Of course, the author is well aware that these two factors are significant causes.
However, can we say that the music scene's stagnation ends solely there? Regardless of the era, the hardships faced by pioneers in the early days of the literary or music scenes—this can be seen through Western music history and literary history—show that the stagnation of the music scene is not solely due to unstable livelihoods. Rather than citing reasons like unfavorable conditions, the factors of whether the musicians themselves possess artistic fervor and passion, and whether the general public has social awareness regarding the music scene, are likely many times greater causes than the aforementioned two.

When examining the geography of our music scene, haven't several past musicians, like hollow candy fish (붕어사탕), completely empty inside but using British-style social skills (英國式 사교술) and patent medicine advertisement-style publicity (賣藥 廣告式 宣傳術), deceived the general public while engaging in utterly feverish performance or creative activities?

Is it not because they traded music for fame and position that they created the stagnant and fatigued music scene <186> we see today?
Doesn't reality clearly show that our past musicians failed to act with constructive plans for the future development of our music scene, with genuine artistic conscience, with passion, and without fulfilling their social responsibility and cultural mission?

From the author's perspective, one cannot hold even the slightest hope or expectation for the so-called famous figures of the music scene currently residing there. Even if they were to make a fresh start with new resolve, one cannot expect any new activity from their already tested (試驗濟) poor technique and skill.

Then, if the music scene continues on its current path of lethargy, without any mainstream direction, consistently stagnant, the future course of the Chosŏn music scene becomes a matter of great concern (注目視).

Tracing the path our music scene has walked in the past, there was no theory, no plan; it merely grew spontaneously. Music was enjoyed simply as a diversion (興味濟), an object of pleasure, a pastime (遊戱三味). That is why, as we see today, a red signal (赤信號) lies across our music scene.

Therefore, when faced with the question of what path our music scene—lacking tradition and theory, shrouded in a gloomy gray curtain—will take in the future, nothing troubles us more than this. The reason why our music today fails to develop and improve through interconnected, organic relationships with society, culture, and indeed the life of the people, and why its artistic nobility and cultural respectability have been stripped away (剝落), is that with the current state of affairs, we simply cannot hold great expectations (所以).

In the theatre world (劇界), part of the same cultural sphere, although they speak of stagnation, slump, dispersion, and factional strife, one can clearly see cooperation, artistic conviction (藝術的 信條), and a desire for progress, allowing them to advance step by step. However, within this music circle (樂壇圈內), they fail to maintain even a proper social group, let alone a musical troupe to realize artistic principles, instead dispersing after strong starts but weak finishes (龍頭蛇尾).

What sort of disgraceful spectacle (醜態) is this? It is truly deplorable (괫심한). We want at least one organization like the Theatre Research Group (劇硏) in our music scene today.
We hope that collective musical action can exist in the music world, at least to the extent that Kŭgyŏn contributes to the theatre world, dedicating its best efforts to the urgent agenda (事業譜表) we must undertake. Why do these gentlemen (諸氏*) musicians, out of personal egoism, coveting cheap (安價) fame, engage in artistically divisive actions <187> and, within the sanctuary of art for art's sake (藝術至上主義 殿堂), actually hinder (阻害) the work of the music scene? When we witness unwelcome actions that even encroach upon (浸蝕) the scope of activity for genuinely qualified musicians, it is truly a pathetic phenomenon.

Then, is there absolutely no hope for building a better tomorrow for our music scene than today? That is not the case. I believe (思惟) the current Chosŏn music scene is facing a period of labor pains, like a pregnant woman (姙婦) awaiting the birth month (産月), in order to give birth to (낳(生)기) a greater tomorrow, one step better than today.

I keenly feel that our music scene, suffering (알코) through this period of labor pains, must lay a new foundation in a new form to build a bright music scene for tomorrow. We must sweep away the accumulated evils (積惡) so that the malevolent currents cannot linger in the fortress of the music scene, which is shrouded in the dark clouds of past wrongdoings, and establish a sound and conscientious musical art.

Who, then, will pioneer the path for our music scene's artistic movement? Only conscientious art activists (藝術運動者) must participate in the music scene. I believe that only when authoritative critics (평론가) and conscientious newcomers (新人) emerge can this grand task for the music scene be resolved, piece by piece, stimulated (振作식혀), and a new tower be built (싸와 올니리라고) upon this land.

Henceforth, those who will bear the entire yoke of responsibility for our music scene and run (달닐) the path of thorns (荊棘) are solely the newcomers (新人).
Newcomers, come forth (나오나라)! Our music scene today has long awaited newcomers. The general audience too is craving vibrant musical art. Come forth with music that is brighter than the past, newer than the past, with new performances, with new project plans (푸랜)—music that would not be the least bit embarrassing (붓그러울) no matter which music market it is presented in. Thus, under a new start, create new tension in our leisurely and stagnant music scene, and bring about (이르켜라) a renaissance of musical art in the Chosŏn music scene. Here, the vigorous activity of music critics is absolutely necessary.

Teahouses and Music Fans (퐨)

For the leisured class (有閑者) and intellectual groups (인테리群) living in the city today, the existence of the teahouse (茶집) has become a resting place more familiar (정다운) than their own drawing-room.
Especially for the record fan (레코-트팬), if one throws down a mere 20 chŏn (錢), one can settle one's bottom onto a cushion (큿숀) with a pleasant texture in a cozy (안윽한) room filled with a Southern country-like aroma (南國的 薰氣), and a pretty young lady (어엽분 색씨) will gently bring Brazilian coffee (부라질 커피).

On top of that, the "Tea Listening Service" (茶聽써비쓰) fully satisfies the desires of each person's ear and enhances their eye for appreciating famous pieces day by day.
With a cup of tea before them, according to the patron's <188> taste and preference, listening to Beethoven's ('베氏') symphonies, Schubert's ('슈氏') lieder, or Chopin's ('쇼氏') piano sonatas (奏鳴曲), one feels absolutely no boredom or fatigue while sitting there (앉어있있자).

Considering the current situation in Chosŏn, there are likely considerably more fans of records (圓盤팬) than concert audiences. They absolutely do not show their faces (얼골) at concerts. They dislike (싫여한다) wasting time and paying high admission fees for concerts lacking substance, as is common today.
They tend to appreciate and understand music through records (레코-트).
They are already transferring the fundamental concept of music's existence from concerts to machines (기계).

However, looking at the overall state of society today, as long as concerts—that is, the real thing (實物)—still exist, and as long as live performance holds the standard position for judging artistic value, and the fundamental concept of music's existence remains firmly centered (嚴存) around concerts, placing the fundamental concept of music's existence in machines rather than concerts is extremely dangerous. Even if our performance scene (演奏壇) is immature (유치하고) and in decline (衰微), it is safer to place it upon the concert stage (演奏會上).

No matter how much machine music (기계음악) improves and progresses, as long as a record is not the real thing but merely a photograph (寫眞), the current capability of the phonograph absolutely cannot possibly generate the same volume and quality of living music as the real thing at a concert (演奏會上).

Among Chosŏn music fans today, the attitude of completely avoiding concerts, claiming that the Chosŏn performance scene is immature and weak based on the appreciation (鑑賞眼) of a few pieces (멫 章) overheard (어더 드른) on records (圓盤) in teahouses, is unwelcome (자미스럽지 못하며), whether viewed from the individual's perspective, the economic situation of concerts, or the future of the music performance venue (樂壇 演奏場). While this "tea listening" (聽茶) in teahouses, which creates donkeys (당나귀 - *idiom meaning foolish/stubborn person? or just passive listener? context unclear*), is certainly not a bad existence, it is not a very welcome one from the perspective of concert audience numbers (聽衆數).

Since this discusses the wavelength (波長) of the Chosŏn music scene's standard, performers in our music scene today must not forget to strive towards a high standard. Even now in the teahouses, Kreisler (크라이슬러) can be heard playing Beethoven's ('베氏') violin (바요링) concerto, and Schipa's (스키파) leggero pianissimo drifts in (들여온다). <189>

**Summary**

Ku Wangsam's 1939 article criticizes the stagnation of the Western classical music scene in colonial Korea. He argues that despite educated musicians, the scene suffers not just from external pressures but primarily from the musicians' lack of genuine artistic passion, their pursuit of fame over substance, and poor organization compared to the theatre world. Ku dismisses the established figures and calls for conscientious newcomers and critics to initiate a "renaissance." He also discusses the growing trend of listening to recorded music in teahouses, warning against devaluing live performance despite its current weaknesses and urging performers to meet the high standards set by readily available international recordings. For historians, this article offers insights into cultural critique during the colonial period, the specific challenges faced by Western arts practitioners in Korea, the tension between live and recorded media consumption in the 1930s, and the perceived state of artistic integrity and development within the Korean intellectual sphere. The comparison with the theatre world and the specific mention of artists like Kreisler and Schipa being heard in teahouses provide concrete details about cultural life and aspirations.

**Named Entities**

朝鮮	조선	Chosŏn
具王三	구왕삼	Ku Wangsam
英國	영국	Yŏngguk (Britain/England)
劇硏	극연	Kŭgyŏn (Theatre Research Group/Society)
베氏	베씨	Pe-ssi (Beethoven)
슈氏	슈씨	Syu-ssi (Schubert)
쇼氏	쇼씨	Syo-ssi (Chopin)
크라이슬러	크라이슬러	K'ŭraisŭllŏ (Kreisler)
스키파	스키파	Sŭk'ip'a (Schipa)

**Glossary**

樂壇	악단	Music world, music scene
엇지하야	어찌하여	Why, how (older spelling)
배호고	배우고	Learned (older spelling/form)
棲息	서식	Inhabit, reside
뭇는다면	묻는다면	If one asks (older spelling)
첬제론	첫째로는	Firstly (older spelling)
둘재론	둘째로는	Secondly (older spelling)
베다	바이다	It is (older copula form, contraction of 바이다)
멫	몇	Several, some (older spelling)
삷혀볼	살펴볼	To examine, look into (older spelling)
텡텡 비였것만	텅텅 비었건만	Although completely empty inside (older spelling)
속혀	속여	Deceiving (older spelling)
푸랜	플랜	Plan (loanword, older spelling)
조고마치라도	조그마치라도	Even a little bit (older spelling)
발서	벌써	Already (older spelling)
試驗濟	시험제	Already tested/tried (濟 indicates completion)
거러온	걸어온	Walked, traversed (path) (older spelling)
자최	자취	Trace, track (older spelling)
하등	하등	Any kind of, whatsoever
가로노혀	가로놓여	Laid across, obstructing (older spelling)
乃至	내지	Or, up to, even
剝落	박락	Peeling off, stripped away
所以	소이	The reason why
한다드레*	한다드래도	Even though they say (older spelling, asterisk in original)
번연히	번연히	Clearly, obviously (older form, less common than 분명히)
龍頭蛇尾	용두사미	Strong start, weak finish ("Dragon head, snake tail")
괫심한	괘씸한	Deplorable, outrageous (older spelling)
諸氏*	제씨	Gentlemen, Messrs. (plural honorific, asterisk in original)
安價	안가	Cheap, low-priced
阻害	저해	Hinder, obstruct
浸蝕	침식	Encroach, erode
자미스럽지	재미스럽지	Unwelcome, unpleasant (contextual meaning; lit. 'uninteresting'; older spelling)
나흔	나은	Better (older spelling)
낳(生)기	낳기	To give birth to (older spelling, 生 in original)
알코	앓고	Suffering from (older spelling)
積惡	적악	Accumulated evils/bad practices
싸와 올니리라고	쌓아 올리리라고	Will pile up, build up (older spelling)
달닐	달릴	To run (older spelling)
나오나라	나오너라	Come out! (imperative, older form)
붓그러울	부끄러울	Ashamed, embarrassing (older spelling)
이르켜라	일으켜라	Cause, bring about, start (imperative, older spelling)
퐨	팬	Fan (loanword, older spelling)
有閑者	유한자	Person of leisure
인테리群	인테리군	Intelligentsia group (인테리 from 'intellectual')
레코-트팬	레코드 팬	Record fan (hyphen use, older spelling)
안윽한	아늑한	Cozy, snug (older spelling)
큿숀	쿠션	Cushion (loanword, older spelling)
어엽분	어여쁜	Pretty, lovely (older spelling)
색씨	색시	Young woman, waitress
부라질 커피	브라질 커피	Brazil coffee (older spelling)
듯고	듣고	Listening (older spelling)
돗고	듣고	Listening (appears typo for 듣고 in original)
앉어있있자	앉아 있자	While sitting (older spelling/form)
도모지	도무지	Not at all, utterly (older spelling)
얼골	얼굴	Face (older spelling)
내놋치	내놓지	To show, present (older spelling)
싫여한다	싫어한다	Dislikes, hates (older spelling)
어더 드른	얻어들은	Overheard, picked up (older spelling)
圓盤	원반	Disc, record (phonograph record)
바요링	바이올린	Violin (loanword, older spelling)
들여온다	들려온다	Can be heard (older spelling/form)


---------------------------


잡지명	삼천리 제11권 제7호
발행일	1939년 06월 01일
기사제목	樂壇雜觀
필자	具王三
기사형태	문예평론

樂壇雜觀
						具王三
樂壇 不振 原因
오늘 朝鮮樂壇 지역에 거주하고 있는 樂人의 名錄 중에는 音樂博士의 지위와 哲學博士의 지위에 처하여 있는 거물적 존재인 名士들이 列席하여 있고 해외에 나가 음악의 온갓 才操를 배호고 온 천재적 연주가들이 棲息하고 있는 이 樂壇이 엇지하야 침체에 빠저 無風地域에서 하품을 하고 있는지?
왜 朝鮮의 樂壇이 오늘보담 좀 자극성이 있고 활발성이 있게 興旺치 못하고 있는지 여기에 대하야 그 이유와 원인을 뭇는다면 그 대답은 百이면 百이다.
첬제론 객관적 정세와 둘재론 樂人의 생활 불안정을 들게된다.
옳은 말이다. 누가 다시 의심할 사람조차 없는 형편이다.
물론 그 두 가지가 그 중대한 원인이 됨은 필자도 잘 알고 있는 베다.
그러나 樂壇 不振이 오즉 거기만 끝이고 만다고 할 수 있을가. 어떤 시대를 물론하고 文壇이나 樂壇의 초창시대 선구자들의 곤란이란 반다시 이것은 서구 음악사를 통하여 보나 문학사를 통하여 보아서도 樂壇 不振이 생활 불안정에만 있는 베가 아니라고 볼 수 있다. 어떤 이유로 어느 조건이 불리하다든가 하는 것보담 음악가 자신들이 예술가적인 열성과 정열이 있느냐 없느냐는 것과 일반민중이 樂壇에 대하야 사회적 의식이 있느냐 없느냐는 원인이 前記 두 가지보담 멫 배나 클 것이라고 본다.
우리 樂壇의 地理를 삷혀볼 때 과거 멫멫 樂人들이 허울 좋은 붕어사탕같이 속은 텡텡 비였것만 英國式 사교술과 賣藥 廣告式 宣傳術로써 일반사회를 속혀 가면서 전혀 熱病的인 연주행동이나 창조행동을 해온 것이 아닌가.
그들이 명예와 지위로써 음악을 換算한 원인으로 하여 오늘과 같은＜186＞ 침체하고 피로한 樂壇을 만든 것이 아닐가.
과거 우리 樂人들이 明日의 우리 樂壇 발전을 염두에다 두고 건설적인 푸랜으로 진정한 예술가적인 양심으로 열성을 갖이고 사회적 책임과 문화적 사명을 하지 못하였다는 것은 현실이 잘 말하고 있지 아니한가.
필자의 관점으로 현재 樂壇에 거주하고 있는 소위 樂壇的 名士에게 조고마치라도 희망과 기대를 가질 수가 없으며 만일 그들이 새론 각오에서 재출발한댓자 발서 試驗濟인 그들의 빈약한 기술과 실력으론 무슨 새로운 활동을 바랄 수도 없다는 것이다.
그리면 만일 昨今의 樂壇과 같이 무기력한 현상에서 하등의 主流도 없이 不振一貫으로 나간다면 今後 朝鮮樂壇이 어떻게 될지 그 귀추가 매우 注目視된다.
과거 우리 樂壇이 거러온 자최를 더듬어 본다면 하등 이론도 없었고 푸랜도 없었고 다만 자연발생적인 生長에서 음악을 단순한 興味濟로 향락의 대상으로 遊戱三味로써 향유하고 온 까닭에 오늘 보는 바와 같이 우리 樂壇에 赤信號가 가로노혀 있게된 것이다.
그러면 전통도 없고 이론도 없이 우울한 灰色帳幕에 싸여있는 우리 樂壇이 앞으로 어떠한 과정으로 거러 갈 것인가 하는 문제에 봉착할 때 이것처름 우리를 괴롭게 하는 것이 없다. 오늘 우리의 음악이 사회와 문화 乃至 민족의 생활에 상호 연쇄적인 유기적 관계하에서 발전 향상하지 못하고 예술적 고귀와 문화적 존중성이 剝落된 까닭에 오늘의 이 현상유지론 도저히 크다란 기대를 할 수 없다는 所以이다.
다 같은 文化一圈인 劇界에 있어서는 침체니 부진이니 분산이니 파쟁이니 한다드레* 그곳엔 협조가 있고 예술적 信條가 있고 진보적 욕구가 있어서 一步一步 전진하고 있음을 번연히 볼 수 있지만 이 樂壇圈內는 예술적 주장을 실현할 악단은 고사하고 똑똑한 사교적 단체이나마 하나를 유지를 못하고 龍頭蛇尾로 분산하게 되니.
이 무슨 醜態이냐. 참으로 괫심한 일이다. 오늘 우리 樂壇에 劇硏과 같은 조직체 하나쯤은 갖고 싶다.
그리하야 劇硏이 劇界에 공헌하고 있는 그 정도의 것이나마 악단에서도 집단적 음악행동이 있어 우리가 하여야 할 긴급한 事業譜表에 최선을 다하여 주었으면 한다. 었지하야 우리의 음악가란 諸氏*은 개인적 자기중심주의에서 安價의 명예욕에 탐내여 藝術 分派的인 행동과＜187＞ 藝術至上主義 殿堂 속에서 도리허 樂壇事業에 阻害하고 있으며 진정한 자격을 갖인 음악가의 활동범위까지 浸蝕하는 자미스럽지 못한 행동을 볼 때 참으로 한심할 현상이다.
