Magazine Title: 大東亞 제14권 제3호
Publication Date: 1942년 03월 01일
Article Title: 變貌하는 上海, 大東亞戰 勃發後의 上海諸相 (Shanghai Transforming, Various Aspects of Shanghai After the Outbreak of the Greater East Asia War)
Author: 三千里 上海支社 李光斌 (Samch'ŏlli Shanghai Branch, Yi Kwangbin)
Article Type: 소식 (News/Report)

Shanghai Transforming, Various Aspects of Shanghai After the Outbreak of the Greater East Asia War
						Samch'ŏlli Shanghai Branch, Yi Kwangbin

Shanghai, where it doesn't snow even in winter. It has already been 50 days since the Hwangp'ogang Incident, which lit the beacon of the Japanese-British-American War. How has Shanghai changed since then?

On December 8th, at 4:30 in the drizzling dawn, while the 5 million inhabitants were wandering in quiet dreams, the 300-ton British ship HMS Petrel bid its final farewell to the Bund Goddess who guarded their repose, and vanished like foam into the waters of the Hwangp'ogang. Following this, at 10 AM, our Imperial Army crossed the Garden Bridge over Sojuha Creek and advanced proudly into the area across the river (the Settlement). While this can be called a great achievement for the Greater East Asia Co-Prosperity Sphere, the Settlement, which had been a source of constant trouble and headaches for over a century, is becoming brighter day by day with the advance of our Japanese Army. Let us record a few anecdotes from the aftermath here.

**Eradicating English, Japanese Language Study During Lunch Break**

Starting with the Customs House, which fulfilled its mission as the safety valve of British-American economic aggression, after important British and American staff, including the Englishman Inspector-General Maze, were swept away, the Customs House is now extremely cheerful with only Japanese and Chinese staff. Furthermore, administrative affairs, which previously had a thread of connection with Chunggyŏng, have been completely severed. Chiang Kai-shek, astonished by this, sent threatening letters on the 8th, the day the war started, addressed to the Chinese staff at the Customs House, largely inscribed with the single character "死" (Death), implying they would face the death penalty if they did not resign. However, the Chinese staff, who had pledged cooperation for peace, not only remained completely unshaken but further solidified their unity to devote their loyalty to peace. Therefore, the magnificent building of the Sanghae Customs House, the sound of its clock known for its beautiful music, and the Peace and National Construction Flag flying high on its rooftop pole are tear-jerking scenes for us. Ships entering Sanghae are also only Japanese and Chinese vessels, and despite the war, <152> the outflow of cotton yarn, cloth, and miscellaneous goods to the provinces is extremely active. Transit taxes have leaped from 9 million yuan per month to 14 million yuan, and in terms of administration, the absence of British and Americans has resulted in better unification and speed-up.

Moreover, the argument for eradicating English has arisen among the Chinese staff, and they are using their lunch breaks for our Japanese language practice and study. In this way, the unreasonable specific duty system of liberal trade is being put on the chopping block, and currently, Japanese and Chinese experts are taking up the scalpel, striving to fulfill the new, fair mission of the Customs House.

**Seeking Hope, Pioneers of the Soil in the Ch'ŏnghyang'gu**

As a result of expelling British and American influence from the Settlement with the start of the war, the high wall that had blocked passage between the Settlement and the Ch'ŏnghyang'gu (Rural Pacification Areas) has been torn down. That is, living in the Ch'ŏnghyang'gu has become more advantageous than living in the Settlement. It is said that about 9,000 people are returning to their hometowns daily after reporting to the Kongbuguk (Shanghai Municipal Council), Kongdongguk (French Municipal Council), and the Consulate General. Due to this, peaceful industries in the Sanghae Settlement will temporarily stagnate. However, this is both a joyous and natural phenomenon in the construction of the ideal East Asia.

The Chinese people are saying at this time, "We must return to the villages and use the skills we learned and mastered in the Settlement to elevate local culture. Pioneering new land is an incomparable joy." Thus, their vibrant spirit is swelling.

Under the cold continental sky, the faces of the Chinese people gathering their household goods and returning home to the powerful sound of train whistles are extremely cheerful. And so, in the villages, they take up hoes, make tools in workshops, gin cotton to weave towels, each creating a happy life that promises a tomorrow in peaceful, changed occupations. In this way, a new and bright culture is being born in the periphery of the Settlement.

**Sealing Enemy Properties, The Shining Flags of the Axis**

The Hwangp'ogang has also completely wiped away the British and American colors. The rows of warehouses flying the Union Jack and Stars and Stripes along both banks had, over the past four years, shipped all sorts of Aid-Chiang supplies through the various ports along this coast to Chunggyŏng. However, with the start of the war, they were sealed by the Imperial Army. The docks were also taken over.

Now, indeed, the Port of Sanghae sees only Japanese and Chinese ships bustling in and out, along with Axis ships such as those of the Vichy Government's M.M (Messageries Maritimes) shipping line, Italian ships, and German ships. Next to the sunken British gunboat Petrel and the American gunboat Wake, renamed Tatara, the Italian gunboat Carlotto, destroyer Ektoria, and French gunboat Kaburiel stand shoulder-to-shoulder in friendship.

Thus, when British and American are defeated and a new world order is constructed, ships from various nations within the Co-Prosperity Sphere, such as French Indochina, Thailand, the Philippines, Australia, and India, will enter the Hwangp'ogang alongside Japanese and Chinese ships, flying their proud national flags.

**Farewell to Automobiles, Bicycle Scenes on the Streets**

To secure final victory, Sanghae is also conserving gasoline. Buses, taxis, trucks, etc., have vanished from the streets of Sanghae. Consequently, citizens' feet flock to trams, hwangpaoch'a (rickshaws), bicycles, <153> and covered horse-drawn carriages. Former Municipal Council Chairman Mr. Liddell reportedly rode a hwangpaoch'a for the first time in his life.

Mrs. Rohne(?) of Transocean(?) also commutes by bicycle. The fares for bicycles and hwangpaoch'a are extremely expensive. The approximately 20,000 hwangpaoch'a in the Settlement are pulled by 5 drivers taking turns per vehicle per day, and the income per driver is said to be a net profit of over 16 yuan even after deducting the vehicle rental fee of about 20 yuan, which is quite a substantial income. Citizens in wartime avoid using cars and walk as much as possible. Seen this way, the war also makes a great contribution to promoting the health of the citizens.

**Breaking the Anti-Japanese Pen, Enemy Newspapers Change to 'Down with Britain and America'**

The press in the Settlement has shed its enemy character all at once.

Anti-Japanese economic commentator John Ahlers is now writing fair commentary in the newly revived Evening Post newspaper, while Ottuhetman(?), perhaps fearing his past sins, has disappeared and there is still no news of him. The enemy Chinese-language newspapers "Sinbo" and "Sinmunbo," after being allowed to resume publication through the clemency of the Imperial Army, were allowed to gather news and edit as they pleased for a month, even featuring Chunggyŏng news. However, as the Imperial Army's victories expand, the fact that they are shifting towards 'Down with Britain and America' is indeed noteworthy. About 300 types of anti-Japanese magazines and weeklies have also been swept away, and pro-peace materials related to the National Government (Wang Jingwei regime), such as the Chungguk Panwŏlgan (China Bi-monthly) and Taeryuk Sŏbo (Continental Book News?), are selling like hotcakes.

With the fall of Hongk'ong acting as a catalyst, the infiltration into the Settlement of Chunggyŏng pamphlets via Hongk'ong and anti-Japanese magazines published in Hongk'ong has completely vanished. The press world of the Settlement is making a powerful new start as one wing in the creation of a new culture for the Co-Prosperity Sphere.

**Let's Learn the Co-Prosperity Sphere Language, Japanese Language Study Scenes for Men and Women, Old and Young**

Our Japanese language is penetrating the Settlement with absolute force. Until the outbreak of the war, we thought of the Garden Bridge or North Sach'ŏnno (Szechuen Road) as the boundary line between Japanese, English, and Chinese. However, the noteworthy aspect of this new advance of the Japanese language is that this boundary has been removed by the hands of foreigners and Chinese.

At the Japanese language school run by the Sanghae Modern Science Library, numerous Chinese and Indian police constables from the Kongbuguk (Municipal Council) are flocking to learn the "I-Ro-Ha" (Japanese syllabary), and foreigners, especially Russians, French, Germans, and Italians, are making desperate efforts, believing they cannot live in the Co-Prosperity Sphere without learning Japanese now.

In one company, Japanese employees were learning the Sanghae dialect from Chinese staff until the day the war broke out, but immediately after the war began, those Chinese staff reportedly asked to be taught Japanese.

There are calls to eradicate English, but completely abolishing it immediately requires consideration. There is also a theory that, as a transitional measure until Japanese becomes unified, English should be recognized and utilized as an enemy product (敵産物), necessary for knowing the enemy.

In any case, it is absolutely certain that our Japanese language will be employed alongside the Chinese language in the Kongbuguk, the Customs House, schools, and in the city.

**Economy, Construction Cadence or Ruin, Price Stabilization**

Since the speculation that disrupted the economic development of the Settlement has disappeared, the economic world is being reborn in an extremely bright and healthy state. <154> Before the war, Chinese tycoons and members of the Ch'ŏngbang (Green Gang), clutching speculative funds, caused exchanges dealing in gold bars, cotton yarn, rice, or Pound Sterling, US Dollars, and military scrip to mushroom like fungi after rain. Due to this, prices in Sanghae boiled over, and citizens tasted extreme suffering.

However, with the war, the Pound and Dollar were expelled from the Settlement, and as the value of the old Fǎbì (Ku Pŏppi) and military scrip was fixed, the twenty-odd exchanges were forced to close.

The heavenly punishment they suffered due to these closures is said to amount to about 200 million yuan.

With the birth of the remittance/exchange system (滙劃), the Sanghae financial world has severed ties with Chunggyŏng's financial world, and the old Fǎbì, having shed its enemy character, marches alongside the new Fǎbì (Sin Pŏppi) and military scrip, beginning the advance of the new Sanghae economic construction cadence.

**Crime Disappears, Brightness Through Unification of Security**

Public order in the Settlement is far safer than when American Marines or British soldiers were guarding it. This is because the Chunggyŏng terror that lurked and stirred in the shadow of British and American power has been swept away, and the 5 million citizens, protected by our brave Army and Navy soldiers and the Kongbuguk Police cooperating with Japan, sleep very soundly.

Within the Kongbuguk Police, arrogant British police officers used to order Chinese constables around until the day the war started, but these days it has become completely calm, which they rejoice as also being due to the virtue of the Japanese Army.

Furthermore, robberies, pickpocketing (쓰리), and various other crimes have vanished, making the name "Magic City Sanghae" (魔都上海) a thing of the past. The public order in the Settlement, after the unification of the various complex and bizarre policing authorities, is extremely bright.

**Discarding British/American Works, The Film World Reborn with Pro-Peace Colors**

The film and theater world of the Settlement has renewed its appearance. In the film world, actresses and actors starting with Chin Un-sang (Chen Yunshang), along with directors, have pledged loyalty to the National Government (Wang Jingwei regime). Currently, cultural films, newsreels, and animation targeting overseas Chinese are being produced one after another. Soon, by resolution of the newly formed Production Deliberation Council, feature films symbolizing the unity of the East Asian peoples are set to appear.

Regarding British and American films, military and propaganda materials are completely rejected, and only those without any issues are allowed to be screened. However, since the import of British and American films is hopeless anyway, the production and distribution of Japanese and Chinese films are being actively discussed as replacements. In the theater world, especially in modern drama (新劇), there were many satirical plays (諷刺劇) containing latent anti-Japanese consciousness. However, using the war as an opportunity, the Sanghae Kŭgyesa (Shanghai Theater Arts Society) and the Sanghae Chigŏp Kŭktan (Shanghai Professional Theater Troupe) jointly performed an anti-Japanese play called "Ba Jin's 'The Family'" (巴金의 집) at the Lafayette Theater in the French Concession. But here too, as soon as scenarios are prepared, pro-peace plays (和平劇) are scheduled to be performed. Also, large-scale Peking Opera (北京劇), Shaoxing Opera (紹興劇), and popular drama (通俗劇) are permitted free performance as long as they do not compromise the dignity of the East Asian peoples, and efforts are being made so that they can become entertainment items for popular harmony and enjoyment.

In this way, film and theater in the Settlement are spurring on the promotion of peace ideology (和平思想). <155>
<152-155>

**Summary**

This 1942 article by Yi Kwangbin, a Korean journalist in Shanghai, describes the city's transformation under Japanese control following the outbreak of the Pacific War. It portrays the removal of British and American influence (economic, political, cultural) as a positive development, leading to a "brighter" and more "orderly" city aligned with the Greater East Asia Co-Prosperity Sphere. The piece highlights the purge of Western personnel from institutions like the Customs House, the promotion of Japanese language study, the suppression of anti-Japanese media and arts, economic stabilization under Japanese oversight (eliminating speculation), and improved public safety attributed to unified Japanese control. From the perspective of Korean colonial history, the article is significant as it shows a Korean author actively participating in Japanese wartime propaganda, framing colonial expansion and control in positive terms for a Korean readership (or at least, a readership within the Japanese empire). Historians might find the specific details about the changes in Shanghai's administration, economy, and cultural life under occupation, as well as the perspective of a colonized subject seemingly embracing the colonizer's ideology and vision for a "New East Asia," particularly revealing.

**Named Entities**

上海	상해	Sanghae
大東亞戰	대동아전	Greater East Asia War
三千里	삼천리	Samch'ŏlli
李光斌	이광빈	Yi Kwangbin
日英米戰爭	일영미전쟁	Japanese-British-American War
黃浦江	황포강	Hwangp'ogang
英艦빼떼레루號	영함뻬떼레루호	British ship Petrel (HMS Petrel)
뺀드女神	뺀드여신	Bund Goddess
皇軍	황군	Imperial Army (Japanese)
蘇洲河	소주하	Sojuha (Suzhou Creek)
까-든뿌릿찌	까든뿌릿찌	Garden Bridge
租界	조계	Settlement / Concession
大東亞共榮圈	대동아공영권	Greater East Asia Co-Prosperity Sphere
日本軍	일본군	Japanese Army
海關	해관	Customs House
英人메-즈 總稅務司	영인메즈 총세무사	Englishman Maze, Inspector-General of Customs (Sir Frederick Maze)
日華	일화	Japanese and Chinese
重慶	중경	Chunggyŏng (Chongqing)
蔣介石	장개석	Chang Kae-sŏk (Chiang Kai-shek)
華人	화인	Chinese people
和平建國旗	화평건국기	Peace and National Construction Flag (Wang Jingwei regime flag)
日華船	일화선	Japanese and Chinese ships
淸鄕區	청향구	Ch'ŏnghyang'gu (Rural Pacification Area)
工部局	공부국	Kongbuguk (Shanghai Municipal Council)
公董局	공동국	Kongdongguk (French Municipal Council)
總領事舘	총영사관	Consulate General
樞軸	축축	Axis
유니온쨕	유니온잭	Union Jack
星條旗	성조기	Stars and Stripes
援蔣物資	원장물자	Aid-Chiang supplies
뷔시-政府	뷔시정부	Vichy Government
M.M汽船	M.M기선	M.M Shipping Line (Messageries Maritimes)
伊太利船	이태리선	Italian ships
獨逸船	독일선	German ships
米 砲艦 웨-크號	미 포함 웨이크호	US Gunboat Wake
多多良	다다라	Tatara (Japanese name for USS Wake)
伊 砲艦 레뺀드카롯號	이 포함 레뺀드카롯호	Italian Gunboat Carlotto (Ermanno Carlotto)
驅逐艦 엑토리아號	구축함 엑토리아호	Destroyer Ektoria (likely Sloop Eritrea)
佛 砲艦 가부리엘號	불 포함 가부리엘호	French Gunboat Kaburiel (Identity uncertain)
佛印泰	불인태	French Indochina, Thailand
比島	비도	Philippines
濠洲	호주	Australia
印度	인도	India
리데루氏	리데루씨	Mr. Liddell (C. H. Liddell)
도란쓰오-싼	도란쓰오싼	Transocean (German News Agency)
로-ㄴ女史	로-ㄴ여사	Mrs. Rohne (?)
쬬-ㄴ 아라-즈	쬬-ㄴ 아라-즈	John Ahlers
이-브닝 포스트 紙	이브닝 포스트 지	Evening Post newspaper (Shanghai Evening Post and Mercury)
옷트헷만	옷트헷만	Ottuhetman (?)
敵性華字紙	적성화자지	Enemy Chinese-language newspapers
申報	신보	Sinbo (Shen Bao newspaper)
新聞報	신문보	Sinmunbo (Xinwen Bao newspaper)
中國半月刊	중국반월간	Chungguk Panwŏlgan (China Bi-monthly magazine)
大陸書報	대륙서보	Taeryuk Sŏbo (Continental Book News?)
國民政府	국민정부	National Government (Wang Jingwei regime)
香港	홍콩	Hongk'ong (Hong Kong)
共榮圈語	공영권어	Co-Prosperity Sphere Language (Japanese)
北四川路	북사천로	Puk Sach'ŏnno (North Szechuen Road)
近代科學圖書館	근대과학도서관	Modern Science Library
印度人	인도인	Indian people
巡捕	순포	Police Constable (SMP)
露西亞人	로시아인	Russians
佛蘭西人	불란서인	French people
獨逸人	독일인	Germans
伊太利人	이태리인	Italians
邦人	방인	Japanese national
上海語	상해어	Shanghainese dialect
支那語	지나어	Chinese language (Sina-o, contemporary Japanese term)
靑帮	청방	Ch'ŏngbang (Green Gang)
磅	파운드	Pound (Sterling)
弗	달러	Dollar (US)
軍票	군표	Military scrip
取引所	거래소	Exchange / Marketplace
舊法幣	구법폐	Old Fǎbì (Chinese currency)
新法幣	신법폐	New Fǎbì (Wang Jingwei regime currency)
滙劃	회획	Remittance/Exchange system
아메리카 마린	아메리카 마린	American Marines
英兵	영병	British soldiers
陸海軍	육해군	Army and Navy (Japanese)
對日協調	대일협조	Cooperation with Japan
警察	경찰	Police
英人警官	영인경관	British police officers
魔都上海	마도상해	Magic/Demonic City Shanghai
映畵界	영화계	Film world/industry
演劇界	연극계	Theater world/industry
陳雲裳	진운상	Chin Un-sang (Chen Yunshang, actress)
俳優	배우	Actor/Actress
監督	감독	Director
對華僑工作	대화교공작	Work targeting overseas Chinese
漫畵	만화	Comics / Animation
製作 審議會	제작 심의회	Production Deliberation Council
東亞民族	동아민족	East Asian Peoples/Races
日華映画	일화영화	Japanese and Chinese films
新劇	신극	New Drama/Modern Theater
諷刺劇	풍자극	Satirical play
上海劇藝社	상해극예사	Sanghae Kŭgyesa (Shanghai Theater Arts Society)
上海職業劇團	상해직업극단	Sanghae Chigŏp Kŭktan (Shanghai Professional Theater Troupe)
佛租界	불조계	French Concession
라화이 엣트 극장	라화이엣트 극장	Lafayette Theater
巴金	파금	P'a Kum (Ba Jin, writer)
北京劇	북경극	Peking Opera
紹興劇	소흥극	Shaoxing Opera
通俗劇	통속극	Popular drama
和平思想	화평사상	Peace ideology (Pro-Japanese ideology)

**Glossary**

變貌	변모	Transformation, changed appearance
勃發	발발	Outbreak, eruption (of war)
諸相	제상	Various aspects, phases
烽火	봉화	Beacon fire (often used metaphorically for war)
租界	조계	Settlement, Concession (foreign-administered area in Chinese cities)
後日譚	후일담	Anecdote, story about a past event
抹殺	말살	Obliteration, erasure, eradication
臺頭	대두	Rise, emergence, gaining prominence
講習	강습	Short course, training session
從量稅	종량세	Specific duty (tax based on quantity, not value)
俎上	조상	On the chopping block, under discussion/criticism
驅逐	구축	Expulsion, driving out
헐리었다	헐리었다	Was torn down (older passive form of 헐다)
澎漲	팽창	Swelling, expansion
汽笛	기적	Steam whistle (train or ship)
家財	가재	Household belongings, property
轉業	전업	Change of occupation
樞軸	축축	Axis (as in Axis powers)
沿岸	연안	Coast, bank (of a river)
接受	접수	Takeover, reception (of property/control)
誼좋게	의좋게	Amicably, in friendship
깨소링	개솔린	Gasoline (older loanword spelling)
自活	자활	Self-support, earning one's own living
黃包車	황포차	Rickshaw (literally 'yellow-wrapped vehicle')
幌馬車	황마차	Covered horse-drawn carriage
助長	조장	Promotion, encouragement (sometimes with negative nuance, but here positive)
꺽고	꺾고	Breaking (pen), giving up (writing) (꺾다)
轉換	전환	Conversion, shift, turnaround
潛入	잠입	Infiltration, sneaking in
共榮圈語	공영권어	Co-Prosperity Sphere Language (i.e., Japanese)
浸透	침투	Penetration, infiltration
巡捕	순포	Police constable (in Shanghai International Settlement/French Concession)
撤廢	철폐	Abolition, repeal
敵産物	적산물	Enemy property/product
攪亂	교란	Disturbance, disruption
投機	투기	Speculation (financial)
簇出	족출	Sprouting up rapidly, mushrooming
沸謄	비등	Boiling, soaring (of prices)
塗炭之苦	도탄지고	Extreme suffering, misery (lit. suffering of mud and charcoal)
追出	추출	Expulsion, driving out
天罰	천벌	Heavenly punishment, retribution
滙劃	회획	Remittance system, exchange mechanism (contextual)
譜	보	Register, score (here used metaphorically as 'cadence' or 'plan')
蠢動	준동	Wriggling, stirring (used for subversive activities)
頤使	이사	Ordering around with the chin, bossing around arrogantly
쓰리	스리	Pickpocket (loanword from Japanese スリ 'suri')
魔都	마도	Magic City / Demonic City (nickname for Shanghai)
對華僑	대화교	Targeting overseas Chinese
配給	배급	Distribution, rationing
腐心	부심	Strive hard, make painstaking efforts


---------------------------


잡지명	대동아 제14권 제3호
발행일	1942년 03월 01일
기사제목	變貌하는 上海, 大東亞戰 勃發後의 上海諸相
필자	三千里 上海支社 李光斌
기사형태	소식

變貌하는 上海, 大東亞戰 勃發後의 上海諸相
						三千里 上海支社 李光斌
겨울이면서도 눈 오지 않는 上海, 日英米戰爭의 烽火를 든 黃浦江事件이 있은지도 벌서 오늘이 50일이나 되었으니 그 후의 上海는 어떻게 변하였는가.
12월 8일 이슬비 오는 새벽 4시 반 5백만 식구가 고요한 꿈에서 헤매일때 300톤의 英艦빼떼레루號는 그들의 안식을 지키는 뺀드女神에게 그 최후를 고하고 黃浦江물속에 물거품과 같이 사라지고 마렀다. 뒤이어 오전10시 우리 皇軍은 蘇洲河의 『까-든뿌릿찌』를 건너 當當히 江건너(租界)에 진출하게 되었으니 이것은 大東亞共榮圈에 크다란 偉業이라 하겟지만 1세기餘를 두고 항상 말성 많고 두통ㅅ거리던 租界는 우리 日本軍의 진출로 나날이 명랑하여지고 있으니 여기 그 몇가지 몇가지의 後日譚을 적어보기로 하자.

英語를 抹殺하고 點心時間에는 日本語 講習
英米경제침략의 安全辨에 使命을 履行튼 海關부터, 英人메-즈 總稅務司 이하 중요한 英米人 職員들이 一掃된 이후 海關은 日華職員뿐, 극히 명랑하다. 다시 종래 重慶과의 사이에 一抹의 脈絡이 있던 行政事務도 완전히 단절되었다. 蔣介石은 여기에 驚愕하여 8일 開戰日에 海關의 華人職員들에게 대하여 辭職을 하지 않으면은 死刑에 처한다는 의미의 「死」라고 一字大書한 脅迫狀을 보내었으나 和平에 협력한 盟誓한 華人職員은 微動도 아니할 뿐 아니라 더욱 더 和平에 忠誠을 다하기로 團結을 굳게 하였다. 故로 上海海關의 그 壯麗한 建物이라던가 아름다운 音樂으로 알리우는 時計의 소리, 그 屋上의 뽀-루 높이 휘날리는 和平建國旗도 우리들에게는 눈물겨운 風景이다. 上海에 入港하는 선박도 日華船뿐이고 전쟁인데도＜152＞ 불구하고 지방과의 綿糸布雜貨 등의 出廻는 극히 활발하여 轉口稅가 월 900만원부터 1400만원에 飛躍하고 있고 사무로 보아서도 英米人이 없어진 탓으로 도리혀 통일되어 스피-드 엎 되어있다.
또한 英語抹殺論이 華人職員間에 臺頭하여 점심시간을 이용하여 우리 일본어 諾習 등을 하고있다. 이와같이 自由主義 講易의 不合理한 從量稅의 制度를 俎上하여 目下 日華엑쓰파-드가 메-쓰를 드러 새로히 공정한 海關의 사명을 다하기에 노력하고 있다.

希望을 찾어서 淸鄕區로 흙의 開拓者
開戰으로써 英米勢力을 租界에서 驅逐한 그 결과 종래까지 租界와 淸鄕區와의 사이에 막키였던 높은 담은 헐리었다. 즉, 租界에서 사는것 보담은 淸鄕區에서 생활하는 것이 더욱 유리하게 된 것이다. 工部局, 公董局, 總領事舘에 申告하여 歸鄕하는 사람이 매일 약 9,000명에 달한다고 한다. 이로 말미아마 上海 租界에 平和的인 産業은 一時 沈滯할 것이다. 그러나 이것은 理想東亞를 건설함에 있어서 즐거운 현상인 동시에 또한 당연한 現象일 것이다.
中國人들은 이때에 우리들은 농촌으로 돌아가서 租界에서 배우고 익힌 기술을 이용하여 지방문화를 높여야만 한다. 새로운 토지를 개척한다는 것은 비길곳 없는 기쁨이다. 이렇게 그들은 발랄한 정신이 澎漲하고 있다.
