잡지명	동광 제11호
발행일	1927년 03월 05일
기사제목	燕京郊外雜觀, 東洋史上에 稀有한 南口戰蹟 (Miscellaneous Views of the Yenching Suburbs, The Nankou Battle Site Rare in East Asian History)
필자	柳絮
기사형태	기행문 (Travelogue)

Miscellaneous Views of the Yenching Suburbs, The Nankou Battle Site Rare in East Asian History
						Yu Sŏ (柳絮)

One day in late November by the solar calendar, I followed Sanong (山翁) out of Peking Castle (北京城) with the main purpose of inspecting the land situation and also to see the Nankou (南口) battle site. The itinerary for the first day was planned to go west from Peking Castle for about 25 *ri* and then return to the north of the castle. From Sŏjingmun (西直門), we took rickshaws and proceeded about 15 *ri* along the automobile road leading to Mansusan (萬壽山). This place is called Haedyŏn (海甸). Until recently, 4 or 5 Korean families lived here. Now, there is only one household left. This household farms here. According to the farmer, one *mu* (畝; 166 *pyeong*) of good land in Haedyŏn could be bought for about 30 Chinese silver dollars (中國 大洋; equivalent to about 36 gold dollars (金貨) at the current market price). However, it is said that because Yŏn'gyŏng University (燕京大學) relocated its new campus to Haedyŏn last year, the land price in the immediate vicinity of Haedyŏn rose consequently. We passed through the small market town of Haedyŏn, rented donkeys, and went 8 *ri* further west, intending to find a place to live along the stream flowing down from the Okch'ŏnsan (玉泉山) spring near Mansusan, following the clear watercourse. Then, taking rickshaws again, we went to see the Catholic Monastery (天主敎 修道院) at Hongsanku (紅山口), 10 *ri* northwest of Haedyŏn, behind Mansusan. Sanong had visited here several years ago, but this was my first time. Sanong had also tried to visit the monastery a few days earlier, but because White Russian (露國 白黨) soldiers of the Pongch'ŏn Army (奉天軍) had intruded and caused trouble there during the recent war <35>, the gatekeeper denied entry to idle visitors, so he had to turn back. Sanong wanted to see by all means how the cultivation of fruit trees and grapes on the monastery's mountain slope (山坡) was progressing, so he had obtained an introduction from a Catholic priest in Peking city. Thus, our trip today was not in vain. On the mountaintop (励�頂 - *likely typo for 山頂*), there is a large two-story monastery building of over 100 *kan* (間 - unit of space between pillars) where priests from various places come for summer retreat, and at the foot of the mountain, there is a Catholic Normal School started this year. The school building is also two-story, about 100 *kan*, but construction is not yet complete. It is said there are currently about 40 students. The site of this monastery, including the mountain and the area below, seems to cover about 4 *ri* in circumference. First, we went up the mountain to see the reservoir (蓄水池) and the vineyard (葡萄田). The reservoir built on the mountain seems to have been made for watering the grapes when they were planted. Coming down to the school building at the foot of the mountain, we met the French (佛蘭西) bishop managing the monastery and talked for a while. The bishop, an old man who had been in China (中國) for 40 years and aged there, spoke Chinese (漢語) as well as a native Chinese person. Since Sanong had met the bishop when he visited several years ago, they recognized each other. Sanong was doubtful whether grapes planted on rocky mountains with very thin soil, where rocks were dug out and soil gathered on top, would grow well, so he asked the bishop. The bishop said that grapes grow better the drier the land is. However, he said that when first planting grapes, one must water them to help them survive, but after that, no water should be given at all. So Sanong asked again, "In California, USA (米國), they irrigate when cultivating grapes. Why is it that here you don't water them at all?" The bishop replied, "In France (佛國), there is no practice of watering grapes in viticulture." And he added that from the vineyard of less than 100 *mu* (16,600 *pyeong* - *Note: 100 mu is usually ~16.6 acres or ~67,000 sq m; 1660 pyeong is ~5,500 sq m. There might be a typo or unit confusion in the original text.*), they produced ten jars of wine (葡萄酒) this year. This monastery itself is not located in a particularly scenic place. However, by embracing the mountain and adding much artificial work, it is still worth seeing. Standing on the mountain, Peking Castle <36> could be seen faintly in the distance ahead, Mansusan embraced it from the side, and behind, the mountains of Ch'angp'yŏng (昌平) lay, with a great plain spreading out before and behind. And at the end of the Ch'angp'yŏng plains, great mountains lay horizontally (橫臥하엿다). We returned to Peking that same day.

The next day, intending to inspect Nankou (南口), we headed again towards Sŏjingmun (西直門). We arrived at Sŏjingmun Station (車站 - Chēzhàn, railway station) after 9 o'clock. The train scheduled to depart at 9 was still nowhere to be seen close to 10 o'clock. This was because, due to the war, all the good locomotives were used for military trains, leaving old ones for passenger trains. The train finally arrived well after ten. We bought two tickets to Nankou for 1 silver dollar and 5 jiao (大洋 1元 5角) each. Before the war, a single ticket cost only 6 jiao (6角), but after this major war, the fare to Nankou had increased by 1 jiao 5 fen (1角 5分) per ticket [*Note: The math seems off here; 6 jiao to 1 yuan 5 jiao is an increase of 9 jiao, not 1 jiao 5 fen. Perhaps the increase *per segment* or a base fare changed significantly*]. Nankou is the fifth stop, 90 *ri* from Peking, and is considered a major station on the Jing-Sui Railway (京綏線). Sanong had passed through Nankou on the Jing-Sui line several years ago, but this was my first time. Usually, it takes a little over an hour to get to Nankou. But now, it takes over two hours to arrive. The train departed. Passing Ch'ŏnghwa (淸華), where Tsinghua School (淸華學校) is located, and then Ch'ŏngha (淸河), we reached Saha Station (沙河 車站). Because the Pongch'ŏn Army used Saha as their rear defense line when attacking Nankou, their trenches (戰壕) are still lined up there. Pongch'ŏn troops are still stationed here, and I heard that a Korean compatriot named Mr. Yi (李某), holding the rank of Battalion Adjutant (營副), is temporarily here. About 12 *ri* east of here is a place called Kuryonggu (九龍口). There, a good spring (泉) gushes out from a small, round hill rising in the middle of the plain. Thus, some 40-50 years ago, a monk built a temple there, which still stands today. The Kuryonggu spring water has a large volume, and it seems that by utilizing it, the fields in the plain could be turned into paddy fields. The land price (土價) there is said to be about 20-30 silver dollars per *mu*. We had visited there once a few days prior. The train passed through a place called Ch'angp'yŏng County (昌平縣) and finally arrived at Nankou Station close to 12:30. The station faces the front of Nankou Fortress (南口城), and behind it, range upon range of great mountains lie across, making it impossible to enter northwards except through the mountain pass called Nankou. Thus, the train also enters through Nankou. Discussing strategically vital points (險要地) in China, since ancient times, places like Sanhaegwan (山海關) <37>, Ammun'gwan (雁門關), Musŭnggwan (武勝關), and Kŏyonggwan (居庸關) have been considered crucial. Nankou lies just before Kŏyonggwan. The Northwest Army (西北軍; Feng Yuxiang's Army 馮玉祥軍), which had withdrawn from Peking, had no choice but to defend Nankou to the death to protect the northwest.

After getting off at the station, we inquired about the location of the battle sites (戰蹟) from a policeman and then went to see the trenches on the Nankou front line, the most important defense line, located just east of the Nankou Hotel near the station. This seemed to be the final defense line. However, even within this first line, three rows of trenches – front, middle, and rear – were dug at intervals of about 15 paces. Behind the final line, soldiers' quarters were built as semi-basements, and in front of them, small dugout spaces, perhaps command posts (督戰處), were intermittently constructed behind the trenches. Since Nankou is a place abundant in stones, and also to prevent collapse during rain, the trenches were all lined with stones (돌로 싸핫는데). Their depth reached 1.5 *jang* (丈; approx. 5 meters) and in some places nearly 2 *jang* (approx. 6.6 meters). Depending on the terrain, their lengths varied, with some stretching for several *ri*. It is said that military telephones were installed throughout the trenches for command communication. Now, only the trenches remain; all equipment (設備) was removed (折去하여) by the Pongch'ŏn Army after their occupation, so one can only guess the general setup from the scattered debris of broken items. Also, electric wire/netting (電氣淘 - *perhaps 電氣網*) had been laid out in front of the trenches. Important trenches and sick bays (留病處 - *likely typo for 留兵處, troop quarters, or 醫療處, medical post*) were all surfaced with cement (씨멘트). And railway tracks (鐵路軌) were used for pillars (基東 - *likely 기둥*) needed in the trenches, but they have now all been removed by the railway bureau and cannot be seen. It is said that when the Pongch'ŏn Army launched a general offensive against such strong defensive lines, one Guominjun (國民軍 - Nationalist Army) soldier could resist up to 32 Pongch'ŏn soldiers. From this, one can imagine the number of casualties the Pongch'ŏn Army must have suffered. 8 *ri* east of Nankou Station is a place called Hoakch'on (虎峪村). Sanong had previously inspected land there and was particularly fond of the place due to its extremely beautiful scenery and flowing clear water. So, the real purpose of this trip was not the battlefield inspection but to take another look at Hoakch'on. Thus, we directed our steps towards Hoakch'on. This area, between the station and the village, was also a site of particularly fierce fighting. Passing through here, we saw two old-style muzzle-loading cannons (舊式 大砲) left in the trenches. These must have been abandoned by the Guominjun. It is a fact that the Guominjun side lacked sufficient arms (軍械). Presumably, even such cannons were used, perhaps just for show (示威格으로). Beside the road, I saw deep trenches of various shapes, built as sturdily as those near the station. Passing by, we bought a Russian-style infantry rifle bayonet (露國式 步兵銃 刺刀) for a few copper coins from a child selling weapons. This too must have belonged to the Guominjun. Going to another trench, I found a torn Bible (聖經; New Testament 新約全書) inside, along with countless scattered bullet casings (彈丸 각지 - *'각지' might mean casings or cartridges*). This undoubtedly is the discarded property (棄物) of the Northwest Army, known as the Christian Army (基督軍), whose soldiers sang hymns (讚頌歌) as battle songs and held worship services even in their barracks. <38>

According to rumors, the Guominjun (Northwest Army) spent 2.5 million silver dollars (元) on fortifications, including trenches, for the defense of Nankou. It is said that after the war, when the Peking Diplomatic Corps inspected the battle site, they praised the Nankou defenses as being no inferior to the defense lines of the European Great War (歐羅巴 大戰) and marveled at the great engineering work (偉大工程) of the Guominjun. For four months, the Fengtian Allied Army (奉聯軍) and the Guominjun confronted each other (相持하여) at Nankou. Because the Guominjun trenches were so sturdy, they inflicted countless casualties on the Pongch'ŏn Army, while the Guominjun, defending from within the trenches, did not suffer such heavy losses. The exact number of casualties is unknown as both sides concealed them, but it appears the Fengtian Allied forces lost nearly three divisions. The strength of the Nankou defenses can be seen as the greatest engineering feat in Chinese warfare since ancient times. According to the Japanese, even the Russian defense line at Port Arthur (旅順) during the Russo-Japanese War (日露戰役) was not as strong as Nankou's. It is also rumored that when the Pongch'ŏn Army failed to break the Nankou front line and the war increasingly turned disadvantageous for them, a certain country (某國) supplied them with numerous advanced cannons (精利로운 大砲) from behind the scenes, ultimately subjecting the Guominjun to a barrage of artillery shells they could not withstand, forcing their retreat (退하지 안흘 쑤 업는 砲彈의 威脅을 바닷다고). The Pongch'ŏn Army initially used the strategy (方略) of sending infantry (步兵) as the vanguard (先鋒) followed by artillery (砲兵) support, as in past wars. However, after suffering innumerable deaths from machine gun fire (機關銃丸) originating from within the trenches, they were forced to switch tactics, using artillery as the vanguard to destroy the trenches from a distance while the infantry stayed behind before charging forward (突衝하엿다고). Before we knew it, we arrived at Hoakch'on.

Hoakch'on was not only a wartime fortress but also a place of very beautiful scenery (景槪). Behind the village, a clear stream flows down from the Hoak (虎峪) valley, and the peaks of Hoak Mountain, with their unusually towering rocks (바위가 異常이게 吃立하여 - *meaning slightly unclear but suggests striking rock formations*), greatly enhance the scenery behind. Hoakch'on village sits with its back to the mountain (산을 등지고) and alongside the stream (시내를 끼고 안잣다). In front, two small hills are situated (의여 잇어) left and right, and between these two hills, the fields ahead are clearly visible (환하게 내다 뵈인다). The front and sides of the village form an orchard with persimmon trees (감나무). The village has about 180 households (戶數). The land seems comparatively poor (薄한) compared to other places. We inquired (풀어보매) about the land price with a landowner (地主) there. For an orchard of about 30 *mu* (4,980 *pyeong*) including 300 persimmon trees, plus another 70 *mu* (11,620 *pyeong*) of poor land, he asked for an average of 35 silver dollars per *mu*. However, based on the land prices here, a fair price, considering the persimmon trees, would likely be around 20 silver dollars. According to the landowner, the harvest from the 300 persimmon trees last year was 27,000 *jin* (斤 - catty, unit of weight, approx. 600g) (云云한다). However, persimmons are so common in China that they are considered cheap (賤히 여긴다). Here, a large, fist-sized (주먹 만콤한) persimmon costs only two copper coins (동전 두 닙). Two copper coins are barely more than half a *fen* (半分强) in silver dollars. Calculating at 1 *fen* per *jin* wholesale (都賣하면), 27,000 *jin* would only amount to 270 silver dollars. Thus, 300 persimmon trees are not that valuable (갑가는 것은 못 된다).

In Hoakch'on, the stream flowing down from Hoak valley runs east of the village, and spring water flows through the middle of the village. If this water weren't present, it's doubtful a village would have formed <39> on this poor, elevated land. In the center of the village, there is one temple (절깐), and behind the village, on a small mountain peak (봉오리), there is a tiny temple unsuitable for human habitation (居處). These temples were all built by the village.

This village suffered particular hardship (단련을 바든 곳이다) during the recent war. This year, due to the war, they couldn't farm at all, leaving the land fallow (땅을 거저 묵이엇다). The Pongch'ŏn Army led by U Chin (于珍이가 領率한) attacked this village's defense line with all their might to capture it. Consequently, many innocent peasants (無辜한 농민) were also killed by stray bullets (流彈). According to the peasants here, when the Guominjun retreated from here, they didn't take even a single hoe handle (호미자루) from the people. However, when the Pongch'ŏn Army occupied the place, they looted (强奪하여) all the horses, donkeys, and farm tools, and even raped women (婦女까지 强姦하엿다고). Plunder (略奪) and rape are typically unlawful acts of defeated, retreating soldiers (退敗하는 軍士). But the Pongch'ŏn Army, on the contrary, did this even more intensely in the wake of their victory (凱旋한 남아에 더하엿다). Thus, observing the general sentiment (心理) of the people, it is clearly visible (환히 뵈인다) that they strongly lean towards the Guominjun side.

At any time, in any war, there have been few instances where the masses (민중) have actually benefited. Especially the internal wars in China hasten the unfortunate fate of the pitiful masses. How cruel (慘酷한) this is! How could one believe (미드랴마는) that the warlords (軍閥) would save the masses? Yet, for now, one can only look towards the Northwest and pray for their victory.

1926. 12. 11 <40>

**Summary**

This travelogue by "Yu Sŏ" recounts a two-day trip outside Peking in late November 1926 with a companion called "Sanong." The first day involved exploring the outskirts, visiting Haedyŏn, the new site for Yŏn'gyŏng University, and a Catholic monastery known for its vineyard. The second day was dedicated to visiting the Nankou Pass area, the site of a recent major battle between Feng Yuxiang's Guominjun (Northwest Army) and the invading Fengtian Army. The author describes the remarkably strong Guominjun fortifications, comparing them favorably to European Great War defenses, notes the heavy fighting's impact, evidence of the Guominjun's Christian identity, and the severe disruption and suffering caused to local villagers, particularly in Hoakch'on, who reported looting and violence by the victorious Fengtian troops, contrasting it with the perceived discipline of the defeated Guominjun. From a Korean colonial history perspective, the article is interesting as it provides a contemporary Korean viewpoint on the complex warlord conflicts in China during the Northern Expedition period. It highlights the impressive military engineering at Nankou, mentions alleged foreign intervention (supplying artillery to the Fengtian side), touches upon the differing conduct and reputation of the Chinese armies involved, and notes the presence of at least one Korean serving in the Fengtian Army, offering glimpses into Korean awareness of, and potential minor involvement in, regional power struggles.

**Named Entities**

燕京	연경	Yŏn'gyŏng
南口	남구	Namgu
柳絮	유서	Yu Sŏ
山翁	산옹	Sanong
北京	북경	Peking
西直門	서직문	Sŏjingmun
萬壽山	만수산	Mansusan
海甸	해전	Haedyŏn
中國	중국	Chungguk (China)
大洋	대양	Taeyang (Silver dollar)
金貨	금화	Kŭmhwa (Gold currency)
燕京大學	연경대학	Yŏn'gyŏng Taehak (Yenching University)
玉泉山	옥천산	Okch'ŏnsan
淸河	청하	Ch'ŏngha
紅山口	홍산구	Hongsanku
天主敎 修道院	천주교 수도원	Catholic Monastery
奉天軍	봉천군	Pongch'ŏn'gun (Fengtian Army)
露國	노국	Noguk (Russia)
白黨	백당	Paektang (White Party/White Russians)
佛蘭西	불란서	Pullansŏ (France)
漢語	한어	Hanŏ (Chinese language)
米國	미국	Miguk (USA)
칼리포니아	칼리포니아	California
昌平	창평	Ch'angp'yŏng
京綏線	경수이선	Kyŏngsuisŏn (Jing-Sui Railway)
淸華學校	청화학교	Ch'ŏnghwa Hakkyo (Tsinghua School)
沙河	사하	Saha
李某	이모	Yi Mo (Mr. Yi)
九龍口	구룡구	Kuryonggu
山海關	산해관	Sanhaegwan (Shanhai Pass)
雁門關	안문관	Ammun'gwan (Yanmen Pass)
武勝關	무승관	Musŭnggwan (Wusheng Pass)
居庸關	거용관	Kŏyonggwan (Juyong Pass)
西北軍	서북군	Sŏbuk'kun (Northwest Army)
馮玉祥軍	풍옥상군	Pong Ok-sang'gun (Feng Yuxiang's Army)
虎峪村	호욕촌	Hoakch'on
國民軍	국민군	Kungmin'gun (Nationalist Army / Guominjun)
聖經	성경	Sŏnggyŏng (Bible)
新約全書	신약전서	Sinyak Chŏnsŏ (New Testament)
基督軍	기독군	Kidok'kun (Christian Army)
歐羅巴	구라파/유럽	Orop'a (Europe)
奉聯軍	봉련군	Pongnyŏn'gun (Fengtian Allied Army)
日露戰役	일로전역	Illo Chŏnyaek (Russo-Japanese War)
旅順	여순	Yŏsun (Port Arthur / Lüshun)
于珍	우진	U Chin

**Glossary**

假量	가량	Approximately; About (Older usage/Hanja borrowing)
形便	형편	Circumstances; Situation
視察	시찰	Inspection; Observation
爲主하고	위주하고	Making something the main purpose
兼하여	겸하여	Concurrently; Also
預定하엿다	예정하였다	Planned; Scheduled (Older verb ending -엿다 instead of -했다)
잇는	있는	To be; exist (Older spelling of 있다)
업다	없다	To not be; not exist (Older spelling of 없다)
畝	묘	Mu (Chinese unit of area; approx. 667 sq m)
遷移하게	천이하게	To relocate; move
노파지엇다고	높아졌다고	Became high; rose (Older spelling/form of 높아졌다)
어더	얻어	To get; obtain (Older spelling of 얻어)
시내ㅅ가에	시냇가에	By the stream (Older spelling including 사이 시옷)
몃	몇	Several; Some (Older spelling of 몇)
일쯕이	일찍이	Early; Previously (Older spelling of 일찍이)
고로	고로	Therefore; Because of (Conjunction, from Hanja 故)
不許함으로	불허함으로	Because it was not permitted
期於코	기어코	By all means; Definitely
山坡	산파	Mountainside; Slope
裁培	재배	Cultivation
如何함	여하함	How it is; The state of
처서	쳐서	Totaling; Counting (Colloquial/older form of 쳐서)
蓄水池	축수지	Reservoir
부터잇는	붙어있는	Attached; Sticking (Older spelling of 붙어있는)
乾燥할쓰록	건조할수록	The drier it is (Older spelling/form of -ㄹ수록)
도모지	도무지	Not at all; Utterly (Older spelling of 도무지)
灌漑하는데	관개하는데	To irrigate
업다고	없다고	Does not exist (Older spelling of 없다고)
葡萄酒	포도주	Wine (Grapes wine)
뵈이며	보이며	Being visible (Older spelling of 보이며)
여프로	옆으로	To the side (Older spelling/form)
뇌어	놓여	Lying; Situated (Older spelling/form of 놓여)
끄트로는	끝으로는	At the end (Older spelling of 끝으로는)
橫臥하엿다	횡와하였다	Lay horizontally (Older verb ending)
當日로	당일로	On the same day
이튼 날	이튿날	The next day (Older form of 이튿날)
車站	차참	Station (Sino-Korean term, now usually 역)
훨신	훨씬	Much; Far (Older spelling of 훨씬)
남짓하면	남짓하면	A little over
연고다	연고다	It is the reason/cause (From Hanja 緣故)
박게	밖에	Only; Except (Older spelling of 밖에)
後防	후방	Rear (Military term)
戰壕	전호	Trench
羅列하여	나열하여	Lined up; Arranged
駐在하는데	주재하는데	Stationed
營副	영부	Battalion adjutant; Company deputy commander (Military rank)
벼슬로	벼슬로	As an official post
멋날	며칠	A few days (Likely dialectal/older form of 며칠)
土價	토가	Land price
모도	모두	All; Entirely (Older spelling of 모두)
싸핫는데	쌓았는데	Was built; piled up (Older spelling/form of 쌓았는데)
기피는	깊이는	The depth
丈	장	Zhang (Chinese unit of length, approx. 3.3m)
設備	설비	Facilities; Equipment
折去하여	절거하여	Removed; Torn down
허타지어	흩어져	Scattered (Older spelling of 흩어져)
짐작할	짐작할	To guess; estimate
電氣淘	전기?	Electric wire/netting? (Unclear Hanja 淘, likely typo for 網 or 線)
基東	기둥	Pillar; Post (Likely typo for 기둥)
鐵路軌	철로궤	Railway track
抵禦하엿다는	저어하였다는	Resisted (Older verb form/spelling of 저항하였다는?)
死傷數	사상수	Number of casualties
軍械	군계	Arms; Military equipment
缺乏	결핍	Lack; Shortage
示威格으로	시위격으로	As a show of force; demonstration
썻던	썼던	Used (Older spelling of 썼던)
刺刀	자도	Bayonet
닙을	닢을	Piece (Counter for coins, leaves - older form)
찌저진	찢어진	Torn (Older spelling of 찢어진)
彈丸	탄환	Bullet; Ammunition
각지	각지?	Shell casing? (Meaning unclear, possibly 탄피)
널리어	널려	Scattered about (Older spelling of 널려)
棄物	기물	Discarded items; Waste
防備	방비	Defense; Preparation
大戰	대전	Great War (Referring to WWI)
지지 안는다고	지지 않는다고	Is not inferior to (Older spelling of 않-)
偉大工程	위대공정	Great engineering work
嘆服하엿다고	탄복하였다고	Admired; Marveled at (Older verb ending)
相持하여	상치하여	Confronted each other; Held out against
堅固함으로	견고함으로	Because of the firmness/solidity
無數한	무수한	Countless
숨김으로	숨김으로	Because they hide/conceal
거진	거의	Almost; Nearly (Older form/spelling of 거의)
만침은	만큼은	As much as (Older spelling of 만큼은)
背後	배후	Behind the scenes; Background
精利로운	정리로운?	Precise/Sharp? (Possibly 精銳로운 'elite')
供給하여	공급하여	Supplied
畢竟에	필경에	After all; In the end
退하지	퇴하지	To retreat
바닷다고	받았다고	Received (Older spelling of 받았다고)
威脅	위협	Threat; Menace
先鋒	선봉	Vanguard; Spearhead
擁護하고	옹호하고	Protecting; Supporting
方略	방략	Strategy; Plan
發射하는	발사하는	Firing
機關銃丸	기관총환	Machine gun bullet
突衝하엿다고	돌충하였다고	Charged forward (Older verb form)
어느듯	어느덧	Before one knows it; Suddenly (Older spelling of 어느덧)
景槪	경개	Scenery; View
골작이로부터	골짜기로부터	From the valley (Older spelling of 골짜기)
吃立하여	흘립하여?	Standing tall; Towering? (Unclear Hanja/meaning)
도아준다	도와준다	Helps; Enhances (Older spelling of 도와준다)
안잣다	앉았다	Sat; Was located (Older spelling of 앉았다)
의여 잇어	놓여 있어	Situated; Placed (Likely dialectal/older form of 놓여 있어)
뵈인다	보인다	Can be seen; Overlooks (Older spelling of 보인다)
薄한	박한	Infertile; Poor (soil)
地主	지주	Landowner
풀어보매	물어보매	Asking; Inquiring (Older form of 물어보매)
包含하고	포함하고	Including
云云한다	운운한다	Says; Claims (Used for reporting speech/claims)
賤히	천히	Cheaply; Lowly
만콤한	만 한	Sized (Older spelling of 만한, e.g., 주먹만 한 - fist-sized)
닙	닢	Piece (Counter - older form)
都賣하면	도매하면	If sold wholesale
갑가는	값가는	Valuable (Older spelling of 값나가는)
절깐	절간	Temple (Colloquial/slightly older form)
居處	거처	Residence; Dwelling
단련을 바든	단련을 받은	Underwent hardship/trial (Older spelling of 받은)
묵이엇다	묵혔다	Left fallow; Uncultivated (Older spelling/form of 묵혔다)
領率한	영솔한	Led; Commanded
無辜한	무고한	Innocent
流彈	유탄	Stray bullet
退할	퇴할	To retreat
호미자루	호미자루	Hoe handle
强奪하여	강탈하여	Plundered; Looted
婦女	부녀	Women
强姦하엿다고	강간하였다고	Raped (Older verb ending)
略奪	약탈	Plunder; Looting
退敗하는	퇴패하는	Defeated; Retreating
凱旋한	개선한	Triumphant; Returning victoriously
心理	심리	Psychology; Mentality
傾向하는	경향하는	Tending towards; Leaning towards
환히	환히	Clearly
민중에게	민중에게	To the populace; masses
實際로	실제로	Actually; In reality
慘酷한	참혹한	Cruel; Brutal
軍閥	군벌	Warlord
미드랴마는	믿으랴마는	Although one might believe (Older rhetorical form)


---------------------------


잡지명	동광 제11호
발행일	1927년 03월 05일
기사제목	燕京郊外雜觀, 東洋史上에 稀有한 南口戰蹟
필자	柳絮
기사형태	기행문

燕京郊外雜觀, 東洋史上에 稀有한 南口戰蹟
						柳絮
陽曆으로 11月 下旬 어떤 날 나는 山翁을 딸아 土地 形便 視察을 爲主하고 兼하여 南口 戰蹟 구경을 하기로 하고 北京城外로 떠낫다. 첫날의 行程은 北京城에서 西으로 25里 假量 나아가서 다시 城의 北으로 돌아오기를 預定하엿다. 西直門에서 우리는 人力車를 타고 萬壽山으로 가는 자동차 길을 향하여 15里쯤 나왓다. 이곳은 海甸이라는 곳이다. 여긔는 얼마 전까지 살림하고 잇는 同胞 4,5집이 살아왓다. 지금은 한 집박게 업다. 이 한 집은 여긔서 農事하는 집이다. 農事하는 이에게 말을 들으면 海甸에 조흔 땅 1畝에(166坪)는 中國 大洋 30元 假量(지금 市街에 의하여 金貨로 36元 假量)을 주면 살쑤: 잇다고 한다. 그러나 바로 海甸 부근에는 작년에 燕京大學이 新校舍로 海甸에 遷移하게 되매 海甸의 地價는 그로 인하여 노파지엇다고 한다. 우리는 海甸이라는 小 市街地를 經過하여 당나귀를 어더 타고 8里를 西으로 더 나아가 萬壽山 녑 玉泉山 샘으로부터 내리어 오는 淸河 물줄기를 딸아 가면서 맑은 물이 내리어 오는 시내ㅅ가에 經營하는 居生地를 어더 보자는 것이다. 다시 人力車를 타고 海甸서 西北으로 10里 박 萬壽山 뒤 紅山口라는 곳에 天主敎 修道院을 구경하게 되엇다. 山翁은 몃 해 전에 이곳에 구경을 왓섯스나 나는 이번이 처음이다. 몃 날 전에 일쯕이 山翁이 또 다시 修道院 구경을 왓섯스나 이번 전쟁 時에 奉天軍의 露國＜35＞ 白黨 軍人이 該院에 침입하여 搗亂을 한 고로 문직이는 閑人의 遊覽을 不許함으로 돌아가고 말앗다. 山翁은 修道院 山坡 우에 果樹와 葡萄 裁培의 成績이 如何함을 알기 위하여 期於코 구경을 하려고 北京 城內에서 天主敎 神父의 소개를 어더가지고 왓다. 그리하여 오늘은 공걸음이 되지 안핫다. 励�頂에는 夏期에 各處 神父들이 避暑하러 오는 修道院 집 2층 100여 間의 大舍가 잇고 山下에는 今年부터 시작한 天主敎 師範學校가 잇다. 校舍는 역시 2층으로 100여 間이나 되는대 아직 峻工은 되지 못하엿다. 학생은 아직 40명 假量이라고 한다. 이 修道院의 基址는 산 우아레 다 처서 周圍 4里나 될 듯 하다. 먼저 산 우으로 올라가서 蓄水池와 葡萄田을 구경하엿다. 산 우에 만든 蓄水池는 아마 葡萄를 가조 심을 적에 물을 주노라고 만든 모양이다. 산 아레 校舍로 내려와서 修道院을 관리하는 佛蘭西 사람 主敎를 만나서 얼마동안 談話가 잇섯다. 主敎는 中國에 온지 40年이나 되는 그 中國에서 늙은 노인인데 漢語는 물론 中國人과 가티 잘 한다. 山翁은 主敎를 몃 해 전에 구경왓슬 적에 만나 본 고로 서로 面目이 잇다. 山翁은 흙이 아주 엷게 부터잇는 바위산에 바위돌을 파고 흙을 모아 노코 그 우에 葡萄를 심은 것이 잘 될까 의문이 되어 主敎에게 물엇다. 그의 말은 葡萄는 땅이 乾燥할쓰록 잘 된다 한다. 그러나 처음 葡萄를 심을 적에는 물을 주어 葡萄를 살게 만든 후 그 후에는 도모지 물을 주지 안해야 된다고 한다. 그리하여 山翁은 또 물엇다. 『米國 칼리포니아에서는 葡萄 農作할 적에는 물을 灌漑하는데 이 곳은 어찌하여 도모지 물을 주지 안는가?』 하니 主敎의 대답은 『佛國서는 葡萄 農作에 물 주는 법은 업다고 한다. 그리고 불과 100畝(1660坪)도 못 되는 葡萄받에서 今年에는 열항아리의 葡萄酒를 만들엇다고 한다. 이 修道院은 本是 경치가 그리 조흔 곳은 아니다. 그러나 산을 끼고 人工을 만히 그 우에 加하여 그래도 볼만하다. 산 우에 올라서니 아프로 멀리 北京城이 아득하게＜36＞ 뵈이며 여프로 萬壽山이 안고 뒤에는 昌平犸�들이 뇌어 前後의 大野가 벌어지엇다. 그리고 昌平들 끄트로는 또 泰山峻嶺이 橫臥하엿다. 當日로 北京에 다시 돌아왓다.
