Magazine Title	東光 제20호
Publication Date	1931년 04월 01일
Article Title	韓相龍과 同友俱樂部, 그들의 正軆는 무엇? (Han Sangnyong and the Tongu Club, What is Their True Nature?)
Author	光化門生
Article Type	소식 (News/Report)

Han Sangnyong and the Tongu Club, What is Their True Nature?
						Kwanghwamunsaeng

After Chosŏn became a colony, among the prominent figures of Chosŏn seen by the Japanese, Han Sangnyong (韓相龍) would undoubtedly be counted among the few most notable.

Having earlier entered the banking world, he gained the reputation of being the "Shibuzawa of Chosŏn," and came to be recognized by himself and others as a titan of the Chosŏn financial world. Who in today's Chosŏn could possibly view Mr. Han lightly?

When his stout body, pockmarked attractively like the nine-dot tile in mahjong, is carried in his private rickshaw through the Chongno Crossroads, the narrow streets of Chaedong, or near the former Six Ministries area, passersby surely look at him with eyes of envy and sarcasm, saying, "Ah, that must be Mr. Han Sangnyong." Mr. Han, likely observing the scene below with a dignified posture, must clearly perceive this as well.

People point to Mr. Han as a Chosŏn industrialist, a banker, or some say he failed in the banking world. Others claim that rather than calling him a banker, he is an economist who briefly set foot in the banking industry to lay the groundwork for a political career.

When he was the president of Hanil Bank (漢銀), everyone called him the foremost figure in the Chosŏn financial world. However, after he stepped down from the presidency of Hanil Bank, he was called a promoter of harmony (融和業者). Although he became the president of Chosŏn Life Insurance after leaving Hanil Bank, people do not regard him as a heavyweight in the Chosŏn industrial or financial world as they did during his time as Hanil Bank president. When he was temporarily out of office after leaving Hanil Bank, people said he was campaigning for a Provincial Governorship (道知事). Also, years ago, when it was said that an Imperially Appointed Councilor (勅任參與官) position would be established in the Government-General as compensation for abolishing the position of a Korean Director of Educational Affairs, Mr. Han was rumored to be the top candidate. It is said that when his maternal uncle, Baron Yi Yunyong (李允用男), went to Tokyo, his purpose was to receive travel expenses from Mr. Han and recommend him to the Tokyo political world for the Imperial Councilor position.

The Imperial Councilor position vanished due to opposition from the Central Council (樞府), but the position of Councilor (參議) in the Central Council (中樞院) with treatment equivalent to Imperial Appointment (勅任待遇) and an annual stipend of 1,500 won was set aside. However, whether a Provincial Governor, Imperial Councilor, or Councilor, the Imperial Appointment (勅任) rank is the same, so one could say his initial ambition was achieved.

However, it is unlikely that Mr. Han, who was once the enfant terrible of the Chosŏn financial world, would be satisfied merely with being an Imperial Appointment or an official treated as such by the Government-General. In short, his becoming a provisionally appointed Councilor with Imperial Treatment (勅待參議) is a step taken towards a future leap (?) into the political arena.

In Chosŏn, which lacks a political stage, and for Mr. Han, a Korean, what methods and tactics should he use, and in which direction should he proceed to enter politics? Although this is a question that even others besides Mr. Han cannot easily predict, looking at his usual way of conducting himself and the kind of people <73> he enjoys associating with, one can roughly guess where his objectives lie.

Mr. Han has always enjoyed associating with those close to the government (官邊側). The story of him providing 400,000 won to former Governor-General Terauchi is one example, and indeed, his attainment of the honorable (?) reputation as the "Shibuzawa of Chosŏn" was truly due to his skillful cultivation of relationships with the Japanese.

Everything Not Going As Wished

However, the times have changed in Chosŏn. After the death of Marquis Yi Wanyong (李完用候), who was his background support, his influence waned, and things did not go smoothly. Furthermore, when Hanil Bank faced a precarious crisis, the astute Mr. Han realized that he could no longer protect his position and reputation solely with the support of the aristocracy or a few influential figures close to the government. He began active socializing to gain public support, or if not support, at least to deflect the kind of criticism he had faced before.

Caught in this net were almost all the right-leaning figures referred to as Chosŏn's prominent figures (名士), including a certain Mr. X who was central to discussions in religious circles or as a future Chosŏn politician. Whether through loans, bribes, or lavish entertaining, almost all prominent figures in Chosŏn's private sector came to either support him or, even if they couldn't support him for appearance's sake, at least blunt the sharp spearhead of criticism and attack.

This is how Mr. Han, a master player skilled in the art of socializing, initially won over influential private figures—the prominent figures:

"I am a Korean. The reason non-Koreans treat me, a Korean, with respect as a heavyweight of the Chosŏn financial world is not because they truly respect me, but as a matter of policy to treat Koreans well. If you, the public opinion of Chosŏn, abandon me, the Japanese will also regard me as worthless straw. Consequently, wouldn't the heavyweight of the financial world among Koreans disappear? This would be a loss for Chosŏn. I too will repent my past mistakes, so please be lenient," he pleaded, bowing deeply (鞠躬拜禮) and almost shedding tears.

How could the prominent gentlemen, supposedly filled with patriotic love (民族愛?), not be moved and resonate with Mr. Han, who previously seemed arrogant and dismissive of Koreans, now humbling himself, bowing low, and pouring out his sorrowful feelings?

The Matsuda Colonial Minister Episode

When Colonial Minister Matsuda (松田拓相) came to Chosŏn, Mr. Han gathered Chosŏn's prominent figures in one place, invited Mr. Matsuda, held a dinner party, implicitly advertising his own national standing and extraordinary influence. He also incessantly dispatched his follower-types like Mr. X and Mr. Y to the Tokyo area to promote his existence, seeming never to have a quiet day. When those sent to Tokyo returned, he would hold report meetings, again convening the "top-tier prominent figures" for banquets.

Regarding the reason why Mr. Han is not considered a banker, one person's explanation is as follows: "To be a banker, one must be simple and frugal. But Mr. Han enjoys luxury like a diplomat. Therefore, while he might be able to become a politician, he cannot be a banker who prioritizes stability."

It is unknown how accurate this critique is, but observing his actions and seeing his failure as a banker, there seems to be much truth to it.

What is the reason Mr. Han enjoys associating with high Japanese officials or figures from various circles called Chosŏn's prominent figures? Some say it is his intention to join hands with powerful Japanese financial conglomerates (財閥) in the future to manage a large enterprise like a trust company and make a comeback in the Chosŏn financial world. However, another theory suggests he is preparing for the time when a Chosŏn autonomy movement (自治運動) arises. <74>

We do not know which side is correct. Perhaps both intentions coexist. While the executives of the Tongminhoe (同民會), who display the signboard of Japan-Korea Harmony (日鮮融和業), rally under his banner, various other promoters of harmony communicate secretly, and even fighters on the nationalist movement front who previously regarded him as an enemy receive his favors, his base grows stronger.

The Governor-General Kodama Episode

He visits the Government-General almost daily. It seems he pays respects sequentially to high officials at the section chief level and above. If someone asks what he is doing there, he apparently says he is just visiting for leisure. Visiting for leisure – it seems that all matters succeed during casual conversation, that is, amidst talk and laughter (談笑).

It is said that Mr. Han has a special close relationship with Governor-General Kodama (兒玉總監). There might be a connection through his maternal uncle Marquis Yi Wanyong and Mr. Kodama, but it is also said he likes to visit the Government-General daily due to their exceptionally close friendship. If one assumes there are people with power and those with less, the latter tend to receive the patronage of the powerful. Mr. Han likely received much patronage from Mr. Kodama. Mr. Kodama was formerly Governor-General Terauchi's right-hand man, so it is more than natural for Mr. Han, who provided funds to Mr. Terauchi, to have a special relationship with Mr. Kodama. Mr. Han, receiving his patronage both publicly and privately, in order to repay Mr. Kodama's favor, had his lieutenant, a certain Mr. X, organize an event last winter under the name of Chosŏn's knowledgeable youth (朝鮮有識靑年). The main guest was Mr. Kodama, with Mr. Han as an accompanying guest, thereby expressing the deep trust Chosŏn youth had in Mr. Kodama, while simultaneously making Mr. Kodama aware of Mr. Han's own value.

This banquet is commonly called the Elegant Gathering (雅會). The so-called knowledgeable Chosŏn youths who gathered at the Elegant Gathering took a step further and organized the Tongu Club (同友俱樂部). On January 3rd last, they appointed Han Sangnyong as Advisor (顧問). Messrs. Pak (朴某), Yi (李某), Han (韓某), Kang (姜某), Yi (李某), O (吳某), Kim (金某), etc., became executives or councilors (評議員). The organization was formed by gathering 53 individuals, including those who studied in Japan and hold positions in government offices (only 3 are high officials (高等官), the rest are lower officials (判任官)), employees of companies and banks considered pro-Japanese, public officials, and students.

The Tongu Club's Front Line

Their stated purpose is mutual friendship (相互親善). Monthly regular meetings (例會) are held at restaurants. As it has only recently been organized, its true purpose and activities are still unknown, but they say they plan to build a clubhouse (會館) in the future, so its prospects are worth watching.

Its member list has been printed. Probably several copies of this list are already circulating in Tokyo and the Government-General. Which Japanese high official seeing this list would fail to recognize the high status and reputation of Mr. Han?

It was a day during the Lunar New Year. Mr. Pak, who recently became a key subordinate (幕將) under Mr. Han, gathered many members of the Tongu Club, famous kisaeng (名妓), and famous singers (名唱) at a branch of Myŏngwŏlgwan for a New Year's party. After the banquet ended, they drove 6 or 7 automobiles to Mr. Han's residence to pay respects. They also had the kisaeng beat drums and perform a shamanistic ritual (굿) to pray for his longevity (萬壽無量) and the success of his endeavors (事業成就). (Who's next?).<75>

<73-75>

**Summary**

This 1931 article from "Tonggwang" magazine critically profiles Han Sangnyong, a prominent Korean banker and industrialist often called the "Shibuzawa of Chosŏn." The author, writing under the pen name "Kwanghwamunsaeng," questions Han's true motives, suggesting his shift from finance to politics and his cultivation of relationships with Japanese officials (like Governor-General Kodama) and Korean elites are driven by ambition rather than genuine patriotism or economic interest. The article details Han's networking efforts, including lavish entertaining and leveraging connections (like his uncle Yi Yunyong and the deceased Yi Wanyong), culminating in his role as advisor to the newly formed Tongu Club (同友俱樂部), an organization comprising educated, mostly pro-Japanese young Koreans. The author portrays Han as a skillful but opportunistic figure navigating the colonial power structure, using "harmony" (融和) as a means to consolidate influence, possibly eyeing a role in a future (limited) autonomy movement or major business ventures with Japanese backing.

For historians, this article offers a contemporary, critical perspective on a high-profile Korean collaborator or accommodationist figure during the Japanese colonial period. It sheds light on the complex social dynamics, political maneuvering, and networking strategies employed by some Korean elites to maintain status and pursue ambitions within the colonial system. The mention of specific events (Matsuda's visit, the "Elegant Gathering," the formation of the Tongu Club), figures (Han Sangnyong, Yi Wanyong, Yi Yunyong, Kodama, Terauchi), and the critical tone itself provide valuable insights into intra-Korean discourse on collaboration, the nature of colonial power, and the aspirations (or perceived opportunism) of certain segments of the Korean elite in 1931. The description of the Tongu Club's composition (Japan-educated officials, company employees, etc.) is particularly interesting for understanding the formation of pro-Japanese or accommodationist groups among the younger generation.

**Named Entities**

韓相龍	한상용	Han Sangnyong
同友俱樂部	동우구락부	Tongu Kŭrakpu (Tongu Club/Friends' Club)
朝鮮	조선	Chosŏn (Korea)
日本人	일본인	Japanese person
澁澤	渋沢	Shibuzawa (Referring to Shibuzawa Eiichi)
財界	재계	Chaegye (Financial world)
鍾路	종로	Chongno
齋洞	재동	Chaedong
六曹	육조	Yukcho (Six Ministries area)
漢銀	한은	Hanŭn (Hanil Bank / Hanseong Bank)
頭取	두취	Tudori (Bank President/Head)
朝鮮生命保險	조선생명보험	Chosŏn Saengmyŏng Pohŏm (Choson Life Insurance)
道知事	도지사	Tojisa (Provincial Governor)
總督府	총독부	Ch'ongdokpu (Government-General)
勅任參與官	칙임참여관	Ch'ŏgim Ch'amyogwan (Imperially Appointed Councilor)
李允用男	이윤용 남	Yi Yunyong Nam (Baron Yi Yunyong)
東京	동경	Tonggyŏng (Tokyo)
樞府	추부	Ch'ubu (Central Council)
中樞院	중추원	Chungch'uwŏn (Central Council)
參議	참의	Ch'amŭi (Councilor)
寺內	寺内	Terauchi (Referring to Terauchi Masatake)
李完用候	이완용 후	Yi Wanyong Hu (Marquis Yi Wanyong)
宗敎界	종교계	Chonggyogye (Religious circles)
松田拓相	송전척상	Matsuda Takushō (Matsuda Genji, Minister of Colonial Affairs)
日本	일본	Ilbon (Japan)
同民會	동민회	Tongminhoe
兒玉總監	아옥총감	Kodama Sōkan (Likely Kodama Hideo, Governor-General)
明月館	명월관	Myŏngwŏlgwan
朴某	박모	Pak Mo (A certain Mr. Pak)
李某	이모	Yi Mo (A certain Mr. Yi)
韓某	한모	Han Mo (A certain Mr. Han)
姜某	강모	Kang Mo (A certain Mr. Kang)
吳某	오모	O Mo (A certain Mr. O)
金某	김모	Kim Mo (A certain Mr. Kim)

**Glossary**

잡지명	잡지명	Magazine title
발행일	발행일	Publication date
기사제목	기사제목	Article title
필자	필자	Author/Writer
기사형태	기사형태	Article type
소식	소식	News; report
正軆	정체	True nature; identity (Older form of 정체)
殖民地	식민지	Colony
名士	명사	Prominent figure; notable person
銀行業界	은행업계	Banking industry
投身하야	투신하여	Having thrown oneself into; having entered (Older form, 하야 for 하여)
名聲	명성	Fame; reputation
전하얏으며	전하였으며	Spread; was transmitted (Older form, 하얏으며 for 하였으며)
財界	재계	Financial/business world
巨頭	거두	Titan; magnate; prominent leader
自他	자타	Oneself and others
共認	공인	Common recognition; acknowledgment by all
되엇섯으니	되었었으니	Had become (Older emphatic past form)
今日	금일	Today (More formal/older than 오늘)
뉘가	누가	Who (Dialectal/older form)
尋常히	심상히	Ordinarily; lightly
잇을가	있을까	Would there be? (Older spelling of 있을까)
痘痕	두흔	Pockmarks
자가용	자가용	Private use; privately owned (here, refers to rickshaw)
人力車	인력거	Rickshaw
담어	담아	Putting into; containing (Older spelling of 담아)
十字街	십자가	Crossroads (Older term for 사거리)
馳走	치주	Running; hurrying (here, implies moving quickly/being transported)
羡望	선망	Envy
빈정대는	빈정대는	Sarcastic; mocking
쏘는	쏘는	Shooting (here, implies sharp glances)
凜凜한	늠름한	Dignified; imposing
姿勢	자세	Posture; attitude
下方	하방	Below; lower direction
鳥瞰	조감	Bird's-eye view
看取	간취	Perceive; discern
指目	지목	Pointing out; designating
實業家	실업가	Industrialist; businessman
銀行家	은행가	Banker
실패하얏다	실패하였다	Failed (Older form, 하얏다 for 하였다)
素地	소지	Foundation; groundwork; disposition
닥기	닦기	To polish; prepare; cultivate (Older spelling of 닦기)
投足	투족	Setting foot in
經濟家	경제가	Economist
頭取	두취	President; head (esp. of a bank)
一人者	일인자	The foremost person; number one
물러나온	물러나온	Stepped down; withdrew from
融和業者	융화업자	Promoter of harmony/assimilation (Often associated with pro-Japanese collaborators)
社長	사장	Company president
觀測	관측	Observe; view; regard
閑地	한지	Leisurely position; inactive post
道知事	도지사	Provincial Governor
運動	운동	Movement; campaign
年前	연전	Years ago
學務局長	학무국장	Director of Educational Affairs
代償	대상	Compensation; price
總督府	총독부	Government-General
勅任參與官	칙임참여관	Imperially Appointed Councilor
候補者	후보자	Candidate
外叔	외숙	Maternal uncle
渡東	도동	Going to Tokyo (東 refers to Tokyo)
旅費	여비	Travel expenses
推薦	추천	Recommendation
勅參	칙참	Abbreviation for 勅任參與官 (Imperial Councilor)
樞府	추부	Central Council (Privy Council)
소멸되고	소멸되고	Disappeared; extinguished
年手當	연수당	Annual allowance/stipend
勅任待遇	칙임대우	Treatment equivalent to Imperial Appointment
中樞院	중추원	Central Council
參議	참의	Councilor
初志	초지	Initial intention; original ambition
貫徹	관철	Accomplish; achieve
風靡兒	풍미아	One who takes the world by storm; enfant terrible (lit. child swept by wind)
결단코	결단코	Decidedly; absolutely
滿足	만족	Satisfaction
苟且한	구차한	Makeshift; provisional; shabby
勅待參議	칙대참의	Councilor with Imperial Treatment (likely combines 勅任待遇 + 參議)
雄飛	웅비	Heroic leap; soaring flight
階段	계단	Step; stage; phase
政治的	정치적	Political
舞臺	무대	Stage; arena
術策	술책	Stratagem; tactics
方向	방향	Direction
測斷	측단	Measurement; prediction; judgment
容許	용허	Permission; allowance
常時	상시	Usually; ordinarily
處世術	처세술	Art of dealing with people; social skills
접촉하기	접촉하기	To contact; associate with
즐겨하는	즐겨하는	To enjoy doing; like to do
넉넉히	넉넉히	Sufficiently; amply
짐작	짐작	Guess; conjecture
본시	본시	Originally; fundamentally
官邊側	관변측	Government side; official circles
交際	교제	Association; socializing; relations
提供	제공	Provide; offer
善妙히	선묘히	Skillfully; cleverly
행함에	행함에	In doing; in carrying out
잇엇다	있었다	Was; existed (Older spelling of 있었다)
時運	시운	Fortune of the times; trend of the era
변천	변천	Change; transition
背景	배경	Background; backing
死去	사거	Death (honorific)
꺾이어	꺾이어	Being broken; declining
매사	매사	Every matter; everything
여의치	여의치	Not going as wished (from 여의하다)
累卵의 위기	누란의 위기	Imminent danger (lit. danger of stacked eggs)
怜悧한	영리한	Astute; clever
貴族層	귀족층	Aristocratic class
有力家	유력가	Influential person/family
擁護	옹호	Protection; support
보전	보전	Preservation; maintenance
자각	자각	Self-awareness; realization
民間	민간	Private sector; populace
後援	후원	Support; backing
從來	종래	Hitherto; conventionally
비난	비난	Criticism; slander
면하야	면하여	Avoiding; escaping (Older form, 하야 for 하여)
敏活	민활	Agile; nimble; active
걸린	걸린	Caught; involved
宗敎界	종교계	Religious world/circles
政客	정객	Politician (often with negative nuance)
물론	물론	Discussion; public opinion
中心	중심	Center
稱하든	칭하던	Called; referred to as (Older form, 하든 for 하던)
右傾人物	우경인물	Right-leaning figure
거위	거의	Almost; nearly (Older spelling of 거의)
貸附	대부	Loan
賂物	뇌물	Bribe
料理	요리	Cooking; handling; managing (here implies manipulation)
贊同	찬동	Approval; agreement
軆面上	체면상	For appearance's sake; out of regard for face
攻擊	공격	Attack
銳鉾	예봉	Sharp spearhead; brunt (of an attack)
느출만큼은	늦출만큼은	To the extent of slowing down/blunting (Older form?)
入堂	입당	Entering the hall; becoming proficient/a master
選手	선수	Player; expert; master
陷落	함락	Fall; capture; conquer
수단	수단	Means; method; trick
이러타	이렇다	Is like this (Older spelling of 이렇다)
期鮮人	기선인	(?) Appears to be a typo or archaic term, possibly for 朝鮮人 (Korean)
政策	정책	Policy
輿論	여론	Public opinion
저버리면	저버리면	If (they) abandon/betray
草芥	초개	Straw and mustard seeds (i.e., something worthless)
損失	손실	Loss; damage
過失	과실	Fault; error; mistake
뉘우칠	뉘우칠	Will repent
寬容	관용	Tolerance; leniency
鞠躬拜禮	국궁배례	Deep bowing and kneeling as a sign of respect/supplication
흘리다	흘리다	To shed (tears)
애원	애원	Pleading; entreaty
倣然	방연	(?) Possibly 放然 (arrogant, unrestrained) or 傲然 (arrogant)
眼中	안중	In one's eyes (i.e., in one's consideration)
屈身低頭	굴신저두	Bending the body and lowering the head; humbling oneself
哀情	애정	Sorrowful feelings; pathos
토로	토로	Expressing; revealing (one's feelings)
民族愛	민족애	Love for one's people/nation; patriotism
다분히	다분히	Greatly; considerably
諸氏	제씨	Gentlemen; Messrs.
感服	감복	Deep admiration; being deeply impressed
共鳴	공명	Resonance; sympathy
拓相	척상	Minister of Colonial Affairs (拓務大臣)
一營	일영	One camp; one place
召集	소집	Convocation; summons
招待	초대	Invitation
晩餐會	만찬회	Dinner party
開催	개최	Holding (an event)
隱然히	은연히	Implicitly; secretly
民族的	민족적	National; ethnic
地位	지위	Status; position
세력	세력	Influence; power
비범함	비범함	Extraordinariness
광고	광고	Advertisement; publicizing
卒徒格	졸도격	Follower-type; henchman status
不絶히	부절히	Incessantly; constantly
派送	파송	Dispatch; send
表揚	표양	Praising; extolling; promoting
寧日	영일	Quiet day; peaceful day
報告	보고	Report
演說會	연설회	Speech meeting; lecture meeting
張宴	장연	Holding a banquet
一流	일류	First-rate; top-tier
批判	비판	Criticism
적중	적중	Hitting the mark; being accurate
豪華	호화	Luxury; splendor
견실	견실	Steadfastness; solidity; stability
위주	위주	Putting first; prioritizing
부합	부합	Accordance; correspondence
高官	고관	High official
追從	추종	Following; associating with
財閥	재벌	Financial conglomerate; chaebol
악수	악수	Handshake; cooperation
信托會社	신탁회사	Trust company
經營	경영	Management; operation
捲上重來	권상중래	Staging a comeback (lit. roll up and come again)
心思	심사	Mind; intention; thought
自治運動	자치운동	Autonomy movement
準備	준비	Preparation
意識	의식	Consciousness; awareness
병존	병존	Coexistence
日鮮融和業	일선융화업	Japan-Korea Harmony business/promotion
