잡지명 동광 제23호
발행일 1931년 07월 05일
기사제목 讀書室 (Reading Room)
기사형태 문예평론 (Literary Criticism)

Reading Room (讀書室)

The Taewŏn'gun and His Era (History of Modern Chosŏn) (大院君과 그 時代(朝鮮最近世史))
By Yi Sŏn-gŭn (李瑄根), Published by Ryusŏngsa (流星社), 70 Chŏn

Mr. Yi Sŏn-gŭn's study of the Taewŏn'gun has been published as a monograph. Titled 'History of Modern Chosŏn' (朝鮮最近世史), this book primarily discusses the figure and politics of the Taewŏn'gun, focusing on the approximately 10-year period from 1865 AD, the beginning of the Taewŏn'gun's rule (the author explains in the book why he uses the term 'rule' (執政) instead of 'regency' (攝政)), until his downfall.

"The year 1864 belongs to the latter half of the 19th century, a time when all nations East and West were eventful. It was this year that Emperor Kojong succeeded King Ch'ŏlchong to the throne, and the Taewŏn'gun assumed the position of rule (執政). It was a time when China had gone through the Opium War and the war with Britain and France, and Hong Xiuquan's Taiping Heavenly Kingdom (木平天國 - likely 太平天國) was coming to an end. In Japan, diplomatic relations with Europe and America were opening, while British, French, and American fleets were jointly attacking the Chōshū domain (長州落). The Taewŏn'gun, with his firm and brilliant nature, relying on the authority of the Queen Dowager, took charge of a political situation plagued by accumulated ills of generations. This marks the opening of Chosŏn's modern history and a turning point in its five-thousand-year history of rise and fall. He sought to curb the influence of powerful relatives, suppress the insolence of local strongmen and stubborn Confucian scholars, rectify finances, reform the military, and thereby enhance national prestige. He was a rare hero of modern times. The ten years of his rule were a period of overlapping turbulence and shifting storms, and the political situation in East Asia was also incubating extraordinary changes for the future. If only the invasion by the French fleet in the third year of Kojong's reign had made Chosŏn's leadership and populace clearly realize the dramatic changes in the world situation and seize the opportunity for opening the country, advancing forward, and achieving independence and self-strengthening from early on, Chosŏn today would be in an entirely different position. However, this was not possible, and the stubborn policy of seclusion and rejecting foreigners (鎖國擁夷) ultimately harmed the nation. Alas, it was a malady ingrained from over 100 years of blindness; how could one expect a sudden great turnaround?" Such is the judgment of Mr. An Chae-hong (安在鴻), who wrote the preface.

The author seems to share the regret that the Taewŏn'gun's foreign policy was thus retrograde. However, we should not view the Taewŏn'gun merely as a stubborn isolationist. His decisiveness merits evaluation as the first great statesman of the Yi Dynasty in 100 years. Thus, it is all the more lamentable that such a major error as the anti-foreign policy emerged from the hands of such a figure.

The author divides the merits and demerits of the Taewŏn'gun's politics, listing control over maternal relatives, recruitment of talented individuals, breaking down factionalism, abolishing *sŏwŏn* (private academies), financial reform, improving customs, and attention to national defense as merits. He lists the massacre of Christians, isolationism, excessive trust in corrupt officials, and excessive construction projects as demerits.

Readers holding this volume will inevitably sigh, just like the author. One cannot help but lament: if only this singular statesman, born in such a crucial period of peninsular history, had been slightly more aware of the times and understood politics a bit better; failing that, if only the battle at Kanghwa Island (江華島) had, even by chance, led to the abandonment of isolationism...

That the author has provided the Chosŏn reading public with this account of such an important period, based on extensive research (考證) and written in clear prose, is a significant recent achievement. Lately, research on Chosŏn history shows a growing trend, but many lean towards medieval or ancient history, with few tackling the modern and recent modern periods. However, we have greater interest in the latter and feel a more urgent need to understand it. We hope that the author, having shown us the prologue to recent modern history, will not rest his pen but continue to apply his sharp analysis to the entirety of what followed.

Silver Disaster (The Past and Future of Silver Prices) (銀禍(銀價의 과거와 장래))
By Sŏ Ch'un (徐椿), Published by Yujŏngho (裕政號), 1 Wŏn

Over the past year, the world price of silver has plummeted continuously. At the silver exchange in Andonghyŏn (安東縣), Korean customers speculating on silver's fall have suddenly become rich overnight. And within Chosŏn, the prices of silver items have dropped significantly. This was probably the full extent of the impact of the silver price collapse felt by Koreans. Beyond that, seeing occasional reports in newspaper economy sections about the London silver bullion price plummeting or rebounding likely didn't attract much <94> great interest.

Consequently, Mr. Sŏ Ch'un's debut publication, "The Past and Future of Silver Prices" (銀價의 과거와 장래), seems like a book that, apart from a few specific individuals, most people would not think of buying.

Due to the fall of silver prices from their wartime high to only one-third or one-fourth of that value, there are places like China where the general populace faces a drastic decline in purchasing power, leading to discussions about the people's livelihood. However, for Koreans maintaining their lives under the gold standard currency system, this is also a fire across the river. There were also capitalists in Japan, Britain, the US, etc., who knew that the decline in China's purchasing power would lead to sluggish trade. But Koreans, who have comfortably left trade in others' hands throughout their lives, naturally feel no pain from this either.

Yet, here a most peculiar thing has happened. Our author, Mr. Sŏ Ch'un, is one of the few dedicated scholars (篤學者) we have. It would likely not be an exaggeration to say that his expertise (蘊蓄) in economics could contend for the top spot in contemporary Chosŏn. Furthermore, he has written many articles from his professional standpoint, demonstrating accurate understanding (正鵠) and fervent desire for the people's relief (濟民) regarding various issues closely related to the lives of Koreans. However, while such urgently needed writings fail to find opportunities for publication, this work on silver prices, which is seen as unlikely to hold much great interest for the general Korean populace's welfare, is the first to be born.

This strange turn of events (怪變) can, of course, be easily explained: this publication supposedly aims to satisfy the specific demands of individuals involved in silver speculation. But why is it that a book catering to the demands of a few specific individuals gets published, while research on pressing economic issues concerning the welfare and livelihood (利害休戚) of the entire Chosŏn populace fails to find an opportunity for publication? Here, the strangeness remains.

Be that as it may, this book scientifically investigates the silver issue. It briefly surveys the history of silver over the past 300 years and details the causes and effects of the current disastrous fall. This is no ordinary lofty discussion (高談峻論), but a struggle with numbers and historical facts (史實). Such a concise description of the silver problem is said to be rare even among works written in Japanese.

Recently, the collapse of silver prices has come to be regarded as one cause of the global depression. Consequently, the International Chamber of Commerce has begun to consider the silver issue seriously, and opinions have even arisen calling for an international conference on silver price countermeasures. Those who wish to understand the origins of the trouble (말썽) surrounding this troublesome (말썽 많은) silver should consult this work by Mr. Sŏ Ch'un.

Two Brief Reviews (短評二則)

A book with the long title "Talks on Everyday Common Sense, Popular Law, and Economics" (日用常識通俗法律經濟講話) has been released. The author is Mr. Yi Ch'an-hŭi (李贊熙), who holds the titles of Bachelor of Laws and Bachelor of Economics. The content consists of simple and clear explanations of various sections of current law in a question-and-answer format, which, as the title suggests, should be known as everyday common sense. It even includes an "Essential Forms for Daily Use Appendix" (日用書式屈出要覽) for convenient reference. (Published by Chajosa (自助社), Kirim-ri (箕林里), P'yŏngyang (平壞), 95 Chŏn)

"The Plight of Koreans in Manchuria and Its Solution" (在滿朝鮮人의 窮狀과 그 解決策) (in Japanese). We do not know who Mr. Kim Sam-min (金三民), the author of this recently received book, is. Seeing that this book is written in Japanese, it seems undoubtedly aimed at appealing to Japanese public opinion regarding the problems of Koreans in Manchuria (滿洲). Therefore, regarding its sourcing and conclusions, the reader has no choice but to employ sharp, independent judgment. However, in providing abundant material on the economic situation of our compatriots in Manchuria, it can offer much reference material for further digestion. Also helpful for reference is the relatively detailed collection of observations from the Japanese side regarding the causes of the Manchurian Koreans' plight (** [苦境? - hardship]), as well as their countermeasures.
(Published by Sindaeryuksa (新大陸社), Sibmunbang (十問房), Pongch'ŏn (奉天), 1 Wŏn) <95>

**Summary**

This "Reading Room" section from the July 1931 issue of *Tonggwang* reviews four books. The main focus is on Yi Sŏn-gŭn's historical study of the Taewŏn'gun, praised for its research but lamenting the Taewŏn'gun's isolationist policy as a missed opportunity for Korea. It then discusses Sŏ Ch'un's economic analysis of falling silver prices, noting the irony that such a specialized topic found a publisher while works on broader Korean economic issues struggled, hinting at niche market demands (speculators) possibly outweighing general public interest or facing fewer publishing hurdles. Two shorter reviews cover a practical guide to law and economics by Yi Ch'an-hŭi and a Japanese-language book by Kim Sam-min on the difficulties faced by Koreans in Manchuria, urging reader caution due to its likely purpose of influencing Japanese opinion but acknowledging its value as source material.

From a historical perspective, the article is revealing about the intellectual climate of colonial Korea. It highlights the ongoing debate about the Taewŏn'gun's legacy, the focus on recent history deemed relevant to the present, and the explicit frustration with the constraints on publishing critical works addressing the immediate socio-economic concerns of the Korean populace under Japanese rule. The mention of the book on Koreans in Manchuria, written in Japanese to appeal to Japanese audiences, underscores the complex political and social dynamics involving the diaspora and colonial authorities. Historians might find the commentary on publishing difficulties, the specific historical interpretations (especially regarding the Taewŏn'gun), and the engagement with contemporary economic issues like the silver crash particularly interesting.

**Named Entities**

Original Form	Hangul/Kana	English Translation or Romanization
大院君	대원군	Taewŏn'gun
朝鮮	조선	Chosŏn
李瑄根	이선근	Yi Sŏn-gŭn
流星社	유성사	Ryusŏngsa
高宗帝	고종제	Emperor Kojong
大院王	대원왕	Taewŏnwang (referring to Taewŏn'gun)
中國	중국	China
阿片戰役	아편전역	Opium War
英佛	영불	Britain and France
洪秀全	홍수전	Hong Xiuquan
木平天國	목평천국	Mokp'yŏng Ch'ŏn'guk (Likely Taiping Heavenly Kingdom)
日本	일본	Japan (Nihon)
歐米	구미	Europe and America
長州落	장주락	Chōshū Domain/Forces (Chōshūbaku)
佛艦隊	불함대	French fleet
安在鴻	안재홍	An Chae-hong
李朝	이조	Yi Dynasty
江華島	강화도	Kanghwa Island
銀禍	은화	Ŭnhwa (Title: Silver Disaster)
徐椿	서춘	Sŏ Ch'un
裕政號	유정호	Yujŏngho (Publisher)
安東縣	안동현	Andonghyŏn (Andong County/Prefecture)
倫敦	윤돈	London (Rondon)
日英米	일영미	Japan, Britain, USA (Nichi-Ei-Bei)
李贊熙	이찬희	Yi Ch'an-hŭi
平壞	평양	P'yŏngyang
箕林里	기림리	Kirim-ri (Place in P'yŏngyang)
自助社	자조사	Chajosa (Publisher)
在滿朝鮮人	재만조선인	Koreans in Manchuria
金三民	김삼민	Kim Sam-min
滿洲	만주	Manchuria (Manshū)
日本輿論	일본여론	Japanese public opinion
奉天	봉천	Pongch'ŏn (Fengtian/Mukden)
十問房	십문방	Sibmunbang (Place/Publisher?)
新大陸社	신대륙사	Sindaeryuksa (New Continent Company/Publisher)

**Glossary**

Original Word	Standard Hangul	English Translation/Explanation
讀書室	독서실	Reading Room (Section Title)
最近世史	최근세사	History of the recent modern period
執政	집정	Rule, administration (used instead of regency for Taewŏn'gun)
攝政	섭정	Regency
終焉	종언	End, demise
修交	수교	Diplomatic relations
剛果英敏	강과영민	Firm, decisive, brilliant, and astute
累世積弊	누세적폐	Accumulated evils/problems of generations
勳戚	훈척	Meritorious subjects and royal relatives by marriage
跋扈	발호	Influence, power, dominance (often negative connotation)
土豪頑儒	토호완유	Local strongmen and stubborn Confucian scholars
放肆	방사	Insolence, unruliness
整正	정정	Rectify, correct, put in order
革新	혁신	Reform, innovation
國威	국위	National prestige
宣揚	선양	Enhance, promote, proclaim
罕出	한출	Rarely appearing, uncommon
英傑	영걸	Hero, outstanding figure
波爛重疊	파란중첩	Overlapping waves and billows (i.e., full of turbulence)
風雲轉變	풍운전변	Shifting winds and clouds (i.e., rapidly changing situation)
胚胎	배태	Embryo, conceive, incubate
際會	제회	Occasion, opportune moment
來侵	내침	Invasion
世局	세국	World situation
激變	격변	Drastic change, upheaval
開國進取	개국진취	Opening the country and advancing forward
特立自强	특립자강	Independence and self-strengthening
固陋	고루	Stubborn, narrow-minded, conservative
鎖國擁夷	쇄국양이	Policy of closing the country and rejecting barbarians (foreigners)
鳴呼	오호	Alas! (Exclamation of sorrow)
骨盲	골맹	Deep-seated blindness/ignorance (lit. bone-blind)
病弊	병폐	Malady, evil practice, vice
倉卒	창졸	Sudden, hasty
大廻轉	대회전	Great turnaround, major shift
頑冥	완명	Stubborn, obstinate
排夷政策	배이정책	Anti-foreign policy
一大錯誤	일대착오	A major mistake/error
恨嘆	한탄	Lament, deplore
功過	공과	Merits and demerits
黨閥打破	당벌타파	Breaking down factions/cliques
書院撤廢	서원철폐	Abolition of *sŏwŏn* (private Confucian academies)
奸吏過信	간리과신	Excessive trust in corrupt officials
役事過大	역사과대	Excessive construction projects/public works
不知中	부지중	Unknowingly, unconsciously
時勢	시세	The trend of the times, current situation
考證	고증	Research based on historical evidence
明快	명쾌	Clear, lucid
漸盛	점성	Gradually flourishing/increasing
傾向	경향	Trend, tendency
中古	중고	Middle Ages, medieval period
上古史	상고사	Ancient history
緊要	긴요	Urgent, essential
序幕	서막	Prologue, beginning
筆	필	Brush, pen (metaphor for writing)
解剖	해부	Dissection, analysis
付托	부탁	Entrust, commit
銀價	은가	Silver price
暴落	폭락	Sharp fall, crash, plummet
取引所	거래소	Exchange (market)
投機賣	투기매	Speculative selling
卒富	졸부	Newly rich, upstart
蔟生	족생	Sprout up, emerge in clusters
銀物	은물	Silver items/goods
價格	가격	Price
倫敦銀塊	윤돈은괴	London silver bullion
反撥	반발	Rebound (in price)
處女出版	처녀출판	Debut publication, first publication
購買力	구매력	Purchasing power
減退	감퇴	Decline, decrease
當面	당면	Face, confront
金本位貨制	금본위화제	Gold standard currency system
對岸의 火災	대안의 화재	Fire on the opposite bank (i.e., someone else's problem)
不振	부진	Slump, stagnation, sluggishness
招	초	Invite, cause, lead to
生平	생평	Throughout one's life
痛痒	통양	Pain and itching (i.e., personal concern or feeling)
怪異	괴이	Strange, peculiar, bizarre
篤學者	독학자	Dedicated scholar
蘊蓄	온축	Accumulated knowledge, expertise
第一席	제일석	First seat, top position
爭	쟁	Contend, compete
妄發	망발	Rash statement, thoughtless remark
專門的	전문적	Specialized, professional
見地	견지	Standpoint, viewpoint
正鵠	정곡	Bullseye, the exact point/understanding
濟民	제민	Relief of the people, aiding the populace
熱	열	Fever, passion, zeal
當面	당면	Pressing, immediate
必有	필유	Necessary, essential
刊行	간행	Publication
怪變	괴변	Strange event, unusual occurrence
利害休戚	이해휴척	Interests, welfare, joys and sorrows
討究	토구	Investigation, thorough examination
慘落	참락	Disastrous fall/decline
詳述	상술	Detailed explanation
尋常一般	심상일반	Ordinary, common
高談峻論	고담준론	Lofty talk and severe arguments (often implying impracticality)
數字	수자	Numbers, figures
史實	사실	Historical fact
集約的	집약적	Concise, intensive
恐慌	공황	(Economic) crisis, panic, depression
國際商業會議所	국제상업회의소	International Chamber of Commerce
對策	대책	Countermeasure, plan
말성	말썽	Trouble, problem, issue (Appears as 曰成 in text, likely typo)
由來	유래	Origin, history
短評	단평	Brief review/commentary
日用常識	일용상식	Everyday common sense
通俗	통속	Popular, common
亘	긍	Span, extend across (modern form 걸쳐)
簡易平明	간이평명	Simple and clear
書式	서식	Prescribed form, format (for documents)
要覽	요람	Handbook, manual, compendium
窮狀	궁상	Plight, destitute situation
解決策	해결책	Solution
寄贈	기증	Donation (of books, etc.)
取材力	취재력	Ability to gather material/data
銳敏	예민	Sharp, keen, acute
同胞	동포	Compatriots
現況	현황	Current situation
豊富	풍부	Abundant, plentiful
再消化用	재소화용	For re-digestion (i.e., further processing or use)
**	**	(Missing word in original, likely 苦境 - hardship/plight)


---------------------------


잡지명	동광 제23호
발행일	1931년 07월 05일
기사제목	讀書室
기사형태	문예평론

讀書室
大院君과 그 時代(朝鮮最近世史)
李瑄根 著-, 流星社 發行 70錢
李瑄根氏의 大院君硏究가 단행본으로 출판되엇다. 『朝鮮最近世史』라고 命名되어 출세한 이 책은 西曆 1865년 즉 大院君 執政(저자는 攝政이란 말을 피하고 執政이란 용어를 사용한 이유를 이 책에 썻다.)으로부터 약 10년간 그의 몰락까지를 一期로 잡아 주로 大院君의 인물과 정치를 논한 것이 이 책의 내용이다.
