**Magazine Title:** 동광 제28호
**Publication Date:** 1931년 12월 01일
**Article Title:** 一九三一年의 總決算, 三一年의 朝鮮樂團回顧 (1931's Final Account, A Look Back at the Korean Music Scene in '31)
**Author:** 洪鍾仁 (Hong Chong-in)
**Article Type:** 문예평론 (Literary and Arts Criticism)

**1931's Final Account, A Look Back at the Korean Music Scene in '31**
						Hong Chong-in

1. Introduction, Where the Problem Lies

It is very awkward to take up my pen under the title "One Year in the Music Scene." It has likely long been settled by all the social realities of today's Korea (朝鮮) and the direction of all related movements that musical art alone cannot maintain the excessively biased, sleepwalking attitude of the conventional artistic life. Must we continue indefinitely forcing the masses to appreciate only the songs of anguish and sentiment performed by musicians elegantly dressed in swallow-tailed coats or silk? And shall we forever abandon the masses amidst the jazz and popular songs flooding the streets, compelling servile submission and sensationalism? Although these issues have been much discussed in advanced societies, since many problems pertain to unique expressive techniques, I cannot present concrete solutions. Nevertheless, one cannot help but deeply recognize the need for the rise of "New Music" (新興音樂). Consequently, seeing that today's concerts are nothing more than a night's entertainment, like an after-dinner stroll for the leisurely upper class (有閑階級), we argue that musical art alone cannot be recognized as existing under extraterritoriality (治外法權), separate from society. We also become unable to avoid detesting and rejecting jazz-like popular songs. However, the development of New Music is not yet substantial enough to rival existing music. Moreover, here there is neither the opportunity nor the institution to absorb it, and demanding this from our technically extremely poor music scene would be far too unreasonable.

In the end, it would be appropriate to present the problem simply by stating that we can only hope for sound technical development in our music scene for the most part. Here, I must unavoidably sidestep the crucial issue of consciousness in musical art and sketch only the technical aspects and the activities of musicians within that scope—this is the explanation for the word "awkward" at the beginning of this text. (And, given the limited space, I intend to write briefly on only a few matters.)

2. An Inactive Year

The "fans" of Korean concerts have also become weary over the past two or three years. That is, the focus of concert popularity is becoming dimmer by the day. Looking through the 17 or 18 concert programs held in Seoul (서울) over the past year (up to October), combining domestic and foreign performers, there is almost nothing among our concerts that leaves a distinct impression. Among foreign visitors, last spring came Mr. Kŏhansŭk'i (코한스키) (pianist) and Mr. P'ollak (폴락) (violinist), foreign instructors from the Tokyo (東京) Music School. Chil Marŭswessŭ (질, 마르쉑쓰) came twice, in spring and autumn, and Ms. Pelt'ŭramelli Nŭngja (벨트라멜리, 能子) (soprano) visited <23> in early autumn. While these visits provided no small, albeit partial, stimulus to our desolate music scene, looking back at our own scene, it is mostly the same familiar faces appearing, and finding no particular development in them either, it is true that the general audience (聽衆) eagerly awaits the emergence of new talent and the return of masters (though one wonders how many Korean musicians are actually abroad). Musicians might ask if this isn't an order based on an overly vulgar, audience-centric standard of value, but generally, there wouldn't be great disagreement with this. In a situation where individuals mostly show little significant development, the fact that familiar figures in the music scene, Mr. Hong Nan-p'a (洪蘭坡) and also Ms. Ko Pong-gyŏng (高鳳京) and Ms. Cho Ŭn-gyŏng (曹恩卿), have departed for study abroad (外國 留學) is welcome news for them and also something akin to a refreshing tonic for the music scene (樂壇的).

Overall, though it's regrettable to say, viewing it individually or collectively, the quality and quantity of concerts, judged by the traces of activity, were uniformly less lively than expected. It's hard to count effective results.

3. Centered Around the Musicians' Association

However, one noteworthy event in the music scene (樂壇的) in 1931 was the formation of the Musicians' Association (音樂家協會). Looking at the qualifications for membership, the scope of the organization, and its purpose-consciousness (目的 意識的) issues, there are various contradictions in its structure (機構). If viewed generously as an ordinary friendly gathering (友誼的 會合) aimed at technical research, practice presentations, and cooperation among Korean musicians still in their technical training period, that might be acceptable. However, as long as it is merely a liberalistic aggregation, one can assert with certainty now that it carries the fate of impending collapse (崩解) for various reasons. In any case, in the current immature music scene, such an organization, like the writers' Literary Arts Association (文藝家協會) years ago, is an entity with the potential to emerge processually. And it's not without some expectation for its activities to a certain degree. The association's activities include biannual concerts in spring and autumn. The first concert was held grandly at the Public Hall (公會堂) last spring on May 28th, but the second one, scheduled for this autumn, seems not even planned yet, which is disappointing. For an association like this, which has considerable potential to set the standard for the music scene to some extent, failing to hold regular concerts would rightly lead to doubts about their capacity for activity. Thus, I deeply hope they faithfully carry out at least their regular projects.

Furthermore, considering the Association's concerts as comprehensive events, it would be good if individual members also held solo recitals or concerts (獨奏會). Even if not gathering a large public audience, presenting the results of their usual studies to a group of enthusiasts at least once a year would be a good way to show the traces of their musical efforts.
[Image: Hyŏn Che-myŏng]
That Mr. Ch'ae Tong-sŏn (蔡東鮮) held two solo recitals after returning to Korea can be called the result (所致) of conscientious effort as an artist (藝術家). I thought there might be another one this autumn, but there's no news yet. Besides him, it seems right for individuals like Ch'oe Ho-yŏng (崔虎永), An Ki-yŏng (安基永), Hyŏn Che-myŏng (玄濟明), Kim Wŏn-bok (金元福), Hong Sŏng-yu (洪性裕), whom the world holds expectations for, to hold presentation concerts about once a year. Of course, there might be various busy circumstances, but we desperately hope for such activity. <24>
[Image: An Ki-yŏng]
Next, among the grand concerts centered around Association members were the farewell concerts for Mr. Hong Nan-p'a and Ms. Ko Pong-gyŏng.

4. Ewha's Stagnation and Others

A force that could hold a central position in our music scene, possessing the popularity and capability for such activity, is the Music Department (音樂科) of Ewha Womans College (梨花專門). Including the one-year preparatory course, the four-year Music Department is practically an independent music school. Whether Ewha's Music Department, as a current educational institution for women in Korea, is based on how much social demand (社會的 要求) is a separate issue. Given its already not insignificant form, there should be much more room for activity, both musically and socially, from the school authorities and the students themselves. For several years, they have paid attention to arranging (編曲) Korean music, published a collection of choral pieces (合唱曲集) this summer, and based on that, held touring choir concerts in several locations last winter—though only along the Kyŏngŭi Line—which was a very meaningful project. However, shouldn't we expect more, such as the enrichment of research and investigation institutions (調査機關) and their presentations? As a small example, the autumn concert, remembered as an annual event, has been missing for two years (it seems unlikely this year too), making the desolation of the music scene felt even more keenly. In some respects, the activities of the Yonhui College (延禧專門) Music Department are more noteworthy. Their annual autumn concerts and regional tours show consistent activity deserving considerable praise. What drew particular attention at this autumn's concert was that, amidst the overall improvement in concert quality, the progress in orchestral music (管絃樂) allowed one to glimpse the traces of Mr. Hyŏn Che-myŏng's constant painstaking efforts.
Also, the summer music workshop (夏期 音樂講習) of the same school's music department, though short, was a good initiative. While the faculty at Ewha should show more enthusiasm, perhaps the students too should actively step forward and shed their existence within the greenhouse.

5. Two Publications to Celebrate

Amidst the general inactivity, there were two publications that are greatly to be celebrated (慶賀) by our music world as well as the literary scene. One is the *Korean Folk Song Choral Collection* (朝鮮民謠合唱曲集) published by the Ewha Womans College Music Department, and the other is *An Ki-yŏng's Compositions, Second Collection* (安基永作曲樂 第二輯) published by the Sŏnguhoe (聲友會).
Folk songs (民謠) are the origin (起源) of music. However, while folk songs exist musically as songs passed down orally, it is often difficult to discuss their musical value based solely on that transmission. Only when their melodies and rhythms are properly arranged will their musical value truly shine. Our folk songs also possess unique traditional (傳統的) local color (地方色), rich with beautiful sentiment (情緖). But if left unattended indefinitely, they will decay into worthlessness (無價値) and decline (衰頹). Here, transcribing our fading folk songs into musical scores (曲譜化), arranging them as choral pieces suitable for widespread singing, is a great harvest (收獲) for the music world. (There have been previous publications of our folk songs transcribed, but this is seen as a more complete work. I have more to say about these folk songs, but will defer it to a later date.)
*An Ki-yŏng's Compositions* (安基永作曲集) already has a first collection published, many pieces from which are widely sung. This collection consists entirely of compositions set to poems by renowned poets (詩人) from our literary circle, adding new sentiment to our words, which possess our rhythm, having passed through the hearts (胸襟) of our poets. <25> It is a precious gift to our populace (民衆) hungry for new songs. Mr. An's musical talent (才質) is widely known as a singer, but as a composer (作曲家), he is the foremost figure in the desolate music scene. His skillful craftsmanship is evident throughout, lightly, mysteriously, and greatly stirring our heartstrings (心琴). Holding a simple composition recital (作曲發表會) at the end of August, centered around the writers whose works were set to music, was also a first in our music scene and deserves to be recorded for posterity.

6. Measures to Consider for Revitalizing the Music Scene

Looking at the stagnating (沈滯) music scene, one cannot help but count that several promising individuals have remained too silent, and even when active, their contributions were too meager. Violinist Mr. Hong Sŏng-yu (洪性裕) was reportedly unwell, but it was quite disappointing that he showed us nothing this year. His wife, Ms. Kim Wŏn-bok (金元福), is a pianist of outstanding skill, counted as one of the best in our music scene, yet as an audience member, I am not without dissatisfaction that we haven't heard her more closely. Also, alto Ms. Pak Kyŏng-hŭi (朴慶姬) and soprano Ms. Ch'oe Yŏng-sun (崔永順) seem to be distancing themselves from the music scene, making one feel the desolation. And it is truly a pity to leave the passion and extraordinary talent (才質) of the young violinist Mr. An Pyŏng-so (安柄玿) buried in his unfortunate circumstances. Furthermore, the sluggishness of orchestral groups (管絃樂隊) like the Chungang Ag'uhoe (中央樂友會), the inactivity of choirs like Chungang Ag'u and Sŏnguhoe (聲友會)—the more I count, the more I tally materials of stagnation rather than development, making even me, the writer of this piece, feel displeasure (不愉快). The causes of the music scene's slump (不振) are surely not just one or two. However, if I were allowed to suggest countermeasures (打開策) for revitalizing the scene, considered alongside the musicians, although strategies would differ depending on standpoint, I would like to mention a few things: First, hold frequent concerts (even going to the provinces), keeping admission fees as low (低廉) as possible to shorten the distance between concerts and the masses, thereby achieving the effect of music while also increasing revenue (收入). By doing so, the musicians themselves would accumulate constant practice and research, not losing their passion.

Finally, I wish to adorn the end of my clumsy writing with the story of a newly discovered singer this year, soprano Ms. Kim Hyŏn-sun (金顯順) of the Ewha Music Department. Her voice, clear and beautiful like the autumn sky, and her distinct pronunciation, amply allow us to trust in her future great success from now on. Even now, recommending her as a good singer would bring no shame, but it seems more appropriate to treat her as a student of music and look forward to her future, as she possesses the potential for further development through training.
[Image: Kim Hyŏn-sun]
I lay down my pen (擱筆), praying for the musicians' diligent efforts (奮鬪) next year (明年). - 1931. 11. 9 - <26>

**Summary**

The author, Hong Chong-in, critiques the Korean music scene of 1931, lamenting its general inactivity and lack of progress. He notes the limited impact of concerts, the departure of established musicians for study abroad, and the stagnation of key institutions like Ewha Womans College's Music Department, contrasting it with Yonhui College's efforts. While welcoming the formation of the Musicians' Association and praising publications like the Ewha folk song collection and An Ki-yŏng's compositions, Hong urges musicians to be more active, hold more accessible concerts, and develop technically. He criticizes the elitist nature of classical concerts and the prevalence of "decadent" popular music, implicitly calling for a "New Music" more connected to Korean social reality, though acknowledging the current technical limitations. The article is interesting to historians as it reflects the cultural debates and realities of colonial Korea: the tension between Western high art and popular/traditional forms, the struggle for cultural identity and relevance under Japanese rule, the role of emerging educational institutions, and the economic/social constraints faced by artists. The call for "New Music" hints at nationalist or socially conscious artistic movements common in colonized societies.

**Named Entities**

洪鍾仁	홍종인	Hong Chong-in
朝鮮	조선	Chosŏn
코한스키	코한스키	Kŏhansŭk'i
폴락	폴락	P'ollak
東京	동경	Tonggyŏng
질, 마르쉑쓰	질, 마르쉑쓰	Chil Marŭswessŭ
벨트라멜리, 能子	벨트라멜리, 능자	Pelt'ŭramelli Nŭngja
서울	서울	Sŏul
洪蘭坡	홍난파	Hong Nan-p'a
高鳳京	고봉경	Ko Pong-gyŏng
曹恩卿	조은경	Cho Ŭn-gyŏng
音樂家協會	음악가협회	Ŭmakka Hyŏphoe (Musicians' Association)
公會堂	공회당	Konghoedang (Public Hall)
蔡東鮮	채동선	Ch'ae Tong-sŏn
崔虎永	최호영	Ch'oe Ho-yŏng
安基永	안기영	An Ki-yŏng
玄濟明	현제명	Hyŏn Che-myŏng
金元福	김원복	Kim Wŏn-bok
洪性裕	홍성유	Hong Sŏng-yu
梨花專門	이화전문	Ihwa Chŏnmun (Ewha Womans College)
梨專	이전	Ijŏn (Abbreviation for Ewha Womans College)
延禧專門	연희전문	Yŏnhŭi Chŏnmun (Yonhui College)
聲友會	성우회	Sŏnguhoe
朴慶姬	박경희	Pak Kyŏng-hŭi
崔永順	최영순	Ch'oe Yŏng-sun
安柄玿	안병소	An Pyŏng-so
中央樂友會	중앙악우회	Chungang Ag'uhoe
金顯順	김현순	Kim Hyŏn-sun

**Glossary**

樂壇	악단	Music scene, musical world
總決算	총결산	Final accounts, summing up
回顧	회고	Recollection, looking back
文藝評論	문예평론	Literary and arts criticism
藝術的 人生的	예술적 인생적	Artistic life-related (phrase construction typical of the era)
넘어나	너무나	Excessively, too (older spelling/form)
직힐 수 없다	지킬 수 없다	Cannot maintain/keep (older spelling)
온갓	온갖	All kinds of (older spelling)
蕪尾服	무미복	Swallow-tailed coat, tails (formal wear)
맵씨잇게	맵시있게	Stylishly, elegantly (older spelling)
懊惱	오뇌	Anguish, agony
煽情	선정	Sensationalism, instigation
짜즈	재즈	Jazz (older transliteration)
新興音樂	신흥음악	New Music (term likely referring to music with more modern or potentially social/national consciousness)
有閑階級	유한계급	Leisured class, idle rich
治外法權	치외법권	Extraterritoriality
嫌惡排擊	혐오배격	To detest and reject
섭취할	섭취할	To absorb, assimilate
너머도	너무도	Too much, excessively (older spelling)
囑望	촉망	To expect hopefully, look forward to
草하게 하여	초하게 하여	To draft, sketch out (using 草하다)
弁明	변명	Explanation, justification
不活潑	불활발	Inactive, sluggish
兩3年	양삼년	Two or three years
하폄	하품	Yawn (here implies weariness/boredom)
몽롱하여 가고 잇다	몽롱하여 가고 있다	Becoming dim/hazy (잇다 is older spelling of 있다)
內外人	내외인	Koreans and foreigners
훌터보아야	훑어보아야	Even after looking through/scanning
거이 없다	거의 없다	Almost none, hardly any (older spelling)
外來人	외래인	Foreign visitor
쏘프라노	소프라노	Soprano (older transliteration)
왓섯고	왔었고	Came (older past perfective form)
적지 않은	적지 않은	Not insignificant, considerable
舊面	구면	Old face, familiar face
멫명	몇명	How many people (older spelling)
凡俗한	범속한	Commonplace, vulgar
반가운	반가운	Welcome, happy
淸凉劑	청량제	Refreshing tonic, stimulant
자최	자취	Traces, marks
헤이기 힘들다	헤아리기 힘들다	Hard to count/figure out (헤이다 is older form of 헤아리다)
괄목할 만한	괄목할 만한	Noteworthy, remarkable
會員	회원	Member
機構	기구	Structure, organization
友誼的	우의적	Friendly
崩解	붕괴	Collapse, disintegration
過程的	과정적	Processual, related to a process
缺한다	결한다	To lack, miss, be absent
個中에는	개중에는	Among them/individuals
모읏지 안는다 해도	모으지 않는다 해도	Even without gathering (older spelling/form)
所致	소치	Result, consequence (formal Hanja term)
잇슴직이	있음직이	Likely to exist/be (older spelling/form)
獨立된	독립된	Independent
社會的 要求	사회적 요구	Social demand/requirement
이왕	이왕	Already, now that it is
어던	어떤	Which, what kind of (older spelling)
編曲	편곡	Musical arrangement
合唱曲集	합창곡집	Choral collection/anthology
意義깊은	의의깊은	Meaningful, significant
調査機關	조사기관	Investigation/research institution
欠한지	결한지	Since it was missing/lacked
今年	금년	This year
償讚	상찬	Praise, commendation
管絃樂	관현악	Orchestral music
不斷한	부단한	Constant, unceasing
夏期 音樂講習	하기 음악강습	Summer music workshop/short course
버서 날	벗어 날	To shed, break free from (older spelling/form)
慶賀할	경하할	To be celebrated, congratulated
出版物	출판물	Publication
民謠	민요	Folk song
起源	기원	Origin
전래되어	전래되어	Transmitted, handed down
불리워지는	불리어지는	Being sung (passive form, older spelling)
律	율	Rhythm, musical rules
傳統的	전통적	Traditional
地方色	지방색	Local color/characteristics
情緖	정서	Sentiment, emotion
衰頹	쇠퇴	Decline, decay
曲譜化하되	곡보화하되	While transcribing into musical score
만들은	만든	Made, created (older spelling)
收獲	수확	Harvest, achievement
後日에 민다	후일에 민다	Postpone to a later date (민다 likely means 미룬다)
作曲集	작곡집	Collection of compositions
詩人	시인	Poet
추리어	추리어	Having selected/chosen
胸襟	흉금	One's heart/mind, innermost feelings
리쥼	리듬	Rhythm (older transliteration)
주린	주린	Hungry
民衆	민중	The masses, populace
才質	재질	Talent, disposition
알리워 지엇으나	알리어졌으나	Became known (older passive form/spelling)
作曲家	작곡가	Composer
心琴	심금	Heartstrings (lit. heart-zither)
두 달려 줍이	두들겨 줌이	Striking/playing (the heartstrings) (older spelling/form)
作歌한	작곡한	Composed (here likely refers to poems set to music, context implies 작사한 'written lyrics for')
作曲發表會	작곡발표회	Composition recital/presentation
沈滯	침체	Stagnation, slump
미미하엿음을	미미하였음을	That it was meager/slight (older spelling)
헤이지 않을 수 없다	헤아리지 않을 수 없다	Cannot help but count/consider (older form)
빠올린이스트	바이올리니스트	Violinist (older transliteration)
빠욜린이스도	바이올리니스트	Violinist (older transliteration)
不遇한	불우한	Unfortunate, unlucky
管絃樂隊	관현악대	Orchestra, orchestral group
不振	부진	Slump, inactivity
打開策	타개책	Breakthrough measure, solution
低廉케	저렴케	Make cheap/inexpensive (older form)
收入	수입	Income, revenue
고흔	고운	Beautiful, fine (older spelling)
大成	대성	Great success, major achievement
推獎하여	추장하여	To recommend, praise
穩當할	온당할	Appropriate, proper
明年	명년	Next year
奮鬪	분투	Strenuous effort, struggle
擱筆한다	각필한다	To lay down one's pen, finish writing (formal Hanja term)


---------------------------


잡지명	동광 제28호
발행일	1931년 12월 01일
기사제목	一九三一年의 總決算, 三一年의 朝鮮樂團回顧
필자	洪鍾仁
기사형태	문예평론

一九三一年의 總決算, 三一年의 朝鮮樂團回顧
						洪鍾仁
1. 머리말, 問題의 所在
樂壇의 일년간이라는 제목을 걸고 붓을 들기가 매우 거북하다. 音樂藝術만이 종래의 藝術的 人生的이라는 넘어나 치우친 夢遊病者的 태도를 그대로 직힐 수 없다는 것은 오늘 朝鮮의 모든 社會實情과 그에 따른 온갓 운동의 指向 그것이 결정지은지 오랜 문제일 것이다. 蕪尾服이나 비단 옷으로 맵씨잇게 치장한 樂人들이 연주하는 懊惱와 감상의 노래만 취하기를 언제까지나 민중에게 강요하지 않으면 안될까? 또 街頭에 범람하는 奴隷的 屈從과 煽情을 강요하는 짜즈와 유행가 속에 민중을 언제까지나 그대로 보내 버릴까? 이미 선진사회에서는 많이 論議된 문제이나 독특한 표현기술에 속하는 문제가 많음으로 나로서는 구체적 방안을 제시할 수는 없어도 어째던 저 「新興音樂」 勃興의 필요를 깊이 인식치 않을 수는 없다. 따라서 오늘 우리네의 음악회가 여유잇는 有閑階級의 식후 산보같은 하롯 밤 향락의 대상에 더함이 없음을 볼 때에 우리는 音樂藝術만이 사회와 遊離된 治外法權下的 존재를 인정할 수 없다는 소이가 잇는 것이며 또한 짜즈적 유행가를 嫌惡排擊치 않을 수 없게 되는 것이다. 그러나 新興音樂의 발전이 아직 기존 음악과 대립할 존재가 못되고 또 그나마 여기서는 그것을 섭취할 기회도 기관도 없을 뿐더러 기술적으로 극히 빈약한 우리 樂壇에 이것을 요구한다는 것은 너머도 무리한 것이 될 것이다.
결국 우리 樂壇은 대체로 건전한 技術的 발전만을 囑望할 수밖에 없다는 정도로 문제를 제시하는 것이 타당할 것이다. 여기에 부득이 중요시되어야 할 音樂藝術의 意識問題를 피하고 技術的 방면과 그 범위 안에서의 音樂家의 활동 등만을 草하게 하여 달라는 것이 本文 序頭에 「거북」타는 한 말의 弁明을 하게 된 것이다. (그러고 제한된 紙面임으로 멫가지에 한하여 간략히 써 보려 한다)

2. 不活潑한 一年間
朝鮮의 音樂會 「팬」들도 兩3年 간에 하폄을 하게 되엇다. 즉 音樂會 인기의 초점이 날로 몽롱하여 가고 잇다는 것이다. 지난 1년간 (10월까지 內外人을 합처서 서울서 잇은 음악회 순서지 17,8枚를 훌터보아야 우리네들의 音樂會로 각별한 인상을 남겨 주는 것이 거이 없다. 外來人으로는 去春에 東京音樂學校의 外人講師로 「코한스키」(피아니스트), 「폴락」 (바요리니스트)씨가 왓섯고 「질, 마르쉑쓰」가 春秋로 2회, 「벨트라멜리, 能子」(쏘프라노)女史가＜23＞ 初秋에 왓섯든 것 등은 적막한 우리 樂壇에 부분적이나마 적지 않은 충동을 주고간 바 잇으나 우리 樂壇을 돌아 볼 때에 대개가 늘 보는 그 사람들의 출연이고 또 그들에게도 특이한 발전을 발견할 수 없다는 점에서 일반 聽衆은 신인의 배출, 名手의 귀국(과연 외국에 잇는 우리 樂人이 멫명이 잇을런지 모르나)을 기대하여 마지 안는 것이 사실이다. 이것은 너무 凡俗한 청중 본위의 價値標準을 떠난 주문이 아니냐고 樂人들은 말할런지 모르나 대체로 이에 큰 不服이 없을 것이다. 個人的으로 거이가 큰 발전을 못 보여주는 현상에서 樂壇에서 舊面이든 洪蘭坡氏와 또 高鳳京, 曹恩卿氏등이 外國 留學의 길을 떠낫다는 것은 그들을 위하여서도 반가운 일이거니와 樂壇的으로도 한 淸凉劑에 가까운 일일 것이다.
전반적으로 말하자면 섭섭한 말이나 個人的으로나 團體的으로 보아 그 활동의 자최로 본 音樂會의 質과 量이 한 가지로 기대하엿든 것보다 不活潑하엿다. 효과적인 것을 헤이기 힘든다.

3. 音樂家協會를 中心으로
