**Header Section:**
Magazine Title: 동광 제28호
Publication Date: 1931년 12월 01일
Article Title: 妓生撤廢論 (Argument for the Abolition of Kisaeng)
Author: 韓靑山
Article Type: 논설 (Editorial/Opinion Piece)

**Body Text Translation:**
Argument for the Abolition of Kisaeng
						Han Ch'ŏngsan

The Popularization of Kisaeng
It is the era of popularization. Scholarship is popularized, politics are popularized, the police are popularized; since everything is becoming popularized in this era, how could kisaeng not be popularized too? Kisaeng, who in the old days were called *kwan'gi* (官妓) and could not be entertained unless one was a county magistrate, have, since the collapse of the *yangban* politics and the advent of the politics of the *yangban* from across the sea, become thoroughly popularized. Now, even the son of the lowest commoner (개쌍놈의 아들), if he possesses gold, can entertain all the top-ranking famous kisaeng in a single night.

Not only at top-class restaurants (甲種 料理店) like Myŏngwŏlgwan (明月舘) or Siktowŏn (食道園), but even at small eateries (小飮食店) without permits for kisaeng entry, <56> if you just pay the money, they arrive by rickshaw. And thus, the kisaeng's habitat (棲息地) gradually expands its range to temples inside and outside the city, peculiar inns, park strolls, theaters, and cafes.

With the emergence of the nouveau riche (猝富者) during the Great European War, stories circulated in Tokyo about making top-ranking famous kisaeng dance naked, or sending young kisaeng trainees (童妓), one each, in glass boxes as banquet gifts. Perhaps it's also true that the import of Masamune sake (正宗 술) and Yalu River timber (鴨綠江 節) further promoted the popularization of kisaeng. Banquets (宴會) came to be considered incomplete without kisaeng, and offering kisaeng came to be regarded as the highest form of socializing (交際). In a sense, one might say kisaeng have become one of the necessities.

The Necessity of Kisaeng Abolition
If the kisaeng system indeed inflicts harm (害毒) upon society, then the popularization of kisaeng further generalizes that harm, making the need for its abolition (撤廢) even more keenly felt.

Defenders (옹호자) of the kisaeng system will likely offer the preservation of traditional Korean arts (朝鮮 傳統藝術) as their sole reason. They claim that only kisaeng can sustain traditional Korean folk songs (民謠) and dances (舞踊). However, firstly, lamenting the loss of minor old dances and arts—stagnant and sluggish like water pooled in a depression (凹地), lacking potential for progress—is something only Westerners (양코들) absorbed (沒首) in Oriental tastes might do. For modern Korean youth, whose duty is progress and adventure (進就冒險), it is a useless, idle matter (閑事). This is not to say we should completely abandon old arts. Revitalizing old arts by infusing them with new life, truly saving the life of Chosŏn, is not a task to be entrusted to kisaeng, but should be sought in the genuine artistic activities of newly rising young men and women. Furthermore, at a time when finding a kisaeng who sings or dances well is harder than plucking stars from the sky, such foolish talk cannot serve as a defense for a decadent, pleasure-seeking lifestyle (頹廢的 享樂生活).
There are three reasons why kisaeng should be abolished. First, because it is a relic (遺物) of the slave trade system (奴隷賣買制); second, because it is a destroyer of families (家庭의 破壞者); third, because it is a consumer of national vitality (國民元力의 소모者).

No one would disagree that the kisaeng system is a continuation of the slavery system that capitalism ostensibly eliminated. Historically, it is likely true that they originated as slaves of the feudal aristocracy (封建貴族). In modern times, they have transformed into capitalist slaves (資本主義的, 奴隷). They differ from simple wage laborers (賃金勞動者) and are slaves serving two types of masters. They are not only slaves to the "customer" (손님) who pays a time fee to temporarily buy them out, but also objects of exploitation for creatures called *p'oju* (抱主).

Modern wage laborers have, at least nominally, the right to free contract. However, kisaeng have no freedom whatsoever. They have neither freedom of contract nor freedom to retire (廢業). They are complete slaves. Although Japan has a law allowing free retirement for prostitutes and geishas (娼藝妓), Korean kisaeng, because they are not even nominally prostitutes (*ch'ang* - 娼), lack even that. Of course, there are a few kisaeng who operate independently without a *p'oju* or adoptive parents, but these are extremely rare. The vast majority live an unwanted life under the cruel hand (酷毒한 손 아레서) of a *p'oju*. Not only that, they again become playthings (玩弄之物) for the "customers" who buy their time with money. They become mere instruments for satisfying lust (色慾滿足의 器具), stripped of all personal dignity and rights. And then, greedy *p'oju* force them into prostitution (賣淫). In reality, the status of kisaeng today is no different from that of prostitutes (*ch'anggi* - 娼妓).

Thus, they live a life of double and triple slavery. The abolition of slavery is an absolute demand of modern civilization. The primary reason for abolishing the kisaeng system lies in the protection of the human rights (人權雍護) of the kisaeng themselves.

Second, we advocate for the abolition of kisaeng from the standpoint of defending the family. Of course, the kisaeng system is likely not the main cause of family breakdown. However, the existence of kisaeng is also undeniably a constant threat (威脅) to family peace. The existence of the kisaeng system <57> encourages male licentiousness (*pangt'ang*, *ŭmil* - 放蕩, 淫逸), and just like all other male-centric sexual morals (男性本位의 性道德), it becomes an instrument that turns the modern family into a mere scarecrow, robbing wives of peace and children of education. Along with the concubinage system (蓄妾制), forced marriage (强制結婚), the lack of freedom in divorce (離婚의 不自由), the unilateral view of chastity (片務的 貞操觀), the public prostitution system (公娼制度), property rights (財産權), and all other male-centric systems, it is one of the things that must be decisively removed via surgical incision (切開手術) to save the family from ruin.

Third, we reject this system as a waster (浪費者) of social driving force (社會的 原動力). There is no reason why diplomatic banquets (外交的 宴會) must involve calling kisaeng and engaging in wild dancing all night. One of the worst things Chosŏn acquired through contact with foreign culture is this system of banquets involving kisaeng. Kisaeng for business deals (商去來), kisaeng for lobbying for school admission (學校 入學運動), kisaeng for lobbying for concessions or jobs (利權運動, 就職運動). Kisaeng for student farewell parties (學生의 送別會), kisaeng for New Year's, kisaeng because the flowers bloomed, kisaeng for boating, kisaeng at mineral springs, kisaeng to view the moon, kisaeng for year-end parties (妄年). How can this society avoid withering away like this? Old men use kisaeng, young men use kisaeng, teachers use kisaeng, students use kisaeng, the unemployed use kisaeng, businessmen use kisaeng. How can the nation's vitality (*kungmin ŭi wŏn'gi* - 國民의 元氣) not be utterly exhausted (磨盡)?

Even if kisaeng disappear, there will still be bars inside and out, cafes, clandestine prostitutes (隱君子?), brothels (遊廊), and what not. However, just by eliminating the so-called *yorigwan* (料理舘) socializing openly permitted by society, how much would our society's efficiency (能率) increase? Other societies have public prostitutes (*kongch'ang* - 公娼), private prostitutes (*sach'ang* - 私娼), cafes, and all sorts of things, but kisaeng are something our society uniquely possesses. It would be understandable if we, a nation in decline (망해가는 우리), had fewer such things, but how can it be right to go one step further [and keep them]?

For the three reasons above, we resolutely cry out for the overthrow (打倒) of kisaeng.

Methods for Kisaeng Abolition
So, what should the methods be?
The first method is to tear down and rebuild this society. To create a society where no form of slavery can exist. To bring about a truly civilized world.

Second, the easiest method is to legally deny the system. Simply do not grant permits (許可) for the kisaeng business. Of course, this will likely make clandestine prostitution (*milmaeŭm* - 密賣淫) and public prostitution (*kongch'ang*) more rampant. However, at least the existence of the overt kisaeng system will disappear. I do not understand why those campaigning for the abolition of public prostitution today remain silent about the kisaeng system. Abolishing public prostitution likely involves many difficulties, but abolishing the kisaeng system would probably not be such a difficult campaign. Even if there is some truth to the argument that abolishing public prostitution would make controlling private prostitution more difficult, there are no conditions under which abolishing kisaeng would worsen that problem.

Next, I wish to propose (提倡하려한다) one method, albeit a passive one. It is the kisaeng boycott movement (*kisaeng ppoik'ot'ŭ undong* - 기생뽀이코트 運動). An agreement that respectable people (점잔은 사람) should not attend banquets where kisaeng are present. In these times of conserving all expenses, this would truly be an excellent plan with dual benefits. Interested individuals should form an Anti-Kisaeng League (反 기생 同盟會), issue a statement to the world, send the statement to draw attention when invited to a banquet, and if the host misunderstands the purpose and invites kisaeng anyway, one must inevitably stage a resolute withdrawal (退場).

Then, another method is to encourage banquets attended with wives (*Tongbujŏn yonhoe* - 同夫人宴會). No matter how shameless and tyrannical a man may be, he likely wouldn't stage indecent behavior with kisaeng in front of his wife. If all banquets were held in this manner, the problem would be solved instantly.

Similar to this brilliant idea is the encouragement of social interaction between the sexes (*Namnyŏ kyoje* - 男女交際). <58> This is particularly aimed at preventing impure contact (不純한 接觸) with kisaeng among unmarried men. And as one way to promote interaction between the sexes, the organization of clubs (俱樂部) should be encouraged, and social dancing (社交딴스) should be popularized. The custom of segregation between men and women within the home (*naeoe hanŭn sŭpkwan* - 내외하는 習慣) should be abolished, and all primary, middle, and high schools should adopt a co-educational system (*namnyŏ konghakje* - 男女共學制). The shameful practice of gender-segregated seating in churches, theaters, concerts, and lecture halls should be eliminated. Furthermore, police laws should prohibit solo walks at night for both sexes, and men and women walking alone on the street after 9 PM should all be detained for at least a week. Also, parks, theaters, and restaurants should refuse entry to men and women who come alone.

I am by no means one who unconditionally worships Western ways (*Yangp'ung* - 洋風). However, regarding relations between men and women, unless we stubbornly adhere (墨守) to the old feudal customs (封建의 舊習), we must thoroughly follow the Western style. Being half-hearted (*ŏnggŏjuch'um* - 엉거주춤) will not do.

And finally, one more thing to say is that Chosŏn's wise mothers and good wives (*Hyŏnmoyangch'ŏ* - 賢母良妻) must become capable of surpassing kisaeng in social interaction, cultivation, and taste (交際와 교양과 취미). They must transform from the type of the domestic wife (家庭 夫人의 타입) to the type of the socialite wife (社交婦人의 타입). Give the home "sex appeal" (쎅스 압필)! Make the home entertaining! Make the home musical! Make the home social! And the responsibility for all this lies particularly with women.
Down with Kisaeng! Long Live! (기생 打倒萬歲!) <59>

**Summary**

The author, Han Ch'ŏngsan, argues forcefully for the abolition of the *kisaeng* system in 1931 Korea. He contends that *kisaeng*, once exclusive entertainers, have become dangerously popularized, exacerbating societal harm. His core arguments are that the system is a remnant of slavery exploiting women, a destructive force against family stability by promoting male infidelity, and a significant drain on national energy and resources diverted to frivolous entertainment. He dismisses the preservation of traditional arts as a valid defense and proposes several solutions: a fundamental societal overhaul (idealistic), legal prohibition of the *kisaeng* business, a social boycott movement led by elites, encouraging men to attend banquets with their wives, and promoting broader, Western-style social interaction between the sexes, including co-education and social dancing, alongside a radical transformation of housewives into socially adept figures who can compete with *kisaeng* for male attention within the home.

This article is historically revealing as it captures a specific moment of social critique during the Japanese colonial period, linking the *kisaeng* issue to broader concerns about modernization, national vitality, colonial influence (both Japanese and Western), and shifting gender roles. Historians might find the blend of nationalist sentiment (concern for national energy), modernist critique of 'feudal' remnants, ambivalent engagement with Western social norms (embracing some, proposing extreme controls like nighttime curfews), and the placing of significant responsibility on women for social reform particularly interesting. The explicit connection made between *kisaeng*, economic waste, and national decline reflects anxieties common in colonial societies undergoing rapid change.

**Named Entities**

韓靑山	한청산	Han Ch'ŏngsan
朝鮮	조선	Chosŏn (Korea)
明月舘	명월관	Myŏngwŏlgwan
食道園	식도원	Siktowŏn
歐洲	구주	Kuju (Europe)
東京	동경	Tōkyō
鴨綠江	압록강	Amrokkang (Yalu River)
日本	일본	Ilbon (Japan)

**Glossary**

妓生	기생	Kisaeng (traditional female entertainer, often involving sexual services in this context)
撤廢論	철폐론	Argument for abolition
民衆化	민중화	Popularization; making something accessible to the masses
官妓	관기	Government-employed kisaeng (historical)
묺어지고	무너지고	To collapse (older spelling of 무너지다)
가젓으면	가졌으면	If one possessed (older spelling of 가지다)
잇게	있게	To be able to (older spelling of 있다)
절깐	절간	Buddhist temple (colloquial/somewhat dated spelling/term for 절)
栖息地	서식지	Habitat
猝富者	졸부자	Nouveau riche; person suddenly rich
童妓	동기	Young kisaeng trainee
宴會	연회	Banquet, feast
交際	교제	Socializing, associating; social intercourse
害毒	해독	Harm, poison, evil influence
옹호자	옹호자	Defender, advocate, supporter
在來	재래	Traditional, existing from before
沒首	몰수	Absorbed in, immersed in (Note: Hanja usually means 'confiscation', context suggests 몰두 - absorption)
양코들	양코들	Yankees; Westerners (colloquial, potentially derogatory)
進就冒險	진취모험	Progressive spirit and adventurousness
閑事	한사	Idle matter, trivial affair
頹廢的	퇴폐적	Decadent
享樂生活	향락생활	Hedonistic lifestyle; life seeking pleasure
奴隷賣買制	노예매매제	Slave trade system
遺物	유물	Relic, remnant
家庭	가정	Family, household
破壞者	파괴자	Destroyer
國民元力	국민원력	National vitality/energy (likely author's coinage or uncommon term)
封建貴族	봉건귀족	Feudal aristocracy
抱主	포주	Owner of a kisaeng house or brothel; pimp
賃金勞動者	임금노동자	Wage laborer
廢業	폐업	Closing down a business; retirement from a profession
娼妓	창기	Prostitute
人權雍護	인권옹호	Protection of human rights
放蕩	방탕	Dissipation, debauchery, profligacy
淫逸	음일	Lewdness, licentiousness
男性本位	남성본위	Male-centered, androcentric
蓄妾制	축첩제	System of concubinage
片務的	편무적	Unilateral, one-sided
貞操觀	정조관	View/concept of chastity
公娼制度	공창제도	Licensed/public prostitution system
切開手術	절개수술	Incision surgery (used metaphorically for drastic removal)
浪費者	낭비자	Waster, squanderer
外交的	외교적	Diplomatic
商去來	상거래	Commercial transaction (older spelling/form of 상거래)
利權運動	이권운동	Lobbying/campaigning for rights or concessions
就職運動	취직운동	Job hunting/seeking activities, often involving lobbying
妄年	망년	Year-end party (common term was 忘年會 - 망년회)
磨盡	마진	To wear out, exhaust completely
料理舘	요리관	High-class restaurant (often featuring kisaeng entertainment)
能率	능률	Efficiency
密賣淫	밀매음	Clandestine prostitution
뽀이코트	보이코트	Boycott (Korean transcription of the English word, older spelling)
提倡하려한다	제창하려한다	Intend to propose/advocate (original text had typo 臍瘡)
同夫人宴會	동부인연회	Banquet attended together with one's wife
男女交際	남녀교제	Social interaction between men and women
俱樂部	구락부	Club (loanword from Japanese クラブ, ultimately from English)
社交딴스	사교댄스	Social dance (loanword 'dance' spelled 딴스)
내외하는 習慣	내외하는 습관	Custom of keeping distance/separation between sexes (esp. married couples in certain contexts)
男女共學制	남녀공학제	Co-educational system
洋風	양풍	Western style/customs
墨守	묵수	To rigidly adhere to; stick stubbornly to (tradition, etc.)
엉거주춤	엉거주춤	In an awkward, hesitant, or half-hearted manner
賢母良妻	현모양처	Wise mother and good wife (traditional female ideal)
쎅스 압필	섹스 어필	Sex appeal (Korean transcription of the English phrase, older spelling)
打倒	타도	Overthrow; Down with...


---------------------------


잡지명	동광 제28호
발행일	1931년 12월 01일
기사제목	妓生撤廢論
필자	韓靑山
기사형태	논설

妓生撤廢論
						韓靑山
妓生의 民衆化
民衆化의 時代다. 學問도 民衆化 政治도 民衆化, 경찰도 民衆化, 모도가 다 民衆化하는 이 시대니 어찌 妓生이라고 민중화가 아니되랴. 옛날은 官妓라 하야 군수 사또가 아니면 데리고 놀지 못하든 妓生이 一朝에 兩班政治가 묺어지고 섬 건너 양반 政治가 된 뒤로 아주 徹底히 民衆化가 되어 인제는 개쌍놈의 아들이라도 黃金만 가젓으면 一流名妓를 하루밤에 다 데리고 놀 수 잇게 되엇다.
明月舘이니 食道園이니 하는 甲種 料理店이면 勿論이요 妓生 出入許可 없는 小飮食店에라도 ＜56＞ 돈만 내면 人力車채가 들어온다. 그리고는 市內外의 절깐으로 야릇한 여관집으로 公園散步로 劇場으로 카페로 妓生의 棲息地는 漸次 그 範圍가 擴大되어 간다.

歐洲大戰에 猝富者 出現으로 東京서는 一流名妓를 벌거벗겨 춤을 취엇다는 등 宴會 선물로 童妓를 一名式 유리 상자에 넣어서 보냇다는 등 當時에 이야기 거리가 되엿거니와 正宗 술과 鴨綠江 節의 輸入이 妓生의 民衆化를 더욱 促進한 것이 事實이라할까. 宴會라 하면 妓生이 없이는 안될 것으로 알고 交際라 하면 妓生을 안기어 주는 것이 一等으로 알게 되엇으니 妓生은 또한 어떤 의미로는 必需品의 하나가 되엇다고 할까.

妓生撤廢의 必要
萬一 妓生制度가 社會에 害毒을 주는 것이라 하면 妓生의 民衆化는 그 害毒을 一層 普遍化하는 것이니 더욱 撤廢의 必要를 느낄 수 밖에 없다.
妓生制度의 옹호자는 朝鮮 傳統藝術의 保存을 唯一의 理由로 둀¤ 것이다. 朝鮮在來의 民謠와 舞踊을 存續할 者는 기생밖에 없다는 것이다. 그러나 첫재로 凹地에 고인 물같이 沈滯不振하야 進步의 可能性이 없는 小委 古舞踊, 古藝術을 아까와서 눈물 흘리는 者는 동양취미에 沒首한 양코들이나 할 일이지 進就冒險을 本職으로 하는 現代朝鮮 靑年에게 잇어서는 無用의 閑事다. 古藝術을 아주 버리자는 것이 아니다. 古藝術을 가저다가 新生命을 불어넣어서 정말 朝鮮의 生命을 살리자는 일은 기생에게 맡길 것이 아니라 새로 자라나는 靑年男女의 眞正한 藝術的 活動에서 찾을 것이다. 더군다나 소리 잘 하고 춤 잘추는 妓生 만나보기가 하늘에 별따기보다 어려운 이 때에 그런 어리석은 수작으로 頹廢的 享樂生活의 辯護를 할 수가 없을 것이다.
기생을 撤廢해야 할 理由는 세 가지다. 첫재는 그것이 奴隷賣買制의 遺物임으로써요 둘재는 家庭의 破壞者임으로써요 셋재는 國民元力의 소모者임으로써 다.

기생制度가 資本主義가 표면으로 없이햇다고 하는 奴隷制度의 存續인 것은 누구나 異意가 없을 것이다. 歷史上으로 보아서 그것이 封建貴族의 奴隷로서 發生된 것이 事實일 것이다. 近代에 와서는 資本主義的, 奴隷로 化하엿다. 그들은 丹脣한 賃金勞動者와도 달라 二種의 主人을 섬기는 奴隷로 되어잇다. 그들은 時間代를 내고 그들을 一時的으로 買占하는 「손님」의 奴隷일 뿐 아니라 抱主라는 물건들의 搾取의 對象物이 되어가지고 잇다.
現代의 임금 로동자는 各色이나마 自由契約의 權이 잇다. 그러나 기생에게는 아모러한 自由가 없다. 契約의 自由도 없고 廢業의 自由도 없다. 그들은 완전한 노예다. 日本에는 娼藝妓의 自由廢業法이 잇지마는 朝鮮의 기생은 名色만이라도 娼이 아니기 때문에 그것조차 없다. 물론 抱主나 養父母가 없이 단독으로 開業한 기생도 없지 아니하나 이것은 極少數다. 그 大部分은 抱主의 酷毒한 손 아레서 원치안는 생활을 하는 것이다. 그 뿐 아니라 그들은 다시 그들의 時間을 돈주고 사는 「손님」의 玩弄之物이 된다. 人格上 모든 品位와 權利를 유린 당한 일개의 色慾滿足의 器具가 된다. 그리고 다시 貪態한 抱主는 그들에게 賣淫을 强要한다. 기생의 地位는 現今에 잇어서 娼妓와 事實上 조곰도 다름이 없다.
이러케 그들은 二重 三重의 노예 生活을 하고 잇다. 奴隷의 廢止는 現代文明의 絶對的 要求다. 기생 制度 撤廢의 첫재 理由는 기생 自信의 人權雍護에 잇다.

둘재로 우리는 가정옹호의 입장에서 기생 철폐를 주창한다. 家庭破壞의 主要원인이 기생 制에 잇는 것은 勿論 아닐 것이다. 그러나 기생의 存在는 不斷으로 家庭平和에 대한 威脅을 주는 것도 事實이다. 기생制度의 ＜57＞ 存在는 남성의 放蕩, 淫逸의 風을 助長하야 다른 모든 남성本位의 性道德과 막찬가지로 現代의 家庭을 一片의 허수아비로 化하고 안해에게서 平和를 빼앗으며 子孫에게서, 敎育을 뺴앗는 한 器具가 된다. 이것은 蓄妾制와 强制結婚과 離婚의 不自由와 片務的 貞操觀과 公娼制度와 財産權과 其他 모든 남성本位的 制度와 마찬가지로 家庭을 破滅에서 구하기 위하야 단연 切開手術을 해야 될 물건 중의 하나다.

셋재로 우리는 社會的 原動力의 浪費者로서 이 制度를 排斥한다. 外交的 宴會는 반다시 기생을 부르고 亂舞徹夜치 아니하면 안 될 理由는 없다. 朝鮮이 外來文化와 接觸하야 얻은 것 중에 가장 악한 물건의 하나가 이 기생 부르는 宴會制度다. 商去來를 하랴고 해도 기생, 學校 入學運動을 하려고 해도 기생, 利權運動, 就職運動에도 기생. 學生의 送別會도 기생, 新年에 기생, 꽃 피엇다고 기생, 배노리에 기생, 약수터에 기생, 달구경하자고 기생, 妄年하자고 기생, 四時長철 기생이니 이러고도 이 社會가 시들어 빠지지 않을 수가 잇을까. 늙은이도 기생, 젊은이도 기생, 敎員도 기생, 生徒도 기생, 失業家도 기생, 實業家도 기생, 이러고도 어찌 國民의 元氣가 磨盡되지 아니할까.
기생이 없어저도 內外 술집이 잇고 카페가 잇고 隱君子가 잇고 遊廊이 잇고 무엇이야 없으랴. 그러하나 공공연하게 社會가 허락하는 소위 料理舘 交際만 없이하여도 우리 社會의 能率이 얼마나 增進되랴. 남들도 公娼도 잇고 私娼도 잇고 카페도 잇고 별 것 다 잇으나 기생만은 우리 사회가 남달리 가지고 잇는 것이다. 망해가는 우리가 이런 것을 적게 가저도 모르겟는데 況 한 술 더 떠서야 될 말인가.

우리는 以上 세 가지 理由로서 斷然히 妓生 打倒를 부르짖는 바다.

妓生撤廢의 方法
그러면 그 방법이 어떠할까.
