잡지명	동광 제31호
발행일	1932년 03월 05일
기사제목	洛陽이냐 北平이냐 南京이냐, 空中에 뜬 首都問題 (Luoyang? Beiping? Nanjing? The Capital City Question Hanging in the Air)
필자	朱耀翰
기사형태	논설 (Editorial/Opinion Piece)

Luoyang? Beiping? Nanjing? The Capital City Question Hanging in the Air
						Chu Yohan

As soon as the Shanghai conflict erupted, rumors of a potential occupation of the Chang Jiang (Yangtze River) area spread widely. Whether having heard these rumors or not, the Nationalist Government left Nanjing and moved the capital to Luoyang. From Guangdong to Wuhan, Wuhan to Nanjing, and Nanjing again to Luoyang, the fate of the Nationalist Government, moving three or four times, seems quite turbulent.

After the 1911 Wuchang Revolution unexpectedly succeeded <15> and the 300-year Qing Dynasty collapsed in an instant, Sun Wen's (Sun Yat-sen) faction established a provisional government in Nanjing. Sun Wen insisted on Nanjing as the capital until his death. He opposed Beijing, arguing its location was too far north and that the existence of the so-called Legation Quarter, where foreign police were stationed within the capital, was a nationally shameful relic. He always considered Jinling (Nanjing), located in the Central Plains and the old capital of the Song and Ming dynasties for 800 years, as the ideal capital. He established the capital there during the Xinhai Revolution and clearly indicated in his writings that Nanjing should be the capital. This is why Chiang Kai-shek, upon breaking away from the Wuhan government and establishing a new government in Nanjing, cited Sun Wen's last instructions.

With the emergence of Yuan Shikai, Sun Wen's era collapsed in less than a year, and the Nanjing capital simultaneously came to an end.

The National Capital Returns to Beijing

Thus, it went back to Beijing. Although nominally a republic, the ruling class remained the old military warlords, who were reluctant to leave Beijing where they had long resided. Soon, the Anti-Yuan Army arose in Yunnan, and the Southern faction established the Constitutional Protection Government in Guangdong. For a while, China faced a confrontation between two governments, and Guangdong effectively became one of the capitals. As Guangdong was the source of China's revolutionary movement and its transportation links made it difficult for Northern armies to reach on expeditions, the Nationalist Party (民黨 - Mindang) tended to retreat to Guangdong whenever they faced setbacks.

However, the Southern government certainly had no intention of making Guangdong the permanent capital. The reasons, of course, included its location being too far south and inconvenient transportation. They always dreamed of the Northern Expedition. Sun Wen failed twice in his attempts to launch expeditions and died as a visitor in Beijing.

When Chiang Kai-shek led the Northern Expedition army and swept through Jiangnan, the Nationalist Government left Guangdong, passed through Guilin and Nanchang, and first settled in Wuhan. Those advocating for Wuhan as the capital argued that Nanjing was too close to Shanghai and vulnerable to bombardment by foreign warships. Because Chiang Kai-shek held different political views from the Wuhan faction, he organized a new government and made Nanjing the capital, citing, as one reason, the last wish of the late teacher Sun Wen. However, facing the move to Luoyang today, the concerns of the Wuhan faction at that time seem to have materialized. How can one not feel immense emotion?

Nanjing Formally Becomes the Capital

Soon after, the Wuhan faction collapsed, Zhang Zuolin died suddenly, and his son Xueliang carried out the "changing of the flag" (易旗), making Nanjing the sole, genuine capital of all China for some time. Consequently, Beijing became Beiping, Chihli (直隷) Province became Hebei Province, and Fengtian (奉天) Province became Liaoning Province, even their names being relinquished. This was in 1928.

Nanjing, the ancient capital of the Song and Ming dynasties, is a great city with a surrounding wall of 30 li and a population of 800,000. It connects to the Xiaguan port on the banks of the Yangtze River, linking river routes up and down the Chang Jiang. To the north, the Jinpu Railway (津浦鐵路) starts from Pukou on the opposite bank. Xiaguan is the terminus of the Huning Railway (滬寧鐵路) coming from Shanghai. Although the site of the old Ming Palace in the eastern part of the city was reduced to ruins during the Taiping Rebellion, with Purple Mountain (Zijinshan) behind it and the Xuanwu and Mochou lakes, the scenery is also beautiful. Since becoming the capital, the Sun Yat-sen Mausoleum was built on Purple Mountain, and efforts were made with determination to improve the urban districts, gradually taking on the appearance of a civilized city. Foreign ministers gradually gained confidence in the stability of the Nanjing government, and there was even talk of moving the legations south to Nanjing.

Although it is said that cannonballs from the Yangtze River can reach the city, if China's sovereignty were complete, the Yangtze, being an internal river, would prevent foreign warships from trespassing. However, due to the sorrow of a weak nation, foreign warships often come and anchor at Xiaguan, and if there's a pretext, as in 1927, they do not hesitate to bombard the city. Thus, under the current objective circumstances, asserting that Nanjing is unsuitable as a capital is not unreasonable. <16>

Even while Chiang Kai-shek's Nanjing government stood relatively unified, there were several potential capitals. There was the anti-Chiang government in Beiping led by Yan Xishan, which later moved to Taiyuan before disappearing. Wang Jingwei's attempt at Guangdong independence failed, but later the Guangdong government of Sun Ke and Hu Hanmin emerged. Soviet regimes were established once in Guangdong and once in Changsha, and it is a fact that a Soviet capital currently exists somewhere in the mountains. Although the Guangdong government was dissolved due to the Manchurian Incident, an independent kingdom is attempting to emerge in Fengtian (Shenyang) instead.

The Move to Luoyang is Seen as a Well-Considered Plan

Luoyang is, of course, a historic ancient capital. It is the Luoyang famous from the folk song "Seongjupuri" about the high and low tombs within 10 li of Luoyang Castle, and from the lines:
"East of Luoyang Castle, peach and plum blossoms,
Flying here and there, into whose house do they fall?"
It is said that peach blossoms are still famous there today. However, the significance sought is not merely that it is a historical ancient capital, the old capital for nearly a thousand years from the Zhou Dynasty to the Tang, a representative old capital of Yellow River civilization. Luoyang is said to be an impregnable fortress surrounded by steep mountains and ridges. It's said that with just 100 brave warriors willing to sacrifice their lives for the country, even a grand army of 100,000 could not prevail. Although Luoyang fell without a fight during An Lushan's rebellion, this is said only to prove how decadent military discipline was at the time.

Moreover, today's Luoyang is a place unreachable by cannonballs from any warship. Yet, just a short distance away is Zhengzhou, the intersection of the Pinghan (平漢線) and Longhai (隴海線) railways, simultaneously allowing control over Beiping, Wuhan, and Xuzhou. All these are advantages of Luoyang.

With the capital in Luoyang, Chiang's direct line of 100,000 troops is already strongly garrisoned there. The city is surrounded by electric barbed wire, underground positions have been prepared, and arsenals have been moved there.
The government is in Luoyang, there is an administrative office (辦事處) in Zhengzhou, various ministries remain in Nanjing, and a branch office (出張所) is set up in Shanghai. Military conferences are held in Xuzhou. This is truly a mobile headquarters style.

The frequently changing capitals of China since the revolution are roughly as follows:
Luoyang is, of course, temporary. Firstly, the inability to go to Shanghai for weekend leisure is a drawback. Secondly, it lacks the base to receive support from financial cliques.

Mr. Wang Jingwei (汪兆銘君) reportedly suggests that since Nanjing is unsuitable as a capital, they might move to Beiping. Mr. Wang is Cantonese, and Chiang is from Zhejiang. Both are southerners. Currently, power within the Nationalist Party is held either by people from Zhejiang or Guangdong. China is currently in the heyday of southerners. Establishing a capital in Beiping after rising from the South is historically difficult. During the Zhou, Liao, or Tang dynasties, there was naturally no civilization south of the Chang Jiang. After the Song's southward move, those who occupied Yanjing (Beijing) were either Mongols or Manchus. When the Ming rose from the South, they established their capital in Jinling (Nanjing). Now that southerners have established the Republic, the situation naturally demands a capital in the South. Can their northward advance truly succeed? This is a very interesting question. <17>

**Summary**

This 1932 editorial by Chu Yohan discusses the repeated relocations of the capital of the Republic of China, driven by political instability and external threats. Starting with Sun Yat-sen's preference for Nanjing, the capital shifted to Beijing under Yuan Shikai, back to Nanjing under Chiang Kai-shek, and then temporarily to Luoyang following the Shanghai Incident of 1932 due to fears of foreign (Japanese) attack via the Yangtze River. The author analyzes the strategic advantages and disadvantages of Nanjing, Beijing, and Luoyang, noting Luoyang's defensibility but acknowledging its temporary nature and drawbacks. The article highlights the internal divisions (North vs. South, different factions within the Nationalist party) and the overarching weakness of China in the face of foreign powers, questioning the long-term viability of a southern-led government establishing a capital in the north like Beiping (Beijing). From the perspective of Korean colonial history, this piece is interesting as it shows a Korean intellectual analyzing the political turmoil and vulnerability of neighboring China, likely drawing parallels or contrasts with Korea's own situation under Japanese rule. The focus on national weakness, foreign interference (especially concerning potential Japanese occupation and naval power), and the struggle for stable governance would resonate with Korean concerns during that period.

**Named Entities**

上海	상해	Shanghai
長江	장강	Chang Jiang (Yangtze River)
國民政府	국민정부	Nationalist Government
南京	남경	Nanjing
洛陽	낙양	Luoyang
廣東	광동	Guangdong (Canton)
武漢	무한	Wuhan
武昌	무창	Wuchang
淸朝	청조	Qing Dynasty
孫文	손문	Sun Wen (Sun Yat-sen)
北京	북경	Beijing (Peking)
公使館區域	공사관구역	Legation Quarter
金陵	금릉	Jinling (Nanjing)
辛亥革命	신해혁명	Xinhai Revolution
蔣介石	장개석	Chiang Kai-shek
袁世凱	원세개	Yuan Shikai
雲南	운남	Yunnan
護法政府	호법정부	Constitutional Protection Government
民黨	민당	Mindang (Nationalist Party/People's Party)
桂林	계림	Guilin
南昌	남창	Nanchang
張作霖	장작림	Zhang Zuolin
學良	학량	Xueliang (Zhang Xueliang)
北平	북평	Beiping
直隷省	직례성	Chihli Province
河北省	하북성	Hebei Province
奉天省	봉천성	Fengtian Province
遼寧省	요녕성	Liaoning Province
揚子江	양자강	Yangtze River (Yangzi Jiang)
下關	하관	Xiaguan
浦口	포구	Pukou
津浦鐵路	진포철로	Jinpu Railway
滬寧鐵路	호녕철로	Huning Railway
明宮	명궁	Ming Palace
太平亂	태평란	Taiping Rebellion
紫金山	자금산	Zijinshan (Purple Mountain)
玄武	현무	Xuanwu (Lake)
莫愁	막수	Mochou (Lake)
孫文陵	손문릉	Sun Yat-sen Mausoleum
閻錫山	염석산	Yan Xishan
太原	태원	Taiyuan
汪兆銘	왕조명	Wang Jingwei (Wang Zhaoming)
孫科	손과	Sun Ke
胡漢民	호한민	Hu Hanmin
長沙	장사	Changsha
쏘베트政權	소비에트정권	Soviet Regime
滿洲事變	만주사변	Manchurian Incident
奉天	봉천	Fengtian (Shenyang)
周朝	주조	Zhou Dynasty
唐	당	Tang (Dynasty)
黃河	황하	Yellow River (Huang He)
安錄山	안록산	An Lushan
鄭州	정주	Zhengzhou
平漢線	평한선	Pinghan Line
隴海線	롱해선	Longhai Line
徐州	서주	Xuzhou
辦事處	판사처	Administrative Office
出張所	출장소	Branch Office
浙江	절강	Zhejiang
宋	송	Song (Dynasty)
遼	요	Liao (Dynasty)
蒙古人	몽고인	Mongols
滿洲族	만주족	Manchus
明	명	Ming (Dynasty)
民國	민국	Republic (Republic of China)
朱耀翰	주요한	Chu Yohan

**Glossary**

衝突	충돌	Conflict, clash
퍼젓다	퍼졌다	Spread (Older spelling of 퍼졌다)
들엇음인지	들었음인지	Whether having heard (Older spelling/form)
遷都	천도	Moving the capital
말앗다	말았다	Ended up doing (Older spelling of 말았다)
긔구한	기구한	Turbulent, checkered, rough (Older spelling of 기구한)
奏하야	주하여	Achieve, play (as in achieve success) (Older spelling/form of 주하여/이루어)
一旦에	일단에	In an instant, at one time
몰락한	몰락한	Collapsed, fell
臨時政府	임시정부	Provisional government
하엿섯다	하였었다	Did, had done (Older emphatic past tense form)
고집하엿다	고집하였다	Insisted (Older spelling/form)
國耻的	국치적	Nationally shameful
遺物	유물	Relic, remnant
잇다하야	있다하여	Saying that there is (Older spelling/form)
舊都	구도	Old capital
지시하엿다	지시하였다	Indicated, instructed (Older spelling/form)
遺敎	유교	Last instructions, posthumous teachings
버린	벌인	Started, staged (Context implies 'cited' or 'used as justification', possibly older usage/nuance of 벌이다)
所以가	소이가	The reason why (Slightly older grammatical form)
깨어지니	깨어지니	As it broke/collapsed
종막이	종막이	End of the act, conclusion
엇으니	었으니	Was, were (Older spelling of -었으니)
싫든	싫던	Disliked, was reluctant (Older spelling of 싫던)
未久에	미구에	Soon after, before long
討袁軍	토원군	Anti-Yuan Army
대립이	대립이	Confrontation, opposition
籠城	농성	Holding out in a besieged castle/city, entrenchment
뜻을 못 얻을 때	뜻을 못 얻을 때	When they couldn't achieve their aim/will (Older spelling of 뜻)
意思은	의사는	Intention (Older spelling, 은 likely typo for 는)
꿈꾸는	꿈꾸는	Dreaming of
客死하엿다	객사하였다	Died abroad/away from home (Older spelling/form)
석권할새	석권할새	While sweeping through/conquering (-ㄹ새: archaic conjunctive ending meaning 'when' or 'while')
落着이 되엇다	낙착이 되었다	Settled down, came to rest (Older spelling of 되었다)
念慮	염려	Worry, concern
끄으러 온	끌어온	Brought in, cited (Older spelling/form of 끌어온)
臨하야는	임하여는	Facing, upon encountering (Older spelling/form)
無量치	무량치	Immeasurable (Older form of -지/-치)
沒落하며	몰락하며	While collapsing
頓死하고	돈사하고	Died suddenly
易旗	이기	Changing the flag (Symbolic act of changing allegiance)
단행하니	단행하니	As (he) carried it out decisively
사양한	사양한	Relinquished, yielded (Implies giving up the names)
城廓	성곽	Castle walls, ramparts
聯絡되니	연락되니	As it is connected
廢墟	폐허	Ruins
風光	풍광	Scenery
明媚하다	명미하다	Bright and beautiful
銳意	예의	With determination, earnestly
鞏固性	공고성	Stability, firmness
信用하야	신용하여	Trusting, giving credit to (Older spelling/form)
南遷說	남천설	Theory/talk of moving south
砲丸	포환	Cannonball
內河	내하	Internal river
범접을 못할 것	범접을 못할 것	Would not be able to trespass/approach
弱國	약국	Weak nation
悲哀	비애	Sorrow, grief
碇舶을 하며	정박을 하며	While anchoring
不辭하니	불사하니	Does not hesitate
主唱하는 것	주창하는 것	Advocating, proposing
無理도 아니다	무리도 아니다	Is not unreasonable
比較的	비교적	Relatively
될뻔 宅	될뻔댁	Potential (capital) sites ('house that almost was') - idiomatic/colloquial phrase
盟主	맹주	Leader of an alliance
소멸되엇다	소멸되었다	Disappeared, vanished (Older spelling)
解消가 되엇지마는	해소가 되었지마는	Although it was dissolved (Older spelling)
千慮萬考	천려만고	Deep consideration, deliberation (lit. thousand thoughts, ten thousand considerations)
險山峻嶺	험산준령	Steep mountains and ridges
難攻不落	난공불락	Impregnable, difficult to attack and impossible to fall
要塞地	요새지	Fortified place, stronghold
頹廢햇섯다	퇴폐했었다	Had been decadent/corrupt (Older spelling/form)
닷지 못하는	닿지 못하는	Unable to reach (Older spelling of 닿지)
조곰	조금	A little, slightly (Older spelling)
雄據하고	웅거하고	Strongly occupy, be garrisoned
전기철조망	전기철조망	Electric barbed wire
地下陣地	지하진지	Underground position/trench
兵工廠	병공창	Arsenal, armoury
옴겨	옮겨	Having moved (Older spelling)
移動本部式	이동본부식	Mobile headquarters style
轉變多端한	전변다단한	Full of changes and complexities
如左하다	여좌하다	Is as follows (Slightly archaic, lit. 'like the left')
첫재로	첫째로	Firstly (Older spelling)
遊樂	유락	Leisure, amusement
둘재로	둘째로	Secondly (Older spelling)
財閥	재벌	Financial clique, chaebol
後援	후원	Support, backing
地盤	지반	Base, foundation, foothold
듯하다고 한다	듯하다고 한다	It seems, it is said that it seems (Older form)
全盛期	전성기	Heyday, golden age
가젓다	가졌다	Possessed, held (Older spelling)
都邑한다는 것	도읍한다는 것	Establishing a capital
燕京	연경	Yanjing (Old name for Beijing)
占據하는	점거하는	Occupying
都하엿섯다	도하였다	Established the capital (Older spelling/form)
세우매	세움에	Upon establishing (Older spelling/form)
形勢	형세	Situation, circumstances


---------------------------


잡지명	동광 제31호
발행일	1932년 03월 05일
기사제목	洛陽이냐 北平이냐 南京이냐, 空中에 뜬 首都問題
필자	朱耀翰
기사형태	논설

洛陽이냐 北平이냐 南京이냐, 空中에 뜬 首都問題
						朱耀翰
上海衝突이 일어나자
