Magazine Title	동광 제32호
Publication Date	1932년 04월 01일
Article Title	內外大觀, 國際動態의 鳥瞰圖(2月-3月) (A Grand View of Home and Abroad, A Bird's-Eye View of International Dynamics (Feb-Mar))
Author	朱耀翰
Article Type	소식 (News/Dispatch)

A Grand View of Home and Abroad, A Bird's-Eye View of International Dynamics
						Chu Yohan

Shanghai

With the general retreat of the Chinese army on March 3rd, Shanghai feels as though a typhoon has passed. About 40 days after the preliminary skirmishes of the Shanghai conflict began on January 22nd, and about 5 weeks after Commander Ueda's ultimatum on January 28th, the 19th Route Army and the Guard Division, which had built strong fortifications and resisted stubbornly in the Wusong, Jiangwan, and Zhabei areas, finally had to retreat when reinforcements led by Commander Shirakawa landed at Liuhe on the Yangtze River bank and advanced towards Jiading, putting them in a state of encirclement. Japan needed to conclude its planned actions at least before the opening of the League of Nations General Assembly on March 2nd. Thus, they launched a human-wave, decisive assault on the Chinese positions towards Miaohangzhen, the right flank of Jiangwan, resulting in fierce fighting where even officers of colonel rank were killed one after another. Consequently, just hours before the League General Assembly convened on March 5th, Japanese forces advanced to the line of Zhenru, Nanxiang, Jiading, and Liuhe, and a ceasefire order was immediately issued.

Prior to this, ceasefire negotiations took place, with representatives from both sides meeting aboard the British flagship HMS Kent. However, due to the actual withdrawal of the Chinese army and the ceasefire, these became unnecessary, and the conference was repurposed as a proposed Round Table Conference for the aftermath of the Shanghai Incident. Thus, the two months of turmoil in South China, unless it deteriorates again, shifted to diplomatic negotiations, and the world's attention turned to Geneva for the League of Nations General Assembly.

Geneva

In early February, upon hearing the news of the Japanese army's dispatch to Shanghai, the League of Nations Council held an emergency meeting and sent a resolution appealing (呼訴) to Japan, showing how acutely the attention of the powers was focused on the Shanghai Incident. Moreover, it is true that the United States and Great Britain were pulling the strings behind this emergency council meeting. Around the time of Commander Ueda's ultimatum, China requested the convening of a special session of the General Assembly under Article 15 of the League Covenant. Japan opposed this, but the majority sentiment in the council favored holding the session. As it coincided with the period of the Disarmament Conference, invitations were immediately issued, and on March 3rd, the Disarmament Conference in Geneva transformed into a Special Session of the League of Nations Assembly. This was only the second Special Session since the League's founding, the other being for Germany's admission, making the timing during the Disarmament Conference opportune for the Chinese side.

The diplomatic battle intensified leading up to the Assembly. There were rumors that the Chinese side would demand the application of Article 16, some idealists in the US petitioned the President for an economic blockade, and the British League of Nations Union also adopted a very strong tone. The consuls of various nations in Shanghai protested <6> the Japanese army's landing in the International Settlement, and US Secretary of State Stimson expressed strong opinions in a letter ostensibly addressed to Senate Foreign Relations Committee Chairman Borah.

As a countermeasure to this situation, Foreign Minister Yoshizawa suddenly had the League representative propose a Truce Round Table Conference at the end of February. This proposal indeed gave the League the impression that Japan was seeking peace, so the League Assembly, which convened on the 3rd, adopted a resolution based on this truce proposal as its first order of business. Simultaneously, news of the Chinese army's retreat and the Japanese army's ceasefire order arrived, preventing the situation at the Assembly from deteriorating extremely. However, as the understanding of Japan was not entirely cleared up, the resolution adopted on March 10th emphasized Japan's withdrawal of troops and contained wording that equated the Manchurian Incident with the Shanghai Incident, forcing the Japanese representative to abstain. At the same time, Japan declared a voluntary partial withdrawal of troops. The Assembly did not fully adjourn but stipulated that it could reconvene at any time, organizing a Committee of Nineteen and recessing. Thus, the diplomatic battle is expected to continue.

Luoyang

The Chinese government convened the Second Plenary Session of the Central Executive Committee in the provisional capital, Luoyang, on March 1st. Dividing the country into four major military zones for long-term resistance against Japan and reappointing Chiang Kai-shek as Chairman of the Military Commission were the important outcomes of this meeting. It is reported that the matter of restoring Sino-Soviet diplomatic relations was not approved. Conflicts between the faction centered around Sun Fo, Chen Youren (Eugene Chen), and the leaders of the 19th Route Army, and the Chiang Kai-shek faction continued unabated amidst the Sino-Japanese conflict. For the time being, the Luoyang government seems likely to be maintained through the cooperation of Wang Ching-wei and Chiang Kai-shek. Chen Youren and Dai Tianchou have gone abroad, and Sun Fo reportedly went to Nanjing upon Wang's invitation. If Wang and Sun's compromise succeeds, the Nanjing government will attain an even more solid position. The plan for three capitals – Nanjing as the official capital, Luoyang as the provisional capital, and Xi'an as the auxiliary capital – was reportedly passed at the Second Plenary Session. Furthermore, the construction of strong fortifications between Shanghai and Nanjing, and between Pukou and Luoyang, are all expressions of their foreign policy stance.

Changchun

The state name is Manchukuo (滿洲國), the flag is a new five-colored flag with four colors in one corner of a yellow field, the form of government is temporarily republican, the title of the head of state is Chief Executive (執政), the person selected is the former Xuantong Emperor, the capital is Changchun, and the era name is Datong (大同). Thus, on March 1st of the first year of Datong, Manchukuo declared independence, and the founding ceremony concluded in the new capital, Changchun, on March 9th. Whether the Nanjing government issues a paper declaration of punitive action or Yan Huiqing (W. W. Yan) makes speeches against it in Geneva, Manchukuo's three branches and six ministries exist.

There was an attack by anti-Jilin forces in the Sanmianpo area, and when Japanese forces tried to use the southern line of the Chinese Eastern Railway to advance against them, there was some <7> friction due to opposition from the Russian side. There are also rumors of riots in Manzhouli, leading to talk of dispatching troops. Thus, the scope of Japanese military activity appears to be gradually extending to various parts of Northern Manchuria. In response, the Soviet Far Eastern commander, General Blücher, acknowledged that Russia had increased its military readiness in the Far East.

Manchukuo's first political task will be to seek recognition from various nations. It goes without saying that Japan will take the lead in recognizing it, but judging by the general trend of the League of Nations General Assembly resolution, it seems unlikely that other powers will grant recognition easily.
The League of Nations' Commission of Inquiry into Manchuria arrived in Japan at the end of February, stayed for about ten days, and then headed for China.
It is said that the Jiandao (Kando) area, comprising the four counties of Wangqing, Helong, Hunchun, and Yanji in Jilin Province, Manchuria, will become a special administrative region and an autonomous area for "Koreans (朝鮮人)." This too will likely be recorded as one of Manchukuo's administrative actions.

Tokyo

The Seiyūkai party won an unprecedented absolute majority of 303 seats. Reasons for this could include the general public's fatigue with passive policies, the popularity of the active policy towards China, connections with the military, and the slump of the Minseitō party due to Adachi's defection and the assassination of Inoue. However, from another perspective, it is true that public attention was focused on Manchuria and Shanghai, and interest in the general election was weak. Moreover, the fact that Minseitō candidates mostly came in second suggests that manipulation of the election through money played a significant role in determining the outcome.

The poor showing of the proletarian parties seems likely to have a decisive impact on the future proletarian movement. Within the camps of both the Shakai Minshūtō (Social Democratic Party) and Rōdō Taishūtō (Labour-Farmer Masses Party), there is already a movement towards fascism, and Nakano Seigō's faction, the Kokumin Shakai-tō (National Socialist Party), has begun overt activities. The fact that elements within the military and right-leaning direct action groups harbor hatred towards the financial cliques (zaibatsu) is a phenomenon worth noting; all these indicate a trend towards fascism. The assassinations of Inoue and Dan Takuma were not acts of left-wing elements but planned actions by right-wing groups, offering a glimpse into the currents of Japanese society. The trips abroad by Ozaki Yukio and Ōyama Ikuo are likely not entirely unrelated to this social situation.

The drop in the exchange rate against the US dollar to nearly $30 was almost expected, but it cannot be denied that it was influenced by the Shanghai Incident. The Bank of Japan's lowering of interest rates by 0.2% can be considered the first step in the Seiyūkai cabinet's currency inflation policy, but the fact that it had little impact on the stock market suggests the severity of the economic deterioration.

Kyŏngsŏng (Seoul)

Elementary school entrance exams, the difficulty of entering middle and specialized schools, the difficulty of graduates finding employment – these are the annual events Chosŏn (Korea) faces every March. The education problem in Chosŏn requires the completion of compulsory education funded by the national treasury. However, even the "one school per myeon (township)" system cannot be implemented as planned due to lack of funds, so its future seems distant. The difficulty in finding employment is part of the unemployment problem, which also requires a fundamental solution. In this era of global unemployment, it is difficult for contemporary authorities to find effective solutions.

Health campaigns and enthusiasm for physical exercise are arising in both the capital and the countryside. This is very meaningful. The attitude that informed individuals should take towards this is, firstly, to provide continuous, planned guidance so that it does not degenerate into a temporary, flashy movement, and secondly, <8> to promote awareness of the social factors of health and publicize the need for environmental improvement.

Simultaneously with the conclusion of the general roundup of OO organizations in Manchuria, the repeal of the Mitsuya Agreement was proposed. The Mitsuya Agreement was created after the Mansei Incident (March 1st Movement) for the control of OO Koreans in Manchuria, requesting Chinese authorities to arrest OO Koreans. It is true that because of this, Chinese officials and soldiers harassed Koreans.

In March, the Provincial Councils (道評議會) convene in each province. Whenever the Provincial Councils meet, various public grievances naturally burst forth from their mouths. Insufficiency of educational facilities, harms of joint sales and special sales systems, problems with relief work for the poor – one hears clamor about these issues from almost every region as if with one voice. And one hears the same complaints repeated year after year. Are the authorities listening but not hearing (聽而不聞)? If so, this would be a self-contradiction of the system.
It is said that 400,000 famine victims in the Kwanbuk and Yŏngdong regions require relief. It is a pitiful situation that compatriots taking refuge in Manchuria are reportedly unable to return for the spring planting season now approaching.

Washington

The United States has decided to hold various ceremonies from February 22nd to November this year to commemorate the 200th anniversary of the birth of the father of the nation, George Washington. Washington was born in Virginia 200 years ago and became a founding father as the commander of the Revolutionary War and the first President.
The US Congress is facing difficult major issues: recovery from the depression, war debts and reparations, policy towards the East, relief for bankrupt railway companies and banks, rural relief, revision of the Prohibition Act, tariff issues, etc., are just a few examples.
With the presidential election approaching, the preliminary battles between the Republican and Democratic parties, as well as among candidates within the parties, have begun.
Regarding the prohibition issue in Finland, a referendum reportedly resulted in a vast majority favoring the repeal of the Prohibition Act. This is because, since the implementation of Prohibition, the evils and harms of moonshining and illicit sales have been severe. It is certain that the movement to revise the Prohibition Act in the US will also be an item in the upcoming presidential election campaign.
Following the implementation of the $2 billion Reconstruction Finance Corporation plan, a "campaign" to circulate $1.3 billion of privately hoarded funds has begun, and the policy of currency inflation is actively proceeding.
A bill to expand the Navy to the maximum limit set by the London Conference was passed, and another bill giving the President the authority to determine wartime prices <9> has been submitted to Congress. A committee for the economic boycott of Japan, including Mrs. Raymond (?), has been organized, and the entire Atlantic Fleet is deployed in the Pacific for Hawaiian defense exercises.

London

There is talk of Great Britain restoring the gold standard by devaluing the pound sterling. Having departed from traditional parliamentary government under the name of a National Coalition government, Britain has now abandoned its traditional free trade policy by adopting protective tariffs. However, through this emergency major surgery, Britain's finances seem to have improved significantly. Thus, short-term credits owed to France and the US have also been settled. Consequently, talk of restoring the gold standard through devaluation has arisen. Although it is pitiful for the pound, once the king of finance, to be in such a state, it seems true that British capitalism has barely managed to prolong its life.
News from India is obscured by the turmoil in the Far East and does not reach Chosŏn well. However, British policy seems to be following the lines of suppressing the National Congress party, reverting to the divisive tactic between Muslims and Hindus, and completing gradual self-government.
The general election in Ireland resulted in the republican de Valera party becoming the largest party. This is the first victory for de Valera's faction since they began cooperating with the Free State Parliament. Even with the republicans replacing Cosgrave's moderate faction, there will likely be no major change in the overall situation. This is because de Valera's faction abandoned direct actionism long ago and has advocated parliamentarism. Rather, the movement of a faction of the illegal Irish Republican Army now constitutes the extreme left wing; the recently arrested leaders of this faction, the Gilmore brothers, Kennedy, Moran, etc., have received sentences ranging from 3 to 7 years.

Berlin

The German presidential election campaign is heating up. Given Germany's unstable social conditions, the government party attempted to avoid holding a presidential election this year and extend Hindenburg's term through the Reichstag, but this failed, forcing them to risk an election. Hindenburg, despite his advanced age of 85 this year, reportedly agreed to run again to save the unstable Germany. Thus, a contest between Hindenburg and Hitler has emerged. The Nazi party faction is determined to win this presidential election and, while putting forward their leader Hitler, has abandoned its previous direct action tactics and is concentrating all efforts on the election campaign. If Hitler is elected, there will be a major upheaval in European politics due to the fundamental repudiation of the Treaty of Paris.
Regarding German finances, a recent report concluded that after the moratorium expires this July, Germany will lack the ability to fulfill its reparation obligations. Consequently, a Reparations Conference was scheduled to be held in Lausanne, but it has been postponed due to the Disarmament Conference and the League of Nations General Assembly.

Moscow

The All-Union Communist Party Congress approved the Second Five-Year Plan. Thus, the industrial expansion of Soviet Russia under the First Five-Year Plan will be succeeded by the Second Five-Year Plan.
Soviet Russia's foreign policy has been expressed in two recent events. One is the participation of the Soviet representative in the Geneva Disarmament Conference. Although they participated from the preparatory stages and surprised the world by advocating for total disarmament, Russia is participating in this conference, understanding its fundamental nature, in order to use it for its own propaganda. The second is its attitude towards the Manchurian issue. Whatever the military elements in the Far East may think, the Moscow government is extremely passive regarding the Manchurian issue and, in particular, is striving hard to maintain Russo-Japanese peace. It conceded on the issue of using the Chinese Eastern Railway and has even actively proposed the conclusion of a non-aggression pact. It is an interesting point that Soviet official newspapers observe that "imperialist nations are plotting a Russo-Japanese conflict."
(March 10th, Chu Yohan reporting) <10>

**Summary**

This article by Chu Yohan provides a Korean perspective on major international events in February-March 1932. It covers the aftermath of the Shanghai Incident, the League of Nations' response, the establishment of Manchukuo under Japanese influence, Chinese political struggles, Japan's domestic political shift towards militarism and fascism amidst economic hardship, and situations in the US, UK, Germany, and the Soviet Union. It also details contemporary issues within colonial Korea (Chosŏn), including educational challenges, unemployment, public health initiatives, administrative problems highlighted in provincial councils, the plight of Koreans in Manchuria (especially concerning the Mitsuya Agreement and refugee status), and famine relief needs. For historians, the article is valuable as it reflects how a Korean intellectual under colonial rule perceived and reported on complex global geopolitics, linking them to domestic concerns. It highlights the precarious situation of Koreans in Manchuria, the impact of Japanese imperialism, and the internal socio-economic problems within Korea itself, all framed within a broader international context dominated by rising tensions and economic depression. The mention of the Mitsuya Agreement's proposed repeal and the Jiandao autonomous region plan are particularly noteworthy regarding Korean affairs in Manchuria.

**Named Entities**

上海	상하이	Shanghai
中國軍	중국군	Chinese Army
植田	우에다	Ueda
吳淞	우쑹	Wusong
江灣	장완	Jiangwan
閘北	자베이	Zhabei
19路軍	19로군	19th Route Army
警衛師	경위사	Guard Division
白川	시라카와	Shirakawa
楊子江	양쯔강	Yangtze River
劉河	류허	Liuhe
嘉定	자딩	Jiading
日本	일본	Japan
聯盟總會	연맹총회	League of Nations General Assembly
廟行鎭	먀오항전	Miaohangzhen
眞茹	전루	Zhenru
南翔	난샹	Nanxiang
英國	영국	Great Britain
켄트號	켄트호	HMS Kent
제네바	제네바	Geneva
聯盟理事會	연맹이사회	League of Nations Council
米國	미국	United States
聯盟規約	연맹규약	League of Nations Covenant
軍縮會議	군축회의	Disarmament Conference
獨逸	독일	Germany
聯盟協會	연맹협회	League of Nations Union
租界	조계	International Settlement
國務卿	국무경	Secretary of State
스텀슨	스팀슨	Stimson
上院外交委員長	상원외교위원장	Senate Foreign Relations Committee Chairman
보라	보라	Borah
芳澤	요시자와	Yoshizawa
滿洲事變	만주사변	Manchurian Incident
洛陽	낙양	Luoyang
中國政府	중국정부	Chinese Government
中央全體會議	중앙전체회의	Central Executive Committee Plenary Session
蔣介石	장제스	Chiang Kai-shek
中露國交	중로국교	Sino-Soviet diplomatic relations
孫科	쑨커	Sun Fo
陳友仁	천유런	Chen Youren (Eugene Chen)
汪兆銘	왕자오밍	Wang Ching-wei
戴天仇	다이톈처우	Dai Tianchou
南京	난징	Nanjing
西安	시안	Xi'an
浦口	푸커우	Pukou
長春	장춘	Changchun
滿洲國	만주국	Manchukuo
宣統皇帝	선통황제	Xuantong Emperor (Puyi)
顔惠慶	안후이칭	Yan Huiqing (W. W. Yan)
三面坡	싼몐포	Sanmianpo
吉林	지린	Jilin
中東鐵道	중동철도	Chinese Eastern Railway
露國	노국	Russia (Soviet Union)
滿洲里	만주리	Manzhouli
赤露	적로	Soviet Russia ("Red Russia")
極東司令官	극동사령관	Far Eastern Commander
부류헬	블류헤르	Blücher
滿洲調査委員會	만주조사위원회	Commission of Inquiry into Manchuria (Lytton Commission)
汪淸	왕칭	Wangqing
和龍	허룽	Helong
琿春	훈춘	Hunchun
延吉	옌지	Yanji
間島	간도	Jiandao (Kando)
朝鮮人	조선인	Korean people
東京	도쿄	Tokyo
政友會	세이유카이	Seiyūkai
民政黨	민세이토	Minseitō
安達	아다치	Adachi
井上	이노우에	Inoue (Junnosuke)
中野正剛	나카노 세이고	Nakano Seigō
國民社會黨	국민사회당	Kokumin Shakai-tō (National Socialist Party)
財閥	자이바쓰	Zaibatsu
團琢麿	단 다쿠마	Dan Takuma
尾崎行雄	오자키 유키오	Ozaki Yukio
大山郁夫	오야마 이쿠오	Ōyama Ikuo
日本銀行	일본은행	Bank of Japan
京城	경성	Kyŏngsŏng (Seoul)
朝鮮	조선	Chosŏn (Korea)
OO團體	OO단체	OO Organizations (censored, likely independence groups)
三矢密約	미쓰야 미약	Mitsuya Agreement
萬歲事件	만세사건	Mansei Incident (March 1st Movement)
在滿OO朝鮮人	재만OO조선인	OO Koreans in Manchuria (censored)
中國官憲	중국관헌	Chinese authorities
道評議會	도평의회	Provincial Council
關北	관북	Kwanbuk
嶺東	영동	Yŏngdong
華府	화부	Washington D.C.
죠지·워싱톤	조지 워싱턴	George Washington
버지니아	버지니아	Virginia
共和	공화	Republican (Party)
民主	민주	Democratic (Party)
芬蘭	핀란드	Finland
레이몬트夫人	레이몬트 부인	Mrs. Raymond (?)
大西洋艦隊	대서양함대	Atlantic Fleet
하와이	하와이	Hawaii
太平洋	태평양	Pacific Ocean
倫敦	런던	London
佛	불란서	France
印度	인도	India
國民會議派	국민회의파	National Congress Party (India)
回敎徒	회교도	Muslims
印度敎徒	인도교도	Hindus
愛蘭	애란	Ireland
데발레라	데 발레라	de Valera
커스그롑	코스그레이브	Cosgrave
愛蘭共和軍	애란공화군	Irish Republican Army
길모어	길모어	Gilmore
케네디	케네디	Kennedy
모란	모란	Moran
伯林	베를린	Berlin
힌덴붉	힌덴부르크	Hindenburg
히틀러	히틀러	Hitler
國粹黨	국수당	Nazi Party (lit. National Essence Party)
巴里平和條約	파리평화조약	Treaty of Paris (likely referring to Treaty of Versailles)
歐洲	유럽	Europe
로산	로잔	Lausanne
莫斯科	모스크바	Moscow
全露共産黨大會	전로공산당대회	All-Union Communist Party Congress
日露	일로	Japanese-Russian

**Glossary**

內外大觀	내외대관	Grand view of internal and external (affairs)
國際動態	국제동태	International dynamics/trends
鳥瞰圖	조감도	Bird's-eye view
소식	소식	News, dispatch, tidings
總退却	총퇴각	General retreat
颱風一過	태풍일과	Passing of a typhoon (metaphor for turmoil ending)
前哨戰	전초전	Preliminary skirmish, outpost battle
最後通牒	최후통첩	Ultimatum
陣地	진지	(Military) position, encampment
築城	축성	Fortification, building fortress walls
완강히	완강히	Stubbornly, obstinately (older adverbial form, modern: 완강하게)
저항	저항	Resistance, opposition
司令官	사령관	Commander
인솔	인솔	Leading, commanding (a unit)
增派隊	증파대	Reinforcement troops
上陸	상륙	Landing (from sea)
進擊	진격	Advancing attack
包圍狀態	포위상태	State of encirclement
마츰내	마침내	Finally, at last (older spelling of 마침내)
퇴각	퇴각	Retreat, withdrawal
聯盟總會	연맹총회	League of Nations General Assembly
開幕	개막	Opening (of an event, meeting)
종료	종료	Conclusion, end
右翼	우익	Right flank, right wing
肉彈的	육탄적	Human wave (attack), flesh-and-blood
大決戰	대결전	Decisive battle
强襲	강습	Fierce attack, assault
大佐級	대좌급	Colonel-level (rank)
戰死	전사	Death in battle
疊出	첩출	Occurring repeatedly, one after another
激戰	격전	Fierce battle
停戰命令	정전명령	Ceasefire order
停戰交涉	정전교섭	Ceasefire negotiation
旗艦	기함	Flagship
會合	회합	Meeting, gathering
撤退	철퇴	Withdrawal, retreat
圓卓會議	원탁회의	Round table conference
提唱	제창	Proposal, advocacy
風雲	풍운	Wind and clouds (metaphor for turmoil, upheaval)
外交交涉	외교교섭	Diplomatic negotiations
주목	주목	Attention, focus
理事會	이사회	Council (of the League of Nations)
緊急會議	긴급회의	Emergency meeting
압필(呼訴)	압필(호소)	Appeal (Hanja provided)
決議文	결의문	Resolution (document)
銳敏	예민	Sharp, acute, sensitive
裏面	이면	Behind the scenes, the inside story
操縱	조종	Manipulation, control, pulling strings
規約	규약	Covenant, regulations, bylaws
臨時總會	임시총회	Special session of the General Assembly
軍縮會議	군축회의	Disarmament Conference
招待狀	초대장	Invitation card/letter
成立	성립	Establishment, formation
好機	호기	Good opportunity, opportune moment
外交戰	외교전	Diplomatic battle/warfare
激甚	격심	Extreme, intense
適用	적용	Application (of a rule, article)
理想派	이상파	Idealist faction/group
經濟封鎖	경제봉쇄	Economic blockade
請願	청원	Petition
聯盟協會	연맹협회	League of Nations Association/Union
激烈	격렬	Fierce, intense, vehement
論調	논조	Tone (of argument), line of reasoning
領事	영사	Consul
租界	조계	(Foreign) concession, settlement
抗議	항의	Protest
國務卿	국무경	Secretary of State (US)
上院外交委員長	상원외교위원장	Chairman of the Senate Foreign Relations Committee
强硬	강경	Strong, firm, hard-line
提案	제안	Proposal, suggestion
和平	화평	Peace
印象	인상	Impression
據한	거한	Based on (older form of 거한)
採擇	채택	Adoption (of a resolution, proposal)
認識	인식	Recognition, understanding, perception
釋然	석연	Cleared up, resolved (of doubts)
撤兵	철병	Withdrawal of troops
同一視	동일시	Viewing as identical, equating
棄權	기권	Abstention (from voting)
不得己	부득이	Unavoidably, inevitably (older form of 부득이하게)
自主的	자주적	Voluntary, autonomous
閉會	폐회	Closing of a meeting, adjournment
再開	재개	Reopening, resumption
停會	정회	Recess, suspension of a meeting
계속	계속	Continuation
行都	행도	Provisional capital
中央全體會議	중앙전체회의	Plenary Session of the Central (Executive) Committee
軍事區域	군사구역	Military district/zone
長期抗日	장기항일	Long-term resistance against Japan
推戴	추대	Acclamation, installing someone in a high position
國交回復	국교회복	Restoration of diplomatic relations
可決	가결	Approval, passage (of a bill, motion)
간부	간부	Executive(s), cadre(s)
葛藤	갈등	Conflict, discord
不絶히	부절히	Incessantly, constantly (older adverbial form, modern: 부절하게 or 끊임없이)
暗鬪	암투	Behind-the-scenes struggle, secret feud
合作	합작	Collaboration, joint work
維持	유지	Maintenance, preservation
招電	초전	Invitation telegram
妥協	타협	Compromise
鞏固	공고	Solid, firm, strong
正都	정도	Official capital
賠都	배도	Auxiliary/secondary capital
3都案	3도안	Three-capital plan
對外方針	대외방침	Foreign policy stance
紙上討伐令	지상토벌령	Paper declaration of punitive expedition (i.e., ineffective)
演說	연설	Speech, address
3院6部	3원6부	Three Yuan (Branches) and Six Ministries (Manchukuo government structure)
反吉林軍	반길림군	Anti-Jilin Army
습격	습격	Attack, raid
中東鐵道	중동철도	Chinese Eastern Railway
暴動說	폭동설	Rumor of riot/uprising
活動區域	활동구역	Area of activity/operation
北滿	북만	Northern Manchuria
赤露	적로	Soviet Russia ("Red Russia")
極東司令官	극동사령관	Far Eastern Commander
軍備	군비	Military preparedness, armaments
承認	승인	Recognition, approval
政事	정사	Political affairs, administration
率先	솔선	Taking the lead, initiative
不問可知	불문가지	Goes without saying, obvious without asking
調査委員會	조사위원회	Commission of Inquiry
自治區域	자치구역	Autonomous region
行政	행정	Administration
未曾有	미증유	Unprecedented
絶對多數	절대다수	Absolute majority
獲得	획득	Acquisition, gaining
消極政策	소극정책	Passive policy
실쯩	싫증	Weariness, boredom, fatigue (older spelling of 싫증)
積極政策	적극정책	Active policy
人氣	인기	Popularity
軍部	군부	Military establishment/circles
連絡	연락	Connection, liaison
脫黨	탈당	Leaving a political party, defection
暗殺	암살	Assassination
不振	부진	Slump, stagnation, poor performance
方面	방면	Aspect, direction, field
總選擧	총선거	General election
薄弱	박약	Weak, feeble
次點	차점	Runner-up, second place
金權	금권	Money power, plutocracy
選擧操縱	선거조종	Election manipulation
無産派	무산파	Proletarian group/faction
決定的	결정적	Decisive, crucial
影響	영향	Influence, impact
無産運動	무산운동	Proletarian movement
파시슴	파시즘	Fascism (transliteration)
轉向運動	전향운동	Movement of turning towards/conversion (ideologically)
國民社會黨	국민사회당	National Socialist Party (Kokumin Shakai-tō)
公公然	공공연	Openly, publicly
右傾思想	우경사상	Right-leaning thought/ideology
直接行動派	직접행동파	Direct action faction
財閥	재벌	Financial clique, chaebol (in Korea), zaibatsu (in Japan)
憎惡	증오	Hatred, loathing
현상	현상	Phenomenon
潮流	조류	Current, trend
外遊	외유	Trip abroad
對米爲替	대미위체	Exchange rate against the US dollar
厘利下	이리하	Interest rate reduction by tenths of a percent (厘 = 0.1%)
通貨膨漲策	통화팽창책	Currency inflation policy
第1石	제1석	First stone (first step/move)
株式市場	주식시장	Stock market
經濟界	경제계	Economic world, financial circles
惡化	악화	Deterioration, worsening
像想	상상	Imagination, conception (used like 'can imagine/gauge')
入學試驗	입학시험	Entrance examination
入學難	입학난	Difficulty of entrance (to schools)
卒業生就職難	졸업생취직난	Difficulty for graduates finding employment
年中行事	연중행사	Annual event
敎育問題	교육문제	Education problem
國庫支出	국고지출	National treasury expenditure
義務敎育	의무교육	Compulsory education
완성	완성	Completion
1面1校制	1면1교제	One school per myeon (township) system
經費不足	경비부족	Lack of funds/expenses
前途	전도	Future prospects
遼遠	요원	Distant, far off
失業問題	실업문제	Unemployment problem
根本的	근본적	Fundamental, basic
해결	해결	Solution, resolution
當局者	당국자	Authorities, person in charge
有効히	유효히	Effectively (older adverbial form, modern: 유효하게)
방침	방침	Policy, course of action
保健運動	보건운동	Health campaign
體操熱	체조열	Enthusiasm for gymnastics/physical exercise
京鄕	경향	Capital and countryside
意義	의의	Meaning, significance
識者	식자	Informed person, knowledgeable person
태도	태도	Attitude
一時的	일시적	Temporary
燈火的	등화적	Like lamplight (i.e., flashy but short-lived)
繼續的	계속적	Continuous
計劃的	계획적	Planned, systematic
指導	지도	Guidance, leadership
社會的 要素	사회적 요소	Social factors/elements
覺醒	각성	Awakening, realization
促進	촉진	Promotion, encouragement
環境改善	환경개선	Environmental improvement
필요	필요	Need, necessity
宣傳	선전	Propaganda, publicity
OO團體	OO단체	OO Organization (censored)
總搜索	총수색	General search, roundup
一段落	일단락	Conclusion (of a phase), coming to a pause
廢止	폐지	Abolition, repeal
萬歲事件	만세사건	Mansei Incident (March 1st Movement, 1919)
在滿OO朝鮮人	재만OO조선인	OO Koreans in Manchuria (censored)
取締	취체	Control, crackdown, regulation (Japanese term 취체: 取り締まり torishimari)
官憲	관헌	Authorities, officials
檢擧	검거	Arrest, roundup
괴롭게	괴롭게	Painfully, causing distress
道評議會	도평의회	Provincial Council
種種	종종	Various kinds
民怨	민원	Public grievance, popular resentment
自然生長的	자연생장적	Naturally growing, spontaneous
터저 나온다	터져 나온다	Bursts out (older spelling of 터져)
敎育機關	교육기관	Educational institution
不備	불비	Inadequacy, insufficiency
共同販賣	공동판매	Joint sales, cooperative sales
特賣制	특매제	Special sales system
弊害	폐해	Harmful effect, evil, abuse
窮民救濟工事	궁민구제공사	Relief work/projects for the destitute
如出一口	여출일구	As if from one mouth (idiom: unanimously)
