Magazine Title: 동광 제32호
Publication Date: 1932년 04월 01일
Article Title: 興味津津할 今年의 美國大統領選擧戰 (This Year's Highly Interesting American Presidential Election Battle)
Author: 吳天錫
Article Type: 소식 (News/Report)

This Year's Highly Interesting American Presidential Election Battle
						O Ch'ŏnsŏk

As spring arrives, the sound of gunfire is heard and the smoke of cannonballs begins to rise on the hitherto quiet American presidential election front.

America's Political Agony
Will the highest honor enjoyed by this nation indeed go to the Republican Party, or will it become the possession of the Democratic Party? Will the current president, mining engineer Hoover, once again become the leader of over 120 million Americans, showing his distinctive figure clad in a navy jacket and white flannel trousers on the green lawns of the White House? Or might Dawes, the father of the Dawes Plan, who also served as Vice President and resigned as Ambassador to the UK a few months ago to be appointed head of the Reconstruction Finance Corporation, get a chance to boast his famous pipe from the President's seat in the Capitol Building? What about the lion Borah, Chairman of the Senate Foreign Relations Committee, who routinely bosses around the Secretary of State? On the Democratic side, what about New York Governor Roosevelt? Or Baker, President Wilson's trusted confidant? The year 1932 calmly conceals the secrets to these intriguing questions!

This Year's Battle: 100 Percent Interest
Compared to previous years, this year's election battle will be even more intensely interesting, and its intensity will be fiercer. The reason is that, particularly this year, the Democratic Party has excellent hope for victory.

Although there are nominally two major political parties in America, the power of the Democratic Party is extremely weak compared to that of the Republican Party. Thus, except in special circumstances, the presidential election held every four years ultimately amounts to little more than a Republican Party field day.

However, this year's situation differs from previous years. The Republican administration led by Hoover has failed to satisfy the American people. Moreover, the economic downturn of the past two years, although the direct responsibility may not lie with the Republican Party or Hoover personally, has caused the general public to lose confidence in them. This trend can be seen in the crushing defeat the Republican Party suffered in the House of Representatives elections held last year. At this juncture, the Democratic Party, which had been unable to assert itself for over ten years since President Wilson, suppressed by the overwhelming power of the Republicans,<11> finds an unprecedented opportunity in this election battle.

The Heated Democratic Presidential Nomination Contest
The fact that the Democratic Party, seeing the dawn of victory on this year's battlefront, has already begun the search for a presidential candidate strongly suggests how fierce the official election battle, to be determined at the Democratic National Convention in Chicago this coming June, will be. Who will indeed obtain two-thirds of the votes from all party delegates to become the supreme commander of the Democratic front and lead the entire army?
The Democratic presidential nomination contest will ultimately become a four-way race. The central figure in this unfolding four-way battle is the current Governor of New York, Roosevelt. He previously served as Assistant Secretary of the Navy in the Wilson Cabinet, demonstrating considerable skill, and for the past three years as Governor of New York, he has achieved admirable results, making him a model politician. Although his family background is one of wealth and privilege, he is extremely populist and liberal-minded, which further enhances his popularity.
Roosevelt's strong rival will likely be Baker, who achieved great merit as Secretary of War in the Wilson Cabinet during the Great European War. His clear mind, agile administrative ability, and gentle personality are respected by all. Besides them, there is Ritchie, known for his good reputation as Governor of Maryland for the past 10 years and an advocate for the repeal of Prohibition, and former Democratic presidential candidate Smith.<12>

Who is the Republican Candidate?
On the Republican side, judging by general public opinion, it is considered eight or nine times out of ten that Hoover will again be renominated at the Republican National Convention to be held in Chicago this coming June. In American political history, there is no precedent for an incumbent president running for office and not being renominated. The act of not renominating an incumbent president who seeks reelection signifies a lack of confidence in the party's past administration; therefore, even if dissatisfied with the current president, the party inevitably renominated him.

Hoover's situation today is precisely like this. He is seen as a failed president, and his popularity has hit rock bottom. Therefore, Republican leaders inwardly fervently hope that Hoover will voluntarily step aside in this election. However, he has not yet made such a declaration. Thus, the Republican Party will likely have no choice but to renominate Hoover.

However, Hoover's path will not be so smooth. His strong rivals include former President Coolidge. There is Senate Foreign Relations Committee Chairman Borah. There is former Vice President Dawes. There is Pennsylvania Governor Pinchot.

Preparation Battle Now, Voting in November
After each of the two major parties selects their respective candidates and establishes their platforms at the conventions held in June, they will arrange their battle formations and head out to the actual front lines. Each party sets up a campaign headquarters and organizes an elite corps of campaigners. Led by their party's candidate, they tour the entire country while also organizing support groups such as Women's Auxiliaries, Student and Youth Auxiliaries, and Businessmen's Auxiliaries. They focus intently on advertising their party through newspapers, magazines, pamphlets, and flyers. Then, in November, the eligible voters exercise their right to vote. Thus, the candidate who obtains the majority of the electoral votes allocated to each state based on its population becomes the president.

Differences in the Two Parties' Platforms
To introduce the policy differences expected to be important in this election battle:
1.  The Prohibition issue - The Democratic advocacy for repeal or revision versus the Republican support for the current law.
2.  The Tariff issue - The Democratic movement for reduction versus the Republican defense of the current high tariffs.
3.  Unemployment Relief Policy issue - The Democratic proposal for federal treasury assistance versus the Republican policy centered on state or private funding.<13>
<11-13>

**Summary**

This 1932 article by O Ch'ŏnsŏk analyzes the upcoming US presidential election, highlighting its heightened interest due to the potential for a Democratic victory after years of Republican dominance. The economic depression under Republican President Hoover has weakened his party, giving Democrats like Governor Roosevelt and former Secretary Baker a strong chance. The article details the potential candidates for both parties, the nomination process, campaign strategies, and key policy differences focusing on Prohibition, tariffs, and unemployment relief. From a Korean colonial history perspective, the article is interesting as it shows a sophisticated level of awareness and analysis of international politics, specifically American affairs, within colonized Korea. It reflects an engagement with global events and democratic processes, possibly offering subtle contrasts or aspirations compared to the political situation under Japanese rule.

**Named Entities**

美國	미국	United States
共和黨	공화당	Republican Party
民主黨	민주당	Democratic Party
후버	후버	Hoover
白堊館	백악관	White House
또스	또스	Ttosŭ (Dawes)
英國	영국	United Kingdom
美國再建財源融通會	미국재건재원융통회	American Reconstruction Finance Corporation (likely the Reconstruction Finance Corporation)
國會議事堂	국회의사당	Capitol Building
上議院外事委員長	상원의외사위원장	Chairman of the Senate Foreign Relations Committee
뽀라	뽀라	Ppora (Borah)
뉴욕	뉴욕	New York
루즈벨트	루즈벨트	Roosevelt
윌손	윌손	Wilson
뻬이커	뻬이커	Ppeik'ŏ (Baker)
쉬카고	시카고	Chicago
윌손內閣	윌슨내각	Wilson Cabinet
歐洲	구주	Europe (Archaic term for Europe)
매릴랜드	메릴랜드	Maryland
릿치	리치	Ritch'i (Ritchie)
스미드	스미스	Sŭmidŭ (Smith)
쿨리지	쿨리지	Coolidge
펜실바니아	펜실베이니아	Pennsylvania
핀챠트	핀처트	P'inch'at'ŭ (Pinchot)
下議院	하원	House of Representatives
國務長官	국무장관	Secretary of State

**Glossary**

興味津津	흥미진진	Highly interesting; fascinating
今年	금년	This year
選擧戰	선거전	Election battle/campaign
더브러	더불어	Together with; along with (older spelling/form of 더불어)
종용하든	조용하던	Which was quiet/calm (older spelling/form of 조용하던)
끼기 시작한다	끼기 시작한다	Begins to be covered/filled (with smoke)
煩悶	번민	Agony; anguish
享有	향유	To enjoy (rights, honor, etc.)
首領	수령	Leader; chief
紺써지	감색저지	Navy blue jersey/jacket (써지 likely refers to 'serge' fabric or 'jersey' garment)
白堊館	백악관	White House (lit. White Plaster Hall)
副統領	부통령	Vice President
駐英大使	주영대사	Ambassador to the United Kingdom
辭任코	사임코	Resigning and... (older connective form)
推戴된	추대된	Having been acclaimed/appointed
골통담배ㅅ대	골통담뱃대	Pipe (tobacco pipe); 골통 likely refers to the bowl shape, ㅅ indicates possession/compound
國會議事堂	국회의사당	National Assembly Building (here referring to the US Capitol Building)
例事로히	예사로이	Commonly; routinely; as a usual thing
寵臣	총신	Favored retainer; trusted confidant
悠然히	유연히	Calmly; composedly
例年	예년	Previous years; usual year
戰勢	전세	The state of the battle/campaign; war situation
微弱하다	미약하다	To be weak; feeble
제한 외에는	제한 외에는	Except for; other than the limitation
노름	놀음	Game; play; gambling (here used dismissively for the election)
執政	집정	Governing; administration
經濟不振	경제부진	Economic slump/downturn
一般民衆	일반민중	General public; common people
信任	신임	Trust; confidence
壓倒的	압도적	Overwhelming
曙光	서광	Dawn light; first light (metaphor for hope)
物色戰	물색전	Search/scouting battle (for candidates)
暗示하야	암시하여	Suggesting; hinting (older spelling of 하여)
大元帥	대원수	Supreme Commander; Generalissimo
指揮하게	지휘하게	To command; lead
中心人物	중심인물	Central figure
海軍副長官	해군부장관	Assistant Secretary of the Navy
手腕을 揮하얏고	수완을 휘하였고	Wielded considerable skill/ability (older spelling 휘하얏고)
業蹟	업적	Achievements; accomplishments
民衆本位的	민중본위적	Populist; people-centered
自由思想的	자유사상적	Liberal-minded; freedom-loving
軍務長官	군무장관	Secretary of War
功勳	공훈	Meritorious service; great deeds
明晳한 頭腦	명석한 두뇌	Clear/sharp mind
機敏한 執事力	기민한 집사력	Agile/quick administrative ability
溫厚한 人格	온후한 인격	Gentle/mild personality
萬人의 敬仰	만인의 경앙	Admiration/respect of all people
禁酒法撤廢論者	금주법철폐론자	Advocate for the repeal of Prohibition
一般 여론	일반 여론	General public opinion
出馬하고도	출마하고도	Even running for office
自退하고	자퇴하고	Voluntarily withdrawing/stepping aside
不得已	부득이	Inevitably; unavoidably
順할 것이 아니다	순할 것이 아니다	Will not be smooth/easy
政綱	정강	Party platform; political principles
陣容을 가추어	진용을 갖추어	To arrange battle formation (older spelling 갖추어)
實際戰線	실제전선	Actual battlefront/front line
參謀部	참모부	Staff headquarters; strategy department
精銳한 遊說軍	정예한 유세군	Elite corps of campaigners/speech-givers
巡廻하는	순회하는	Touring; making rounds
後援會	후원회	Support group; auxiliary association
팜플렛	팜플렛	Pamphlet
宣傳紙	선전지	Propaganda paper; flyer
熱中한다	열중한다	To be absorbed in; engrossed in
有權者들	유권자들	Eligible voters
選擧票數	선거표수	Number of electoral votes
現法支持贊成	현법지지찬성	Support and approval for the current law
撤廢 或 修訂 主唱	철폐 혹 수정 주창	Advocacy for repeal or revision
高等關稅擁護	고등관세옹호	Defense of high tariffs
引下運動	인하운동	Movement for reduction/lowering
私財中心救濟策	사재중심구제책	Relief policy centered on private funds/assets
國庫補助策	국고보조책	Policy of national treasury subsidies/assistance


---------------------------


잡지명	동광 제32호
발행일	1932년 04월 01일
기사제목	興味津津할 今年의 美國大統領選擧戰
필자	吳天錫
기사형태	소식

興味津津할 今年의 美國大統領選擧戰
						吳天錫
新春이 옴으로 더브러 종용하든 美國大統領選擧戰線에는 총소리가 들리고 포탄의 연기가 끼기 시작한다.
米國政界의 煩悶
이 民族이 享有하는 最高의 榮譽가 과연 共和黨에게로 갈 것인가 民主黨의 所有가 될까. 現 大統領인 鑛産技師 「후버」가 다시 한 번 1億2,000餘萬 美國民의 首領이 되어 紺써지 저고리, 힌 플란넬 바지에 싸인 그의 독특한 姿態를 白堊館 프른 잔디에 나타낼 수가 잇을까? 또스案의 父요, 副統領도 지나 먹고 數月前 駐英大使를 辭任코 귀국하야 美國再建財源融通會社長으로 推戴된 또스가 그 유명한 골통담배ㅅ대를 國會議事堂 大統領席에서 자랑할 期會나 오지 않을까? 上議院外事委員長으로 國務長官 호령하기를 例事로히 하는 獅子 「뽀라」는 어떨까? 民主黨側으로 뉴욕 州知事 「루즈벨트」는? 「윌손」大統領의 寵臣이든 「뻬이커」는? 이런 興味깊은 문제에 대한 秘密을 1932年은 悠然히 감추고 잇다!

興味 100퍼센트일 今年 戰
