잡지명	동광 제34호
발행일	1932년 06월 02일
기사제목	直人直筆 (Direct Words from a Direct Person)
필자	朱耀翰
기사형태	논설 (Editorial/Opinion Piece)

直人直筆
						朱耀翰

The Reschism of Ch'ŏndogyo

Barely a year after the so-called New and Old factions of Ch'ŏndogyo unified, they have split again, returning to their pre-unification state. Since then, both factions have released statements explaining the details, and judging by these statements and the discussions during the Schism Convention, the reason seems purely centered on the single point of whether or not to establish a Fourth Patriarch (敎祖). The Old Faction argues, "This issue was approved at the time of unification, so why deny it now?" while the New Faction contends, "That issue was settled during unification, so acting like a Patriarch afterwards is a betrayal, isn't it?" Ultimately, this indicates that their interpretations of this issue at the time of unification differed.

However, something must be clarified. While this issue may be very important regarding the faith of the believers themselves, from our perspective as outsiders, it cannot be considered a critical issue necessitating a schism. Throughout history, church schisms due to doctrinal differences have been commonplace (恒茶飯). But whenever one examines the details (詳査), the fundamental cause is invariably a power struggle rooted in social or economic circumstances. And there are also contests for supremacy (爭覇戰) between individuals, and sometimes emotional conflicts based on regional or ethnic relations are the cause.

So, to which of the above categories does the current Ch'ŏndogyo dispute (分糾) belong? We must critique this fairly and boldly. Some commentators seem to think the cause of the dispute lies in differences (相差) in political opinions, but in our view, we do not believe this is the case. The assertion that one faction is Left-wing (左翼) and the other is Right-wing (右翼) has absolutely no evidence to be proven in practice yet, while there is plenty of evidence that such propaganda is one type of demagoguery being systematically spread. In any case, judgment on this issue cannot be rashly asserted until it manifests as clear facts—either through public policy, theory, or action. <5> Therefore, incidents like last year's assault between believers of the two factions, or the recent denunciatory documents, appear from an impartial standpoint as nothing more than attacks for the sake of attacking. Everything can only be definitively judged after seeing their actions unfold concretely; we do not wish to commit the error of blindly trusting demagoguery, into which Korean society repeatedly falls (妄信의 誤謬).

What is the true cause of the re-schism? It would not be far-fetched to deduce that a significant cause lies in the lack of a unifying figure (統禦人物의 缺乏). This is something we always see in history. In political parties, churches, or any collective force, when the central figure dies, if there is no outstanding successor among the minor leaders (群小頭領) beneath, division inevitably occurs. After Lenin died, Stalin and Trotsky became opposed; since Sun Yat-sen died, the Kuomintang is in a state of fragmentation. After Hamaguchi's departure, the Minseitō wavered, and with Inukai's unnatural death, the Seiyūkai is about to split. Looking at the history of Ch'ŏndogyo, there was a split after the death of each of the 1st, 2nd, and 3rd Patriarchs. It is perhaps a natural tendency (自然의 勢) that Ch'ŏndogyo, having grown under Son Pyŏnghŭi, formed a situation where numerous contenders could not stand together (並立) after Son's departure. We will avoid delving further, but it is likely hitting the mark (正鵠) to view the cause of the split as being just this, and since this cause was not removed during unification, the re-schism occurred.

Where is Ch'ŏndogyo headed? That will be determined by the social situation (情勢) of Korea (朝鮮). Observing them, it seems they are currently seeking immediate profit acquisition through cooperative-like movements and "awaiting the right time (時勢)." It goes without saying that they are one of the established forces (旣成세력) in Korean society, but whether they still hold any historical role is something we wish to quietly observe as fact rather than comment on.

The Theory and Practice of the Hyŏngp'yŏng Movement

The movement to abolish the class discrimination against the so-called "Paekchŏng (白丁)," arguably a relic (遺物) of the feudal era, has manifested as the "Suiheisha (水平社)" movement in Japan (日本) and the "Hyŏngp'yŏngsa (衡平社)" movement in Korea. Although legally speaking, most class distinctions of the feudal era have disappeared today, it is an undeniable (不誣) fact that their remnants (餘根) are still deeply embedded socially. Eliminating this social discrimination, or rather, conceptual discrimination, undoubtedly requires steady educational and cultural efforts. It is true that all conceptual forms change where there are changes in the economic system, and conversely, it is difficult to expect the liquidation (淸算) of concepts without changes in the economic foundation. However, the change in concepts does not happen absolutely organically; rather, following certain institutional changes, a movement to liquidate contradictory concepts arises among the masses, promoting and nurturing it, thereby completing new social views and new moral codes. Therefore, the significance of the Hyŏngp'yŏng movement at this moment lies in promoting the conceptual liquidation of what has already become institutionally obsolete.

It is also true that there are various theories within the Hyŏngp'yŏng movement itself regarding its practical methods. The movement could be developed as a liberal democratic thought movement, or its ultimate success could be anticipated in the resolution of the labor movement, thus incorporating it into the labor movement. It appears that discussions about dissolving the Hyŏngp'yŏng movement have even emerged (擡頭).

Be that as it may, it goes without saying that the Hyŏngp'yŏng movement should be supported in the sense of opposing class discrimination. That a phrase in the April issue of this magazine caused controversy (物議) <6> was entirely due to our company's carelessness, and clearly recognizing that carelessness and apologizing for the error (謝過) might serve as a form of assistance to the Hyŏngp'yŏng movement, we have cleanly apologized for it. The term "Paekchŏng (白丁)" itself could be said to inherently contain discrimination, and using it to represent lowly occupations (賤業) would clearly be an expression of feudal discriminatory thought. In this sense, we believe it is most natural to refrain from such expressions even in proverbs and daily conversation.

What is the "True State of Affairs"?

In this month's issue, we intend to introduce the "true state of affairs" (眞相) regarding various social phenomena that have occurred in Korea, such as certain incidents. We plan to handle such articles in the future as well, but there is a need to consider the meaning of "true state of affairs." What is the true state of affairs? Discovering "facts," "the truth," "the true state of affairs viewed from an impartial standpoint"—this is a task easier said than done.

Scientific "facts" are confirmed only after being examined hundreds or thousands (屢百番 屢千番) of times in the laboratory. However, careful scientists do not forget to present these facts with the condition "according to experiments conducted to date," rather than making absolute pronouncements (斷案). And it is also a "fact" that such scientific "facts" are constantly changed by newly discovered facts.

Moreover, the statements of "fact" we express in writing or speech are generally accurate only within extremely broad limits. That the Earth is round is a "fact," but in reality, it is an incredibly inaccurate fact. The Earth is flattened (扃平) at the North and South poles, and there are mountains and valleys, so how can it be called round? That water flows from top to bottom is an age-old truth, but it is only true under the condition "unless external force (外力) is applied." A water pump (揚水폼푸) shatters this age-old truth.

Legal "facts" are established by evidence and witness testimony (供述). However, witness testimonies commonly differ slightly among a hundred people. Even the words of just two people are rarely exactly the same. Even people who witnessed the exact same event standing in the exact same place will have numerous differences if you listen to their two accounts.

"The true state of affairs as seen by A" can exist. "The true state of affairs as seen by B," "A proximate (近似) true state of affairs as seen by a third party" can exist. We are trying to find this most "proximate" true state of affairs. To do so, there are cases where we have no choice but to introduce what A saw and what B saw as they are. We can also try adding the perspective of a third party. Korean society is rampant with hasty judgments (速斷), dogmatism (獨斷), rumors (風評), and slander (誣陷が橫行). We have tried to adopt the most colorless and transparent (無色투명) attitude possible, with the minimum of prejudice (偏見) and dogmatism, to seek the most proximate "true state of affairs." We intended to maintain the most cautious attitude, avoiding definitive statements about any unfavorable matter until there is firm evidence. Fair social criticism, we believe, must start from here. <7>

Critique of the Relief Fund Misappropriation Incident

The incident involving the misappropriation of relief funds (救濟金 流用事件) for Manchurian compatriots by executives of the Chosŏn Ilbo-sa (朝鮮日報社) is generating more news value than necessary. While some responsibility lies with certain reporting organizations, it also lies with the executives of the said company who failed to manage their advance and retreat (進退) agilely (機敏).

The true state of affairs (眞相) of the matter is extremely simple. Since the Manchurian Incident, relief funds were collected by various organizations to rescue and console compatriots fleeing from defeated soldiers (敗殘兵). A council (協議會) initiated by concerned Koreans decided to collect only voluntarily donated money and goods (自進 同情金品) and send them directly by their own hands (自手) to Manchuria (滿洲). Money collected by various newspaper companies was to be sent to the council located in the Government-General Social Affairs Section (總督府 社會課), while goods were sent directly to Manchuria. The money collected by the Chosŏn Ilbo-sa amounted to about 13,000-odd yen. They were supposed to settle the entire amount by the end of January and bring it to the Social Affairs Section. It seems the Chosŏn Ilbo-sa temporarily misappropriated the income, intending to repay it at the settlement date (決算期) because the company's finances were tight (窘塞). The Social Affairs Section urged them, setting February 15th as the final deadline, but it appears the money did not come in as expected, and they could not deliver it. The police intervened, and the company's top executives, namely the President and the Business Manager, were detained for investigation (留置取調). The company executives immediately arranged for 6,000 yen and then the full amount within 2-3 days to make restitution (辨償), and the two were initially released. This fact was published in two or three newspapers, and figures from social organizations also issued statements. The Chosŏn Ilbo-sa, to restore its credibility, published notice of the relief fund remittance in its paper and sent official notices to its branches stating the matter was resolved without issue (無事해결). The social council declared it had no relationship with the Chosŏn Ilbo. The police authorities transferred the case to the Prosecutor's Office (檢事局) without arrest (不抱束), and the Prosecutor's Office decided on indictment (起訴) and re-detained (拘引) the two individuals. Of course, legally speaking, embezzlement (橫領) is not a crime absolved by restitution, but why did they not even receive the privilege of suspended indictment (起訴猶豫)? It is conjectured that firstly, sending the official notice of "resolved without issue" to the branches likely provoked (剌戟) the authorities' nerves; secondly, the fact that they had undergone a similar investigation regarding the Kwanbuk (關北) flood relief funds years ago likely gave the authorities the impression of it being a "repeat offense" (再犯), which seems to have had a significant impact.

After this incident, there was a purge (陶汰) of employees within the company. A statement circulated under the names of resigned employees. Its content attacked the company's Business Manager. Subsequently, the two individuals resigned, and a new executive structure was developed.

The above is, briefly put, the "true state of affairs." From this, we discover several "lessons" (멫가지 교훈).

Firstly, the fact is that the relief funds, although a temporary issue, went where they were supposed to go without a single penny being diminished.

Secondly, no matter how tight (窘塞) the finances were, the fact that they misappropriated it, even temporarily, means the company's executives cannot evade responsibility (實任).

Thirdly, the point that their advance and retreat (進退) missed the opportune moment is most important. The person who was president should have taken responsibility and resigned (引責 辭職) immediately upon the incident's occurrence, frankly disclosed (廣布) the true state of affairs, and apologized (謝過) to the public for the error (過誤). That was the only way to restore the company's honor. They did not do that. Because of that, they ended up being criticized for clinging to their positions (지위에 戀戀).

Korean society is a society of bare hands (赤手). All we possess is the strength of unity, and the driving force of unity is trust and righteousness (信義). The day we abandon trust and righteousness, we abandon everything. We deeply lament (痛恨) their unclear handling of their departure (進退) a thousand, ten thousand times. <8>

**Summary**

This editorial by Chu Yohan addresses four distinct issues in 1932 Korea: the recent re-schism within the Ch'ŏndogyo religion, attributing it primarily to a leadership vacuum rather than doctrinal or political differences; the ongoing Hyŏngp'yŏng movement advocating for the rights of the Paekchŏng class, supporting its cause while cautioning against discriminatory language; the philosophical difficulty of ascertaining objective "truth" (眞相) in journalism and social analysis amidst prevalent rumors and bias; and a critical analysis of the Chosŏn Ilbo's embezzlement scandal involving relief funds for Manchurian Koreans, emphasizing the damage to public trust caused by the executives' actions and poor handling of the aftermath. Historians might find this article particularly interesting for its contemporary commentary on the internal dynamics of Ch'ŏndogyo, the social struggles of the Paekchŏng reflected in the Hyŏngp'yŏng movement, the author's reflections on journalistic ethics and the nature of truth in a colonial context rife with propaganda, and the detailed account and critique of the Chosŏn Ilbo scandal, which highlights issues of financial mismanagement and public accountability within prominent Korean institutions under Japanese rule.

**Named Entities**

朱耀翰	주요한	Chu Yohan
天道敎	천도교	Ch'ŏndogyo
新舊兩派	신구양파	Sin-gu Yangp'a
孫秉熙	손병희	Son Pyŏnghŭi
레닌	레닌	Lenin
스탈린	스탈린	Stalin
트로츠키	트로츠키	Trotsky
孫文	손문	Sun Yat-sen
國民黨	국민당	Kungmindang
濱口	하마구치	Hamaguchi
民政黨	민정당	Minjŏngdang
犬養	이누카이	Inukai
政友會	정우회	Chŏnguhoe
朝鮮	조선	Chosŏn
日本	일본	Ilbon
水平社	수평사	Sup'yŏngsa
衡平社	형평사	Hyŏngp'yŏngsa
白丁	백정	Paekchŏng
滿洲	만주	Manju
朝鮮日報社	조선일보사	Chosŏn Ilbo-sa
總督府 社會課	총독부 사회과	Ch'ongdokpu Sahoegwa
關北	관북	Kwanbuk

**Glossary**

直人直筆	직인직필	Direct words from a direct person; straightforward writing
再分裂	재분열	Re-schism, splitting again
敎祖	교조	Founder/Patriarch of a religion
恒茶飯	항다반	Commonplace, everyday occurrence (lit. like daily tea and rice)
詳査	상사	Detailed investigation/examination
爭覇戰	쟁패전	Struggle for supremacy/hegemony
分糾	분규	Dispute, trouble, entanglement
相差	상차	Difference, disparity
데마고기	데마고기	Demagoguery (loanword)
展開	전개	Unfolding, development
妄信	망신	Blind faith, credulity
誤謬	오류	Error, mistake, fallacy
統禦	통어	Control, command, unification (of leadership)
群小頭領	군소두령	Minor leaders, small-time bosses
並立	병립	Standing together, coexisting
正鵠	정곡	The bull's-eye, the exact point/mark
情勢	정세	Situation, state of affairs
旣成세력	기성세력	Established force/power
衡平運動	형평운동	Hyŏngp'yŏng Movement (Paekchŏng rights movement)
遺物	유물	Relic, remnant from the past
撤廢	철폐	Abolition, repeal
餘根	여근	Remaining roots, remnants
不誣	불무	Undeniable, true
淸算	청산	Liquidation, settlement, clearing away (of old ideas/debts)
擡頭	대두	Emergence, rise, coming to the fore
物議	물의	Public criticism, controversy
謝過	사과	Apology
賤業	천업	Lowly/mean occupation
眞相	진상	True state of affairs, the truth, reality
屢百番	누백번	Hundreds of times (older numeral form)
屢千番	누천번	Thousands of times (older numeral form)
斷案	단안	Definitive conclusion, final judgment
扃平	경평	Flattened (at the poles)
供述	공술	Testimony, deposition
近似	근사	Approximate, close to
速斷	속단	Hasty judgment
獨斷	독단	Dogmatism, arbitrary decision
風評	풍평	Rumor, hearsay
誣陷	무함	Slander, false accusation
橫行	횡행	Being rampant, widespread
無色투명	무색투명	Colorless and transparent; impartial
偏見	편견	Prejudice, bias
救濟金	구제금	Relief fund, aid money
流用	유용	Misappropriation, embezzlement
報導	보도	News report, coverage
機敏	기민	Agile, shrewd, quick-witted
進退	진퇴	Advance and retreat; one's course of action, handling of a situation
敗殘兵	패잔병	Defeated/remnant soldiers
協議會	협의회	Council, consultative body
自進	자진	Voluntary
同情金品	동정금품	Money and goods given out of sympathy/charity
自手	자수	By one's own hand
窘塞	군색	Poverty, tightness (of finances), constraint
決算期	결산기	Settlement period/date
辨償	변상	Restitution, compensation, repayment
不抱束	불포속	Without physical restraint/arrest (legal term)
檢事局	검사국	Prosecutor's Office
起訴	기소	Indictment, prosecution
拘引	구인	Detention, taking into custody
起訴猶豫	기소유예	Suspension of indictment
剌戟	자극	Stimulation, provocation (older form of 자극)
再犯	재범	Repeat offense
陶汰	도태	Purge, elimination, weeding out
引責	인책	Taking responsibility
辭職	사직	Resignation
廣布	광포	Wide dissemination, promulgation
過誤	과오	Error, mistake, fault
戀戀	연연	Clinging to, being attached to
赤手	적수	Bare hands; empty-handed
信義	신의	Trust and righteousness, faith, fidelity
痛恨	통한	Deep regret, lamentation


---------------------------


잡지명	동광 제34호
발행일	1932년 06월 02일
기사제목	直人直筆
필자	朱耀翰
기사형태	논설

直人直筆
						朱耀翰
天道敎의 再分裂
천도교의 속칭 新舊兩派가 합동한지 1년만에 다시 분열되어 합동 이전으로 돌아가게 되엇다. 이래 양파측에서는 그 전말에 대한 성명서를 발표하엿는바 그 분열의 이유를 그 성명서에서 찾는다 하건대 그리고 또 分裂大會 석상의 토의광경에서 찾는다 하건대 그 까닭은 순전히 제4세 敎祖를 설정하느냐 아니하느냐 하는 一點에 잇는 모양이다. 구파는 가르되 합동당시에 이 문제는 승인한 것인데 지금에 와서 부인함은 무슨 까닭이냐 하고 신파는 가르되 합동시에 그 문제는 청산한 것인데 기후에도 敎祖행세를 하니 배신이 아니냐 한다. 결국 합동당시의 피차의 이 문제에 대한 해석이 달랏다 하는 것을 표시하는 것이다.
그러나 명백히 해야할 것이 잇다. 이 문제가 敎徒 자체의 신앙문제에 잇어서는 매우 중요한 것이라고 할지 모르나 문외한인 우리로서 볼 때는 분열을 부득이하게 하는 중요문제라고 할 수 없는 것이다. 有史以來로 교리상의 차이에 의한 교회분파는 恒茶飯 잇는 일이다. 그러나 그때마다 그 내용을 詳査하면 전부가 사회적 또는 경제적 환경에 근거를 둔 세력싸움이 그근본원인인 것이다. 그리고 거기는 또한 인물 대 인물의 爭覇戰도 잇고 혹시는 지방적 관계, 인종적 관계에 근거둔 감정적 충돌이 원인하기도 한다.
그러면 작금 천도교의 분규는 이상 중에 어느 부류에 속할 것인가. 우리는 공정 且 대담하게 이것을 비판하지 아니하면 안된다. 어떤 논자는 그 분규의 원인을 정치적 의견의 相差에 잇다고 생각하는 모양이나 吾人의 견해로는 그러치 않다고 생각한다. 某派가 左翼이요 某派가 右翼이라는 설은 실행에 잇어서 아직까지 판명될 이 絶無한 반면에 그러한 선전이 계획적으로 유포되는 데마고기의 하나라는 증거는 얼마든지 잡을 수 잇다. 하여간 이 문제에 대한 판단은 그것이 확실한 사실 즉 공연한 정책으로나 혹은 이론으로나 내지는 행동으로나 나타나기 전까지는 輕輕하게 독단할 수 없는 것이다.＜5＞ 그러므로 작년의 兩派 敎徒間의 습격사건이든지 昨今의 聲討文件 등은 公正한 입장에서 볼 때에 오직 공격을 위한 공격으로 밖에 아니 보인다. 모든 것은 오직 그들의 행동이 구체적으로 展開되는 것을 보고야 確斷할 것이요 우리는 朝鮮사회가 반복하야 빠지고 잇는 데마 妄信의 誤謬를 犯하고 싶지 아니하다.
再分裂의 진정한 원인은 무엇인가. 그 중요한 원인은 統禦인물의 缺乏에 잇다함이 멀지않은 推斷일 것이다. 이러한 것은 우리가 史上에서 항상 보는 일이다. 政黨, 교회 其他 어떠한 집단력에서든지 그 중심인물이 죽을 때는 그 밑에 잇는 群小頭領 중에 뛰어나는 후계자가 없을 때는 반드시 분열이 된다. 레닌이 죽은 후에 스탈린과 트로츠키가 대립되엇고 孫文이 죽으매 國民黨이 4分5裂 상태다. 濱口 去後에 民政黨이 搖動하고 犬養의 變死로 政友會가 갈라지려한다. 천도교의 역사를 보더라도 1,2,3世 敎祖의 死後마다 분열이 잇엇다. 孫秉熙밑에 자라난 천도교가 孫一去後에 群雄이 並立하지 못할 形勢를 지은 것은 자연의 勢일 것이다. 이 이상 더 들추어 내기를 피하거니와 결국 분열의 원인이 이만하엿고 합동에 잇어서 이 원인을 제거하지 못하엿으므로 再분열이 되엇다고 봄이 正鵠일 것이다.
천도교는 어디로 가나. 그것은 朝鮮의 사회적 情勢에 의하야 결정될 것이다. 관찰하건대 그들은 現下에 잇어서 협동조합적 운동에서 그 當面 이익획득을 끠하고 『時勢를 기다리는 듯』하다. 그들이 朝鮮사회에 잇어서 旣成세력의 하나인 것은 두말할 것도 없거니와 그것이 아직도 어떤 역사적 역할을 맡고 잇느냐 없느냐하는 것은 논평하기보다도 오직 사실을 靜觀코저하는 바다.

衡平運動의 理論과 實際
封建시대의 遺物 중의 하나라고 할만한 所謂 『白丁』에게 대한 계급적 차별을 撤廢하자는 운동이 日本에서는 「水平社」 朝鮮에서는 「衡平社」의 운동으로 나타나잇다. 今日 법률상으로 보아서는 封建시대의 모든 계급적 차별이란 것이 대부분 消滅되엇으나 사회적으로 아직도 그 餘根이 깊이 박이어 잇는 것은 不誣의 사실이다. 이 사회적 차별 내지 관념적 차별을 제거하는 것은 교육적, 문화적 꾸준한 노력이 필요한 것은 물을 것도 없다. 경제제도적 變遷이 잇는 곳에 모든 관념형태가 변하는 것이 사실이요 그 반대로 경제긔초의 변함이 없이 관념의 淸算을 바라기 어려운 것이냐 그 관념의 변천도 절대의 자연生長的으로 되는 것이 아니요 어떤 제도의 변천을 따라 그 모순된 관념의 淸算운동이 대중속에 일어나서 이것을 推進하고 成育하므로서 새 사회관 새 도덕률이 완성되는 것이다. 그러므로 이 순간에 잇어서 衡平운동의 意義는 이미 제도적으로 廢物이 된 것을 관념적으로까지 淸算하게 촉진시키는데 의미가 잇는 것이다.
衡平운동 自體안에서 그 실제방법에 대하야 여러 가지 이론이 잇는 것도 사실이다. 그 운동을 자유주의적 민주사상운동으로 展開할 수도 잇고 또는 노동운동의 해결에 그 최후 성공을 기대하므로 노동운동에 編入할 수도 잇다. 이리하야 衡平운동의 解消論까지 擡頭하는 모양이다.
그것은 어찌되엇든지 계급적 차별을 반대하는 의미에서 衡平운동을 支持해야 할 것은 두말할 것도 없다. 本誌 4월호 중에 揭載된 一文句로 因하야 物議를 이르켯슴은＜6＞ 전혀 本社의 不注意에 因함이어니와 그 不注意를 명확히 인식하고 過失을 謝하는 것이 衡平운동에 대한 한 개의 助動이 될까하야 우리는 깨끗이 이를 謝過한 것이다. 「白丁」이라는 名詞 자체가 차별을 내포한 것이라고도 할 것이어니와 이것으로 賤業을 대표하게 한다하면 이는 명백히 封建的 차별思想의 표현일 것이다. 이 의미에서 우리는 속담 일상회화상에서라도 이러한 표현을 삼가는 것이 가장 당연한 일로 생각하는 바다.

眞相이란 무엇인가
이달 本誌上에는 某某사건 등 朝鮮에서 일어난 사회적 현상에 대하야 그 眞相을 소개하려 한다. 앞으로도 이러한 記事를 취급하려 하거니와 그 「眞相」의 意義를 考察해 볼 필요가 잇다. 眞相이란 무엇이냐. 「사실」 「팩트」 「공정한 입장에서 본 眞相」의 발견 이것은 말하기는 쉬우나 行하기는 어려운 課題다.
