**Header Section:**
Magazine Title: 동광 제38호
Publication Date: 1932년 10월 01일
Article Title: 農村救濟策과 朝鮮人의 利害關係 (Rural Relief Measures and the Interests of Koreans)
Author: 裵成龍
Article Type: 논설 (Editorial/Opinion Piece)

**Body Text Translation:**

Rural Relief Measures and the Interests of Koreans
						By Pae Sŏngnyong

1. The Talk of Rural Relief and the Reality

Talk of rural relief measures for Chosŏn has been ongoing since last June. Three months have already passed. The countermeasures council of the Industrial Bureau (殖産局) met three times, and what was finally confirmed was a total budget request of 35 million Won. This plan was organized centering on the proposals from the Agriculture and Forestry Departments, intended to be carried out as a three-year continuous project. The fundamental policy is the distribution of wages. Through two types of projects, subsidized and directly managed, it aims to distribute benefits evenly throughout Chosŏn by providing national treasury subsidies and initiating small projects in each province, while also planning directly managed projects like erosion control (砂防), road construction, and river improvements. However, it is said that this plan disappeared during the review by the Ministry of Finance (大藏省) after being sent to Japan. When the Industrial Bureau announced its plan for the relief of agriculture, fisheries, forestry, and small/medium commerce, the requesting authorities themselves questioned if the requested amount might be reduced to about one-third due to funding issues (according to the Tonga Ilbo, July 24th edition). Indeed, that doubt seems<6> to have become reality. (15 lines omitted)

2. Losses from the Plunge in Exchange Rates and Prices

Recently, Japan's foreign exchange rate has plunged repeatedly, continuously hitting new lows. Lately, it has been trading in the $22-23 range. Compared to the rate of over $49 just before the gold export ban, this is a drop of about 60%. Japan's economic circles tried desperately to prevent the decline in the exchange rate through measures like the Capital Flight Prevention Act and the Foreign Exchange Control Act, but these ultimately proved futile.

What are the reasons for the falling exchange rate? Regarding this, several factors are mentioned: (1) The unfavorable situation concerning the Manchurian Incident and relations with the League of Nations, (2) Active speculative buying (豫想輸入의 規定) anticipating future high prices for American cotton, (3) Japan's massive fiscal deficit, (4) Japan's inflationary currency policy, and (5) The improvement in the American financial sector. Even if these observations reflect the reality, they merely describe the dire straits of the Japanese economy, truly presenting a grave crisis. It shows how much the credibility of Japan's capitalist economy has fallen in the eyes of the world. The fact that Japan's exchange rate is falling more sharply than others amidst the same global depression indicates the weakness and lack of resilience of its prematurely developed capitalism.

While a fall in the exchange rate boosts the export competitiveness of domestic products, it is a matter of degree. Especially, the sharp decline despite desperate efforts to prevent it speaks volumes about the crisis of the Japanese economy. Now that the rate has fallen from $50 to $22, there are no countries eager to import large quantities of Japanese goods just because they are cheap. Moreover, the prices of foreign goods, which consistently lead to an import surplus trade balance, are clearly rising. In Chosŏn, the price of rice, a crucial agricultural product, is not directly affected by foreign exchange rates since it is exported almost exclusively to Japan. Therefore, while the prices of Western goods (洋屬品) rise, the price of rice does not. Although the prices of export goods are somewhat affected by the rising prices of imported goods, products like Chosŏn rice cannot follow the general trend of international commodities. The impact of exchange rate fluctuations on Koreans manifests indirectly but severely through the prices of imported and exported goods (需輸物價).

3. Restrictions on Importing Chosŏn Rice

The rice issue is indeed the most critical economic problem for Chosŏn. Although rice production did not increase exactly as planned under the Rice Production Increase Plan (産米增殖計劃), it did increase. This was intended to send rice produced in Chosŏn to Japan, which had insufficient rice production. Compared to the individual rice consumption of Japanese people, Chosŏn’s<7> rice production of 15-16 million sŏk might seem insufficient. However, the poverty of Chosŏn farmers forces them to sell the rice they cannot afford to eat and consume cheaper millet instead. They lack the capital (資力) to convert fields into rice paddies to eat rice, nor can they afford expensive chemical fertilizers (金肥). Yet, under the rice production policy, vast sums are spent to increase production, while their own staple food is sourced from Manchuria. This is fundamentally irrational, of course. Now, amidst ongoing efforts and policies to increase production, the issue of restricting Chosŏn rice imports into Japan has become a major problem recently. This is like being told, after producing large quantities of a product tailored for a specific buyer who cannot sell it elsewhere, that it is no longer needed and won't be taken. Of course, even if Chosŏn consumed all that rice, its rice supply wouldn't be sufficient, but consuming it would make general cash expenditures for living entirely impossible. The situation where farmers are desperate to sell the rice they grew but cannot eat is a significant manifestation (結晶) of the subordinate nature of the colonial economy.

According to recent newspaper reports, the Chosŏn rice purchase plan (買上案), which was said to be confirmed on the 25th, would not be submitted to the provisional Diet due to procedural issues. Then, on the 27th, it was reported that it would be submitted to the Diet as a bill within a day or two. However, there is now a feeling that one cannot guarantee this purchase plan will not inevitably be aborted (流産). Even if it is not submitted to the Diet, it appears that the Japanese Rice Monopoly Plan (日本米專賣案) and the Chosŏn Rice Control Bill (朝鮮米統制法案) will definitely be submitted. (12 lines omitted)

4. Examination of the Contents of the Rice Purchase Plan

Assuming now that the Emergency Rice Facilities Bill (米穀應急施設法案) will definitely be implemented, let's glance at its contents. It states that brown rice (玄米) will be purchased, the purchase locations will be 5 or 6 distribution centers (集散地) such as Inch’ŏn and Pusan, and the price will be the market price (時價). There is no mention of the purchase timing. This reveals how far removed the contents are from the interests of the farmers, the direct producers of rice.

Brown rice cannot be purchased from farmers. It requires milling facilities (作米의 施設) and significant capital. Thus, brown rice is a commodity held by grain merchants (穀商) in distribution centers, having passed through several hands from the unhulled rice (正租) owned by farmers. While the purchase of brown rice is not without impact on the price of unhulled rice, it cannot be as closely linked to the farmers' interests as purchasing unhulled rice directly. Therefore, purchasing brown rice is inevitably only possible at distribution centers. This means that unhulled rice from rural areas must flow into the distribution centers before the purchase period. In other words, before the impact of the purchase is felt, the unhulled rice leaves the farmers' hands. Thus, the post-harvest price crash is bound to occur. Consequently, the purchase timing cannot help but be a considerable period after the harvest. This means purchasing large quantities of rice that have flowed into distribution centers at low prices and are held (잠겨 잇는) by merchants. Depending on the collusion (結束) among grain merchants, they could easily manipulate the purchase price. Especially since the purchase price is based on the prevailing market price rather than a standard like in Japan, it cannot be denied that it will be susceptible to such merchant manipulation (弄絡). While professing the need for rural relief and even showing the sincerity (誠意) to establish facilities, the Rice Purchase Plan has turned into something like a scheme to increase the commercial profits of grain merchants, leaving the expectations of the farmers who directly produce the rice empty (空疎). In short, perhaps it is natural that only those who demand receive, and the grain dealers who clamored "No discrimination against Chosŏn rice!" achieve greater effect compared to the silent direct producers?

5. A Heavy Price for the Millet Import Tax<8>

Regarding the Chosŏn Rice Control issue, it is said that because the Purchase Plan was decided favorably for the Chosŏn side, the Government-General had no choice but to accept the Ministry of Finance's demand to raise the import tariff on millet as compensation (代償). An increase of 35% in the specific duty (從營稅 - likely specific duty, 從量稅) raises the current tax of 50 chŏn per 100 kŭn by 17.5 ri, meaning a tax increase of 43 chŏn per sŏk. This will become a heavy burden for the poor people (細民) who are the consumers of millet in Chosŏn.

Is it not irrational and unreasonable (妄論이요 무리) to seek compensation for a supposedly favorable decision on the rice import restriction issue by increasing the burden on the poor? Wouldn't it have been more advantageous if there were no issue of restricting imports of tailored rice in the first place? And if there hadn't even been a Rice Production Increase Plan, would such a compensation issue have arisen at all? It is impossible to understand why there should be any compensation when devising ways to mitigate the contradictions arising from flawed policies. Especially since the plan to purchase 1.5 million sŏk of brown rice merely serves the convenience of rice merchants, increasing the burden on the consumption of millet, the staple food (常食品) for 70-80% of the entire population, unjustly inflates the burden on impoverished consumers. In essence, it might be an attempt to force the consumption of rice, which has a price difference, by raising the price of millet. However, since these are people with inherently insufficient purchasing power, it will ultimately be nothing but the enforcement of starvation (饑餓) due to inability to consume. And even if they could afford the more expensive millet, it would merely increase tariff revenue by 800,000-900,000 Won annually. This increased revenue is simply an added burden on the poor.

6. The Illusion of an Improving Economy

Recently, it is said that price indices worldwide are showing an upward trend (騰勢). Talk of an improving economy (財界好轉說) is fashionable. In Chosŏn too, prices, which had only been falling since last January, reportedly rose slightly in July. There seems to be some optimism that the depression will ease as prices rise. Furthermore, as the US commodity markets continued to show an upward trend until the end of the month, talk of continued improvement persists, and correspondingly, major commodities in Japan also seem to be showing a vigorous upward trend. On August 29th, the Yokohama raw silk market (生絲市場) saw such an explosive rise that trading in the previous session (前揚 - likely 前場) was halted, truly an unusual phenomenon. Can this be seen as evidence (表證) of economic recovery and easing of the depression?

Above all, what one wants to know here is the reason why US commodity prices and stock prices (株價) are rising. The only distinctive phenomenon in the recent US financial world is an extreme inflation policy. But does this inflation policy raise prices? It might have been a trigger (動機), but it is unlikely to be the cause-and-effect reason. Why? Because if the effects of the inflation policy had manifested, prices would have risen, but unemployment figures would have decreased, wages would have risen, and unsold inventory (滯貨) would have disappeared. Rising prices without an increase in consumption relative to production can only be seen as a kind of bluff (虛勢). That is because rising prices do not necessarily increase purchasing power or reduce inventory. If price increases lack the necessary conditions (所要의 조건), they should be considered a bluff. Haven't price increases during this prolonged depression period, which lacked the necessary conditions, proven unsustainable, even though prices didn't just fall continuously without any fluctuation (起伏)? Ultimately, rising prices despite no way to increase purchasing power (購買力) will not only be unsustainable but also the clear and inevitable negative consequence (惡結果) of an inflation policy that fails as a countermeasure to the depression. It will only serve to accelerate (促成) a rapid deterioration (惡化).<9>

**Summary**

This 1932 editorial by Pae Sŏngnyong critiques contemporary Japanese colonial economic policies affecting Korea (Chosŏn). Pae argues that touted rural relief measures are insufficient and disconnected from farmers' needs, benefiting merchants instead. He analyzes the negative impact of the falling Japanese yen on Korea, where import prices rise but the price of rice (Korea's main export, primarily to Japan) stagnates. The author strongly criticizes the proposed restrictions on Korean rice imports to Japan, viewing it as a betrayal after Korea was pushed to increase production for the Japanese market, and dismisses the rice purchase plan as favoring grain merchants over farmers. He further condemns the proposed increase in the millet import tax—a staple for poor Koreans—as an unfair "compensation" for minor concessions on rice policy, exacerbating hardship. Finally, Pae dismisses contemporary optimism about economic recovery based on rising commodity prices as an illusion driven by potentially harmful inflation policies, arguing that without increased purchasing power, rising prices are unsustainable and could worsen the depression. For historians, this article provides a valuable contemporary Korean perspective on the harsh realities of colonial economic integration, highlighting the perceived irrationality and exploitative nature of Japanese policies (like the rice production plan and subsequent import restrictions), the specific burdens placed on Korean farmers and the poor (rice vs. millet consumption), and a sophisticated critique of macroeconomic issues like currency devaluation and inflation within the colonial context.

**Named Entities**

裵成龍	배성룡	Pae Sŏngnyong
朝鮮	조선	Chosŏn
日本	일본	Ilbon (Japan)
殖産局	식산국	Siksan'guk (Industrial Bureau)
大藏省	대장성	Daijōshō (Ministry of Finance - Japan)
동아일보	동아일보	Tonga Ilbo
滿洲	만주	Manju (Manchuria)
米國	미국	Miguk (United States)
國際聯盟	국제연맹	Kukche Yŏnmaeng (League of Nations)
仁川	인천	Inch'ŏn
釜山	부산	Pusan
總督府	총독부	Ch’ongdokpu (Government-General)
橫濱	횡빈	Yokohama

**Glossary**

農村救濟策	농촌구제책	Rural relief measures
利害關係	이해관계	Interests; stake
떠들어 오다	떠들어 오다	To make noise about; to clamor about (used here transitively)
거듭하야	거듭하여	Repeatedly (older spelling/form)
확정되엇다	확정되었다	Was confirmed/decided (older spelling)
勞賃	노임	Wages
撒布	살포	Distribution; scattering
均霑	균점	Even distribution of benefits
圖하다	도모하다	To plan; to aim for
他便으로	타편으로	On the other hand; separately
砂防	사방	Erosion control
改修	개수	Repair; improvement
査定	사정	Assessment; review (esp. budget)
소멸되엇다	소멸되었다	Disappeared; was eliminated (older spelling)
爲替	위체	Foreign exchange (rate)
줄곳	줄곧	Continuously; throughout (older spelling)
低落	저락	Decline; fall (in price/rate)
金 輸出禁止	금 수출금지	Gold export ban
徒勞	도로	Futile effort; vain labor
米棉	미면	Rice and cotton
豫想輸入	예상수입	Anticipated/speculative imports
尨大하다	방대하다	Vast; enormous
通貨膨脹策	통화팽창책	Inflationary currency policy
困況	곤황	Dire straits; hardship; predicament
失墮	실타	Loss; fall (esp. of credibility)
早熟하다	조숙하다	Prematurely developed
薄弱하다	박약하다	Weak; feeble
入超貿易	입초무역	Import surplus trade; unfavorable balance of trade
洋屬品	양속품	Western goods; foreign imports
需輸物價	수수물가	Prices of imported and exported goods
移入制限	이입제한	Import restriction
産米增殖計劃	산미증식계획	Rice Production Increase Plan
金肥	금비	Chemical fertilizer (lit. 'gold fertilizer')
施用하다	시용하다	To apply (fertilizer)
常食品	상식품	Staple food
問題化하다	문제화하다	To become an issue; to problematize
마처서	맞춰서	Tailored to; according to (older spelling)
隷屬	예속	Subordination; dependency
結晶	결정	Manifestation; crystallization (used figuratively)
買上案	매상안	Purchase plan/proposal
手續	수속	Procedure; process
流産되다	유산되다	To be aborted; to miscarry (used figuratively for plans)
米專賣案	미전매안	Rice Monopoly Plan
統制法案	통제법안	Control Bill
米穀應急施設法案	미곡응급시설법안	Emergency Rice Facilities Bill
玄米	현미	Brown rice
集散地	집산지	Distribution center; collecting point
時價	시가	Market price
正租	정조	Unhulled rice; paddy rice
穀商	곡상	Grain merchant
弄絡	농락	Manipulation; trickery
空疎하다	공소하다	Empty; hollow; futile
黙黙無言	묵묵무언	Silent; wordless
粟輸入稅	속수입세	Millet import tax
代償	대상	Compensation; price; return
從營稅	종영세	Specific duty (likely typo for 從量稅)
細民	세민	Poor people; the lower classes
妄論	망론	Absurd argument; irrational talk
不拘하다	불구하다	Despite; regardless of
饑餓	기아	Starvation; hunger
財界好轉說	재계호전설	Theory/talk of economic improvement
騰勢	등세	Upward trend (in prices)
緩和되다	완화되다	To be eased; to be mitigated
樂觀說	낙관설	Optimistic view/theory
生絲市場	생사시장	Raw silk market
立會	입회	Trading session (on an exchange)
株價	주가	Stock price
滯貨	체화	Unsold stock; inventory backlog
虛勢	허세	Bluff; show; pretense
所要	소요	Necessary; required
具치 못하다	갖추지 못하다	To lack; fail to possess (older form)
騰貴	등귀	Sharp rise in price
恒久的	항구적	Permanent; lasting
起伏	기복	Fluctuations; ups and downs
永續	영속	Continuation; permanence
購買力	구매력	Purchasing power
不動的	부동적	Immovable; inevitable; certain
惡結果	악결과	Bad result; negative consequence
促成	촉성	Acceleration; promotion (often of something negative)


---------------------------


잡지명	동광 제38호
발행일	1932년 10월 01일
기사제목	農村救濟策과 朝鮮人의 利害關係
필자	裵成龍
기사형태	논설

農村救濟策과 朝鮮人의 利害關係
						裵成龍
1. 農村救濟 소리와 實際
朝鮮의 농촌구제대책이라는 것은 去 6월부터 떠들어 오는 바이다. 벌서 3개월이다. 殖産局의 대책협의회가 수 3차를 거듭하야 그 최후적으로 확정되엇다는 것은 예산요구 총액이 3,500만원이라 하얏다. 그는 農務局 山林部案을 중심으로 하야 편성한 것인데 모다 3개년의 계속사업으로 遂行하랴는 것이라 근본방침이 勞賃의 撒布에 잇고 補助工事와 직할공사 2종으로 하야 全朝鮮에 均霑을 圖하는 의미에서 국고보조를 與하며 各道에 小工事를 起하는 他便으로 직영사업으로 砂防, 도로, 하천의 改修 等을 계획한다든 것이다. 이가 日本으로 올마가서 大藏省의 査定에서는 소멸되엇다는 것이다. 農漁山 중소상공업 구제의 殖産局案을 發布함에 잇어 요구당국자가 그 財源關係로 혹은 요구액의 3분지 1정도로 축소되지나 아니할까를 의문(동아일보 7월 24일분에서)이라 하더니 과연 그 의문은＜6＞ 사실화한 모양이다.(15行 略)

2. 爲替暴落과 物價上의 損失
최근 日本의 對外爲替는 폭락에서 또 폭락하야 줄곳 新低價를 출현하여 왓다. 近日에는 22, 3불 대를 거래하고 잇으니 이를 금 수출금지 직전의 49불 여에 비한다면 약 6할이 떠러젓다. 日本의 경제계에서는 자본의 逃避法, 爲替管理法 등으로 爲替低落을 極力防止하랴든 것이지마는 그는 결국 일종의 徒勞가 되고만 것이다.
爲替의 저락하는 원인은 어디 잇는가. 此에 대하야는 (1)滿洲問題와 국제연맹관계의 불리 (2) 米棉의 前途高價를 예상하고 예상수입의 규정이 왕성한 것 (3) 日本의 재정이 방대한 적자를 生하는 것 (4) 日本의 通貨膨脹策 (5) 米國財界의 호전 등을 말한다. 이러한 관찰이 실상 그대로이라 할지라도 日本經濟界의 困況을 말함일 뿐이니 실로 심상치 아니한 위기를 제시함일 것이다. 日本資本主義經濟의 세계에 대한 신용이 그만치 失墮한 것이라 다 같은 세계공황의 過中에서 日本爲替가 더욱 폭락하는 것은 그 조숙한 자본주의의 탄력성이 그만치 박약한 것이다.

爲替의 低落은 國內産品의 해외수출력을 增長하는 것이지마는 그도 정도의 문제이다. 특히 爲替의 低落을 極力으로 방지하려 함에 불구하고 크게 低落함은 무엇보다 일본경제의 위기를 말함이다. 이제 50불이 22불에까지 떠러저서 日本品의 수출은 헐하다하야 많이 수입할 나라가 없고 어느 때에나 달음없이 入超貿易을 계속하는 외래품의 가격은 顯然히 오르고 잇다. 朝鮮에서는 農産의 중요한 상품인 쌀값은 日本 외에는 수출되는 곳이 없으니 즉 海外爲替에 대한 영향이 직접으로는 없다. 그러므로 洋屬品의 가격이 오르지마는 米價는 오르지 않는 것이요 輸入品價의 오르는 영향을 받어서 輸出品價도 다소 변동되지마는 朝鮮 쌀 같은 생산품은 국제상품의 대세를 따르지 못하고 잇는 것이다. 朝鮮사람의 爲替騰落으로부터 받는 영향은 그 需輸物價上에서 심각한 利害가 간접으로 나타나는 것이다.

3. 朝鮮米의 移入制限
쌀 문제야말로 朝鮮의 경제문제로써 最重大한 문제이다. 産米의 증식계획에 의하야 쌀의 생산은 비록 계획과 같지는 증가되지 않엇다 할지라도 증가하얏다. 이는 朝鮮에서 생산한 쌀을 쌀의 생산이 부족한 日本으로 보내기 위함이엇다. 日本人 개인의 쌀 소비량에 비하면 朝鮮의＜7＞ 쌀 생산 천 오, 육백만 석이라는 것이 오히려 부족한 것이지마는 朝鮮農民의 빈곤은 그 쌀을 먹지못하야 팔고 값이 헐한 좁쌀을 먹게 되는 것이다. 쌀을 먹기 위하야 밭을 논으로 만들 資力도 없고 또 비싼 金肥를 施用할 힘도 없으면서 오직 産米政策에 의하야 巨費를 드려서 증산하면서 그 自家의 常食品은 滿洲에서 구하야 드리는 것이다. 이가 근본적으로 불합리한 운행인 것은 물론이어니와 이제 정책적으로 增産한 것이요 아직도 증산에 열중하는 도중에서 최근에 日本에서 朝鮮米移入制限問題가 크게 문제화하얏으니 이는 맛치 他外國에는 팔 수도 없는 물건을 마처서 많이 만들어 놓은 다음에 불필요하다고 안 가저가는 것과 같은 것이다. 물론 朝鮮에서 그만한 쌀을 소비하드래도 米食糧이 충분할 것도 아니지마는 이를 소비하고는 일반 금전지출의 생활이 전연 불가능한 것이다. 그 지은 쌀을 먹지 못하야 팔려고 애를 쓰게 된 형편은 식민지 경제의 隷屬을 표명하는 한 가지 중요한 결정이라 할 것이다.

최근 신문의 보도에 의하면 去 25일에는 확정적이라든 朝鮮米의 買上案이 수속관계로 임시 의회에 제출되지 않는다 하더니 27일에는 今明日中에 법률안으로 의회에 제출된다 하얏으나 이제 그 매상안이 반드시 流産되지 않으리라고 보장할 수 없다는 느낌이 잇다. 만약 그가 의회에 제출되지 않는다 할지라도 日本米專賣案, 朝鮮米統制法案은 반드시 제출되는 모양이다.(12행 略)

4. 米買上案의 內容檢討
이제 米穀應急施設法案이라는 것이 확실히 실시되는 것이라고 추정하고 그 내용을 일별하건대 현미를 매상하되 매상장소는 仁川, 釜山 等 5, 6集散地로 하며 가격은 時價로써 한다는 것이다. 그리고 매상시기에 대하야는 아무러한 말이 없으니 이 내용된 바가 너무나 米의 직접생산자인 농민의 利害와 멀어저 잇음을 알 수가 잇다.
