잡지명	동광 제39호
발행일	1932년 11월 01일
기사제목	戰爭이냐? 平和이냐?, 滿洲問題와 中國의 對日政策 (War or Peace? The Manchurian Problem and China's Policy Towards Japan)
필자	上海 申彦俊 (Shanghai Sin Hyŏn-jun)
기사형태	논설 (Editorial/Op-ed)

War or Peace? The Manchurian Problem and China's Policy Towards Japan
						Shanghai Sin Hyŏn-jun

The cannon fire from Manchuria's fields and the Huangpu River has awakened the dull Chinese people from their peaceful dreams.

Chiang Kai-shek shouts for "Unified Resistance Against the Outside" (一致對外) and joins hands with his political rival, the Wang Chao-ming (汪兆銘) faction. Students and youth, angered by the powerlessness of the Nationalist Government, surround the Government offices, attack the Central Party Headquarters, and cut off the hair of the Foreign Minister. Social organizations in various provinces, furious at Chang Hsüeh-liang's non-resistance, clamor through "public telegrams" (通電) for Chang's dismissal and execution by firing squad. Anti-Japanese National Salvation Associations (抗日救國會), springing up like bamboo shoots after rain everywhere, advocate for the "populace to automatically engage in a decisive war against Japan" (民衆이 自動的으로 對對日決戰) and have been boycotting Japanese goods until now.

The past year since the Manchurian Incident occurred could be called an era of storms. A year has passed amidst anxiety, fear, clamor, chaos, and excitement. Newspapers, magazines, books, and all sorts of publications; students, workers, farmers, merchants, and people of all classes have all been talking, chattering, discussing, and researching the Japan problem. The attention of the Chinese people has been focused on "dealing with Japan."

How should Japan be confronted?

The answers presented over the past year by people from all layers and classes across the nation regarding this problem can be summarized into about five points:

1.  Decisive war against Japan (對日決戰).
2.  War without declaration (不宣而戰). (Resisting like the current Volunteer Army without going through the formality of declaring war).
3.  Movement for an economic blockade against Japan (對日經濟封鎖運動). <4>
4.  Reliance on the League of Nations and liaison with America and Russia (國際聯盟依賴 及 米露連絡).
5.  Peace negotiations with Japan (日本과 平和交涉).

Among these five assertions, many advocate for combining two or three of them. For example, waging a decisive war against Japan while simultaneously forming an alliance with America and Russia, or fighting without declaring war while using the League of Nations to borrow the power of various countries to suppress Japan and recover Manchuria.

The Anti-Japanese National Salvation Associations in various regions, the Nationalist Youth Party (國家主義青年黨), and other radical elements advocate for a decisive war against Japan. A portion of politicians and military figures within the Nationalist Government, namely Sun Fo (孫科), Ch'en Ming-shu (陳銘樞), etc., advocate for war without declaration. The majority of key figures in the Nationalist Government hold the intention of trying peace negotiations with Japan if Manchuria cannot be recovered through the power of the League of Nations.

An economic blockade against Japan is considered necessary not only by those advocating for decisive war but also consistently by those advocating for war without declaration and those insisting on reliance on the League.

Decisive War Against Japan?

Will China, at present, undertake the greatest adventure, declare war on Japan, and engage in a decisive, all-or-nothing battle (乾坤一擲)? The arguments of the pro-war advocates are as follows:

(1) China possesses a standing army of 3.5 million, giving it absolute superiority in terms of troop numbers.
(2) As seen from the actual example during the Shanghai Incident, the Chinese army is not inferior to the Japanese army. At that time, the Chinese side had only the 19th Route Army with 32,000 troops, the 5th Army with 23,000, and police and security corps numbering 800, totaling 56,000 soldiers. However, the Japanese side effectively had 3 army divisions, one mixed brigade, and the 3rd Fleet's naval landing forces, with a total troop strength of 115,000. Even adhering to the tactical principle that "an attacking force needs more than double the strength of the defending force," the Japanese army broke through the first line of defense only after a month of fierce fighting and struggle. If the government had provided active support, the 19th Route Army would have held the second line of defense.
(3) Japanese military combat techniques are superior to the Chinese army's, but the Chinese army's fighting spirit is superior.
(4) The vast territory of Great China, occupying most of the Asian continent, means its front line will be several times larger than that of the Great European War. Japan's military strength will not be able to support such a vast front line.
(5) Chinese soldiers receive a monthly salary of 3 yuan. For food, 3-4 steamed buns (饅頭) are sufficient if they eat well, and the Northwest Army fought for a month on the Longhai front eating only radishes (大根). Clothing is also not an issue. In short, the issue of military expenses is not very significant for the Chinese army, but the Japanese army lacks the endurance of the Chinese army and will not be able to withstand a long-term, arduous war.
(6) The Chinese army has decades of actual combat experience. Armchair strategy and actual combat experience are vastly different.
(7) If war with Japan breaks out, the entire country will naturally be unified, and foreign aid will also become available.

In response to the above pro-war arguments, there are anti-war or war-preparation arguments. That is, a decisive war cannot be fought at present, and preparations for war should be made. The arguments from that side are:

(1) Although China's military strength reaches over 3 million, tactically, if one-third of the force is lost, it is considered that combat power is lost. Yet, in the Shanghai Incident, the Japanese army eliminated one-third of the Chinese forces within a month.
(2) In terms of scientific weaponry, the Japanese army has absolute superiority. Especially in air power, China cannot even compare with Japan, so a war against Japan will only result in Chinese sacrifices. <5>
(3) It is advantageous for China to avoid a decisive war with Japan and wait for an opportunity for a Japan-US or Japan-Russia war to make its move.
(4) The roots of internal trouble, such as warlords and the Red Army (紅軍), must be removed before an external war can be fought. In short, the opposition to decisive war is not a fundamental denial of war against Japan, but rather an argument for preparation or waiting for an opportunity.

What is War Without Declaration (不宣而戰)?

War without declaration literally means waging war without declaring it. That is, resisting the Japanese army in the manner of the current Northeast Volunteer Army (東北義勇軍) movement. Also, if the Japanese army attacks Jehol (熱河) or Tientsin (天津), it means fighting an unofficial war like the battle carried out by the 19th Route Army in Shanghai. The main point of this assertion is that if war is declared on Japan, the Japanese army can freely attack various parts of Chinese territory, causing China enormous economic losses. However, war without declaration avoids such losses. Furthermore, war without declaration, due to adherence to the Kellogg-Briand Pact (不戰條約) and various other relationships, makes China's diplomatic position advantageous. However, opponents of this policy argue that resisting the Japanese army individually in various regions is a self-destructive strategy that gives Japan the tactical advantage of concentrating its entire military force to defeat them one by one.

Pros and Cons of Relying on the League

Can Manchuria be recovered by relying on the League of Nations? Even if it cannot be recovered, can a rational solution be achieved? Regarding this, the majority of key figures and diplomats in the Nationalist Government trust that it "might be possible." That is, they believe that the member states of the League, to preserve the League's authority, and Britain and France, the leading figures of the League, for their own huge interests, will unite to pressure Japan.

They are optimistic that Japan's withdrawal from the League will create a situation more favorable to China. Britain, due to its trade and concession relations in China, stands opposed to Japan. America shows a clear momentum to support Britain and, by extension, the League. As for France, although there has recently been talk of a secret Franco-Japanese pact, France is focusing on European issues and is unlikely to take active measures in the Far East. Furthermore, it is unlikely to stand by and watch the authority of the League, which has such historically close ties to France as to be considered its diplomatic organ, decline. Therefore, it is observed that even France will likely aid China.

The arguments of those opposing reliance on the League are:

(1) Judging from the League's attitude towards the Manchurian problem over the past year, the League, constrained by Japan, cannot make a forceful decision and ultimately fudges the urgent Manchurian issue by dispatching a so-called investigation commission.
(2) At a time when Germany, Italy, and Belgium are dissatisfied with the Treaty of Versailles and talk of withdrawal from the League exists, if Japan withdraws, the League will collapse (瓦解).
(3) Looking at the League's past record in resolving disputes between member states, it has resolved disputes between small nations, but disputes between small nations and strong nations could not be resolved due to interference from the strong nations. The "Corfu incident" (꼬브 事件) is one such example. Moreover, even if disputes between strong and weak nations are resolved, the outcome is ultimately unfair. For instance, the dispute between Britain and Turkey over the "Iraq issue" (이랍 問題) was resolved by the League's power, but in the end, the League served Britain's interests and sacrificed Turkey's interests. <6>

Economic Blockade Against Japan

The economic blockade against Japan, that is, the movement for economic severance (經濟絶交運動) with Japan, has been implemented from the Manchurian Incident until today. However, a nationwide, unified economic blockade against Japan has only been called for and not yet put into practice. Nevertheless, since the Manchurian Incident, both the Chinese government and the populace have consistently made the economic boycott the main force of the anti-Japanese movement.

Recently, ahead of the League of Nations General Assembly, preparations are underway to attempt a nationwide, unified economic blockade against Japan, seizing the opportunity of the conflict between Japan and the League. The League of Nations Covenant Defense Alliance (國際聯盟 盟約擁護同盟) in Shanghai is taking the lead, coordinating with various national organizations in commerce, industry, agriculture, transportation, and shipping to carry out a large-scale boycott. The League of Nations Covenant Defense Alliance, based on Article 16 of the Covenant (盟約 第16條), has issued a public telegram stating that China itself will take the lead in implementing an economic blockade against Japan. It is a fact that the Nationalist Government is supporting this movement from behind (背後), and it seems the Nationalist Government is backing the movement as a diplomatic ploy (策略) to attract the attention of various countries by making noise about an economic blockade against Japan before the League General Assembly.

Direct Negotiations?

The argument for resolving the Manchurian problem through direct negotiations between Japan and China is advocated not only by a considerable number of people within the Nationalist Government but also keenly by scholars like Hu Shih (胡適) from the private sector and the Tianjin newspaper *Ta Kung Pao* (大公報).

The direct negotiation argument proposes trying to reach a rational solution through direct talks between Japan and China, as relying on the League for the Manchurian problem is unlikely to lead to any particular resolution. Regarding the content, there are various proposals, such as making Manchuria a neutral buffer state by having both Japan and China completely abolish all military installations in Manchuria while granting Japan its rights under treaties, or abolishing Manchukuo (滿洲國) and establishing joint Sino-Japanese rule.

There is also talk that the newly appointed Japanese Minister to China, Mr. Ariyoshi Akira (有吉明), has proposed direct negotiations to key figures in the Nationalist Government.

However, the Nationalist Government believes direct negotiations are impossible, and even if negotiations were held, a rational solution cannot be expected, so it is watching the League's resolution. If the League were to tell Japan and China to resolve the Manchurian problem through direct negotiations and subtly withdraw its hand from Manchuria, China would ultimately have no choice but to engage in direct negotiations.

The Outcome of the Manchurian Problem?

The Manchurian problem, which could not be resolved even by the League, cannot be resolved through direct negotiations either. No matter how much the government might want to abandon Manchuria and preserve only the territory within the Great Wall (關內), the populace, with its extremely strong national consciousness (國家意識), will not tolerate it. Furthermore, if a faction advocating such a stance exists within the government, an opposing faction will surely emerge. Therefore, no ambitious politician can make such an argument.

Currently, the Nationalist Government's immediate policy consists of secretly aiding (暗中援助) the Northeast Volunteer Army to create chaos in the Northeast, using the League to diplomatically check Japan, and preparing for an anti-Japanese war while waiting for a war between the United States and Japan. If the League or the United States actively supports China regarding the Manchurian problem, the issue will ultimately become the fuse (導火線) for a Sino-Japanese war, a Japan-US war, or even a world war. If both the League and the United States back out, the Manchurian problem will ultimately end up being China's sacrifice. <7>

**Summary**

This 1932 article by Sin Hyŏn-jun outlines the intense debate within China following the Manchurian Incident regarding how to respond to Japanese aggression. It details five main policy options discussed across Chinese society and government: decisive war, undeclared guerrilla warfare, economic blockade, reliance on the League of Nations (potentially with US/Soviet support), or direct peace negotiations with Japan. The author analyzes the pros and cons of each approach, reflecting the internal divisions, military assessments, diplomatic hopes, and prevailing anxieties within China, ultimately suggesting that without strong international intervention, China might be forced to sacrifice Manchuria. From a Korean colonial history perspective, this article is significant as it shows a Korean intellectual (Sin Hyŏn-jun reporting from Shanghai) analyzing and reporting on Chinese resistance strategies against Japanese imperialism, a shared oppressor. Historians might find valuable insights into the transnational anti-Japanese sentiment and the complex geopolitical dynamics of East Asia as perceived by a Korean observer during this critical period.

**Named Entities**

上海	상해	Shanghai
申彦俊	신언준	Sin Hyŏn-jun
黃浦江	황포강	Huangpu River
中國	중국	China
蔣介石	장개석	Chiang Kai-shek
汪兆銘	왕조명	Wang Chao-ming (Wang Jingwei)
國民政府	국민정부	Nationalist Government (Kuomintang Government)
中央黨部	중앙당부	Central Party Headquarters
外交部長	외교부장	Foreign Minister
張學良	장학량	Chang Hsüeh-liang (Zhang Xueliang)
抗日救國會	항일구국회	Anti-Japanese National Salvation Association
日本	일본	Japan
滿洲	만주	Manchuria
東北	동북	Northeast (Manchuria)
孫科	손과	Sun Fo
陳銘樞	진명추	Ch'en Ming-shu (Chen Mingshu)
國際聯盟	국제연맹	League of Nations
米	미	America (USA)
露	로	Russia (Soviet Union)
歐洲	구주	Europe
熱河	열하	Jehol (Rehe)
天津	천진	Tientsin
英國	영국	Britain
佛蘭西	불란서	France
獨逸	독일	Germany
伊太利	이태리	Italy
白耳義	백이의	Belgium
꼬브	꼬브	Corfu
이랍	이랍	Iraq
土耳其	토이기	Turkey
國際聯盟 盟約擁護同盟	국제연맹 맹약옹호동맹	League of Nations Covenant Defense Alliance
胡適	호적	Hu Shih
大公報	대공보	Ta Kung Pao (Newspaper)
有吉明	아리요시 아키라	Ariyoshi Akira
滿洲國	만주국	Manchukuo

**Glossary**

覺亂	각란	To awaken rudely, disturb (older term)
憤慨	분개	To be indignant, resentful
不抵抗	부저항	Non-resistance
通電	통전	Public telegram, open message circulated electrically
提唱	제창	To advocate, propose
歸結	귀결	To conclude, result in
兼한	겸한	Combined, concurrent (older spelling: 겸한 vs contemporary 겸한)
回復	회복	To recover, restore
冒險	모험	Adventure, risk
乾坤一擲	건곤일척	All-or-nothing gamble, staking everything on one throw
優越	우월	Superiority, excellence
廣汎	광범	Wide-ranging, extensive (older Hanja form of 광범)
支持	지지	To support, sustain
忍耐力	인내력	Endurance, perseverance
判異	판이	Vastly different, disparate
禍根	화근	Root of misfortune, cause of trouble
除去	제거	To remove, eliminate
任意	임의	Arbitrary, voluntary, at will
牽制	견제	To check, restrain, keep in check
權威	권위	Authority, prestige
自身	자신	Oneself, itself
墮落	타락	To fall, degenerate, decline
觀測	관측	To observe, view, speculate
結局	결국	In the end, ultimately
派遣	파견	To dispatch, send
瓦解	와해	To collapse, disintegrate
會員國	회원국	Member state/nation
紛爭	분쟁	Dispute, conflict
率先	솔선	To take the lead, take the initiative
背後	배후	Behind the scenes, in the background
應援	응원	To support, aid, cheer for
策略	책략	Strategy, ploy, stratagem
別般	별반	Particularly, especially (often used with negative)
取消	취소	To cancel, revoke
共同統治	공동통치	Joint rule, co-dominion
提議	제의	To propose, suggest
觀望	관망	To wait and see, observe passively
放棄	방기	To abandon, give up
援强烈	원강렬	Extremely strong (援 likely a typo or archaic usage for 'very', modern form is '매우 강렬' or '극히 강렬')
容認	용인	To tolerate, condone, permit
暗中援助	암중원조	Secret aid, clandestine support
導火線	도화선	Fuse (lit. fire-guiding line), trigger


---------------------------


잡지명	동광 제39호
발행일	1932년 11월 01일
기사제목	戰爭이냐? 平和이냐?, 滿洲問題와 中國의 對日政策
필자	上海 申彦俊
기사형태	논설

戰爭이냐? 平和이냐?, 滿洲問題와 中國의 對日政策
						上海 申彦俊
滿洲뜰 黃浦江의 대포소리는 뜨고 鈍한 中國民族의 平和스러운 꿈을 覺亂해 놓앗다.
蔣介石은 「一致對外」를 부르짖고 政敵 汪兆銘一派와 손을 잡고 學生靑年들은 國民政府의 無力을 憤慨하야 國府를 包圍하고 中央黨部를 襲擊하고 外交部長의 머리를 깟다. 各省 社會團體는 張學良의 不抵抗을 憤慨하야 張을 撤職銃殺하라고 「通電」으로 아우성 치고 各地에서 雨後竹筍같이 일어난 抗日救國會는 「民衆이 自動的으로 對對日決戰」을 하자고 提唱하야 지금까지 日貨排斥을 하고 잇다.
滿洲事變이 생긴 以來 過去 1個年은 暴風雨時代라 이름지을까. 不安, 恐怖, 아우성 攪亂, 興奮가운데서 1個年을 지낫다. 新聞, 雜誌, 書籍 等 온갓 出版物, 學生, 工人, 農民, 商人 等 모든 階級의 사람은 모두가 對日問題을 이야기하고 지꺼리고 討論하고 硏究하야왓다. 中國民의 注目은 「對日」에 集中되엇다.
어떠케 일본을 對抗할까?
이 問題에 대한 1個年동안이나 두고 全國 各層 各階級의 사람이 發表한 答案은 約다섯가지로 歸結되엇다.
1. 對日決戰.
2. 不宣而戰. (宣戰의 形式을 밟지 않고 現在 義勇軍式으로 抵抗하는 것)
3. 對日經濟封鎖運動.＜4＞
4. 國際聯盟依賴 及 米露連絡.
5. 日本과 平和交涉.
이 다섯 가지 主張은 그 가운대 두 가지 혹은 세 가지를 兼한 主張이 많다. 例하면 對日決戰을 하는 同時에 米露와 同盟하자는 것, 또는 不宣而戰을 하면서 國際聯盟을 通하야 列國의 威力을 빌어 日本을 누르고 滿洲를 찾으려는 것 等이다.
各地의 抗日救國會 國家主義靑年黨 其他 急進分子는 對日決戰을 主張하고 國民政府 內의 一部分 政治家 及 軍人 卽 孫科 陳銘樞 等은 不宣而戰을 主張하고 國民政府要人의 最多數는 國際聯盟의 힘을 빌어 滿洲를 恢復치 못하면 日本과 平和交涉을 하여보려는 意向을 가지고 잇다.
對日 經濟封鎖는 對日 決戰을 主張하는 便은 勿論이고 不宣而戰을 主張하는 便과 聯盟依賴를 固執하는 便까지도 一致로 必要視한다.

對日決戰?
現在에 잇어 中國은 最大冒險을 하고 日本에 向하야 宣戰을 布告하고 乾坤一擲의 決戰을 할까? 主戰論者들의 論旨는 이러하다.
(1) 中國은 常備軍 350萬을 가지고 잇으므로 兵力으로 絶對優勢다.
(2) 上海戰爭當 時의 實例로 보더라도 中國軍隊는 日本軍隊에 지지 않는다. 當時 中國側은 19路軍 3만2천, 第5軍 2만3천, 警察 及 保衛團 8백 都合 5만6천의 兵力밖에 못되엇다. 그러나 日本側은 事實 上 陸軍 3個 師團, 一 混成旅團, 第3 艦隊 海軍陸戰隊, 總兵力 11만5천을 가지고 잇엇다. 日本軍이 中國軍에 대하야서도 「攻擊軍은 防禦軍의 2倍 以上의 兵力을 必要한다는 戰術原則에 依據하여서야 1個月의 惡戰苦鬪로 第一道 防禦線을 破壞하얏다. 만일 政府에서 積極援助만 하얏더면 19路軍은 第2道 防禦線을 固守하얏을 것이다.
(3) 日本軍의 戰鬪技術은 中國軍隊보다 優越하지만 戰鬪精神은 中國軍이 優越하다.
(4) 亞細亞大陸의 大部分을 占領한 大中國의 廣汎한 國土는 그 戰線이 歐洲大戰의 數倍以上이 될 것이다. 日本의 兵力으로 廣汎한 戰線을 支持하지 못할 것이다.
(5) 中國軍隊는 每月 月給3元, 食料는 잘먹는대야 饅頭 3,4個면 足하고 西北軍은 壟海戰線에서 한달동안을 무(大根)만 먹고 싸왓다. 또 被服도 問題가 없다. 要컨댄 中國軍隊는 軍費問題가 그리 重大하지 않으나 日本軍은 中國軍과 같이 忍耐力 잇고 長期惡戰에는 견대지 못할 것이다.
(6) 中國軍은 數十年來 實戰經驗이 잇다. 紙上談兵과 實戰經驗은 判異한 것이다.
(7) 對日戰爭이 일어나면 全國은 自然 統一되고 外國의 援助도 잇게 된다.
以上 主戰論에 대하야 非戰論 又는 備戰論이 잇다. 卽 現在에 決戰은 못할 것이고 戰爭을 準備하자는 것이다. 그 便의 論旨는
(1) 中國의 兵力이 3百萬 以上에 達하나 戰術上 兵力의 3分之1이 喪失되면 곳 戰鬪力이 喪失된 것으로 論한다. 그런데 上海戰爭에 잇어 日本軍은 1個月以內에 中國軍의 3分之1을 消滅하얏다.
(2) 科學的 兵器로 보아 日本軍은 絶對優勢다. 더욱 航空兵力에 잇어 中國은 日本과 比較도 못할 터인즉 對日戰은 中國의 犧牲만 보게 된다.＜5＞
(2) 中國은 日本과 決戰을 避하면서 日米 或은 日露戰의 機會를 기다려 動하는 것이 有利하다.
(4) 軍閥, 紅軍等 內部의 禍根을 除去하고야 對外戰을 할 수 잇다. 要컨대 決戰反對論은 對日戰爭을 根本的으로 否定하는 것이 아니고 準備論 又는 機會待望論이다.

不宣而戰이란?
不宣而戰이란 文字뜻대로 宣戰아니하고 戰爭하자는 것이다. 卽 現在 東北義勇軍運動모양으로 日本軍을 抵抗하자는 것이다. 또 日本軍이 만일 熱河든지 天津이든지 襲擊하면 上海에서 19路軍이 實行한 戰鬪모양으로 非公式的 戰爭을 하자는 것이다. 이 主張의 要點은 對日宣戰을 하면 日本軍은 中國의 領土 各部分을 任意로 攻擊하야 中國에 經濟的 非常한 損失을 주게 된다. 그러나 不宣而戰은 그런 損失이 없다. 또 不宣而戰은 不戰條約의 遵守 及 其他 여러 가지 關係로 外交的으로 中國의 立場이 有利하게 된다. 그러나 이 政策에 대하야 反對論者는 各地方에서 個別的으로 日本軍을 抵抗하는 것은 日本으로 하여금 全兵力을 總集中하야 各個擊破하는 戰路 上 便宜를 주는 自滅之策이라 말한다.

聯盟依賴의 贊否兩論
國際聯盟을 依賴하야 滿洲를 찾을 수 잇을까. 찾지는 못하더라도 合理的 解決을 할 수 잇을까. 여기에 대하야 國民政府의 多數 要人들과 外交家들은 「잇으리라」고 信賴하고 잇다. 卽 聯盟各國은 聯盟의 權威保存을 위하야 또 聯盟의 主人翁格인 英佛兩國은 自身의 巨大한 利益을 위하야 日本을 一致壓迫하리라고 믿는다.
日本의 聯盟脫退에 대하야 더욱 中國에 有利한 情勢가 오리라고 樂觀한다. 英國은 中國에 在한 貿易 及 利權關係로도 日本과 對立되고 또 米國은 英國 乃至 聯盟을 應援하려는 氣勢가 確然하고 佛蘭西로 말하면 最近 日佛密約까지 잇지만 佛國은 歐洲問題에 注力하고 잇는만큼 極東에서 積極行動은 아니할 것이고 또 佛國의 外交機關이라고 할만치 自身과 歷史的 密接關係를 가진 聯盟의 權威가 墮落되는 것을 그냥 보고 잇지 아할 것이다. 그러므로 佛國까지도 中國을 援助하리라고 觀測한다.

聯盟依賴反對論便의 論旨는
(1) 過去 1個年 間 聯盟의 滿洲問題에 대한 態度로 보아 聯盟은 日本의 牽制를 받아 有力한 判決을 못하고 結局 所謂 調査團을 派遣하야 緊急한 滿洲問題를 이때까지 흐지부지 한다.
