Magazine Title: 동광 제40호
Publication Date: 1933년 01월 23일 (January 23, 1933)
Article Title: 東光 圓卓會議 (Tonggwang Roundtable Meeting)
Author: 한길 (Han'gil); 正義女高普 THO (Chŏngŭi Yŏgobo THO)
Article Type: 문예기타 (Literary Miscellaneous)

**東光 圓卓會議 (Tonggwang Roundtable Meeting)**
This column is open to readers. The opinions published in this column are not the responsibility of this company. Anonymity in print is permitted, but address and name must be clearly stated. Selection is at the discretion of this company. Manuscripts will not be returned. Personal attacks are forbidden. Address practical problems simply and clearly rather than abstract theories. Impressions after reading articles from this magazine are also acceptable.

**Debate on the Naming of Hunmin Chŏngŭm - Change the Name "Han'gŭl"!**
Han'gil

Regarding the name of our script, it seems the issue has probably long been settled. It appears to have been definitively established as "Han'gŭl." However, everyone also knows that the original name of our script is clearly not "Han'gŭl." The name "Han'gŭl" is a modern name newly created by someone in recent times as research into our script was undergoing a revival. Although not certain, perhaps it was named by Mr. Chu (周氏).

Before I state my personal opinion here, let me first examine and explain why our script was renamed "Han'gŭl."

First, our script originally came out with the name "Chŏngŭm" (正音), but someone along the way smeared it with the derogatory names Ŏnmun (諺文) or Panjŏl (反切). Therefore, to rid this ignorant script of ours of its insulting name, a new name was likely created.

Next, it would be good if the name of our script remained its original name, Chŏngŭm. However, on the one hand, having the name of our script in Chinese characters (漢文字) is less appealing, and on the other hand, the meaning of "Chŏngŭm" itself does not signify the name of a "script" (文字) but rather seems like a term from music theory (樂理) or phonology (音學上), so it was likely not used.

Under such motivations, in creating a new name for our script, it seems that those with heightened patriotic thought (愛國思想) at the time, intertwined with a nationalistic (國粹的) spirit, consequently named it "Han'gŭl" (韓글). This was likely meant to signify "Korean script." However, the "Han" (한) in "Han'gŭl," by its meaning, seems intended to encompass not only the meaning of "Han" (韓) as in Korea, but also the meanings of "One (一), Great (大), Bright (光明)."

However, I absolutely cannot agree with this. I am completely opposed. The reasons are as follows.

Chŏngŭm is our script. In other words, it is the Korean script, that is, Han'gŭl. Even if we don't specifically call it "Han'gŭl, Han'gŭl," everyone will know it is the Korean script. Just because the alphabet was not named "English script" (英文), would anyone say it is not English? Just because Kana (가나) was not specifically named "Japanese script" (日本文), would anyone say it is not Japanese? Similarly, even without calling it Han'gŭl, would the world not know this is the Korean script? Names for scripts are the same as names for people. For instance, if you were to name a person from the Kim (金) family "Mr. Kim" again, everyone would laugh. Try calling someone Kim Kim-ssi (金金氏); isn't it ridiculous? Naming the Korean script Han'gŭl is exactly the same thing. Try saying "England's Alphabet, Japan's Kana (假名), Korea's, that is, Han's (韓) Hanmun (韓文)." The former have distinctiveness and sound like names, but the latter is like adding bland water to bland water.

However, there is another contradiction here: <95> although "Han'gŭl" was likely intended to mean Han (韓) script, currently, when commonly pronounced, the "Han" (한) is spoken quickly (as a short sound - 促音), thus only having the meaning of "one script" (一文). Furthermore, even if explained as having the meaning of Han (韓), since Han as another name for Chosŏn (朝鮮) is already an archaic word, ordinary children and the laboring and farming masses (勞農大衆) cannot understand it at all. Consequently, this cumbersome and bland name fails to evoke a unique impression or deep affection (愛着) for this script. We also know how much this anachronistic, unrealistic, non-universal, non-vernacular, difficult (難澁) name hinders our script promotion movement (文字普及運動) today. Leaving it as Ŏnmun (諺文) would actually be less harmful to the development of the script itself.

The most important condition for a name, above all, is that it should be easy to pronounce and easy to understand. This applies equally to people and things, and of course, it should well express the characteristics and nature of the entity itself. From this perspective, we should also change the name of our script. Then, what would be a truly appropriate name for our script—rather, what would be the *right* name—is something we should consider.

It must be a name that is, first, easy to pronounce; second, easy to understand; third, not deviating from the meaning of the original name of our script, Chŏngŭm (正音); and fourth, suitable for the value, that is, the character (人格), of our script. In my opinion, calling it "Ch'amgŭl" (참글 - True Script) seems best.

Ch'amgŭl! How easy to pronounce, easy to understand, and what a fitting designation (代名辭) for the value of our script! The original meaning (原意) of Chŏngŭm is also "true sound/script." I slightly wonder (疑念) why, at that time, they regrettably borrowed characters from another language to write Chŏngŭm, instead of calling it Ch'amgŭl. Perhaps the elders (어른) of that time conceived it with this idea, but due to some political relationship (政治的 관계) with China (支那), they could not bring themselves to use a name that seemed to reject (排斥) their script. Maybe that's also why they used the term "ŭm" (音 - sound) instead of the designation "mun" (文 - script). Ignorant scholars and pedants (愚士腐儒), failing to grasp even this frustrating sentiment (心情), eventually ended up calling their script Chinsŏ (眞書 - True Script) and our script Ŏnmun (諺文), or put more simply, calling their script "true script" (참글) and our script even "dog script" (개글). To gain forgiveness for this transgression (허물), we must today truly call our script Ch'amgŭl. We have a duty to call it so.

Truthfully speaking, our script is indeed Ch'amgŭl. All writing systems (文學) scattered across the world until now are actually byproducts (副産物) in the developmental process of human writing (人類文字發展過程上), created for the purpose of giving birth to our script. To put it differently, they are all merely provisional (應急的) or spontaneously generated (自然發生的) pseudo-scripts (假文字). Only with our script did humanity produce a truly scientific (科學的), rational (合理的), and cultural (文化的) script in human history (人類史上).

I implore you, officials of all educational (敎育) and media (言論) institutions in Chosŏn (朝鮮)! And you, gentlemen (諸氏) engaged in the study of our script! For the true and perfect (完美) development of our script, cast off ingrained conventions (固陋한 因襲), apply rigorous criticism (嚴正한 비판), and change the true name of our script! Although the name "Han'gŭl" seems to have considerably permeated (腐融) the student stratum, if we do not change it now, the name of our script might remain that way forever. No, it might become unchangeable. That is, it might end up being permanently called Ŏnmun among the general public (一般大衆). To strive for the true development of our script, we must first give it its true name.
Find and call our true script by its true name! <96>

**Critique of the P'yŏngyang Girls' School Review**
Chŏngŭi Yŏgobo (正義女高普) THO

Regarding the Girls' School Review published in the July and September issues of Tonggwang, Mr. L of Ewha Women's College (梨專 L君) took the lead in delivering a satisfying blow (痛快한 일격). We shall, as a second round, place the critique of Chŏngŭi Yŏgobo (正義女高普) found within "P'yŏngyang Male Students' View of P'yŏngyang Female Students" onto the examination table (진찰대) and check its pulse (疾脉 - likely 診脈 chinmaek).

**Patient No. 1: Critique by Sungsil College (崇專) C.S. Student**
The author seems quite neurotic. Thinking he was dispensing golden words wrapped in jade (金言玉包) or laying down daggers (비암 - likely 비수), he declared, "It's a school without character, students without vitality," and then, overcome by some sorrow, repeatedly exclaimed "Ah! Ah!" (아아!). Did you perhaps even shed tears from your nose? Please don't worry so much. Does a school only have character if it sends out an XX Brigade (XX隊) looking for food, and are students only vital if they go out here and there as a traveling music troupe (巡廻音樂隊)?

**Patient No. 2: Critique by Sungsil College (崇專) Inspection (司察?) Student**
"Their vitality is average, their conduct is also average, though comparatively extravagant."
You say comparatively extravagant, but compared to what? Compared to the clothes of the elderly in a nursing home (양로원)? Compared to Yankee girls' (양키껄) clothing? Or perhaps compared to the uniforms (교복) of other girls' schools in the city (市內)? It seems that to your 19th-century (19세기) eyes, all clothing other than black (黑以外) appears extravagant.

**Patient No. 3: Joint Critique by Sungsung Middle School (崇中) Students: Kōdōsei (高堂生?), Niryusaeng (尼流生?), TS Student, Y.K. Student, Ch'oe Student**
You used sly (獠猾 - likely 狡猾 kyohwal) phrasing like "During prayer at public worship (公衆禮拜席), they don't not fail to look around in all four directions (四面)" etc. (云云). If we assume that to be correct, how did you know whether we look in four directions (四面) or eight directions (八面)? Isn't this truly a case of the sparrow caught in its own trap (제구물에 걸린 참새의 격)? It's too pitiful to write more.
What does "The atmosphere (氣風) seems somewhat uninteresting (자미없이)" mean? Why? If there are specific uninteresting points, why couldn't you pinpoint them, instead resorting to backpedaling and making feeble noises (기운없는 소리)? Your critique (評文) is merely further evidence of the heckling (야지) you commonly engage in at public meetings (公會席). Is this really the result of five young men of Chosŏn (朝鮮靑年) deliberating together?

**Patient No. 4: Critique by Sungsil Commercial School (崇商) K.H. Student**
"The Chŏngŭi Yŏgobo girls dress stylishly (맵시 잘 내고) and go for walks (산보 잘하니) often, so when do they ever study (공부)?"
This sounds just like the kind of lecture (訓話式) an old principal (校長) would give during ethics class (修身 時間). As a Sungsil Commercial (崇商) student, you should still be a young companion (同伴), so why are you nagging (잔소리) so much? Even with the same clothes, isn't it better to wear them tailored to one's body? You probably fuss quite a bit when ordering your school uniform (校服 注文)... And now even going for walks bothers you? We want to shout, "Girls of Chosŏn (조선의 여학생), go for walks!" Can your head, gleaming with the character "Sang" (商 - commerce), not comprehend this? Are you not, after all, a middle school student (中學生) of Chosŏn breathing the air of the 20th century (20세기)?

You kindly worried (念慮) that we couldn't study because we dress stylishly and go for walks, but remember that this is merely an outburst of your simple old-womanish concern (老婆心). Throw that smelly old-womanish concern into the trash bin (쓰러기통) now. <97>

With this, we conclude the examination of the sleep-talking (잠꼬대) of these slander-critique patients (忘評患者).
Are you not also young people who breathe the spirit (정기) of Moran Hill (모란봉) and drink the waters of the P'ae River (浿水)? Stop this nonsensical slander (忘評), study more, and research more.
Let's roll up our sleeves (팔을 것고 - likely 걷고) and strive for greater things! <98>

**Summary**

This "Tonggwang Roundtable" presents two distinct opinion pieces. The first, by "Han'gil," argues vehemently against the modern name "Han'gŭl" for the Korean script, deeming it redundant ("Korean script"), historically unfounded compared to the original "Chŏngŭm" (正音), and impractical due to pronunciation ambiguity and the archaic nature of "Han" (韓). The author advocates for "Ch'amgŭl" (참글 - True Script) as a name that is easy to use, meaningful ("true script" reflecting Chŏngŭm's intent), historically justified, and expressive of the script's perceived scientific and cultural superiority. The second piece, by students identified as "THO" from Chŏngŭi Girls' High School (正義女高普), is a sharp, point-by-point rebuttal of criticisms leveled against their school and students by male students from various Sungsil (崇實) schools (College, Middle, Commercial) in P'yŏngyang, originally published in *Tonggwang*. The rebuttal defends the students' character, dress sense, behavior during worship, and leisure activities (like walking), dismissing the criticisms as neurotic, old-fashioned, illogical, and born of simplemindedness or heckling tendencies.

From a historical perspective, the first article vividly illustrates the linguistic nationalism and debates surrounding cultural identity in colonial Korea, particularly the efforts to reclaim and redefine Korean heritage, including the very name of the script, often framing it in opposition to Chinese influence and asserting its unique value. The second article offers a fascinating glimpse into the social dynamics and interactions between students of different genders and schools in colonial P'yŏngyang, showcasing female students actively defending their reputation and challenging perceived male condescension and outdated views on women's behavior and priorities. The specific criticisms and defenses reveal contemporary social norms and anxieties regarding modernity, appearance, piety, and the perceived duties of students.

**Named Entities**

周氏	주씨	Chu-ssi
朝鮮	조선	Chosŏn
韓	한	Han
英國	영국	Yŏngguk (England)
日本	일본	Ilbon (Japan)
金氏	김씨	Kim-ssi
平壤女學校	평양여학교	P'yŏngyang Yŏhakkyo (P'yŏngyang Girls' School)
正義女高普	정의여고보	Chŏngŭi Yŏgobo (Chŏngŭi Girls' High School)
梨專	이전	I-chŏn (Ewha Women's College)
平壤	평양	P'yŏngyang
崇專	숭전	Sung-jŏn (Sungsil College)
崇中	숭중	Sung-jung (Sungsung Middle School)
崇商	숭상	Sung-sang (Sungsil Commercial School)
모란봉	모란봉	Moran-bong (Moran Hill)
浿水	패수	P'aesu (P'ae River / Taedong River)
支那	지나	China (Archaic/derogatory term)
朝鮮靑年	조선청년	Chosŏn Ch'ŏngnyŏn (Korean Youth)

**Glossary**

欄	난	Column (in a publication)
讀者	독자	Reader
本社	본사	This company (referring to the magazine publisher)
不負	불부	Not bear (responsibility)
匿名	익명	Anonymity
明記	명기	Clearly state/write
採擇	채택	Selection, adoption
原稿	원고	Manuscript
禁物	금물	Forbidden item/act
抽象論	추상론	Abstract theory
實際問題	실제문제	Practical problem
簡單明瞭히	간단명료히	Simply and clearly (Older adverbial form)
訓民正音	훈민정음	Hunmin Chŏngŭm (Original name of the Korean alphabet)
命名論	명명론	Debate/theory on naming
고처라	고쳐라	Change! Correct! (Older spelling of 고쳐라)
벌서	벌써	Already (Older spelling of 벌써)
진즉	진즉	Long ago, earlier
淸算	청산	Settlement, liquidation
곳	곧	That is, namely (Older spelling of 곧)
原名	원명	Original name
近世	근세	Recent times, modern era
중흥	중흥	Revival, restoration
누구가	누군가	Someone (Older form)
創作	창작	Creation, invention
確然	확연	Certain, definite
웨	왜	Why (Older spelling of 왜)
고치엇는가	고쳤는가	Was changed/corrected (Older spelling/form)
正音	정음	Chŏngŭm ("Correct Sounds," original name for Hangul)
諺文	언문	Ŏnmun ("Vernacular Script," a somewhat derogatory historical name for Hangul)
反切	반절	Panjŏl (System for indicating pronunciation using two Chinese characters; sometimes used disparagingly for Hangul)
惡名	악명	Bad name, notoriety
씨웟다	씌웠다	Covered, smeared (Older spelling of 씌웠다)
侮辱的	모욕적	Insulting, humiliating
짓은	지은	Made, created (Older spelling of 지은)
漢文字	한문자	Chinese characters
語義	어의	Meaning of a word
樂理	악리	Music theory
音學	음학	Phonology, acoustics
用語	용어	Term, terminology
쓰지 아니 햇을	쓰지 아니 했을	Would not have used (Older spelling/form)
動機	동기	Motive, motivation
愛國思想	애국사상	Patriotic thought
드높든	드높던	Which was high/lofty (Older spelling)
國粹的	국수적	Nationalistic, chauvinistic
얽히여서	얽히어서	Being intertwined (Older spelling)
명명	명명	Naming, christening
一, 大, 光明	일, 대, 광명	One, Great, Brightness
連帶包含	연대포함	Jointly include
아조	아주	Very, completely (Older spelling of 아주)
구지	굳이	Insistently, specifically (Older spelling of 굳이)
알바베트	알파벳	Alphabet (Loanword transcription)
가나	가나	Kana (Japanese syllabary)
英文	영문	English script/writing
日本文	일본문	Japanese script/writing
웃읍지	우습지	Ridiculous, funny (Older spelling of 우습지)
假名	가명	Kana (Using Hanja for 가나)
韓文	한문	Han script (Hypothetical name contrasted with 韓글)
맹물	맹물	Plain water, bland thing
못처럼	뭣처럼	Like what; perhaps intended as '매우' (very) or typo for '모처럼' (specially)? Context suggests 'intended'.
짛엇슬	지었을	Would have built/named (Older spelling)
빨리하야(促音으로)	빨리하여(촉음으로)	Pronouncing quickly (as a short sound)
一文	일문	One script; One mun (unit of currency - context implies 'script')
死語化	사어화	Becoming an archaic word/dead language
勞農大衆	노농대중	Laboring and farming masses
도모지	도무지	(Not) at all, utterly
까다라웁고	까다롭고	Being complicated, fussy (Older spelling)
愛着	애착	Affection, attachment
이르키지	일으키지	Does not evoke/cause (Older form of 일으키다)
非時代的	비시대적	Anachronistic
非現實的	비현실적	Unrealistic
非普編的 通俗的	비보편적 통속적	Non-universal, non-vernacular (普編 likely typo for 普遍)
難澁한	난삽한	Difficult, convoluted
文字普及運動	문자보급운동	Script promotion movement
妨害	방해	Hindrance, obstacle
대하야	대하여	Regarding, towards (Older spelling)
첫재, 둘재, 셋재, 넷재	첫째, 둘째, 셋째, 넷째	First, second, third, fourth (Older spelling)
빗나지	빗나가지	Deviate from
價値	가치	Value, worth
人格	인격	Character, personality
적절하고	적절하고	Being appropriate, suitable
참글	참글	True script (Proposed name)
代名辭	대명사	Pronoun; here used as 'designation' or 'epithet'
原意	원의	Original meaning
햇엇는지	했었는지	Whether one did (Older spelling)
疑念	의념	Doubt, suspicion
어른	어른	Elder, adult
支那	지나	China (Archaic/derogatory term)
어뜬	어떤	Some kind of (Older spelling)
그렛든	 그랬던	Which was so (Older spelling)
排斥	배척	Rejection, exclusion
愚士腐儒	우사부유	Ignorant scholars and pedants
내종에	내중에	Later on, eventually (Older form of 나중에)
眞書	진서	True Script (Usually refers to standard Chinese characters)
개글	개글	Dog script (Highly derogatory term)
허물	허물	Fault, transgression
위하여도	위하여도	Even for the sake of (Older spelling)
흩어잇는	흩어져 있는	Scattered (Older spelling)
文學	문학	Literature; contextually implies 'writing systems' or 'scripts'
人類文字發展過程上	인류문자발전과정상	In the developmental process of human writing
副産物	부산물	Byproduct
뒵집어	뒤집어	Turning over, reversing (Older spelling)
應急的	응급적	Provisional, emergency
自然發生的	자연발생적	Spontaneously generated
假文字	가문자	Pseudo-script, false script
科學的	과학적	Scientific
合理的	합리적	Rational
文化的	문화적	Cultural
人類史上	인류사상	In human history
내인	내인	Produced, brought forth
바래거니	바라거니	I wish, I implore (Older form)
敎育	교육	Education
言論	언론	Media, speech
當事者들	당사자들	Parties concerned, officials
諸氏	제씨	Gentlemen (plural honorific)
完美한	완미한/완벽한	Perfect (完 likely typo for 完/璧)
固陋한 因襲	고루한 인습	Outdated convention/custom
嚴正한	엄정한	Rigorous, impartial
비판	비판	Criticism
가하야	가하여	Applying, adding (Older spelling)
영영	영영	Forever, permanently
一般大衆	일반대중	General public
영구의	영구히	Permanently, forever (Older form)
圖하는	도모하는	Planning, striving for
찾어	찾아	Finding (Older spelling)
評判記評	평판기평	Critique of a review/reputation report
痛快한	통쾌한	Satisfying, gratifying
일격	일격	A blow, strike
가하엿다	가하였다	Delivered, applied (Older spelling)
진찰대	진찰대	Examination table
우에	위에	On, upon (Older spelling)
疾脉	질맥	Pulse (likely typo for 診脈 진맥)
짚어보기로	짚어보기로	Decide to check/examine
患者	환자	Patient
其一, 其二, 其三, 其四	기일, 기이, 기삼, 기사	Number one, two, three, four
꽤	꽤	Quite, rather
金言玉包	금언옥포	Golden words wrapped in jade (Figurative for precious advice)
비암	비수/비난?	Dagger? Slander? (Ambiguous; context suggests criticism or sharp words)
않엇는지	않았는지	Whether (subject) did not (Older spelling)
말어주소	말아주시오	Please don't (Older polite imperative form)
巡廻音樂隊	순회음악대	Traveling music troupe/band
잇는	있는	Existing, having (Older spelling)
양로원	양로원	Nursing home
양키껄	양키것	Yankee girl's (thing/style)
市內	시내	Within the city
뵈이는	보이는	Appearing, looking (Older spelling)
公衆禮拜席	공중예배석	Public worship place/pew
四面	사면	Four directions/sides
안살피지 않지 않지	안 살피지 않지 않지	Doesn't not fail not to look around (Convoluted quadruple negative for emphasis: 'definitely looks around')
云云	운운	Etc., and so on (Used after quoting)
獠猾한	교활한	Sly, cunning (獠 likely typo for 狡)
썻으니	썼으니	Since (subject) wrote (Older spelling)
어떠케	어떻게	How (Older spelling)
알잇느냐	알았느냐	Did (you) know? (Older spelling/form)
제구물	제 그물	One's own net
氣風	기풍	Atmosphere, spirit, ethos
자미없이	재미없이	Uninterestingly (Older spelling of 재미없이)
내엇는가	내었는가	Did (subject) make/produce (Older spelling)
公會席	공회석	Public meeting place
야지	야지	Heckling, jeering (Slang/colloquial)
反證	반증	Counter-evidence, refutation
맵시	맵시	Style, stylishness
산보	산보	A walk, stroll
어느때나	어느 때나	At any time; rhetorically means 'never'
校長	교장	Principal (of a school)
修身	수신	Ethics, moral training (Subject in old curriculum)
訓話式	훈화식	Lecture-style, admonitory speech style
同伴	동반	Companion
잔소리	잔소리	Nagging
校服	교복	School uniform
注文	주문	Order (for goods)
웨치고	외치고	Shouting (Older spelling)
商	상	Commerce (Referring to Sungsil Commercial School)
못하겟는가	못하겠는가	Cannot (subject) do? (Older spelling/form)
老婆心	노파심	Old-womanish concern (Needless anxiety for others)
인젠	이젠	Now (Older spelling)
쓰러기통	쓰레기통	Trash bin
忘評患者	망평환자	Slander-critique patient (Invented derogatory term)
잠꼬대	잠꼬대	Sleep-talking, nonsense
끝마치엿다	끝마쳤다	Finished, concluded (Older spelling)
정기	정기	Spirit, energy, essence
맛지	맞지	Fitting, correct (Older spelling)
忘評	망평	Slanderous critique, nonsensical review
것고	걷고	Rolling up (sleeves) (Likely typo for 걷고)


---------------------------


잡지명	동광 제40호
발행일	1933년 01월 23일
기사제목	東光 圓卓會議
기사형태	문예기타

東光 圓卓會議
이 欄은 讀者에게 공개함. 이 欄에 발표되는 의견은 本社에서 책임을 不負함. 紙上 匿名은 可, 단 住所氏名을 明記할 事. 採擇은 本社의 자유. 原稿는 반환치 아니함. 人身攻擊은 禁物. 抽象論보다 實際問題을 簡單明瞭히. 本誌記事 讀後感도 可.

訓民正音 命名論 - 「한글」이라는 이름을 고처라-
한길

우리 글의 이름에 대하여는 아마 벌서 문제가 진즉 淸算된 듯하다. 곳 「한글」이란 것으로 아조 확정한 모양들이다. 그러나 우리 글의 原名이 분명히 「한글」이 아닌 것은 누구나 또 다 알 것이다. 「한글」이란 이름은 近世에 와서 우리 글 연구가 중흥하면서 동시에 누구가 새로 創作한 모-던 이름이다. 確然이는 몰라도 혹은 周氏의 사명이 아닌가 한다.
그러면 나는 여기에 먼저 자소기견을 밀하기 전, 웨 우리 글을 「한글」이라고 고치엇는가. 그것을 좀 살펴 말하려 한다.
먼저 우리 글은 원래, 「正音」이란 이름을 가지고 나온 것은, 어느 者가 중간에 諺文 혹은 反切이라고, 惡名을 둘러 씨웟다. 그래서 이 무식한 우리 글이 侮辱的 이름을 없이 하기 위해서 새로 이름을 짓은 것일 것이다.
