잡지명	별건곤 제1호
발행일	1926년 11월 01일
기사제목	洋行中 雜觀雜感 (Miscellaneous Observations and Thoughts During a Trip Abroad)
필자	鄭錫泰
기사형태	기행문 (Travelogue)

Miscellaneous Observations and Thoughts During a Trip Abroad
						Chŏng Sŏk-t'ae
October 3rd, 1923, Landfall at Marseilles! It is the 57th day since leaving my homeland. Looking back on the journey that took 48 days just by ship, a truly distant road of 50,000 *ri*, I have no particular feeling, only thoughts of what to do next. However, the passengers and crew of the Katori Maru, who have shared hardships and joys and faced life and death together on the sea of suffering for a long time, now bid each other a meaningful farewell today and head to their respective destinations, filling me with endless fresh sorrow. After briefly finishing a combined farewell and welcome ceremony over breakfast in the dining hall, and passing through the usual quarantine and customs, I set foot on European soil for the first time in my life, and each step I take feels significant. Although it wasn't entirely unexpected, the language is strange, and the appearances of the people are just like what we see when we go to the zoo. No, I probably can't know how shabby and poor they must have seen us.
While this was happening, a hotel car came to meet us, and as our group of several people was about to leave, someone subtly nudged my side and grinned. Not knowing what it was, I turned around to see the person who had carried my hand luggage from my cabin gesturing in broken English, asking for money. Though I wasn't sure, I refused, saying I thought it was all supposed to be paid by the hotel. But he insisted, asking for just a few cents privately, so I gave him a few francs, not even knowing their value.<66> The fellow gratefully accepted with a pleased attitude. This was my first impression upon entering France. Perhaps because it was my first time ashore in a long time, what I saw and heard was novel and strange, but my head ached, I felt dizzy, and the soles of my feet, unused to walking, felt unsteady, making me feel disinclined to sightsee. After spending the whole day sightseeing here and there by car, night fell before I knew it. Since we were taking the 11 o'clock night train to Paris, it seemed everyone, despite their weary bodies, felt an urge to sightsee quickly. Amidst this, a motion was made to see something representative of France, which I agreed to. We went to see the so-called strange moving pictures and what the Japanese call *nozoki*, meaning "peeping." Seeing it in reality, I was so dumbfounded and flabbergasted that I wondered if this was so-called civilization and was astonished. It was truly bizarre. In my opinion, I would like to publicly disclose these two things and introduce that such strange things exist, but given the current state of our Orient, in terms of morality and other public morals, these are facts that absolutely cannot be disclosed publicly, which is truly regrettable in more ways than one.

Train Timetable!
To put it another way, it was like a country person coming to Seoul; everyone had to be on high alert. Somehow or other, we went to the station to catch the train to Paris. Our group, including myself, consisted of four people, so we weren't bored and had companions for conversation, but everyone seemed bewildered and unsure of what to do. As we went out, there seemed to be departing trains and arriving trains. Acting quickly, I looked up at the train timetable board and saw it written: "1st/2nd Class Paris Express Train 23:40." Seeing this for the first time, we just stood there dumbfounded,<67> looking at each other's faces. Since elementary school, we had never heard the term 23 o'clock. It occurred to me vaguely to guess that Western time had more hours. But it was nothing other than this: they divide the day into 24 hours (using 0-23) and write 23:40 without using AM or PM. Once it was resolved that this meant 10:40 PM, the fact that we had been flustered for no reason became rather funny.
While we were doing this and that, the train departed for Paris. Our group occupied a second-class compartment, and just like on the ship, we passed the time without any trouble, half joking. It had been a long time since I'd ridden a train, so it wasn't too tiring, nor did I get bored.

What to do without a hotel!
It was the evening of November 15th. Somehow or other, it seemed Paris was drawing near. Passengers gathered their luggage and prepared to disembark. We, too, couldn't just sit still and were preparing to get off when it seemed we had already arrived in Paris. Our group had naturally telegraphed the hotel from Marseilles in advance to reserve accommodation for four people, so we thought we could go together without worry. But when we got off the train and tried to get into the hotel car that had come to meet us, we were told that there weren't enough rooms and they could only accommodate two. This was truly a major headache, arising in an unfamiliar place with no know-how. Up to this point, we had actually managed to get to Paris because Mr. G, a foreign language graduate, specifically from the French department and heading to Paris as a diplomat, was with us. Although his French wasn't perfect, he could communicate. But from this point on, we had to go to different accommodations, which was a real worry. We couldn't just stand there hesitating, so I ended up going alone to a hotel called "Terminus."<68> I bid farewell to the group and pleaded with Mr. G to please meet again tomorrow morning and guide me, the ignorant one. Mr. G also looked troubled, but we firmly promised to meet at our hotel at 10 AM the next morning, and my body moved towards the car. Feeling like a helpless widow being carried off, I was taken to the Hotel Terminus. As we drove through the streets, thinking, "Is this the place that has earned the worldwide name 'City of Flower Gardens'?", my eyes couldn't leave the car window. The car carried me here and there, and after about 30 minutes, it dropped me off in front of a large building. "Alright, this must be the place that will let me sleep tonight," I intuited. A servant came out from inside, kindly guided me in, and I finally settled down. The thought of sleeping comfortably in a spacious bed in a wide room for the first time in months made me happy.

Humiliated upon arriving in Paris!
It could be called the journey of a verbally challenged person, but being brazen, I tried to do everything I wanted. First, wanting to bathe my tired body, I pressed the call bell (呼鐘) to call a boy, but the person who came without hesitation was a young woman. Wearing a neat apron, she kindly asked in words I didn't understand what I needed. Although I didn't know the words, I sensed she was asking why I called. With my poor skills, I tried to say in English that I wanted to take a bath and asked her to guide me, but the maid didn't understand what I was saying and just tilted her head, watching my expression. Having no choice, I thought I should use the universal language in such situations. I mimed the action of washing my body for quite a while to show I wanted to bathe now. Only then, seeming to understand, she couldn't suppress her own laughter<69> and laughed for a good while. Finally, seeming to indicate that the bath was ready, I followed her into the next room. It was a splendid bathroom, truly too good for just one person. While I was freely washing my body, splashing water around, someone knocked on the door.
But surely, they wouldn't be looking for someone bathing naked? They must be looking for the person in the next room, I thought, and continued my bath as I pleased. However, the knocking persisted, definitely at this room, looking for me, naked inside. Even though I pretended not to notice, the sound of knocking and someone shouting something was so loud that I felt something ominous might be happening. Could there unfortunately be a fire nearby? Was someone telling me to stop and get out quickly? In haste, I opened the door and looked outside. Someone who looked like the bell captain (뽀이장) was standing there knocking, and behind him, maids were lined up, looking at my naked body. Experiencing this, I felt ashamed and, on the other hand, angry, so I closed the door again and tried to continue my bath. However, they knocked again and said something unintelligible. Realizing that something inauspicious concerning me must be happening, I wondered to myself if I had done something wrong or violated any rules. Muttering to myself, I hastily put on clothes over my wet body and asked what was going on. It seemed the issue was why I had stepped out of the tub while washing off dirt and splashed water, causing it to flow through the ceiling (天井) and leak to the floor below. They kept pointing at the ground and the ceiling, talking loudly in words I didn't understand. Not knowing what was happening, unable to finish my bath,<70> and unable to go back in and continue, I returned to my room with the attitude that I was completely finished. Thinking about it, the beautiful capital Paris was, for me, only a capital of worries.

Even in the West, they have chamber pots like in Chosŏn!
Anyway, since my body was weary, regardless of past events, there was nothing else to do but go to bed. But then another big worry arose. It was none other than my bad habit of waking up once during the night to urinate. But when I needed to urinate during the night, how would I know where the toilet was? While searching all around for a place to relieve myself, I found a vessel under the table where the lamp stood, next to the bed, similar to our Chosŏn chamber pot (요강). Thinking that if I had this fellow, I wouldn't have to worry again, I lay down in bed. It struck me profoundly that criticizing the use of chamber pots in Chosŏn homes was not a big deal.

How do I answer this phone!
I couldn't even indulge in various idle thoughts. Perhaps because my body was so tired, I slept soundly alone in a comfortable bed, unaware of the time. I didn't know what time it was, but since bright light shone into the room, it must have been morning. Then, a telephone rang in a corner of my room. Thinking that perhaps Mr. G had already woken up and was calling me, I happily went and held the receiver to my ear. I didn't know what it meant, but a woman's voice kept calling out "Trois trois? Trois trois?" (토란스토로아토란스트로아). Being unable to understand the language, I couldn't respond properly. Helplessly, I mumbled something like a half-mute person and hung up the receiver. While I was pondering deeply, the phone rang again with the same unintelligible words. I reacted the same way, helplessly.<71> This time, someone came to my door and knocked. I told them to come in, and it was someone who looked like a hotel clerk. This person, thankfully in English that was easy enough to understand, asked me if I wanted breakfast in the dining room or brought to my room. He said he had come up because there was no answer despite calling several times. Not knowing the rules, everything felt bothersome. I requested the trouble of having it brought to the room and just waited for the food to arrive. Upon finding out later, "Trois trois" meant 33, which was my room number. They were asking if the person answering the phone was the guest in room 33. Knowing this made it seem funny, but for me, experiencing it at the time, it was no small distress.

Today is the first time a Westerner has served me!
Every incident I encountered was just bothersome. At this rate, no one would say the West is good. After washing my face alone and sitting down to think, I felt dumbfounded and worried about how I would manage the day. While I was doing this, the maid assigned to my room brought breakfast and kindly guided me, saying I should eat in the next room. Wondering what kind of incident I might face next, I began to eat breakfast with an anxious heart. The maid took away the chamber pot I had used last night, tidied up the bedding, neatly folded the clothes I had worn, cleaned the room spotlessly, tidied up the washbasin area, and even cleaned my shoes until they shone. Seeing this while eating breakfast, another idle thought arose. Money is power (돈이 장수다). With just money, even a country bumpkin like me can receive service like this. Today is the first time a Western woman has waited on me.<72>

Napoleon's Tomb!
Breakfast was somehow finished. But I was in a situation where I couldn't move an inch. Mr. G needed to come soon to guide me and put my mind at ease. I was fully dressed and ready to go out, but I needed someone to arrive before I could leave. What a frustrating life, I thought. Mr. G seemed to have slept late, as we only met at 11 o'clock. For me, who had waited until my eyes nearly popped out, the joy was boundless. Today, the few of us in the group gathered and set out to tour the city. We decided to visit Napoleon's tomb, which was near my hotel. It was truly inside a magnificent building. Although I can't describe everything in detail, the coffin placed in the center of the large building is Napoleon's tomb. Just as they say that even seeing the bones of a dead tiger is frightening, seeing this brought his life's history to my mind.

What kind of place is a Paris café?
Sightseeing aside, being in such a world-renowned large city for the first time, my heart felt heavy, and it wasn't easy to find peace. Everything I saw and heard made a deep impression, and I couldn't look at anything casually. Consequently, even the people coming and going couldn't pass by unnoticed. Even looking at a single shop, I couldn't help but think about its clever aspects. Changing direction again, it was decided to go to the famous cafés.
When we think of a café, we might simply think of going in, having a cup of coffee, and leaving. However, this is just our limited understanding; those people truly use these cafés in many ways. Consequently, all sorts of people (形形色色) gather there, and it seems all kinds of strange romances happen. Price-wise, it's extremely cheap, so anyone can go freely, and as for the interior facilities, there's nothing to criticize.<73> In the center of the café, there's continuous music, so anyone who enters naturally feels the splendid and harmonious atmosphere. We too managed to find a seat and objectively observed others enjoying themselves. In the vast space packed with people sitting closely together, I asked the person next to me what kind of people, from what class, were coming in from one side and what they were doing. Simply put, the café serves as a temporary rest stop, a conversation place, a meeting place, a rendezvous spot; people from any walk of life can use it as they please. For example, friends might arrange to meet at a certain café at a specific time, and young men and women meet here to have intimate, delightful conversations. Even students studying in boarding houses during the cold winter, unable to bear the cold, might come to a café, occupy a corner, and sit like absent-minded people all night long over a single cup of coffee. Not only that, but it seems some come to write letters, as someone in a corner is engrossed in writing. In another area, it looks like an artist has come seeking a model, as he seems to be negotiating a price with a beautiful woman. Paris also has the nickname "City of Sensuality" (色都會), and the gazes of strange women trying to attract customers also dart around left and right. People suffering from nervous exhaustion also gather here, seemingly able to forget the depressing troubles of the day.
Thus, to understand what a café is truly like, one must see it directly, but there are more than one or two unexpectedly strange and bizarre aspects. This can be called a unique custom and habit of Westerners (洋人).

The unpleasant behavior of Americans is seen here too!
Today again, my body feels quite weary. Having actually arrived in Paris, I don't feel much curiosity or desire to see anything specific. There seem to be several reasons for this: firstly, not knowing the language and customs makes everything feel troublesome; secondly, my body is exhausted from traveling for months, so more than anything, I wish I could just lie down quietly and rest comfortably, but circumstances don't allow it, so it's just a series of bothersome events being dragged here and there. It's already almost evening, so intending to at least eat, we found a restaurant (레스토랑) and ordered dinner to satisfy our stomachs, empty all day. While sitting and enjoying the delicious food, it seemed some incident had occurred in a corner over there, as the commotion seemed strange even to us who were oblivious. Finding out, it wasn't a fight, but apparently, four or five Black people were also dining there when the owner came and asked them to give up their seats. The reason was that several Americans (米人)<74> had come into the restaurant, and seeing Black people occupying good seats and eating enjoyably, they, from their perspective—thinking that in their own country, due to racial discrimination, people like Blacks wouldn't even be allowed entry into such a restaurant, let alone occupy the best seats (首席) and eat happily—apparently got particularly annoyed in their unique "Yankee" (양키) way. They seemed to have requested the owner to make the Black people give up their seats. As no one dislikes money, the owner, whose eyes likely saw only money, inevitably went to the Black people and finally declared that they had to give up their seats. No matter that they were Black, they too were human beings and surely had feelings. Faced with this situation, the Black people, like gentlemen, readily gave up their seats, paid the exact amount due, and on their way out, reportedly submitted a petition and a letter expressing their indignation and grievance to the court (재판소). After the Black people left, the triumphant Americans acted as if the world was theirs, behaving without any restraint, which was truly nauseating to watch. I, too, had always detested the dirty and unpleasant behavior of Americans, so whenever things like this happened, I felt as angry as if it had happened to me.
"France is truly lovable. I'm growing fond of it. If I could, I would want to spend my whole life here. Oh France, receiver of my love."
Later, I heard that the aforementioned restaurant was ordered to suspend business indefinitely (無期) and suffered considerable losses. The reason was this: France is not just for the French (佛人); anyone who loves France, regardless of race, should consider it their own country. Look, world, what is it that you are so proud of? France, with this spirit, does not engage in such barbaric acts, and consequently loves anyone who loves France. Thus, they even closed down the restaurant to warn the public, which made even my heart feel refreshed.
Wasn't it enough to do your hateful deeds in your own country? Why do you have to come to a foreign country and behave so unpleasantly and barbarically?
What is it about you that transcends humanity, and how many more hateful acts will you commit in the future?
Stop it! You too are not heaven; there will be a time when you fall. I truly offer you this advice again and again (再三)! This was my impression up to the day after arriving in Paris. (September 18th) <75>

**Summary**

This travelogue by Chŏng Sŏk-t'ae recounts his initial experiences arriving in Europe in 1923, specifically his journey from Marseilles to Paris. He describes feelings of alienation due to language barriers and cultural differences, coupled with physical exhaustion from the long sea voyage. Encounters include awkward demands for tips, confusion over the 24-hour clock, trouble finding accommodation, embarrassing moments like being caught naked by hotel staff due to a misunderstanding about bathing practices, difficulties with the telephone, and the novelty of being served by Westerners. The author contrasts his negative experiences with moments of appreciation, particularly praising French egalitarianism when witnessing and hearing about the aftermath of an incident where American tourists demanded Black patrons be removed from a restaurant, leading to the restaurant's closure.

From the perspective of Korean colonial history, the article is revealing. Chŏng's status as a colonial subject traveling abroad provides a unique lens on encountering the West. His feelings of being perceived as "shabby and poor," comparing Parisians to zoo animals (and wondering if they saw Koreans similarly), and his humiliation highlight the power dynamics and potential racial/cultural biases faced by Koreans internationally. His strong condemnation of American racism, contrasted with his admiration for the French response, reflects a complex engagement with Western modernity and values, possibly seeking alternative models or allies beyond the Japanese colonial power and the prevalent Anglo-American influence. Historians might find interest in his specific anecdotes of cultural misunderstandings (bathing, telephone, timetable), his observations on Parisian life (cafés), and his explicit commentary on race and national character, offering insights into how a Korean intellectual navigated and perceived the wider world during the colonial period.

**Named Entities**

鄭錫泰	정석태	Chŏng Sŏk-t'ae
발세이유	발세이유	Marseilles
故國	고국	Homeland (Korea)
香取丸	향취환	Katori Maru (ship name)
歐洲	구주	Europe
佛國	불국	France
東洋	동양	The Orient
호텔	호텔	Hotel
巴里	파리	Paris
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
西洋	서양	The West
G군	G군	Mr. G
털미누스 호텔	털미누스 호텔	Hotel Terminus
朝鮮	조선	Chosŏn (Korea)
나포레온	나포레온	Napoleon
米人	미인	American(s)
양키	양키	Yankee
재판소	재판소	Court
佛人	불인	French person/people

**Glossary**

洋行	양행	Traveling abroad (specifically to the West)
雜觀雜感	잡관잡감	Miscellaneous observations and thoughts
上陸	상륙	Landing (from a ship)
엇덧타는	어떠하다는	(Older form) Being a certain way, feeling a certain way
將次	장차	In the future
엇지할고	어찌할꼬	(Older form) What shall I/we do?
苦海	고해	Sea of suffering (Buddhist term, here metaphorically for hardship)
餞別	전별	Farewell gift or party
歡迎式	환영식	Welcome ceremony
檢疫	검역	Quarantine
稅關	세관	Customs
발자족	발자국	Footprint
有心히	유심히	Carefully, attentively
豫測	예측	Prediction, expectation
異常하다	이상하다	To be strange, unusual
주제들	주제들	Appearances, figures (colloquial, slightly dismissive)
초라하다	초라하다	To be shabby, humble
貧弱하다	빈약하다	To be poor, weak
역구리	옆구리	Side (of the body)
手荷物	수하물	Hand luggage
形言	형언	Gesture, sign language (lit. shape-talk)
支拂	지불	Payment
사사로히	사사로이	Privately
멧 分	몇 푼	A few cents/small coins (푼 is an old monetary unit)
數효	수효	Amount, number
푸랑	프랑	Franc (French currency)
궐자	그자	That fellow (slightly derogatory)
貴하다	귀하다	To be precious, rare; here, novel/interesting
어질어질하다	어질어질하다	To feel dizzy
드듼	디딘	(Older form) Stepped on
흔뎡흔뎡하니	흔들흔들하니	(Likely dialect/older form for 흔들흔들) Unsteadily, wobbling
都是	도무지	(Older form/Hanja usage) Altogether, entirely (used with negatives)
귀치 안다	귀찮다	To be bothersome, annoying
終日	종일	All day long
動議	동의	Motion, proposal
贊成	찬성	Agreement, approval
活動寫眞	활동사진	Moving pictures, motion pictures (early term for movies)
ノゾキ	노조키	Peeping (Japanese term used)
어이 업다	어이없다	To be dumbfounded, absurd
기가 막히다	기가 막히다	To be aghast, dumbfounded
文明	문명	Civilization
야릇도 하다	야릇하다	To be strange, peculiar, bizarre
公開	공개	Public disclosure
紹介	소개	Introduction
現狀	현상	Current situation
道德	도덕	Morality
風紀	풍기	Public morals
絶對	절대	Absolutely
此	차	This (Hanja character used as pronoun)
遺憾됨	유감됨	Being regrettable
汽車時間表	기차시간표	Train timetable
밧삭차리다	바싹 차리다	To be fully alert, brace oneself
停車場	정차장	Station, stop
게시판	게시판	Bulletin board
씨여잇다	쓰여 있다	(Older spelling) Is written
얼골	얼굴	(Older spelling) Face
緣故	연고	Reason, cause
推測	추측	Guess, conjecture
논아서	나누어서	(Older spelling) Dividing
公然히	공연히	(Older meaning/usage) Needlessly, uselessly, without reason
허둥지둥	허둥지둥	In a fluster, hastily
도로혀	도리어	(Older form) Rather, on the contrary
농담	농담	Joke
실증	싫증	Boredom, weariness
行李	행리	Luggage
수습하다	수습하다	To gather, put in order
나리다	내리다	(Older spelling) To get off, disembark
염려 업시	염려 없이	Without worry
마종	마중	Meeting, greeting (someone arriving)
부족	부족	Lack, shortage
두통거리	두통거리	Headache, source of worry
망성 망성 거리다	망설망설거리다	(Likely older form) To hesitate
애걸하다	애걸하다	To plead, implore
굿게	굳게	Firmly
업히어 가다	업혀 가다	To be carried on someone's back; here, helplessly led
과부격	과부격	Like a widow (metaphor for helplessness)
화원	화원	Flower garden
명칭	명칭	Name, title
엇고 잇다	얻고 있다	(Older spelling) Is gaining, obtaining
直覺하다	직각하다	To intuit, perceive directly
안돈되다	안돈되다	To be settled, relieved
멧달	몇 달	(Older spelling) Several months
뼈트	베드	(Likely transliteration of 'bed') Bed
흡사히	흡사히	Just like, exactly like
벙어리	벙어리	Mute person
뱃심 좃케	뱃심 좋게	Brazenly, boldly (lit. with good guts)
呼鐘	호종	Call bell
서슴지 안코	서슴지 않고	Without hesitation
묘령	묘령	Marriageable age (for a woman)
훌늉한	훌륭한	(Older spelling) Splendid, fine
압치마	앞치마	Apron
청구	청구	Request, demand
하녀	하녀	Maidservant
만국공통어	만국공통어	Universal common language (gestures)
형용	형용	Appearance, form; here, gesture/mime
아헤우로	아래위로	(Older form/dialect?) Up and down
흉내내닛가	흉내 내니까	Because (I) imitated
좃차	조차	(Older form) Even, also; here likely 'following' (쫓아) based on context
드듸여	드디어	Finally, at last
욕실	욕실	Bathroom
앗가웟다	아까웠다	(Older spelling) Was regrettable, a waste
들낙날낙하는	들락날락하는	(Older spelling) Going in and out
녹크	노크	Knock
벌거벗다	벌거벗다	To be naked
상서롭지 못하다	상서롭지 못하다	Inauspicious, ominous
총망중	총망중	In a hurry, hastily
뽀이장	보이장	Bell captain/head boy ('boy' + 長 'chief')
죽서서	죽 서서	Lined up
발가버슨	발가벗은	(Older spelling) Naked
붓그럽다	부끄럽다	(Older spelling) To be ashamed, embarrassed
분하다	분하다	To be angry, resentful
게속하다	계속하다	(Older spelling) To continue
몰을 말	모를 말	Words one doesn't understand
필경	필경	After all, inevitably
저즌	젖은	(Older spelling) Wet
천장(天井)	천장	Ceiling
흘러나려	흘러내려	Flowing down
영문	영문	Reason, cause (often used when perplexed)
근심	근심	Worry, anxiety
요강	요강	Chamber pot
악습	악습	Bad habit
소변	소변	Urine, urination
강구하다	강구하다	To devise, seek out
침상	침상	Bedstead, bed
녀놋는	내려놓는/놓는	(Likely older form) Setting down, placing
상아래	상 아래	Under the table
절실하다	절실하다	To be keen, acute, poignant
고단하다	고단하다	To be weary, tired
광선	광선	Ray of light
빗최이다	비추이다	(Older form) To shine upon
수화기	수화기	Telephone receiver
의미	의미	Meaning
불으니	부르니	(Older spelling of 부르니) Because (she) calls
우물주물하다	우물쭈물하다	To mumble, hesitate
공곰히	곰곰이	(Older spelling) Carefully, thoughtfully
其時	그시	At that time
당하든	당하던	(Older form) Who was experiencing/suffering
시중	시중	Service, waiting on someone
닥치는	닥치는	Encountering, happening upon
일로부러	일부러	(Older form) Intentionally, on purpose
전속되다	전속되다	To be assigned exclusively
업치다	(요강을) 비우다/치우다	To empty/clean out (a chamber pot)
掃除하다	청소하다	To clean
공상	공상	Idle thought, daydream
돈이 장수다	돈이 장수다	Money is power/the best (idiomatic)
꼼짝할 수 업다	꼼짝할 수 없다	Cannot move an inch
노힐 터인데	놓일 터인데	Should be relieved/at ease
출입	출입	Coming and going, entry and exit
부근	부근	Vicinity, neighborhood
굉장한	굉장한	Magnificent, grand
일일이	일일이	One by one, in detail
노힌	놓인	(Older spelling) Placed, situated
관	관	Coffin
일생	일생	Lifetime
역사	역사	History
제음으로	지음으로	(Likely older form of 즈음으로) At the time of, like
단순히	단순히	Simply
활용	활용	Use, application
응용하다	응용하다	To apply, put to practical use
形形色色	형형색색	All shapes and colors, various kinds
밀회소	밀회소	Place for secret meetings, rendezvous spot
방면	방면	Field, aspect, walk of life
갑스	값	(Older spelling) Price
극히	극히	Extremely
헐하여	헐하여	Being cheap
내부 설비	내부 설비	Internal facilities, interior furnishings
나므랄 것 업다	나무랄 것 없다	(Older spelling) Nothing to criticize, impeccable
끈닐 새가 업시	끊일 새가 없이	(Older spelling) Without pause, continuously
화려한	화려한	Splendid, gorgeous
和樂한 기운	화락한 기운	Harmonious atmosphere
객관적으로	객관적으로	Objectively
흥에 취하다	흥에 취하다	To be absorbed in enjoyment/fun
삑삑하니	빽빽하니	(Older spelling/sound representation) Densely packed
돌나안저 잇다	둘러앉아 있다	(Older spelling) Are sitting around
계급 여하한 사람	계급 여하한 사람	Person of whatever class
휴게소	휴게소	Rest stop
담화소	담화소	Place for conversation
대합소	대합소	Waiting room, meeting place
정다운	정다운	Affectionate, warm
하숙서	하숙에서	(Older form) At a boarding house
익이지 못하여	이기지 못하여	(Older spelling) Unable to bear/overcome
한구석	한구석	One corner
정신 나간 사람	정신 나간 사람	Absent-minded person
화가	화가	Painter, artist
모델	모델	Model
어엽분	어여쁜	(Older spelling) Pretty, beautiful
갑슬 정하다	값을 정하다	To set/negotiate a price
色都會	색도회	City of sensuality/pleasure
별명	별명	Nickname
객을 끌녀 온	객을 끌러 온	(Older form) Having come to attract customers
시선	시선	Gaze, line of sight
신경 쇠약자	신경 쇠약자	Person with nervous exhaustion/neurasthenia
예측 의외	예측 의외	Unexpected, beyond prediction
洋人	양인	Westerner
풍속 습관	풍속 습관	Manners and customs
안이꼬운	아니꼬운	(Older spelling) Unpleasant, disagreeable, disgusting
저윽히	자못	(Older form) Considerably, quite
호기심	호기심	Curiosity
짓친	지친	(Older spelling) Exhausted, tired
고요하니	고요하니	Quietly, peacefully
엇던	어떤	(Older spelling) Some, certain
레스토랑	레스토랑	Restaurant
종일	종일	All day long
삣친 배 속	비친 배 속	(Likely '빈 친', empty) Empty stomach
요기 식히는 중	요기시키는 중	Satisfying hunger
웅성거리는 법	웅성거리는 것	Commotion, murmuring
흑인종	흑인종	Black race, Black people
자미잇게	재미있게	(Older spelling) Enjoyably
인종 차별	인종 차별	Racial discrimination
황차	하물며	(Hanja-based word) Let alone, much less
首席	수석	Chief seat, best seat
희희낙낙하다	희희낙낙하다	To be gleeful, jubilant
벨이 꼴니엿든지	배알이 꼴렸든지	(Older spelling/idiom) Got annoyed/twisted up inside
선언	선언	Declaration, announcement
신사다웁게	신사답게	(Older spelling) Like a gentleman
쾌히	쾌히	Readily, willingly
정액	정액	Fixed amount, exact sum
금전	금전	Money
지불	지불	Payment
탄원서	탄원서	Petition
분개한 설원	분개한 사연/설움?	Statement of indignation/grievance? (설원 is unclear, perhaps 사연 - story/details or 설움 - sorrow/grievance)
진젊�서	진정서	(진젊�서 likely typo for 진정서) Petition, formal complaint
의기양양한	의기양양한	Triumphant, elated
제핸드시	제멋대로 하듯이/세상이 제것인 듯이	As they please / As if the world is theirs
것침업시	거침없이	Without restraint, unhindered
구역이 난다	구역질이 난다	To feel nauseous, disgusted
미워하든 바이라	미워하던 바이라	(Older form) Because I detested/hated
밧는	받는	(Older spelling) Receiving
無期	무기	Indefinite period
영업 중지	영업 중지	Suspension of business
손해	손해	Loss, damage
누구나	누구나	Anyone, everybody
보아라	보아라	Look! Behold!
잘난 것	잘난 것	Thing one is proud of / thinks is great
야만	야만	Barbarism, savagery
경게하다	경계하다	(Older spelling) To warn, guard against
상쾌하엿다	상쾌하였다	(Older spelling) Felt refreshed, pleasant
미운 짓	미운 짓	Hateful act, detestable behavior
충고	충고	Advice, counsel
再三	재삼	Again and again, repeatedly
소감	소감	Impression, thoughts, feelings


---------------------------


잡지명	별건곤 제1호
발행일	1926년 11월 01일
기사제목	洋行中 雜觀雜感
필자	鄭錫泰
기사형태	기행문

洋行中 雜觀雜感
						鄭錫泰
一九二三年 十月 三日 발세이유 上陸! 故國을 떠난 지 五十七日 만이다. 배로만 四十八日 온 길을 바라보니 五萬里나 되는 머나먼 길 그야말로 엇덧타는 感想도 업고 다만 將次 엇지할고 하는 生覺뿐이다. 그러나 오랫동안 苦樂을 가티하고 生死를 가티 苦海에서 격든 香取丸船客이며 船員들은 오날로 서로 늣김 만흔 告別을 하게 되고 各自 目的地로 향하게 되니 새로히 섭섭한 마음 끗이 업다. 朝飯을 食堂에서 簡略히 餞別 歡迎式 兼하여 畢하고 例의 檢疫과 稅關을 지나서 生前 처음으로 歐洲 땅을 밟게 되니 옴기는 발자족마다 有心히 生覺된다. 其亦 豫測지 안은 바는 안이엇지마는 말이 異常하고 생긴 주제들이 맛치 우리가 動物園에 가서 구경하는 것 갓다. 안이 그들이 우리를 보기에 얼마나 초라하고 貧弱하게 보앗는 지 알 수가 업슬 것이다.
이러는 동안에 「호텔」 自動車가 마조 나와 우리 멧 一行은 떠나려 할 적에 은근히 내 역구리를 꾹 지르고 씩 웃는 者가 잇다. 무엇인지 몰나 도라보니 내 船室에서 手荷物 옴긴 者가 되지 안은 英語로 돈을 달나는 形言을 하고 잇다. 이 亦 모르기는 하나마 「호텔」에서 다 支拂하기로 된 듯하다는 말로 거절을 하닛가 自己 딴은 그래도 사사로히 멧 分만 달나고 하기로 數효도 모르는＜66＞ 멧 푸랑을 주엇다. 궐者는 반가히 고마운 態度를 갓는다. 佛國 드러운 처음 印象이 卽 이것이엇다. 오래 간만에 上陸한 原因이겟지만은 보고 듯는 바가 貴하고 異常은 하지만은 머리가 압푸고 어질어질하고 드듼 발바닥이 흔뎡흔뎡하니 都是 구경하기가 귀치 안은 生覺이 난다. 終日 이 곳서 이리저리 自動車로 구경을 맛초닛가 어느 듯 밤이 된다. 우리는 十一時 夜車로 巴里行이닛가 괴로운 몸이나마 一時 밧비 구경하고 십흔 맘이 저마다 생기는 모양이다. 其中에도 佛國의 代表될 만한 것을 구경하자는 動議에 나도 贊成하고 所謂 異常한 活動寫眞과 日本말로 ノゾキ라는 것 卽 「엿보는 것」을 實際로 보니 너머도 어이 업고 기가 막히어 이것이 所謂 文明인가 하고 놀내엇다. 참으로 야릇도 하다. 내 生覺 가태서는 이 두 가지를 公開하여 이러한 異常한 것이 잇다고 紹介하고 십지만은 우리 東洋의 現狀으로는 道德과 其他 風紀 상으로 絶對 此를 公開치 못할 事實에 속하니 참으로 遺憾됨이 한 두 가지가 안이다.

汽車時間表!
